name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011
TotalRevenue,"34,057,000,000","8,619,000,000","8,704,000,000","8,479,000,000","8,255,000,000","7,828,000,000","8,305,000,000","8,236,000,000","8,278,000,000","7,934,000,000","7,739,000,000","6,995,000,000","6,944,000,000","6,538,000,000","6,796,000,000","6,432,000,000","6,452,000,000","5,958,000,000","6,400,000,000","5,944,000,000","5,475,000,000","5,040,000,000","5,452,000,000","5,019,000,000","4,926,000,000","4,563,000,000","5,111,000,000","4,658,000,000","4,692,000,000","4,329,000,000","5,205,795,000","4,508,000,000","4,493,000,000","4,172,948,000","4,864,063,000","4,408,681,000","4,274,445,000","3,896,762,000"
	OperatingRevenue,"34,057,000,000","8,619,000,000","8,704,000,000","8,479,000,000","8,255,000,000","7,828,000,000","8,305,000,000","8,236,000,000","8,278,000,000","7,934,000,000","7,739,000,000","6,995,000,000","6,944,000,000","6,538,000,000","6,796,000,000","6,432,000,000","6,452,000,000","5,958,000,000","6,400,000,000","5,944,000,000","5,475,000,000","5,040,000,000","5,452,000,000","5,019,000,000","4,926,000,000","4,563,000,000","5,111,000,000","4,658,000,000","4,692,000,000","4,329,000,000","5,205,795,000","4,508,000,000","4,493,000,000","4,172,948,000","4,864,063,000","4,408,681,000","4,274,445,000","3,896,762,000"
CostOfRevenue,"7,687,000,000","1,942,000,000","2,006,000,000","1,920,000,000","1,819,000,000","1,694,000,000","2,022,000,000","1,835,000,000","1,934,000,000","1,927,000,000","2,280,000,000","1,616,000,000","1,528,000,000","1,616,000,000","1,555,000,000","1,504,000,000","1,405,000,000","1,369,000,000","1,475,000,000","1,167,000,000","916,000,000","942,000,000","1,119,000,000","1,094,000,000","1,113,000,000","1,100,000,000","1,282,000,000","1,092,000,000","1,054,000,000","1,153,000,000","1,265,327,000","1,014,000,000","1,073,000,000","1,156,167,000","1,176,063,000","1,148,681,000","1,107,338,000","1,207,311,000"
GrossProfit,"26,370,000,000","6,677,000,000","6,698,000,000","6,559,000,000","6,436,000,000","6,134,000,000","6,283,000,000","6,401,000,000","6,344,000,000","6,007,000,000","5,459,000,000","5,379,000,000","5,416,000,000","4,922,000,000","5,241,000,000","4,928,000,000","5,047,000,000","4,589,000,000","4,925,000,000","4,777,000,000","4,559,000,000","4,098,000,000","4,333,000,000","3,925,000,000","3,813,000,000","3,463,000,000","3,829,000,000","3,566,000,000","3,638,000,000","3,176,000,000","3,940,468,000","3,494,000,000","3,420,000,000","3,016,781,000","3,688,000,000","3,260,000,000","3,167,107,000","2,689,451,000"
OperatingExpense,"12,564,000,000","3,074,000,000","2,603,000,000","3,942,000,000","2,945,000,000","2,969,000,000","8,424,000,000","3,187,000,000","3,582,000,000","3,035,000,000","3,353,000,000","2,674,000,000","2,727,000,000","2,503,000,000","2,843,000,000","2,487,000,000","2,590,000,000","2,301,000,000","2,812,000,000","2,892,000,000","2,684,000,000","2,284,000,000","4,720,000,000","2,657,000,000","2,282,000,000","2,112,000,000","2,246,000,000","1,975,000,000","2,115,000,000","1,871,000,000","2,091,578,000","1,898,000,000","1,888,000,000","1,888,892,000","1,909,161,000","3,206,387,000","1,630,763,000","1,765,015,000"
	SellingGeneralAndAdministration,"6,957,000,000","1,695,000,000","1,951,000,000","1,657,000,000","1,654,000,000","1,680,000,000","1,929,000,000","1,919,000,000","1,760,000,000","1,791,000,000","1,951,000,000","1,452,000,000","1,504,000,000","1,368,000,000","1,653,000,000","1,381,000,000","1,466,000,000","1,355,000,000","1,737,000,000","1,474,000,000","1,703,000,000","1,473,000,000","3,341,000,000","1,595,000,000","1,448,000,000","1,340,000,000","1,448,000,000","1,261,000,000","1,406,000,000","1,237,000,000","1,410,357,000","1,085,000,000","1,246,000,000","1,246,924,000","1,134,032,000","2,540,866,000","1,041,004,000","1,177,918,000"
	ResearchAndDevelopment,"6,497,000,000","1,379,000,000","1,542,000,000","2,285,000,000","1,291,000,000","1,289,000,000","6,495,000,000","1,268,000,000","1,322,000,000","1,244,000,000","1,402,000,000","1,222,000,000","1,223,000,000","1,135,000,000","1,190,000,000","1,106,000,000","1,124,000,000","946,000,000","1,075,000,000","1,418,000,000","981,000,000","811,000,000","879,000,000","812,000,000","834,000,000","772,000,000","798,000,000","714,000,000","709,000,000","634,000,000","681,221,000","813,000,000","642,000,000","641,968,000","775,129,000","665,521,000","589,759,000","587,097,000"
	OtherOperatingExpenses,,,"-890,000,000",,,,"0",,"500,000,000",,,,,,,,,,,,,,"500,000,000","250,000,000",,,,,,,,,,,,,,
OperatingIncome,"13,806,000,000","3,603,000,000","4,095,000,000","2,617,000,000","3,491,000,000","3,165,000,000","-2,141,000,000","3,214,000,000","2,762,000,000","2,972,000,000","2,106,000,000","2,705,000,000","2,689,000,000","2,419,000,000","2,398,000,000","2,441,000,000","2,457,000,000","2,288,000,000","2,113,000,000","1,885,000,000","1,875,000,000","1,814,000,000","-387,000,000","1,268,000,000","1,531,000,000","1,351,000,000","1,583,000,000","1,591,000,000","1,523,000,000","1,305,000,000","1,848,890,000","1,596,000,000","1,532,000,000","1,127,889,000","1,778,839,000","53,613,000","1,536,344,000","924,436,000"
NetNonOperatingInterestIncomeExpense,"-1,612,000,000","-428,000,000","-455,000,000","-420,000,000","-309,000,000","-325,000,000","-319,000,000","-302,000,000","-272,000,000","-251,000,000","-252,000,000","-252,000,000","-253,000,000","-247,000,000","-290,000,000","-250,000,000","-225,000,000","-200,000,000","-199,000,000","-197,000,000","-164,000,000","-126,000,000","-129,000,000","-128,000,000","-69,000,000","-65,000,000","-68,000,000","-69,000,000","-75,000,000","-66,000,000",,"1,000,000","2,000,000",,,,,
