name,ttm,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalRevenue,"54,520,127,000","57,999,866,000","49,260,594,000","47,663,988,000","47,282,996,000","46,031,389,000","40,969,490,000","35,513,397,000","33,176,160,000","25,494,817,000","15,248,300,000","17,959,500,000","17,677,942,580.48","12,961,303,012.5","13,066,937,943.57","12,195,226,252.28","10,094,857,839.26","8,464,120,239.12","4,113,534,113.7","3,032,273,939","1,819,536,980.8","1,255,319,800"
	OperatingRevenue,"65,183,581,000","68,663,320,000","58,280,569,000","55,377,745,000","54,125,227,000","53,081,754,000","47,769,638,000","42,113,894,000","33,176,160,000","25,494,817,000","15,248,300,000","17,959,500,000","17,677,942,580.48","12,961,303,012.5","13,066,937,943.57","12,195,226,252.28","10,094,857,839.26","7,457,009,590.74","4,113,534,113.7","3,032,273,939","1,819,536,980.8","1,255,319,800"
	ExciseTaxes,,"10,255,700,000","8,697,505,000","7,419,156,000","6,520,894,000","6,657,794,000","6,414,524,000","6,286,767,000",,,"4,217,525,000",,,,,,,"1,007,110,648.38",,,,
CostOfRevenue,"47,389,700,000","46,431,220,000","36,177,408,000","34,940,619,000","36,902,086,000","40,057,341,000","35,820,761,000","32,209,958,000","29,317,951,000","21,411,775,000","12,664,800,000","15,140,800,000","14,439,810,311.68","10,766,020,080","10,355,232,331.92","9,080,703,283.52","8,056,623,722.42","6,729,151,802.34","2,757,944,901.6","2,353,084,354.42","1,188,358,736.7","863,500,540"
GrossProfit,"7,130,427,000","11,568,646,000","13,083,186,000","12,723,369,000","10,380,910,000","5,974,048,000","5,148,729,000","3,303,439,000","3,858,209,000","4,083,042,000","2,583,500,000","2,818,700,000","3,238,132,268.8","2,195,282,932.5","2,711,705,611.65","3,114,522,968.76","2,038,234,116.84","1,734,968,436.78","1,355,589,212.1","679,189,584.58","631,178,244.1","391,819,260"
OperatingExpense,"2,223,963,000","3,624,073,000","3,283,721,000","6,549,878,000","3,330,938,000","2,408,769,000","2,405,585,000","1,739,029,000","1,948,938,000","1,432,161,000","1,163,400,000","1,624,700,000","1,585,967,901.44","1,147,619,802.5","1,937,889,925.65","2,290,005,815.52","1,471,531,910.61","-113,394,593.88","1,047,485,026.5","239,083,812.46","207,337,616.2","181,230,000"
	SellingGeneralAndAdministration,"3,945,830,000","3,553,931,000","2,893,880,000","2,888,027,000","2,447,354,000","2,365,924,000","2,078,683,000","1,966,598,000","1,849,855,000","1,353,383,000","1,173,900,000","1,167,100,000","1,238,398,620.16","949,201,340","786,609,096.21","650,172,031.6","469,994,193","893,716,054.5","132,041,333.4","138,477,288.02","96,412,045.5","74,787,580"
		GeneralAndAdministrativeExpense,"2,300,589,000","2,008,363,000","1,434,272,000","1,477,199,000","1,325,342,000","1,210,124,000","1,077,934,000","998,261,000","1,506,200,000","969,929,000","638,300,000","674,400,000",,,,,,,,,,
			SalariesAndWages,,"375,360,000",,,,,,,,,,,,,,,,,,,,
			OtherGandA,"1,925,229,000","1,633,003,000","1,434,272,000","1,477,199,000","1,325,342,000","1,210,124,000","1,077,934,000","998,261,000","1,506,200,000","969,929,000","638,300,000","674,400,000",,,,,,,,,,
		SellingAndMarketingExpense,"1,645,241,000","1,545,568,000","1,459,608,000","1,410,828,000","1,122,012,000","1,155,800,000","1,000,749,000","968,337,000","343,655,000","383,454,000","535,600,000","492,700,000",,,,,,,,,,
	ResearchAndDevelopment,"215,794,000","199,821,000","167,456,000","162,010,000","176,431,000","138,441,000","115,812,000","106,198,000","99,083,000","78,778,000",,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,"123,700,000","543,600,000","585,252,678.4","384,069,647.5","507,783,270.33","512,235,906.28","447,683,173.39",,"7,480,128.3","100,606,524.44","110,925,570.7","106,442,420"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,"123,700,000","543,600,000","585,252,678.4","384,069,647.5","507,783,270.33","512,235,906.28","447,683,173.39",,"7,480,128.3","100,606,524.44","110,925,570.7","106,442,420"
			DepreciationIncomeStatement,,,,,,,,,,,"123,717,000",,"479,061,290.24",,"355,378,473.03","359,495,014","192,717,815.32",,,,,
			Amortization,,,,,,,,,,,"19,860,000",,"106,191,388.16",,"152,404,797.3","152,740,892.28","254,965,358.07",,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,"19,860,000",,"106,191,388.16",,"152,404,797.3","152,740,892.28","254,965,358.07",,,,,
	OtherOperatingExpenses,"-1,937,661,000","-129,679,000","222,385,000","3,499,841,000","707,153,000","-95,596,000","211,090,000","-333,767,000","-20,634,000","-899,590,000","-134,200,000","-86,000,000","-237,683,397.12","-185,651,185","643,497,559.11","1,127,597,877.64","553,854,544.22","-1,007,110,648.38","907,963,564.8",,,
OperatingIncome,"4,906,464,000","7,944,573,000","9,799,465,000","6,173,491,000","7,049,972,000","3,565,279,000","2,743,144,000","1,564,410,000","1,909,271,000","2,650,881,000","1,420,100,000","1,194,000,000","1,652,164,367.36","1,047,663,130","773,815,686","824,517,153.24","566,702,206.23","1,848,363,030.66","308,104,185.6","440,105,772.12","423,840,627.9","210,589,260"
NetNonOperatingInterestIncomeExpense,"-2,661,106,000","-2,418,499,000","-3,143,587,000","-2,880,840,000","-2,562,824,000","-2,305,569,000","-2,030,887,000","-1,697,244,000","-2,804,899,000","-626,956,000","-455,100,000","-420,400,000",,,,,,,,,,
	InterestIncomeNonOperating,"730,240,000","530,007,000","603,630,000","504,495,000","394,553,000","282,837,000","281,669,000","220,023,000","769,341,000","267,357,000","182,300,000","139,700,000",,,,,,,,,,
	InterestExpenseNonOperating,"2,527,620,000","2,084,780,000","3,747,217,000","2,146,303,000","1,842,389,000","1,383,374,000","1,211,256,000","1,031,995,000","3,574,240,000","894,313,000","637,400,000","560,100,000",,,,,,,,,,
	TotalOtherFinanceCost,,"863,726,000","1,298,746,000","1,239,032,000","1,114,988,000","1,205,032,000","1,101,300,000","885,272,000",,,,,,,,,,,,,,
OtherIncomeExpense,"-2,579,097,000","-1,921,338,000","-1,391,301,000","-3,432,662,000","72,537,000","-81,145,000","251,691,000","-1,700,880,000","20,634,000","-136,487,000","681,900,000","-3,475,600,000","41,097,039.36","-645,136,695","-229,858,750.59","20,106,222.8","80,574,142.59","-123,235,293.48","-4,094,214.9","8,569,766.55","-16,119,942.9","-2,295,580"
	GainOnSaleOfSecurity,"-2,328,565,000","-2,256,983,000","-798,762,000","-3,210,417,000","70,318,000","-85,074,000","254,914,000","-1,675,073,000",,,,,,,,,,,,,,
