name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,06/30/2009,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001
TotalRevenue,"25,247,560,000,000","6,235,112,000,000","6,353,847,000,000","6,270,646,000,000","6,387,955,000,000","14,834,863,000,000","5,941,777,000,000","6,064,590,000,000","5,856,095,000,000","6,066,471,000,000","5,538,933,000,000","5,738,843,000,000","2,488,277,000,000","4,024,697,000,000","861,912,000,000","2,509,239,000,000","2,506,465,000,000","2,527,506,000,000","2,407,263,000,000","2,613,956,000,000","2,052,148,000,000","3,477,581,000,000","2,462,977,000,000","2,484,717,000,000","1,926,615,000,000","3,390,880,000,000","2,170,292,000,000","2,164,037,000,000","2,219,491,000,000","4,753,769,000,000","1,916,106,000,000","2,072,804,000,000","2,194,393,000,000","1,512,365,000,000","2,311,525,000,000","2,397,413,000,000","2,303,126,000,000","3,092,992,000,000","2,338,391,000,000","1,731,366,000,000","2,078,732,000,000",,"6,220,342,000,000",,,,,,,,,,,,,,,"3,405,555,552,150",,,,"2,846,250,000,000",,,,,,,,"1,619,780,802,627.86",
	OperatingRevenue,"25,247,560,000,000","6,235,112,000,000","6,353,847,000,000","6,270,646,000,000","6,387,955,000,000","14,834,863,000,000","5,941,777,000,000","6,064,590,000,000","5,856,095,000,000","6,066,471,000,000","5,538,933,000,000","5,738,843,000,000","2,488,277,000,000","4,024,697,000,000","861,912,000,000","2,509,239,000,000","2,506,465,000,000","2,527,506,000,000","2,407,263,000,000","2,613,956,000,000","2,052,148,000,000","3,477,581,000,000","2,462,977,000,000","2,484,717,000,000","1,926,615,000,000","3,390,880,000,000","2,170,292,000,000","2,164,037,000,000","2,219,491,000,000","4,753,769,000,000","1,916,106,000,000","2,072,804,000,000","2,194,393,000,000","1,512,365,000,000","2,311,525,000,000","2,397,413,000,000","2,303,126,000,000","3,092,992,000,000","2,338,391,000,000","1,731,366,000,000","2,078,732,000,000",,"6,220,342,000,000",,,,,,,,,,,,,,,"3,405,555,552,150",,,,"2,846,250,000,000",,,,,,,,"1,619,780,802,627.86",
PretaxIncome,"4,533,986,000,000","749,091,000,000","1,260,147,000,000","1,358,805,000,000","1,165,943,000,000","326,134,000,000","1,328,874,000,000","1,303,106,000,000","1,343,418,000,000","726,632,000,000","1,199,523,000,000","1,247,011,000,000","965,258,000,000","396,638,000,000","761,857,000,000","750,353,000,000","719,807,000,000","429,302,000,000","558,701,000,000","434,973,000,000","741,719,000,000","299,224,000,000","585,456,000,000","522,767,000,000","498,427,000,000","368,679,000,000","575,473,000,000","323,403,000,000","547,736,000,000","214,185,000,000","510,846,000,000","729,992,000,000","806,305,000,000","375,944,000,000","782,750,000,000","1,085,605,000,000","1,016,507,000,000","-836,889,000,000","156,453,000,000","-277,860,000,000","669,880,000,000",,"869,723,000,000",,,,,,,,,,,,,,,"211,111,110,900",,,,"-193,750,000,000",,,,,,,,"477,193,255,063.76",
TaxProvision,"1,220,787,000,000","213,974,000,000","319,462,000,000","367,338,000,000","320,013,000,000","133,347,000,000","374,901,000,000","356,309,000,000","375,029,000,000","172,911,000,000","302,121,000,000","242,262,000,000","77,669,000,000","-66,508,000,000","184,440,000,000","154,970,000,000","165,573,000,000","78,123,000,000","142,150,000,000","88,552,000,000","128,564,000,000","115,815,000,000","135,528,000,000","123,838,000,000","124,902,000,000","109,714,000,000","148,907,000,000","158,145,000,000","134,820,000,000","67,296,000,000","101,777,000,000","180,844,000,000","199,423,000,000","148,441,000,000","192,019,000,000","254,721,000,000","237,053,000,000","300,981,000,000","46,206,000,000","-79,802,000,000","36,723,000,000",,"238,220,000,000",,,,,,,,,,,,,,,"59,999,999,940",,,,"-73,750,000,000",,,,,,,,"146,905,317,631.04",
NetIncomeCommonStockholders,"3,311,828,000,000","534,700,000,000","940,284,000,000","991,192,000,000","845,652,000,000","192,439,000,000","953,769,000,000","946,751,000,000","968,232,000,000","585,775,000,000","897,504,000,000","990,081,000,000","870,101,000,000","453,931,000,000","564,446,000,000","580,363,000,000","545,004,000,000","346,604,000,000","407,115,000,000","339,634,000,000","604,965,000,000","179,364,000,000","446,294,000,000","392,219,000,000","373,525,000,000","258,965,000,000","426,566,000,000","163,520,000,000","411,458,000,000","142,166,000,000","410,103,000,000","547,458,000,000","603,186,000,000","219,069,000,000","579,072,000,000","817,335,000,000","779,454,000,000","-1,075,747,000,000","90,623,000,000","-217,428,000,000","633,157,000,000",,"631,503,000,000","1,015,551,425,547.2","913,893,597,385.32","905,888,564,118.67","899,230,010,422.03","619,234,434,068.91","776,228,159,431.56","788,981,009,693.14","808,168,291,332.05","582,017,786,688.44","701,801,672,756.84","672,326,000,000","672,326,000,000","580,099,333,750","119,999,999,880","151,111,110,960","152,222,222,070","-533,116,250,460","-422,222,221,800","-120,000,000,000","73,750,000,000","262,459,842,397.68","329,740,000,000","329,740,000,000","349,856,764,730.4","187,306,154,905.2","138,366,491,770.24","330,287,937,432.72","338,183,267,355"
	NetIncome,"3,311,828,000,000","534,700,000,000","940,284,000,000","991,192,000,000","845,652,000,000","192,439,000,000","953,769,000,000","946,751,000,000","968,232,000,000","585,775,000,000","897,504,000,000","990,081,000,000","870,101,000,000","453,931,000,000","564,446,000,000","580,363,000,000","545,004,000,000","346,604,000,000","407,115,000,000","339,634,000,000","604,965,000,000","179,364,000,000","446,294,000,000","392,219,000,000","373,525,000,000","258,965,000,000","426,566,000,000","163,520,000,000","411,458,000,000","142,166,000,000","410,103,000,000","547,458,000,000","603,186,000,000","219,069,000,000","579,072,000,000","817,335,000,000","779,454,000,000","-1,075,747,000,000","90,623,000,000","-217,428,000,000","633,157,000,000",,"631,503,000,000","1,015,551,425,547.2","913,893,597,385.32","905,888,564,118.67","899,230,010,422.03","619,234,434,068.91","776,228,159,431.56","788,981,009,693.14","808,168,291,332.05","582,017,786,688.44","701,801,672,756.84","672,326,000,000","672,326,000,000","580,099,333,750","119,999,999,880","151,111,110,960","152,222,222,070","-533,116,250,460","-422,222,221,800","-120,000,000,000","73,750,000,000","262,459,842,397.68","329,740,000,000","329,740,000,000","349,856,764,730.4","187,306,154,905.2","138,366,491,770.24","330,287,937,432.72","338,183,267,355"
		NetIncomeIncludingNoncontrollingInterests,"3,313,199,000,000","535,117,000,000","940,685,000,000","991,467,000,000","845,930,000,000","192,787,000,000","953,973,000,000","946,797,000,000","968,389,000,000","553,721,000,000","897,402,000,000","1,004,749,000,000","887,589,000,000","463,146,000,000","577,417,000,000","595,383,000,000","554,234,000,000","351,179,000,000","416,551,000,000","346,421,000,000","613,155,000,000","183,409,000,000","449,928,000,000","398,929,000,000","373,525,000,000","258,965,000,000","426,566,000,000","165,258,000,000","412,916,000,000","146,889,000,000","409,069,000,000","549,148,000,000","606,882,000,000","227,503,000,000","590,731,000,000","830,884,000,000","779,454,000,000","-1,137,870,000,000","110,247,000,000","-198,058,000,000","633,157,000,000",,"631,503,000,000","1,019,815,470,500.06","913,893,597,385.32","905,888,564,118.67","899,230,010,422.03","623,761,179,375.84","776,228,159,431.56","788,981,009,693.14","808,168,291,332.05","584,694,912,701.15","701,801,672,756.84","672,326,000,000","672,326,000,000","582,541,333,750","119,999,999,880","151,111,110,960","152,222,222,070","-587,790,000,460","-422,222,221,800","-120,000,000,000","73,750,000,000","51,298,513,881.1","329,740,000,000","329,740,000,000","349,856,764,730.4","271,566,339,080.1","138,366,491,770.24","330,287,937,432.72","338,183,267,355"
			NetIncomeContinuousOperations,"3,313,199,000,000","535,117,000,000","940,685,000,000","991,467,000,000","845,930,000,000","192,787,000,000","953,973,000,000","946,797,000,000","968,389,000,000","553,721,000,000","897,402,000,000","1,004,749,000,000","887,589,000,000","463,146,000,000","577,417,000,000","595,383,000,000","554,234,000,000","351,179,000,000","416,551,000,000","346,421,000,000","613,155,000,000","183,409,000,000","449,928,000,000","398,929,000,000","373,525,000,000","258,965,000,000","426,566,000,000","165,258,000,000","412,916,000,000","146,889,000,000","409,069,000,000","549,148,000,000","606,882,000,000","227,503,000,000","590,731,000,000","830,884,000,000","779,454,000,000","-1,137,870,000,000","110,247,000,000","-198,058,000,000","633,157,000,000",,"631,503,000,000","1,015,551,425,547.2","913,893,597,385.32","905,888,564,118.67","899,230,010,422.03","620,843,588,681.25","776,228,159,431.56","788,981,009,693.14","808,168,291,332.05","582,017,786,688.44","701,801,672,756.84","672,326,000,000","672,326,000,000","580,099,333,750","119,999,999,880","151,111,110,960","152,222,222,070","-533,116,250,460","-422,222,221,800","-120,000,000,000","73,750,000,000","242,096,154,708.28","304,155,000,000","304,155,000,000","322,710,876,073.8","142,085,392,639.35","138,366,491,770.24","330,287,937,432.72","338,183,267,355"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,363,687,689.4","25,585,000,000","25,585,000,000","27,145,888,656.6",,,,
		MinorityInterests,"-1,371,000,000","-417,000,000","-401,000,000","-275,000,000","-278,000,000","-348,000,000","-204,000,000","-46,000,000","-157,000,000",,"102,000,000","-14,668,000,000","-17,488,000,000","-9,215,000,000","-12,971,000,000","-15,020,000,000","-9,230,000,000","-4,575,000,000","-9,436,000,000","-6,787,000,000","-8,190,000,000","-4,045,000,000","-3,634,000,000","-6,710,000,000","0","0","0","-1,738,000,000","-1,458,000,000","-4,723,000,000","1,034,000,000","-1,690,000,000","-3,696,000,000","-8,434,000,000","-11,659,000,000","-13,549,000,000",,"62,123,000,000","-19,624,000,000","-19,370,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
