name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
TotalLiabilitiesNetMinorityInterest,"18,156,438,000","16,592,809,000","11,594,014,000","13,188,912,000","12,858,816,000","12,428,831,000","11,264,682,000","11,519,181,000","11,396,582,000","11,752,402,000","10,733,777,000","9,660,298,000","8,224,938,000","7,301,513,000","5,701,306,000","7,159,564,000","7,059,845,000","6,503,837,000","6,612,198,000","4,212,550,000","3,119,355,000","3,231,318,000","3,321,000,000","1,757,400,000","1,238,100,000","1,019,400,000","1,079,000,000","1,377,200,000","1,227,800,000"
	CurrentLiabilities,"7,952,896,000","7,112,165,000","4,790,264,000","4,441,601,000","4,292,827,000","3,849,247,000","4,267,010,000","4,066,151,000","3,067,642,000","3,444,498,000","2,749,030,000","2,674,225,000","2,339,295,000","1,872,368,000","1,988,782,000","2,273,502,000","1,504,527,000","1,169,933,000","1,112,649,000","912,380,000","905,264,000","890,155,000","889,400,000","403,500,000","308,600,000","272,300,000","351,800,000","400,100,000","340,800,000"
		PayablesAndAccruedExpenses,"1,712,141,000","1,462,523,000","1,310,604,000","1,043,801,000","998,998,000","1,015,717,000","1,038,953,000","999,675,000","992,748,000","962,496,000","899,865,000","1,061,473,000","756,569,000","602,003,000","502,905,000","493,046,000","459,700,000","479,434,000","427,983,000","359,043,000","312,145,000","762,236,000","108,500,000","69,100,000","71,500,000","63,200,000","63,000,000","57,000,000","53,600,000"
			Payables,"563,706,000","488,212,000","360,113,000","305,313,000","302,072,000","331,505,000","372,226,000","351,587,000","304,623,000","249,047,000","264,554,000","245,225,000","222,895,000","193,794,000","159,910,000","162,973,000","187,756,000","171,153,000","144,070,000","158,143,000","103,041,000","115,833,000","108,500,000","69,100,000","71,500,000","63,200,000","63,000,000","57,000,000","53,600,000"
				AccountsPayable,"563,706,000","488,212,000","360,113,000","305,313,000","302,072,000","331,505,000","372,226,000","351,587,000","304,623,000","249,047,000","264,554,000","245,225,000","222,895,000","193,794,000","159,910,000","162,973,000","187,756,000","171,153,000","144,070,000","158,143,000","103,041,000","115,833,000","108,500,000","69,100,000","71,500,000","63,200,000","63,000,000","57,000,000","53,600,000"
			CurrentAccruedExpenses,"1,148,435,000","974,311,000","950,491,000","738,488,000","696,926,000","684,212,000","666,727,000","648,088,000","688,125,000","713,449,000","635,311,000","816,248,000","533,674,000","408,209,000","342,995,000","330,073,000","271,944,000","308,281,000","283,913,000","200,900,000","209,104,000","646,403,000",,,,,,,
				InterestPayable,"70,090,000","74,550,000","47,469,000","46,166,000","38,325,000","49,074,000","103,025,000","106,366,000","123,853,000","160,906,000","147,547,000","128,879,000",,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"2,717,742,000","2,422,329,000","1,188,514,000","1,285,735,000","899,677,000","799,630,000","1,563,378,000","1,519,483,000","638,891,000","1,198,929,000","756,215,000","471,893,000","351,725,000","373,422,000","1,485,877,000","905,374,000","315,232,000","122,544,000","238,581,000","109,926,000","128,086,000","127,919,000","141,000,000","13,100,000","6,200,000",,"70,900,000","143,800,000","130,600,000"
			CurrentDebt,"2,620,766,000","2,422,329,000","1,188,514,000","1,285,735,000","899,677,000","799,630,000","1,563,378,000","1,519,483,000","638,891,000","1,198,929,000","756,215,000","471,893,000","351,725,000","373,422,000","1,485,877,000","905,374,000","315,232,000","122,544,000","238,581,000","109,926,000","128,086,000","127,919,000","141,000,000","13,100,000","6,200,000",,"70,900,000","143,800,000","130,600,000"
				CommercialPaper,"1,434,180,000","775,488,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherCurrentBorrowings,"1,186,586,000","1,646,841,000","1,188,514,000","1,285,735,000","899,677,000","799,630,000",,,,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"96,976,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"3,428,138,000","3,148,837,000","2,243,682,000","1,965,473,000","1,742,286,000","1,766,914,000","1,664,679,000","1,546,993,000",,"1,283,073,000",,,,,,,,,,,,,,,,,,,
			CurrentDeferredRevenue,"3,428,138,000","3,148,837,000","2,243,682,000","1,965,473,000","1,742,286,000","1,766,914,000","1,664,679,000","1,546,993,000",,"1,283,073,000",,,,,,,,,,,,,,,,,,,
		OtherCurrentLiabilities,"94,875,000","78,476,000","47,464,000","146,592,000","651,866,000","266,986,000",,,"1,436,003,000","1,283,073,000","1,092,950,000","1,140,859,000","1,231,001,000","896,943,000",,"875,082,000","729,595,000","567,955,000","446,085,000","443,411,000","465,033,000",,"639,900,000","321,300,000","230,900,000","209,100,000","217,900,000","199,300,000","156,600,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"10,203,542,000","9,480,644,000","6,803,750,000","8,747,311,000","8,565,989,000","8,579,584,000","6,997,672,000","7,453,030,000","8,328,940,000","8,307,904,000","7,984,747,000","6,986,073,000","5,885,643,000","5,429,145,000","3,712,524,000","4,886,062,000","5,555,318,000","5,333,904,000","5,499,549,000","3,300,170,000","2,214,091,000","2,341,163,000","2,431,600,000","1,353,900,000","929,500,000","747,100,000","727,200,000","977,100,000","887,000,000"
		LongTermDebtAndCapitalLeaseObligation,"9,015,751,000","8,355,370,000","6,350,937,000","8,101,701,000","7,767,378,000","7,644,318,000","6,511,426,000","6,970,464,000","7,856,962,000","7,951,187,000","7,663,555,000","6,539,510,000","5,346,547,000","5,040,322,000","3,553,892,000","4,826,570,000","5,520,572,000","5,322,294,000","5,407,531,000","3,300,170,000","2,214,091,000","2,341,163,000","2,431,700,000","1,353,900,000","929,500,000","747,100,000","727,300,000","977,200,000","887,100,000"
			LongTermDebt,"8,414,110,000","8,355,370,000","6,350,937,000","8,101,701,000","7,767,378,000","7,644,318,000","6,511,426,000","6,970,464,000","7,856,962,000","7,951,187,000","7,663,555,000","6,539,510,000","5,346,547,000","5,040,322,000","3,553,892,000","4,826,570,000","5,520,572,000","5,322,294,000","5,407,531,000","3,300,170,000","2,214,091,000","2,341,163,000","2,431,700,000","1,353,900,000","929,500,000","747,100,000","727,300,000","977,200,000","887,100,000"
			LongTermCapitalLeaseObligation,"601,641,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PreferredSecuritiesOutsideStockEquity,"569,981,000","542,020,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"617,810,000","583,254,000","452,813,000","645,610,000","798,611,000","935,266,000","486,246,000","482,566,000","471,978,000","356,717,000","321,192,000","446,563,000","539,096,000","388,823,000","158,632,000","59,492,000","34,746,000","11,610,000","92,018,000",,,,"-100,000",,,,"-100,000","-100,000","-100,000"
TotalEquityGrossMinorityInterest,"12,163,846,000","11,105,461,000","10,702,303,000","9,121,412,000","8,063,039,000","8,284,359,000","8,808,265,000","8,308,749,000","8,407,823,000","7,942,502,000","7,499,717,000","6,803,012,000","6,757,343,000","6,091,575,000","5,554,465,000","4,804,520,000","4,262,897,000","4,034,694,000","3,756,584,000","3,615,915,000","3,261,156,000","2,454,758,000","2,018,700,000","1,084,900,000","965,100,000","845,600,000","732,800,000","464,500,000","403,900,000"
	StockholdersEquity,"12,163,846,000","11,105,461,000","10,702,303,000","9,121,412,000","8,063,039,000","8,284,359,000","8,808,265,000","8,308,749,000","8,407,823,000","7,942,502,000","7,499,717,000","6,803,012,000","6,757,343,000","6,091,575,000","5,554,465,000","4,804,520,000","4,262,897,000","4,034,694,000","3,756,584,000","3,615,915,000","3,261,156,000","2,454,758,000","2,018,700,000","1,084,900,000","965,100,000","845,600,000","732,800,000","464,500,000","403,900,000"
		CapitalStock,"2,365,000","2,358,000","2,352,000","2,346,000","2,339,000","2,331,000","2,308,000","2,291,000","2,276,000","2,262,000","0","2,239,000","2,235,000","2,225,000","2,165,000","2,012,000","1,961,000","1,930,000","1,923,000","1,921,000","174,012,000","174,190,000","1,600,000","600,000","600,000","600,000",,,
			PreferredStock,"0","0","0","0",,"0","0","0","0","0","0","0","0",,,,,,,"0","172,200,000","172,500,000",,,,,,,
			CommonStock,"2,365,000","2,358,000","2,352,000","2,346,000","2,339,000","2,331,000","2,308,000","2,291,000","2,276,000","2,262,000","0","2,239,000","2,235,000","2,225,000","2,165,000","2,012,000","1,961,000","1,930,000","1,923,000","1,921,000","1,812,000","1,690,000","1,600,000","600,000","600,000","600,000",,,
		RetainedEarnings,"11,523,326,000","10,263,282,000","9,022,405,000","7,860,341,000","6,944,862,000","6,575,248,000","6,054,952,000","5,744,791,000","5,823,430,000","5,301,748,000","4,754,950,000","4,592,529,000","4,114,877,000","3,639,211,000","3,132,286,000","2,533,265,000","2,162,195,000","1,982,580,000","1,731,423,000","1,576,921,000","1,225,976,000","923,691,000","660,700,000","535,500,000","419,000,000","300,600,000","189,300,000","114,700,000","54,000,000"
		AdditionalPaidInCapital,"3,493,959,000","3,420,900,000","3,390,117,000","3,328,517,000","3,297,619,000","3,253,552,000","3,159,038,000","3,109,887,000","3,071,759,000","3,027,130,000","2,973,495,000","2,952,540,000","2,942,935,000","2,904,041,000","2,706,236,000","2,206,157,000","2,100,612,000","2,053,649,000","2,045,904,000","2,043,111,000","1,866,647,000","1,361,796,000","1,188,300,000","552,600,000","549,000,000","547,400,000",,,
		TreasuryStock,"2,058,091,000","1,953,345,000","1,378,306,000","1,153,308,000","853,348,000","649,778,000","413,704,000","413,704,000","413,704,000","413,704,000","413,704,000","424,360,000","423,659,000","423,100,000","257,959,000","8,277,000","7,717,000","7,158,000","6,598,000","6,038,000","5,479,000","4,919,000","4,400,000","3,800,000","3,600,000","3,000,000",,,
		GainsLossesNotAffectingRetainedEarnings,"-797,713,000","-627,734,000","-334,265,000","-916,484,000","-1,328,433,000","-896,994,000","5,671,000","-134,516,000","-75,938,000","25,066,000","182,733,000","-319,936,000","120,955,000","-30,802,000","-28,263,000","71,363,000","5,846,000","3,693,000","-16,068,000",,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,"184,976,000",,,,,,,,,,,,"172,500,000",,"100,000",,"543,500,000","349,800,000","349,900,000"
TotalCapitalization,"20,577,956,000","19,460,831,000","17,053,240,000","17,223,113,000","15,830,417,000","15,928,677,000","15,319,691,000","15,279,213,000","16,264,785,000","15,893,689,000","15,163,272,000","13,342,522,000","12,103,890,000","11,131,897,000","9,108,357,000","9,631,090,000","9,783,469,000","9,356,988,000","9,164,115,000","6,916,085,000","5,475,247,000","4,795,921,000","4,450,400,000","2,438,800,000","1,894,600,000","1,592,700,000","1,460,100,000","1,441,700,000","1,291,000,000"
PreferredStockEquity,,,,,,,,,,,,,,,,,,,,,"172,200,000","172,500,000",,,,,,,
CommonStockEquity,"12,163,846,000","11,105,461,000","10,702,303,000","9,121,412,000","8,063,039,000","8,284,359,000","8,808,265,000","8,308,749,000","8,407,823,000","7,942,502,000","7,499,717,000","6,803,012,000","6,757,343,000","6,091,575,000","5,554,465,000","4,804,520,000","4,262,897,000","4,034,694,000","3,756,584,000","3,615,915,000","3,088,956,000","2,282,258,000","2,018,700,000","1,084,900,000","965,100,000","845,600,000","732,800,000","464,500,000","403,900,000"
CapitalLeaseObligations,"698,617,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"10,289,627,000","9,727,108,000","10,413,791,000","8,833,026,000","7,776,275,000","7,863,817,000","8,369,034,000","7,875,774,000","7,661,286,000","7,183,174,000","6,707,344,000","6,023,766,000","5,959,552,000","5,370,061,000","5,271,332,000","4,525,959,000","3,984,336,000","3,756,133,000","3,478,023,000","3,326,941,000","2,961,768,000","2,144,957,000","1,698,500,000","754,300,000","624,100,000","494,100,000","370,900,000","92,000,000","20,700,000"
WorkingCapital,"-6,790,268,000","-5,870,121,000","-3,947,236,000","-3,693,296,000","-3,455,805,000","-3,048,164,000","-3,310,636,000","-3,178,091,000","-2,098,354,000","-2,429,427,000","-1,722,639,000","-1,696,888,000","-1,346,504,000","-1,370,464,000","-1,611,772,000","-1,412,896,000","-929,977,000","-722,190,000","-226,535,000","-601,661,000","-710,887,000","-603,824,000","-678,300,000","-291,100,000","-220,800,000","-154,200,000","-270,800,000","-293,100,000","-249,200,000"
InvestedCapital,"23,198,722,000","21,883,160,000","18,241,754,000","18,508,848,000","16,730,094,000","16,728,307,000","16,883,069,000","16,798,696,000","16,903,676,000","17,092,618,000","15,919,487,000","13,814,415,000","12,455,615,000","11,505,319,000","10,594,234,000","10,536,464,000","10,098,701,000","9,479,532,000","9,402,696,000","7,026,011,000","5,431,133,000","4,751,340,000","4,591,400,000","2,451,900,000","1,900,800,000","1,592,700,000","1,531,000,000","1,585,500,000","1,421,600,000"
TangibleBookValue,"10,289,627,000","9,727,108,000","10,413,791,000","8,833,026,000","7,776,275,000","7,863,817,000","8,369,034,000","7,875,774,000","7,661,286,000","7,183,174,000","6,707,344,000","6,023,766,000","5,959,552,000","5,370,061,000","5,271,332,000","4,525,959,000","3,984,336,000","3,756,133,000","3,478,023,000","3,326,941,000","2,789,568,000","1,972,457,000","1,698,500,000","754,300,000","624,100,000","494,100,000","370,900,000","92,000,000","20,700,000"
TotalDebt,"11,733,493,000","10,777,699,000","7,539,451,000","9,387,436,000","8,667,055,000","8,443,948,000","8,074,804,000","8,489,947,000","8,495,853,000","9,150,116,000","8,419,770,000","7,011,403,000","5,698,272,000","5,413,744,000","5,039,769,000","5,731,944,000","5,835,804,000","5,444,838,000","5,646,112,000","3,410,096,000","2,342,177,000","2,469,082,000","2,572,700,000","1,367,000,000","935,700,000","747,100,000","798,200,000","1,121,000,000","1,017,700,000"
NetDebt,"10,791,138,000","10,489,847,000","7,419,339,000","9,254,833,000","8,545,490,000","8,254,707,000","7,870,117,000","8,295,092,000","8,233,667,000","8,730,187,000","8,135,151,000","6,608,525,000","5,467,488,000","5,309,224,000","4,914,384,000","5,103,366,000","5,505,718,000","5,202,254,000","4,918,934,000","3,232,286,000","2,278,707,000","2,296,161,000","2,461,900,000","1,326,600,000","904,400,000","723,200,000","765,900,000","1,064,500,000","990,300,000"
ShareIssued,"236,547,842","235,847,683","235,198,901","234,613,486","233,905,166","233,106,019","230,782,315","229,080,109","227,366,165","226,211,731","224,258,247","223,899,076","212,482,865","211,503,945","210,361,457","200,656,584","196,106,658","192,982,513","192,310,198","192,122,088","180,822,000","168,945,222","161,814,000","127,346,000","126,870,000","126,770,000","126,610,000","103,572,000","103,572,000"
OrdinarySharesNumber,"208,800,994","209,016,918","213,337,593","214,594,249","217,993,195","219,297,336","220,473,632","218,771,426","217,057,482","215,903,048","213,949,564","212,822,375","212,482,865","211,503,945","210,361,457","200,656,584","196,106,658","192,982,513","192,310,198","192,122,088","180,822,000","168,945,222","161,814,000","127,346,000","126,870,000","126,770,000","126,610,000","103,572,000","103,572,000"
TreasurySharesNumber,"27,746,848","26,830,765","21,861,308","20,019,237","15,911,971","13,808,683","10,308,683","10,308,683","10,308,683","10,308,683","10,308,683","11,076,701",,,,,,,,,,,,,,,,,
