Date,Open,High,Low,Close,Adj Close,Volume
2015-05-12,57.730000,58.840000,57.400002,58.770000,55.219555,910900
2015-05-13,58.570000,58.910000,58.360001,58.849998,55.294720,1016600
2015-05-14,59.009998,59.410000,58.779999,59.400002,55.811497,481800
2015-05-15,59.560001,59.610001,58.250000,58.689999,55.144386,550300
2015-05-18,58.759998,58.930000,58.259998,58.310001,54.787342,768900
2015-05-19,58.509998,58.900002,58.060001,58.450001,54.918884,712700
2015-05-20,58.369999,58.759998,58.049999,58.150002,54.637012,513600
2015-05-21,58.209999,58.209999,57.759998,58.060001,54.552441,350400
2015-05-22,58.490002,59.240002,58.400002,59.160000,55.585991,469200
2015-05-26,58.959999,59.320000,58.509998,58.810001,55.257145,572700
2015-05-27,58.810001,58.910000,58.160000,58.380001,55.049679,539200
2015-05-28,58.320000,58.709999,58.020000,58.430000,55.096832,482700
2015-05-29,58.439999,58.720001,57.840000,58.520000,55.181698,333600
2015-06-01,58.730000,58.759998,57.939999,58.060001,54.747944,471300
2015-06-02,57.720001,58.000000,57.169998,57.349998,54.078442,465600
2015-06-03,57.430000,58.130001,57.099998,57.419998,54.144455,618700
2015-06-04,57.439999,57.590000,56.980000,57.470001,54.191593,447600
2015-06-05,57.070000,57.599998,56.970001,57.099998,53.842705,384800
2015-06-08,57.630001,58.000000,57.250000,57.389999,54.116169,465700
2015-06-09,57.230000,57.840000,57.029999,57.590000,54.304749,305800
2015-06-10,57.790001,58.279999,57.369999,58.040001,54.729076,570000
2015-06-11,58.250000,58.590000,58.029999,58.570000,55.228851,487500
2015-06-12,58.560001,58.560001,57.889999,58.310001,54.983681,412300
2015-06-15,57.990002,59.470001,57.450001,59.470001,56.077503,820900
2015-06-16,59.599998,59.599998,58.930000,59.200001,55.822906,542400
2015-06-17,59.439999,59.639999,58.970001,59.259998,55.879486,611300
2015-06-18,59.150002,59.500000,58.599998,58.650002,55.304279,418000
2015-06-19,58.770000,58.849998,58.259998,58.430000,55.096832,828700
2015-06-22,58.660000,58.660000,57.860001,58.400002,55.068546,446000
2015-06-23,58.470001,58.810001,57.790001,57.900002,54.597065,444300
2015-06-24,57.939999,58.009998,57.040001,57.119999,53.861557,409300
2015-06-25,57.060001,57.560001,57.060001,57.560001,54.276463,388100
2015-06-26,57.480000,57.669998,57.040001,57.299999,54.031300,638600
2015-06-29,56.820000,57.240002,56.419998,57.060001,53.804993,740900
2015-06-30,57.450001,57.639999,56.810001,57.220001,53.955868,723800
2015-07-01,57.410000,58.570000,57.410000,58.480000,55.143974,706100
2015-07-02,58.889999,59.689999,58.320000,59.430000,56.039787,849800
2015-07-06,59.060001,60.389999,58.680000,60.389999,56.945030,981900
2015-07-07,60.570000,60.720001,59.320000,60.230000,56.794147,587900
2015-07-08,60.020000,60.480000,59.930000,60.330002,56.888451,759500
2015-07-09,60.730000,61.480000,60.590000,60.889999,57.416496,478000
2015-07-10,61.580002,61.900002,61.150002,61.849998,58.321739,446000
2015-07-13,62.000000,62.369999,60.040001,60.389999,56.945030,990800
2015-07-14,60.500000,61.080002,60.070000,60.759998,57.293919,503300
2015-07-15,61.200001,61.520000,60.500000,61.419998,57.916267,441900
2015-07-16,61.459999,61.689999,60.660000,61.570000,58.057709,514600
2015-07-17,61.529999,61.919998,61.169998,61.919998,58.387745,488800
2015-07-20,61.889999,61.959999,61.410000,61.590000,58.076576,331700
2015-07-21,61.680000,61.900002,61.080002,61.150002,57.661678,295800
2015-07-22,61.220001,62.070000,61.029999,62.049999,58.510319,424300
2015-07-23,62.279999,62.299999,61.380001,61.419998,57.916267,558000
2015-07-24,61.150002,61.939999,61.090000,61.930000,58.397179,461500
2015-07-27,61.759998,61.840000,60.590000,60.790001,57.322205,408000
2015-07-28,61.090000,61.090000,60.259998,60.349998,56.907310,402100
2015-07-29,60.220001,60.970001,60.169998,60.880001,57.407070,325900
2015-07-30,60.980000,61.959999,60.590000,61.669998,58.152008,634900
2015-07-31,61.799999,62.750000,61.130001,61.980000,58.444317,525500
2015-08-03,61.919998,62.570000,61.680000,62.349998,58.793217,607100
