name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995
TotalRevenue,"65,214,000,000","13,873,000,000","16,215,000,000","16,686,000,000","18,440,000,000","18,540,000,000","20,056,000,000","19,695,000,000","18,139,000,000","17,932,000,000","17,545,000,000","15,684,000,000","15,643,000,000","18,047,000,000","15,807,000,000","13,118,000,000","13,416,000,000","12,357,000,000","13,889,000,000","18,807,000,000","22,193,000,000","23,786,000,000","26,691,000,000","26,600,000,000","27,353,000,000","29,203,000,000","25,998,000,000","29,423,000,000","28,121,000,000","31,165,000,000","32,523,000,000","31,722,000,000","30,578,000,000","34,044,000,000","30,388,000,000","26,169,000,000","24,470,000,000","25,089,000,000","28,321,000,000","22,915,000,000","19,231,000,000","29,012,000,000","22,361,000,000","19,475,000,000","31,695,000,000","24,101,000,000","25,285,000,000","28,161,000,000","27,345,000,000","28,483,000,000","23,095,325,640","22,981,752,150","21,065,287,780","21,059,987,040","20,972,094,910","20,883,303,880","22,363,577,600","23,572,185,720","21,887,920,030","19,946,066,430","16,375,714,110","16,241,687,220","8,376,222,680","13,753,086,360","19,118,668,800","19,114,593,000","11,768,039,010","14,988,355,200","13,150,503,410","13,139,329,000","12,379,101,050","12,275,464,520","12,123,490,400","13,818,081,200","13,637,622,980","12,135,073,500","13,094,381,400","12,920,062,900","12,329,079,520","12,223,122,120","11,309,603,130","11,271,789,900","9,662,750,590","7,835,775,840","6,987,803,550","6,720,416,430","7,174,564,854","7,038,045,322","7,554,033,725","7,701,340,493","7,986,140,358","7,738,851,904","7,617,261,968","7,397,250,256","7,700,614,400","7,603,183,970","7,617,803,652","7,556,002,269","7,385,342,740","6,875,067,160","6,750,980,144","6,783,662,976"
	OperatingRevenue,"65,214,000,000","13,873,000,000","16,215,000,000","16,686,000,000","18,440,000,000","18,540,000,000","20,056,000,000","19,695,000,000","18,139,000,000","17,932,000,000","17,545,000,000","15,684,000,000","15,643,000,000","18,047,000,000","15,807,000,000","13,118,000,000","13,416,000,000","12,357,000,000","13,889,000,000","18,807,000,000","22,193,000,000","23,786,000,000","26,691,000,000","26,600,000,000","27,353,000,000","29,203,000,000","25,998,000,000","29,423,000,000","28,121,000,000","31,165,000,000","32,523,000,000","31,494,000,000","30,063,000,000","33,475,000,000","31,035,000,000","26,112,000,000","24,118,000,000","24,804,000,000","28,321,000,000","22,915,000,000","19,464,000,000","28,779,000,000","22,361,000,000","19,475,000,000","31,695,000,000","24,101,000,000","25,285,000,000","28,161,000,000","27,345,000,000","28,483,000,000","22,266,794,680","22,981,752,150","21,065,287,780","21,059,987,040","20,188,643,450","20,883,303,880","22,363,577,600","23,572,185,720","21,090,047,080","19,946,066,430","16,214,657,760","16,241,687,220","8,058,938,980","13,318,024,980","18,840,743,040","19,114,593,000","10,856,492,570","14,988,355,200","12,943,655,230","12,932,482,500","12,103,557,460","12,003,058,980","11,857,748,000","13,515,194,000","13,070,547,670","11,862,843,900","12,903,772,200","12,920,062,900","12,329,079,520","12,223,122,120","11,309,603,130","11,271,789,900","9,662,750,590","7,835,775,840","6,987,803,550","6,720,416,430","7,174,564,854","7,038,045,322","7,554,033,725","7,701,340,493","7,986,140,358","7,738,851,904","7,617,261,968","7,397,250,256","7,700,614,400","7,603,183,970","7,617,803,652","7,556,002,269","7,385,342,740","6,875,067,160","6,750,980,144","6,783,662,976"
CostOfRevenue,"57,246,000,000","13,549,000,000","14,113,000,000","14,250,000,000","15,334,000,000","15,283,000,000","17,004,000,000","15,552,000,000","15,387,000,000","14,667,000,000","15,508,000,000","14,002,000,000","14,391,000,000","15,452,000,000","14,311,000,000","12,564,000,000","12,787,000,000","12,006,000,000","19,262,000,000","17,370,000,000","20,246,000,000","21,357,000,000","26,384,000,000","22,921,000,000","23,910,000,000","24,624,000,000","24,816,000,000","25,232,000,000","25,382,000,000","26,376,000,000","30,272,000,000","24,129,000,000","22,840,000,000","23,546,000,000","22,702,000,000","18,524,000,000","17,792,000,000","17,051,000,000","20,961,000,000","15,708,000,000","12,363,000,000","20,103,000,000","12,547,000,000","14,207,000,000","19,561,000,000","17,973,000,000",,,"17,207,000,000","20,359,000,000",,,"13,862,280,280",,,,"14,701,923,600",,,,"10,459,577,520",,,,"7,401,515,520",,,,"8,519,885,330",,,,"7,866,579,000",,,,"8,191,489,200",,,,"7,249,987,860",,,,"4,434,446,900",,,,,,,,,,,,,,,,,
GrossProfit,"7,968,000,000","324,000,000","2,102,000,000","2,436,000,000","3,106,000,000","3,257,000,000","3,052,000,000","4,143,000,000","2,752,000,000","3,265,000,000","2,037,000,000","1,682,000,000","1,252,000,000","2,595,000,000","1,496,000,000","554,000,000","629,000,000","351,000,000","-5,373,000,000","1,437,000,000","1,947,000,000","2,429,000,000","307,000,000","3,679,000,000","3,443,000,000","4,579,000,000","1,182,000,000","4,191,000,000","2,739,000,000","4,789,000,000","2,251,000,000","7,593,000,000","7,738,000,000","10,498,000,000","7,686,000,000","7,645,000,000","6,678,000,000","8,038,000,000","7,360,000,000","7,207,000,000","6,868,000,000","8,909,000,000","9,814,000,000","5,268,000,000","12,134,000,000","6,128,000,000",,,"10,138,000,000","8,124,000,000",,,"7,203,007,500",,,,"7,661,654,000",,,,"5,916,136,590",,,,"11,717,153,280",,,,"4,630,618,080",,,,"4,256,911,400",,,,"4,902,892,200",,,,"4,059,615,270",,,,"2,553,356,650",,,,,,,,,,,,,,,,,
OperatingExpense,"2,297,000,000","888,000,000","232,000,000","438,000,000","300,000,000","579,000,000","662,000,000","562,000,000","-93,000,000","717,000,000","-2,636,000,000","642,000,000","616,000,000","320,000,000","300,000,000","345,000,000","323,000,000","637,000,000","220,000,000","1,376,000,000","1,553,000,000","878,000,000","870,000,000","1,100,000,000","1,591,000,000","933,000,000","1,277,000,000","888,000,000","1,268,000,000","955,000,000","601,000,000","3,711,000,000","4,678,000,000","3,572,000,000","4,420,000,000","3,107,000,000","3,090,000,000","3,229,000,000","4,546,000,000","3,160,000,000","3,382,000,000","3,243,000,000","7,442,000,000","1,964,000,000","4,269,000,000","2,161,000,000","-51,587,000,000","21,885,000,000","4,414,000,000","1,947,000,000",,,"2,542,107,570",,,,"2,386,930,000",,,,"1,903,768,650",,,,"4,848,533,760",,,,"2,157,131,020",,,,"1,213,959,600",,,,"1,337,794,200",,,,"1,717,489,160",,,,"1,572,485,200",,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"3,060,000,000","838,000,000","738,000,000","705,000,000","779,000,000","774,000,000","752,000,000","790,000,000","707,000,000","844,000,000","687,000,000","702,000,000","778,000,000","784,000,000","741,000,000","709,000,000","736,000,000","720,000,000","650,000,000","1,328,000,000","1,395,000,000","1,419,000,000","1,324,000,000","1,297,000,000","1,375,000,000","1,341,000,000","1,540,000,000","1,194,000,000","1,353,000,000","1,227,000,000","1,192,000,000","1,178,000,000","1,145,000,000","1,225,000,000","1,325,000,000","1,162,000,000","1,057,000,000","1,045,000,000","1,495,000,000","1,091,000,000","1,080,000,000","1,119,000,000",,,,,,,,,,,"888,740,310",,,,"868,686,000",,,,"632,662,380",,,,"3,733,551,360",,,,"785,675,440",,,,"727,771,800",,,,"724,785,600",,,,"699,173,460",,,,"704,624,050",,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"3,060,000,000","838,000,000","738,000,000","705,000,000","779,000,000","774,000,000","752,000,000","790,000,000","707,000,000","844,000,000","687,000,000","702,000,000","778,000,000","784,000,000","741,000,000","709,000,000","736,000,000","720,000,000","650,000,000","1,328,000,000","1,395,000,000","1,419,000,000","1,324,000,000","1,297,000,000","1,375,000,000","1,341,000,000","1,540,000,000","1,194,000,000","1,353,000,000","1,227,000,000","1,192,000,000","1,178,000,000","1,145,000,000","1,225,000,000","1,325,000,000","1,162,000,000","1,057,000,000","1,045,000,000","1,495,000,000","1,091,000,000","1,080,000,000","1,119,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"3,060,000,000","838,000,000","738,000,000","705,000,000","779,000,000","774,000,000","752,000,000","790,000,000","707,000,000","844,000,000","687,000,000","702,000,000","778,000,000","784,000,000","741,000,000","709,000,000","736,000,000","720,000,000","650,000,000","1,328,000,000","1,395,000,000","1,419,000,000","1,324,000,000","1,297,000,000","1,375,000,000","1,341,000,000","1,540,000,000","1,194,000,000","1,353,000,000","1,227,000,000","1,192,000,000","1,178,000,000","1,145,000,000","1,225,000,000","1,325,000,000","1,162,000,000","1,057,000,000","1,045,000,000","1,495,000,000","1,091,000,000","1,080,000,000","1,119,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,533,000,000","3,533,000,000","2,347,000,000","3,095,000,000","1,945,000,000","2,033,000,000","2,184,000,000","3,051,000,000","2,069,000,000","2,335,000,000","2,124,000,000","3,261,000,000","1,964,000,000","2,211,000,000","2,178,000,000","3,514,000,000","1,912,000,000","2,443,000,000","1,946,000,000",,,"1,652,628,490",,,,"1,518,244,000",,,,"1,271,932,200",,,,"1,114,982,400",,,,"1,293,235,680",,,,"1,260,263,200",,,,"1,113,063,600",,,,"1,018,315,700",,,,"867,861,150",,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,964,000,000",,,,,,,,,"1,652,628,490",,,,"1,518,244,000",,,,"1,271,932,200",,,,"1,114,982,400",,,,"1,293,235,680",,,,"1,260,263,200",,,,"1,113,063,600",,,,"1,018,315,700",,,,"867,861,150",,,,,,,,,,,,,,,,,
