name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998
CommonStockEquity,"4,285,061,000","4,392,532,000","4,383,168,000","4,321,147,000","4,281,005,000","4,290,430,000","4,299,676,000","4,213,907,000","4,134,730,000","4,100,958,000","1,971,480,000","1,931,383,000","1,888,613,000","1,855,183,000","1,765,160,000","1,735,994,000","1,698,133,000","1,665,073,000","1,652,204,000","1,623,110,000","1,080,543,000","975,200,000","961,138,000","953,433,000","936,466,000","925,109,000","482,866,000","480,165,000","494,711,000","493,883,000","491,122,000","444,670,000","439,699,000","437,682,000","431,134,000","429,037,000","420,269,000","419,642,000","430,955,000","429,115,000","422,372,000","420,326,000","427,456,000","420,775,000","421,406,000","416,998,000","399,158,000","401,141,000","408,163,000","401,923,000","405,089,000","402,319,000","412,638,000","411,280,000","405,286,000","391,492,000","387,293,000","392,579,000","395,157,000","399,694,000","408,770,000","426,541,000","349,512,000","342,644,000","348,086,000","119,530,000","117,857,000","115,737,000","113,545,000","113,071,000","110,867,000","108,311,000","105,810,000","104,201,000","102,620,000","99,183,000","97,119,000","94,714,000","90,986,000","87,254,000","86,326,000","89,700,000","90,300,000","89,600,000","89,700,000","55,600,000"
CapitalLeaseObligations,"114,767,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,919,000","24,223,000","15,210,000",,"9,701,000","26,310,000","14,286,000","17,090,000","8,198,000","20,491,000","13,405,000","15,942,000","8,405,000","42,370,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"2,632,778,000","2,736,267,000","2,748,004,000","2,681,410,000","2,636,690,000","2,686,275,000","2,693,122,000","2,598,317,000","2,546,725,000","2,507,096,000","1,215,190,000","1,172,899,000","1,127,915,000","1,092,230,000","999,302,000","966,869,000","925,743,000","917,007,000","900,675,000","869,211,000","627,845,000","542,942,000","526,934,000","518,248,000","498,739,000","484,572,000","313,858,000","310,847,000","325,056,000","323,710,000","320,711,000","280,091,000","274,837,000","272,515,000","265,644,000","263,209,000","256,551,000","255,552,000","266,454,000","264,182,000","256,987,000","254,469,000","261,106,000","253,912,000","254,012,000","249,047,000","230,623,000","231,314,000","237,316,000","230,445,000","232,894,000","229,383,000","240,269,000","238,094,000","231,280,000","217,369,000","217,645,000","221,990,000","223,731,000","226,814,000","236,736,000","253,927,000","278,628,000","270,602,000","275,516,000","105,990,000","103,254,000","102,197,000","100,005,000","98,157,000","95,826,000","93,611,000","105,810,000","104,201,000","102,620,000","99,183,000","97,119,000","94,714,000","90,986,000","87,254,000","86,326,000","89,700,000","90,300,000","89,600,000","89,700,000","55,600,000"
InvestedCapital,"6,856,197,000","7,255,812,000","7,530,848,000","8,434,232,000","7,887,465,000","9,483,275,000","9,102,643,000","9,732,330,000","9,035,474,000","9,062,006,000","5,236,860,000","4,470,625,000","4,172,717,000","3,895,153,000","3,195,495,000","3,017,746,000","3,350,070,000","3,173,851,000","2,557,966,000","2,498,850,000","2,036,276,000","2,076,907,000","1,854,568,000","1,991,609,000","1,550,991,000","1,539,538,000","1,043,852,000","804,118,000","634,034,000","600,804,000","836,298,000","758,824,000","753,548,000","906,225,000","754,656,000","830,868,000","799,710,000","471,139,000","482,451,000","733,527,000","672,673,000","775,043,000","909,578,000","472,268,000","911,545,000","983,517,000","965,166,000","1,036,737,000","1,072,278,000","1,101,974,000","1,066,331,000","997,730,000","1,031,281,000","1,034,530,000","1,088,025,000","997,015,000","933,503,000","937,869,000","837,360,000","777,320,000","804,222,000","819,386,000","564,421,000","512,196,000","482,812,000","233,183,000","282,614,000","232,469,000","240,578,000","217,080,000","213,835,000","221,438,000","223,093,000","218,389,000","213,047,000","208,448,000","206,421,000","216,653,000","218,557,000","215,711,000","215,772,000","215,200,000","208,100,000","201,400,000","143,300,000","86,200,000"
TangibleBookValue,"2,495,415,000","2,598,686,000","2,610,205,000","2,543,399,000","2,498,472,000","2,547,852,000","2,554,495,000","2,459,489,000","2,407,700,000","2,367,876,000","1,215,190,000","1,172,899,000","1,127,915,000","1,092,230,000","999,302,000","966,869,000","925,743,000","917,007,000","900,675,000","869,211,000","627,845,000","542,942,000","526,934,000","518,248,000","498,739,000","484,572,000","313,858,000","310,847,000","325,056,000","323,710,000","320,711,000","280,091,000","274,837,000","272,515,000","265,644,000","263,209,000","256,551,000","255,552,000","266,454,000","264,182,000","256,987,000","254,469,000","261,106,000","253,912,000","254,012,000","249,047,000","230,623,000","231,314,000","237,316,000","230,445,000","232,894,000","229,383,000","240,269,000","238,094,000","231,280,000","217,369,000","217,645,000","221,990,000","223,731,000","226,814,000","236,736,000","253,927,000","278,628,000","270,602,000","275,516,000","105,990,000","103,254,000","102,197,000","100,005,000","98,157,000","95,826,000","93,611,000","105,810,000","104,201,000","102,620,000","99,183,000","97,119,000","94,714,000","90,986,000","87,254,000","86,326,000","89,700,000","90,300,000","89,600,000","89,700,000","55,600,000"
TotalDebt,"2,685,903,000","2,863,280,000","3,147,680,000","4,113,085,000","3,606,460,000","5,192,845,000","4,802,967,000","5,518,423,000","4,900,744,000","4,961,048,000","3,265,380,000","2,539,242,000","2,284,104,000","2,039,970,000","1,430,335,000","1,281,752,000","1,651,937,000","1,508,778,000","905,762,000","875,740,000","955,733,000","1,101,707,000","893,430,000","1,038,176,000","614,525,000","614,429,000","560,986,000","323,953,000","139,323,000","106,921,000","357,095,000","338,377,000","329,059,000","468,543,000","333,223,000","428,141,000","393,727,000","68,587,000","59,694,000","324,903,000","263,706,000","370,659,000","490,527,000","51,493,000","490,139,000","566,519,000","566,008,000","635,596,000","664,115,000","700,051,000","661,242,000","595,411,000","618,643,000","623,250,000","682,739,000","605,523,000","546,210,000","545,290,000","442,203,000","377,626,000","395,452,000","392,845,000","214,909,000","169,552,000","134,726,000","113,653,000","164,757,000","116,732,000","127,033,000","104,009,000","102,968,000","113,127,000","117,283,000","114,188,000","110,427,000","109,265,000","109,302,000","121,939,000","127,571,000","128,457,000","129,446,000","125,500,000","117,800,000","111,800,000","53,600,000","30,600,000"
NetDebt,"2,128,408,000","2,534,129,000","2,489,679,000","3,685,878,000","3,292,205,000","4,754,735,000","4,268,983,000","5,073,234,000","4,536,413,000","4,481,142,000","2,858,177,000","2,257,075,000","2,030,401,000","1,746,324,000","1,049,877,000","1,023,426,000","1,165,207,000","1,279,265,000","587,623,000","512,884,000","769,032,000","980,187,000","715,811,000","821,667,000","449,880,000","461,767,000","447,896,000","214,787,000","65,927,000",,,"202,754,000","224,830,000","424,856,000","42,010,000","356,301,000","306,771,000","16,653,000",,"261,752,000","212,470,000","314,898,000","321,714,000","391,392,000","350,949,000","525,333,000","440,198,000","589,388,000","619,488,000","656,820,000","612,351,000","549,405,000","570,246,000","571,923,000","625,446,000","549,765,000","491,100,000","483,711,000","378,086,000","326,048,000","345,413,000","334,976,000","107,338,000","135,866,000","84,203,000","73,322,000","131,257,000","84,259,000","95,172,000","68,499,000","67,875,000","82,258,000","99,885,000","97,384,000","93,980,000","91,685,000","93,090,000","107,111,000","114,786,000","113,057,000","113,866,000","104,500,000","106,000,000","100,800,000","43,200,000","400,000"
ShareIssued,"229,872,924","229,872,925","229,872,925","229,872,925","229,872,925","229,872,925","229,872,925","229,872,925","229,872,925","229,872,925","141,043,149","141,043,149","141,043,149","141,043,149","136,673,149","136,673,149","136,673,149","136,673,149","136,671,178","136,671,178","98,146,024","91,246,024","91,246,024","91,246,024","91,246,024","91,246,024","52,188,056","52,188,056","52,188,056","52,188,056","52,188,056","45,929,552","45,929,552","45,929,552","45,929,552","45,929,552","45,929,552","45,929,552","45,929,552","45,929,552","45,929,552","45,929,552","45,929,552","45,929,552","45,929,552","45,953,281","45,953,674","45,929,552","40,098,791","40,125,457","41,230,618","41,667,638","42,392,485","42,716,253","42,623,299","42,623,299","42,424,255","43,048,299","43,505,659","43,848,778","45,505,378","45,910,884","39,618,373","39,638,415","39,619,261","35,222,526","35,161,595","35,190,598","35,274,788","35,387,219","35,387,219","35,554,957","35,590,706","35,578,349","35,505,159","35,637,521","35,656,193","35,800,809","35,742,480","35,782,301","36,106,196","36,453,200","36,696,960","36,637,167","36,637,167","36,696,960"
OrdinarySharesNumber,"194,460,656","198,455,324","202,392,884","205,187,243","209,560,824","216,227,852","225,446,089","225,470,254","225,466,266","224,782,694","135,807,544","135,658,226","135,604,435","135,257,570","130,853,673","130,620,463","130,548,989","130,006,926","129,769,569","129,709,834","91,121,531","83,927,572","83,628,267","83,600,529","83,544,307","83,955,647","44,351,046","44,353,276","44,353,276","44,348,787","44,173,470","37,899,007","37,899,007","37,883,008","37,864,008","38,005,866","38,072,942","38,198,686","38,262,288","38,628,477","38,861,477","39,061,035","39,547,207","39,613,454","39,876,754","39,856,586","39,839,335","39,839,335","40,098,791","40,125,457","41,230,618","41,667,638","42,392,485","42,716,253","42,623,299","42,623,299","42,424,255","43,048,299","43,505,659","43,848,778","45,505,378","45,910,884","39,618,373","39,638,415","39,619,261","35,222,526","35,161,595","35,190,598","35,274,788","35,387,219","35,387,219","35,554,957","35,590,706","35,578,349","35,505,159","35,637,521","35,656,193","35,800,809","35,742,480","35,782,301","36,106,196","36,453,200","36,696,960","36,637,167","36,637,167","36,696,960"
PreferredSharesNumber,"135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreasurySharesNumber,"35,412,268","31,417,601","27,480,041","24,685,682","20,312,101","13,645,073","4,426,836","4,402,671","4,406,659","5,090,231","5,235,605","5,384,923","5,438,714","5,785,579","5,819,476","6,052,686","6,124,160","6,666,223","6,901,609","6,961,344","7,024,493","7,318,452","7,617,757","7,645,495","7,701,717","7,290,377","7,837,010","7,834,780","7,834,780","7,839,269","8,014,586","8,030,545","8,030,545","8,046,544","8,065,544","7,923,686","7,856,610","7,730,866","7,667,264","7,301,075","7,068,075","6,868,517","6,382,345","6,316,098","6,052,798","6,096,695","6,114,339","6,090,217",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
