name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,03/31/2012,12/31/2011,03/31/2011
TotalAssets,"1,802,210,000,000","1,467,548,000,000","1,460,740,441,833","1,368,185,426,730","1,304,293,889,538","1,408,724,000,000","1,375,292,199,325","1,378,611,091,866","1,329,191,000,000","1,235,717,000,000","1,209,059,000,000","1,268,528,000,000","1,350,975,000,000","1,281,599,000,000","1,264,045,000,000","1,233,013,000,000","1,176,035,000,000","1,182,882,000,000","1,064,972,000,000","1,066,097,000,000","949,983,000,000","930,419,000,000","919,861,000,000","867,273,000,000","857,818,000,000","806,308,000,000","831,765,000,000","856,845,000,000","792,868,000,000","771,421,632,420","783,947,822,225","739,175,000,000","686,558,314,763"
TotalLiabilitiesNetMinorityInterest,"1,661,169,000,000","1,332,750,000,000","1,321,040,929,577","1,234,356,345,850","1,171,928,117,197","1,285,437,000,000","1,247,907,690,354","1,256,091,676,933","1,213,781,000,000","1,116,297,000,000","1,094,090,000,000","1,153,819,000,000","1,243,689,000,000","1,162,387,000,000","1,146,539,000,000","1,115,696,000,000","1,066,375,000,000","1,070,293,000,000","956,101,000,000","957,094,000,000","847,696,000,000","825,315,000,000","817,949,000,000","769,167,000,000","765,300,000,000","705,814,000,000","730,068,000,000","754,326,000,000","692,262,000,000","676,628,447,551","690,704,287,560","650,696,000,000","601,959,907,177"
TotalEquityGrossMinorityInterest,"141,041,000,000","134,798,000,000","139,699,512,256","133,829,080,880","132,365,772,341","123,287,000,000","127,384,508,971","122,519,414,933","115,410,000,000","119,420,000,000","114,969,000,000","114,709,000,000","107,286,000,000","119,212,000,000","117,506,000,000","117,317,000,000","109,660,000,000","112,589,000,000","108,871,000,000","109,003,000,000","102,287,000,000","105,104,000,000","101,912,000,000","98,106,000,000","92,518,000,000","100,494,000,000","101,697,000,000","102,519,000,000","100,606,000,000","94,793,184,869","93,243,534,665","88,479,000,000","84,598,407,586"
	StockholdersEquity,"140,998,000,000","134,758,000,000","139,656,900,366","133,797,636,051","132,334,050,238","123,255,000,000","127,355,888,618","122,484,272,739","115,381,000,000","119,409,000,000","114,958,000,000","114,698,000,000","107,275,000,000","119,200,000,000","117,495,000,000","117,306,000,000","109,649,000,000","112,579,000,000","108,861,000,000","108,994,000,000","102,277,000,000","105,094,000,000","101,903,000,000","98,097,000,000","92,509,000,000","100,484,000,000","101,687,000,000","102,509,000,000","100,598,000,000","94,784,467,524","93,231,290,151","88,466,000,000","84,586,736,698"
		CapitalStock,"29,799,000,000","25,660,000,000","29,798,990,009","29,798,990,009","29,798,990,009","25,660,000,000","29,798,990,009","29,798,990,009","8,086,000,000","36,357,000,000","36,357,000,000","36,357,000,000","25,658,000,000","25,658,000,000","36,357,000,000","36,357,000,000","25,658,000,000","36,357,000,000","36,357,000,000","36,357,000,000","25,658,000,000","36,357,000,000","36,357,000,000","36,357,000,000","25,658,000,000","36,357,000,000","36,357,000,000","36,357,000,000","25,658,000,000","36,356,377,461","36,356,377,461","36,357,000,000","36,356,377,461"
			CommonStock,"29,799,000,000","25,660,000,000","29,798,990,009","29,798,990,009","29,798,990,009","25,660,000,000","29,798,990,009","29,798,990,009","8,086,000,000","36,357,000,000","36,357,000,000","36,357,000,000","25,658,000,000","25,658,000,000","36,357,000,000","36,357,000,000","25,658,000,000","36,357,000,000","36,357,000,000","36,357,000,000","25,658,000,000","36,357,000,000","36,357,000,000","36,357,000,000","25,658,000,000","36,357,000,000","36,357,000,000","36,357,000,000","25,658,000,000","36,356,377,461","36,356,377,461","36,357,000,000","36,356,377,461"
		AdditionalPaidInCapital,"5,118,000,000",,"5,059,582,716","5,161,652,716","5,108,685,715","0","5,024,751,319","5,491,680,794","16,956,000,000","12,212,000,000","12,202,000,000","12,195,000,000","11,415,000,000","11,415,000,000","12,015,000,000","12,042,000,000","11,415,000,000","11,815,000,000","11,813,000,000","11,791,000,000","11,415,000,000","11,813,000,000","11,813,000,000","11,808,000,000","11,415,000,000","11,551,000,000","11,524,000,000","11,489,000,000","11,415,000,000","11,837,849,138","11,837,849,138","11,838,000,000","11,837,849,138"
		RetainedEarnings,"84,216,000,000","20,381,000,000","79,632,404,243","74,264,562,548","75,175,473,547","19,353,000,000","70,857,812,050","65,911,693,164","18,678,000,000","69,168,000,000","65,125,000,000","64,927,000,000","16,504,000,000","12,980,000,000","66,389,000,000","66,521,000,000","14,003,000,000","61,967,000,000","58,496,000,000","58,789,000,000","13,288,000,000","55,195,000,000","51,936,000,000","48,399,000,000","14,279,000,000","50,932,000,000","52,230,000,000","53,631,000,000","17,414,000,000","46,240,816,395","38,540,451,106","20,293,000,000","34,728,976,537"
		GainsLossesNotAffectingRetainedEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"349,424,530","1,483,330,436","108,000,000","1,663,533,562"
		OtherEquityInterest,"-995,000,000",,"260,534,953","272,010,125","226,172,866",,"83,880,959","91,082,858",,,,,,,"-10,000,000","-15,000,000",,,,,,,,,,,,,,,"5,013,282,010","19,870,000,000",
	MinorityInterest,"43,000,000","40,000,000","42,611,890","31,444,829","31,722,103","32,000,000","28,620,353","35,142,194","29,000,000","11,000,000","11,000,000","11,000,000","11,000,000","12,000,000","11,000,000","11,000,000","11,000,000","10,000,000","10,000,000","9,000,000","10,000,000","10,000,000","9,000,000","9,000,000","9,000,000","10,000,000","10,000,000","10,000,000","8,000,000","8,717,345","12,244,514","13,000,000","11,670,888"
TotalCapitalization,"274,989,000,000","280,236,000,000","281,893,651,258","291,490,664,959","272,237,013,554","258,795,000,000","251,490,458,730","247,803,337,806","237,058,000,000","245,665,000,000","272,697,000,000","251,341,000,000","222,468,000,000","220,717,000,000","249,559,000,000","247,329,000,000","207,263,000,000","228,656,000,000","217,144,000,000","232,203,000,000","175,494,000,000","195,950,000,000","184,159,000,000","180,288,000,000","162,451,000,000","155,880,000,000","155,055,000,000","169,775,000,000","155,301,000,000","129,123,402,397","114,603,165,386",,"102,313,634,100"
