name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007
MarketCap,"6,055,907,792","5,522,404,320","8,380,579,200","7,255,158,660","8,073,964,293","8,156,116,746","7,128,195,840","10,156,590,053","10,387,403,579","9,029,714,762","8,072,334,286","8,784,500,838","9,344,143,502","8,706,081,951","6,530,061,285","7,353,440,601","8,547,283,301","7,897,330,209","8,617,030,800","8,146,468,050","10,779,840,852","10,545,666,406","9,929,078,390","9,669,104,311","8,739,871,957","8,251,348,639","7,322,002,240","5,348,381,625","4,029,435,909","3,244,878,414","3,089,251,301","3,279,530,487","2,564,537,515","2,726,136,162","1,628,538,391","1,732,180,078","1,358,739,330","1,295,382,816","786,398,138","416,922,508","246,953,846","343,741,179","246,291,559","248,387,620","107,023,802","25,743,563","47,382,569","121,279,736","181,919,605","221,445,997","360,893,143","274,966,204","392,808,864"
EnterpriseValue,"6,844,143,792","6,203,543,320","9,079,719,200","8,129,937,660","9,002,897,293","8,927,906,746","7,658,146,840","10,933,210,053","11,261,395,579","10,009,717,762","9,199,632,286","10,137,181,838","10,812,836,502","10,309,743,951","8,287,549,285","7,616,217,601","8,750,764,301","8,113,048,209","8,907,863,800","8,591,289,050","11,341,286,852","11,204,052,406","10,694,822,390","10,597,282,311","9,687,104,957","8,164,820,639","7,284,676,240","5,396,370,625","4,030,086,909","3,314,443,414","3,158,816,301","3,592,927,487","2,320,319,515","2,568,238,162","1,515,190,391","1,618,832,078","1,293,036,330","1,271,021,816","789,647,138","455,967,508","285,998,846","445,292,179","354,961,559","354,520,620","220,734,802","143,356,563","143,884,569","187,252,736","249,020,605","232,811,997","336,523,143","204,722,204","402,674,864"
PeRatio,"22.802","10.972","14.326","11.596","17.776","19.582","14.635","23.714","23.603","18.969","22.183","22.535","23.525","22.641","19.061","21.35","26.662","24.962","26.876","31.03","48.504","185.796","327.46","124.465","120.5","39.51","23.568","19.568","15.172","12.882","12.27","23.75","16.858","18.154","15.514","16.667","15.369","25.079","23.711","26.171",,"41.923",,,,,,,"5.255",,,,
ForwardPeRatio,"9.47","7.599","8.591","7.262","9.643","9.588","8.511","11.442","13.21","11.601","10.638","11.338","13.986","13.038","10.256","10.917","12.707","10.246","12.21","11.148","14.771","14.43","16.722","16.393","14.514","13.55","16.447","12.361","9.653","8.299","10.549","11.919","9.242","10.384","11.455","10.823","8.475","8.734","8.013",,,,,,,,,,,,,,
PegRatio,"9.332","4.01","1.337","0.829","0.997","1.258","0.688","0.783","0.898","0.736","0.764","0.765","0.929","4.234","0.789","0.837","1.211","0.998","0.301","0.275","0.354","0.346","0.372","0.364","0.323","0.301","0.366","0.275","0.215","0.185","0.401","0.453","0.351","0.379","0.674","0.902",,"0.794",,,,,,,,,,,,,,,
PsRatio,"2.852","2.655","4.235","3.831","4.409","4.628","4.113","5.748","6.262","5.72","5.226","5.823","6.26","6.035","4.736","5.436","6.578","6.212","6.998","6.716","9.083","9.224","9.094","9.625","9.686","9.787","9.482","7.383","6.174","5.743","5.47","7.701","6.809","8.331","7.287","7.828","7.154","7.077","4.463","2.466","1.744","2.426","1.842","2.135","1.081","0.32","0.733","1.917","2.63","2.246","3.113","2.917","4.387"
PbRatio,"2.156","1.775","2.744","2.432","2.957","2.95","2.355","3.539","3.728","3.339","3.266","3.991","4.71","4.637","3.801","4.345","5.317","4.94","5.512","5.631","8.259","7.691","7.407","7.556","6.998","6.369","5.887","4.55","3.468","2.934","2.755","3.944","3.28","14.141","11.608","12.256","13.374","21.563","25.741",,,,,,,,,,,"17.851","6.581","2.13","5.181"
EnterprisesValueRevenueRatio,"3.128","11.601","15.608","15.12","16.855","17.568","16.073","23.293","22.501","22.513","21.081","24.613","27.417","27.416","20.895","20.354","22.958","24.145","26.132","25.204","33.982","36.224","32.592","34.566","33.263","33.067","30.897","23.244","19.352","16.89","17.195","20.471","17.912","23.689","18.138","22.087","20.026","24.98","14.796","10.189","7.064","12.66","9.272","11.507","5.921","6.494","7.343","10.552","16.026","15.909","21.743","9.533","28.23"
EnterprisesValueEBITDARatio,"6.995","28.708","37.96","32.296","33.17","35.688","32.523","45.617","44.199","69.254","44.679","47.855","55.077","62.508","42.438","42.119","44.198","52.315","54.121","53.626","63.242","77.986","62.491","64.019","68.338","87.953","62.796","44.591","41.522","37.529","34.651","47.074","45.32","54.696","38.227","45.415","36.112","51.731","28.642","27.646","22.257","46.448","25.735","57.834","21.588","-27.994","-7.93","-7.919","-5.843","-5.656","-6.001","-13.488","-10.032"
