name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalAssets,"28,846,809,000","26,939,781,000","25,741,439,000","24,813,119,000","23,387,205,000","22,613,274,000","11,636,112,000","11,795,443,000","11,563,355,000","11,668,710,000","9,381,372,000","8,597,550,000","8,340,053,000","7,344,236,000","5,360,639,000","4,873,035,000","2,963,815,000","2,555,964,000","1,428,711,000","785,648,262","386,736,716","318,900,000"
	CashCashEquivalentsAndFederalFundsSold,"1,409,219,000","662,905,000","677,788,000","1,494,960,000","820,674,000","1,724,505,000","821,108,000","577,230,000","598,766,000","1,004,125,000","620,624,000","221,167,000","188,782,000","185,024,000","165,784,000","108,779,000","141,174,000","127,131,000","116,158,000","81,479,734","48,035,294","38,900,000"
		CashAndCashEquivalents,"1,362,756,000","622,637,000","634,280,000","1,449,432,000","773,725,000","1,605,171,000","790,423,000","543,787,000","598,766,000","1,004,125,000","605,413,000","204,676,000","188,782,000","169,769,000","151,521,000","94,561,000","109,506,000","108,493,000","107,988,000","53,202,434","45,689,094","37,000,000"
			CashFinancial,"1,362,756,000","622,637,000","634,280,000","331,994,000","773,725,000","282,455,000","178,685,000","223,532,000",,,,,,,,,,,,,,
			CashEquivalents,"980,158,000","287,218,000","303,424,000",,"496,080,000","502,000","514,000","5,202,000","547,000","545,000",,,,,,,"103,565,000","101,892,000",,"43,998,452","30,058,897",
			CashAndDueFromBanks,,,,"1,117,438,000",,"1,322,214,000","611,224,000","315,053,000","598,219,000","1,003,580,000","605,413,000","204,676,000","188,782,000","169,769,000","151,521,000","94,561,000","5,941,000","6,601,000","107,988,000","9,203,982","15,630,197","37,000,000"
		RestrictedCashAndInvestments,"46,463,000","40,268,000","43,508,000","45,528,000","46,949,000","119,334,000","30,685,000","33,443,000","32,581,000","34,475,000","15,211,000","16,491,000",,,,,,,,,,
			RestrictedInvestments,"46,463,000","40,268,000","43,508,000","45,528,000","46,949,000","119,334,000","30,685,000","33,443,000","32,581,000","34,475,000","15,211,000","16,491,000",,,,,,,,,,
		MoneyMarketInvestments,,,,,,,,,,,,,,"15,255,000","14,263,000","14,218,000","31,668,000","18,638,000","8,170,000","28,277,300","2,346,200","1,900,000"
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,,,,,"15,255,000","14,263,000","14,218,000","31,668,000","18,638,000","8,170,000","28,277,300","2,346,200","1,900,000"
	FederalHomeLoanBankStock,,,,,,,,,"123,670,000","180,888,000",,,,,,,,,,,,
	ForeclosedAssets,,,,,,,,,"34,175,000",,,,,,,,,,,,,
	OtherRealEstateOwned,"3,295,000","10,958,000","11,734,000","6,738,000","22,307,000","37,942,000","23,935,000","27,512,000","19,491,000","62,654,000","24,566,000","27,898,000",,,,,,,,,,
	BankOwnedLifeInsurance,"320,611,000","313,626,000","306,864,000","299,673,000","291,892,000","294,296,000","96,938,000","93,831,000",,,,,,,,,,,,,,
	SecuritiesAndInvestments,"2,898,107,000","3,042,555,000","3,081,827,000","2,716,400,000","2,536,734,000","2,313,765,000","1,802,499,000","2,633,517,000","3,175,601,000","2,926,966,000","1,803,950,000","1,256,511,000","1,078,159,000","894,032,000","691,379,000","713,014,000","517,781,000","351,520,000","215,732,000","141,816,203","77,343,318","84,900,000"
		TradingSecurities,,,"12,255,000","10,964,000","9,586,000","9,999,000","5,958,000","3,747,000","2,309,000","3,024,000","2,273,000","1,987,000","2,837,000","4,204,000","601,000","1,577,000","1,265,000","1,905,000","3,010,000","1,105,868","474,782",
		AvailableForSaleSecurities,"80,165,000","61,841,000",,,,,,,"3,168,578,000","2,919,180,000","1,795,616,000","1,238,712,000","1,075,322,000","889,828,000","690,778,000","711,437,000","516,516,000","349,615,000","212,722,000","140,710,335","76,868,536","84,900,000"
		HeldToMaturitySecurities,"3,260,000","3,606,000","3,803,000","4,216,000","4,609,000","5,211,000","5,563,000","4,541,000","4,714,000","4,762,000","6,061,000","15,812,000",,,,,,,,,,
		OtherShortTermInvestments,"2,814,682,000","2,977,108,000","3,065,769,000","2,701,220,000","2,522,539,000","2,298,555,000","1,790,978,000","2,625,229,000","547,000",,,,,,,,,,,,,
	LongTermEquityInvestment,"13,962,000","20,362,000","14,277,000","14,277,000","14,277,000","30,900,000","16,574,000","17,964,000",,,,,,,,,,,,,,
	DerivativeAssets,"150,574,000","49,484,000","32,256,000","47,501,000","43,549,000","29,210,000","17,921,000","23,942,000",,,,,,,,,,,,,,
	NetLoan,"21,551,486,000","20,444,256,000","19,199,094,000","17,761,997,000","17,080,313,000","15,498,367,000","7,737,745,000","7,392,899,000","154,120,000","6,418,590,000","5,925,325,000","6,057,864,000","5,983,778,000","5,317,825,000","3,886,807,000","3,444,466,000","2,016,033,000","1,815,933,000","1,014,441,000","524,580,764","245,064,583","185,300,000"
		GrossLoan,"21,709,115,000","20,589,127,000","19,339,702,000","17,895,981,000","17,210,635,000","15,614,534,000","7,832,830,000","7,509,088,000","261,408,000","6,520,511,000","6,032,982,000","6,153,729,000","6,068,682,000","5,377,915,000","3,930,692,000","3,488,695,000","2,041,385,000","1,840,664,000","1,027,662,000","531,677,263","248,533,933","188,000,000"
			LoansHeldForSale,"513,431,000","166,461,000","259,518,000","387,318,000","363,275,000","286,802,000","104,664,000","320,132,000","98,691,000","75,626,000","33,715,000","22,355,000",,,,,,,,,,
			CommercialLoan,"4,910,699,000","4,732,603,000","4,278,663,000","3,575,627,000","3,197,246,000","2,948,823,000","2,142,213,000","1,759,651,000","57,576,000",,,,,,,,,,,,,
			ConsumerLoan,"407,871,000","587,170,000","732,287,000","638,159,000","527,189,000","389,036,000","52,375,000","43,378,000","7,970,000","785,898,000",,,,,,,,,,,,
			MortgageLoan,"15,877,114,000","15,102,893,000","14,069,234,000","13,294,877,000","13,122,925,000","11,989,873,000","5,533,578,000","5,385,927,000","97,171,000",,,,,,,,,,,,,
