name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013
MarketCap,"2,855,503,060","5,115,486,331","4,690,012,950","4,622,337,365","4,267,791,826","3,354,391,020","4,342,151,256","3,514,136,108","4,175,214,225","4,274,008,882","3,986,135,590","3,469,767,360","3,377,446,090","3,013,810,630","2,477,444,220","2,030,641,860","1,935,856,000","2,028,108,500","2,302,427,050","2,534,223,650","2,213,444,340","2,379,357,660","1,852,478,840","1,738,347,520","1,942,655,240","2,080,973,460"
EnterpriseValue,"3,008,390,060","5,289,998,331","4,888,707,950","4,805,655,365","4,426,509,826","3,548,081,020","4,540,828,256","3,744,875,108","4,380,281,225","4,389,756,882","4,131,657,590","3,575,054,360","3,449,915,090","3,047,474,630","2,461,272,220","2,002,435,860","1,911,250,000","2,009,385,500","2,276,837,050","2,512,321,650","2,189,033,340","2,361,783,660","1,838,298,840","1,729,509,520","1,465,000,240","2,058,658,460"
PeRatio,"5.117","9.505","9.203","9.512","9.109","6.65","9.257","8.141","10.667","14.57","14.413","14.23","15.008","14.516","13.173","11.726","12.093","14.032","17.624","22.236","23.214","85.753","112.345","84.715","32.086",
ForwardPeRatio,"6.817","8.554","8.013","8.787","8.313","6.39","8.673","8.177","9.718","10.537","11.442","13.072","12.3","11.862","9.931","9.606","8.124",,"11.299","13.333","11.962","16.921","14.368","13.387","18.416","19.881"
PsRatio,"3.279","6.134","5.915","6.121","5.918","4.878","6.62","5.605","7.029","7.511","7.328","7.11","7.281","6.942","6.119","5.33","5.401","6.046","7.341","8.79","8.547","10.64","10.24","11.125","3.094","18.988"
PbRatio,"0.957","1.792","1.734","1.829","1.807","1.514","2.064","1.762","2.152","2.4","2.661","2.456","2.513","2.3","1.984","1.719","1.73","1.884","2.24","2.544","2.316","2.993","2.412","2.349","2.69","9.497"
EnterprisesValueRevenueRatio,"3.468","23.124","21.594","22.68","22.074","18.372","24.545","21.551","26.157","27.247","27.507","25.98","27.039","24.115","20.298","18.513","18.653","20.614","24.819","29.885","27.359","32.468","28.447","31.861","30.635","48.607"
