name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,09/30/2017,06/30/2017,03/31/2017,09/30/2016,06/30/2016
TotalRevenue,"1,226,000,000","-287,000,000","563,000,000","455,000,000","495,000,000","600,000,000","-211,000,000","444,000,000","340,000,000","131,000,000","0","0","0","0","0"
	OperatingRevenue,"1,226,000,000","-287,000,000","563,000,000","455,000,000","495,000,000","600,000,000","-211,000,000","444,000,000","340,000,000","131,000,000","0","0","0","0","0"
OperatingExpense,,,,,,,,,,,"828,436","18,971,664","406,411","289,524","596,437"
	SellingGeneralAndAdministration,"202,000,000","73,000,000",,,,,"47,000,000",,"37,000,000",,"828,436","18,971,664","406,411","289,524","596,437"
		GeneralAndAdministrativeExpense,"202,000,000","73,000,000",,,,,"47,000,000",,"37,000,000",,"828,436","18,971,664","406,411","289,524","596,437"
			OtherGandA,"202,000,000","73,000,000",,,,,"47,000,000",,"37,000,000",,"828,436","18,971,664","406,411","289,524","596,437"
	OtherOperatingExpenses,,"48,000,000",,,,,"-84,000,000",,"214,000,000",,,,,,
OperatingIncome,,,,,,,,,,,"-828,436","-18,971,664","-406,411","-289,524","-596,437"
NetNonOperatingInterestIncomeExpense,"-32,000,000","-8,000,000","-8,000,000","-8,000,000","-8,000,000","-8,000,000","-8,000,000","-8,000,000","-7,000,000","-6,000,000","1,445,792","1,004,111","465,131","427,153","24,685"
	InterestIncomeNonOperating,,,,,,,,,,,"1,445,792","1,004,111","465,131","427,153","24,685"
	InterestExpenseNonOperating,"32,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","7,000,000","6,000,000",,,,,
OtherIncomeExpense,,,,,,,"11,000,000",,"20,000,000",,,,,,
PretaxIncome,"51,000,000","-337,000,000","273,000,000","56,000,000","59,000,000","180,000,000","-199,000,000","71,000,000","28,000,000","87,000,000","617,356","-17,967,553","58,720","137,629","-571,752"
TaxProvision,"53,000,000","1,000,000","48,000,000","-9,000,000","13,000,000","9,000,000","-51,000,000","15,000,000","8,000,000","35,000,000",,,,,
NetIncomeCommonStockholders,"-33,000,000","-346,000,000","217,000,000","58,000,000","38,000,000","163,000,000","-156,000,000","49,000,000","13,000,000","45,000,000","617,356","-17,967,553","58,720","137,629","-571,752"
	NetIncome,"-2,000,000","-338,000,000","225,000,000","65,000,000","46,000,000","171,000,000","-148,000,000","56,000,000","20,000,000","52,000,000","617,356","-17,967,553","58,720","137,629","-571,752"
		NetIncomeIncludingNoncontrollingInterests,"-2,000,000","-338,000,000","225,000,000","65,000,000","46,000,000","171,000,000","-148,000,000","56,000,000","20,000,000","52,000,000","617,356","-17,967,553","58,720","137,629","-571,752"
			NetIncomeContinuousOperations,"-2,000,000","-338,000,000","225,000,000","65,000,000","46,000,000","171,000,000","-148,000,000","56,000,000","20,000,000","52,000,000","617,356","-17,967,553","58,720","137,629","-571,752"
	PreferredStockDividends,"31,000,000","8,000,000","8,000,000","7,000,000","8,000,000","8,000,000","8,000,000","7,000,000","7,000,000","7,000,000",,,,,
DilutedNIAvailtoComStockholders,"-33,000,000","-346,000,000","217,000,000","58,000,000","38,000,000","163,000,000","-156,000,000","49,000,000","13,000,000","45,000,000","617,356","-17,967,553","58,720","137,629","-571,752"
BasicEPS,,"-1.62","1.02","0.26","0.17","0.74","-0.7","0.23","0.06","0.21","0.03","-0.9","0.003","0.01","-0.03"
DilutedEPS,,"-1.62","1.02","0.26","0.17","0.74","-0.7","0.23","0.06","0.21","0.01","-0.9","0.001","0.002","-0.03"
BasicAverageShares,,"213,155,198","213,170,000","216,441,948","217,185,055","219,645,679","220,910,000","214,370,000","214,370,000","214,370,000","21,723,569","19,947,230","19,933,292","19,970,987","17,092,495"
DilutedAverageShares,,"213,155,198","213,560,000","216,540,885","217,262,215","219,681,528","220,910,000","214,418,693","214,380,000","214,370,000","84,000,000","19,947,230","84,000,000","84,000,000","17,092,495"
