name,ttm,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
BasicAverageShares,,"29,641,000","31,758,000","32,000,000","32,556,000","34,433,000","34,473,000","36,879,000","38,605,000","38,615,000","39,024,000","39,126,000","38,505,000","37,557,000","37,047,000","33,015,000","28,830,000","27,984,000","27,741,000","27,279,000","26,502,000","25,896,000","26,883,000","27,876,000","32,307,692","28,899,083","21,477,273"
DilutedAverageShares,,"29,903,000","31,996,000","32,355,000","33,039,000","34,733,000","34,829,000","37,334,000","39,265,000","39,292,000","39,393,000","39,585,000","39,387,000","38,646,000","38,598,000","36,426,000","35,640,000","29,418,000","28,983,000","28,428,000","26,943,000","25,896,000","27,036,000","28,181,818","32,307,692","28,899,083","23,333,333"
TotalOperatingIncomeAsReported,"353,084,000","327,320,000","222,584,000","-1,919,000","162,127,000","224,419,000","207,897,000","186,948,000","284,838,000","249,088,000","181,247,000","116,919,000","105,553,000","51,910,000","52,268,000","42,462,000","19,438,000","3,348,000","4,518,000","12,630,000","6,800,000","-2,800,000","8,100,000","7,800,000","4,000,000","17,500,000","11,100,000"
TotalExpenses,"1,798,825,000","1,693,117,000","1,680,755,000","1,792,066,000","1,713,070,000","1,592,638,000","1,348,721,000","1,227,450,000","1,092,445,000","751,901,000","630,930,000","572,526,000","343,376,000","252,513,000","212,492,000","172,325,000","101,617,000","95,759,000","86,943,000","101,108,000","102,900,000","105,000,000","98,600,000","94,000,000","98,300,000","68,300,000","46,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"284,021,000","264,308,000","114,394,000","5,710,000","122,265,000","161,780,000","145,689,000","128,866,000","199,052,000","158,235,000","116,786,000","73,948,000","66,437,000","31,522,000","31,845,000","25,539,000","9,154,000","1,620,000","1,626,000","7,015,000","2,900,000","-2,900,000","4,500,000","3,700,000","1,400,000","10,500,000","6,300,000"
NormalizedIncome,"284,021,000","264,308,000","114,394,000","5,710,000","122,265,000","161,780,000","145,689,000","128,866,000","198,703,141.778","159,102,582.058","117,366,054.747","95,755,828.534","66,196,100.292","40,702,000","31,842,561.779","25,540,904.806","9,152,154.931","3,615,600","2,835,000","7,151,800","2,960,000","-2,829,268.293","4,380,000","3,880,000","1,760,000","10,260,000","6,240,000"
InterestIncome,"7,966,000","6,028,000","3,057,000","778,000","420,000","207,000","60,000","217,000","180,000","234,000","1,885,000",,,,,,,,,,,,,,,,
InterestExpense,"3,615,000","4,661,000","4,585,000","7,319,000","5,814,000","4,220,000","3,079,000","3,840,000","249,000","566,000","0",,,,,,,,,,,,,,,,
NetInterestIncome,"4,351,000","1,367,000","-1,528,000","-6,541,000","-5,394,000","-4,013,000","-3,019,000","-3,623,000","-69,000","-332,000","1,885,000",,,,,,,,,,,,,,,,
EBIT,"361,379,000","333,595,000","225,281,000","333,000","162,699,000","225,359,000","208,636,000","187,958,000","285,511,000","250,675,000","183,223,000","116,919,000","105,553,000","51,910,000","52,268,000","42,462,000","19,438,000","3,348,000","4,518,000","12,630,000","6,800,000","-2,800,000","8,100,000","7,800,000","4,000,000","17,500,000","11,100,000"
EBITDA,"402,210,000"
ReconciledCostOfRevenue,"1,037,929,000","980,187,000","971,697,000","954,912,000","1,028,529,000","938,949,000","820,135,000","782,244,000","698,288,000","498,051,000","442,087,000","384,127,000","241,458,000","163,224,000","153,238,000","124,354,000","69,710,000","57,577,000","52,903,000","60,600,000","61,400,000","63,000,000","60,000,000","58,700,000","64,200,000","43,200,000","26,800,000"
ReconciledDepreciation,"40,831,000","44,941,000","48,572,000","52,628,000","50,024,000","49,293,000","41,439,000","33,367,000","28,977,000","12,283,000","10,194,000","6,008,000","3,516,000","3,082,000","2,497,000","1,787,000","3,577,000","2,584,000","3,577,000","2,940,000","3,100,000","2,600,000","2,500,000","2,300,000","1,700,000","800,000","500,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"284,021,000","264,308,000","114,394,000","5,710,000","122,265,000","161,780,000","145,689,000","128,866,000","199,052,000","158,235,000","116,786,000","73,948,000","66,437,000","31,522,000","31,845,000","25,539,000","9,154,000","1,620,000","1,626,000","7,015,000","2,900,000","-2,900,000","4,500,000","3,700,000","1,400,000","10,500,000","6,300,000"
TotalUnusualItemsExcludingGoodwill,,,,,,,,,"493,000","-1,353,000","-909,000","-35,574,000","399,000","-15,300,000","4,000","-3,000","3,000","-3,326,000","-2,015,000","-228,000","-100,000","-100,000","200,000","-300,000","-600,000","400,000","100,000"
TotalUnusualItems,,,,,,,,,"493,000","-1,353,000","-909,000","-35,574,000","399,000","-15,300,000","4,000","-3,000","3,000","-3,326,000","-2,015,000","-228,000","-100,000","-100,000","200,000","-300,000","-600,000","400,000","100,000"
NormalizedEBITDA,"402,210,000","378,536,000","273,853,000","52,961,000","212,723,000","274,652,000","250,075,000","221,325,000","313,995,000","264,311,000","194,326,000","158,501,000","108,670,000","70,292,000","54,761,000","44,252,000","23,012,000","9,258,000","10,110,000","15,798,000","10,000,000","-100,000","10,400,000","10,400,000","6,300,000","17,900,000","11,500,000"
TaxRateForCalcs,"0.206","0.196","0.27","0.4","0.221","0.268","0.291","0.299","0.292","0.359","0.362","0.387","0.396","0.4","0.39","0.365","0.385","0.4","0.4","0.4","0.4","0.293","0.4","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","144,141.778","-485,417.942","-328,945.253","-13,766,171.466","158,100.292","-6,120,000","1,561.779","-1,095.194","1,154.931","-1,330,400","-806,000","-91,200","-40,000","-29,268.293","80,000","-120,000","-240,000","160,000","40,000"
