name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
TotalRevenue,"67,826,000,000","67,826,000,000","56,771,000,000","40,786,000,000","24,411,000,000","19,913,000,000","18,364,000,000","20,830,000,000","18,697,000,000","15,921,000,000","13,988,000,000","12,082,000,000","12,868,000,000","9,343,000,000","6,897,000,000","5,256,000,000","4,027,000,000","3,370,000,000","3,055,032,856.299","771,936,827.724","9,019,203,161.721","980,935,003.073","1,045,271,419.38","1,165,852,218.728","4,500,186,043.491"
	OperatingRevenue,"58,799,000,000","58,799,000,000","56,771,000,000","40,786,000,000","24,411,000,000","19,913,000,000","18,364,000,000","20,830,000,000","18,697,000,000","15,921,000,000","13,988,000,000","12,082,000,000","12,868,000,000","9,343,000,000","3,195,000,000","4,974,000,000","4,027,000,000","3,370,000,000","3,055,032,856.299","771,936,827.724","9,019,203,161.721","980,935,003.073","1,045,271,419.38","1,165,852,218.728","4,500,186,043.491"
CostOfRevenue,"52,728,000,000","52,728,000,000","45,519,000,000","32,388,000,000","17,718,000,000","14,433,000,000","13,118,000,000","13,928,000,000","13,909,000,000","11,821,000,000","10,564,000,000","7,567,000,000","8,059,000,000","5,691,000,000",,"2,950,000,000","2,323,000,000","1,935,000,000","1,844,416,106.104","389,968,086.282","8,223,096,960.987",,,,
GrossProfit,"15,098,000,000","15,098,000,000","11,252,000,000","8,398,000,000","6,693,000,000","5,480,000,000","5,246,000,000","6,902,000,000","4,788,000,000","4,100,000,000","3,424,000,000","4,515,000,000","4,809,000,000","3,652,000,000",,"2,306,000,000","1,704,000,000","1,435,000,000","1,210,616,750.195","381,968,741.441","796,106,200.734",,,,
OperatingExpense,"4,876,000,000","4,876,000,000","3,102,000,000","2,345,000,000","2,020,000,000","1,695,000,000","1,470,000,000","1,455,000,000","1,263,000,000","1,482,000,000","1,212,000,000","1,664,000,000","1,963,000,000","1,498,000,000","933,000,000","661,000,000","334,000,000","237,000,000","174,944,617.007","30,997,463.536","405,054,034.011","387,579,207.087","520,120,620.004","652,357,754.018",
	SellingGeneralAndAdministration,,,"1,765,000,000","1,339,000,000","1,544,000,000","1,264,000,000","1,010,000,000","975,000,000","528,000,000","481,000,000","417,000,000","393,000,000","640,000,000","464,000,000","333,000,000","287,000,000","83,000,000","88,000,000","55,982,277.315","6,999,427.128","405,054,034.011",,,,
	DepreciationAmortizationDepletionIncomeStatement,"4,876,000,000","4,876,000,000","3,102,000,000","2,345,000,000","2,020,000,000","1,695,000,000","1,470,000,000","1,455,000,000","1,263,000,000","904,000,000","795,000,000","1,275,000,000","1,330,000,000","1,034,000,000","600,000,000","374,000,000","251,000,000","149,000,000","118,962,339.692","23,998,036.407",,,,,
		DepreciationAndAmortizationInIncomeStatement,"4,876,000,000","4,876,000,000","3,102,000,000","2,345,000,000","2,020,000,000","1,695,000,000","1,470,000,000","1,455,000,000","1,263,000,000","904,000,000","795,000,000",,"1,330,000,000","1,034,000,000","600,000,000","374,000,000","251,000,000","149,000,000","118,962,339.692","23,998,036.407",,,,,
	OtherTaxes,,,,,,,,,,"97,000,000",,"-4,000,000","-7,000,000",,,,,,,,,,,,
OperatingIncome,"10,222,000,000","10,222,000,000","8,150,000,000","6,053,000,000","4,673,000,000","3,785,000,000","3,776,000,000","5,447,000,000","3,525,000,000","2,618,000,000","2,212,000,000","2,851,000,000","2,846,000,000","2,154,000,000","5,964,000,000","1,645,000,000","1,370,000,000","1,198,000,000","1,035,672,133.189","350,971,277.906","391,052,166.722","593,355,795.986","525,150,799.376","513,494,464.71","4,500,186,043.491"
NetNonOperatingInterestIncomeExpense,"-7,325,000,000","-7,325,000,000","-4,958,000,000","-3,703,000,000","-3,325,000,000","-2,926,000,000","-2,702,000,000","-2,705,000,000","-2,655,000,000","-2,352,000,000","-1,829,000,000","-1,784,000,000","-1,984,000,000",,,,,,,,,,,,
	InterestExpenseNonOperating,"7,227,000,000","7,227,000,000","4,854,000,000","3,608,000,000","3,233,000,000","2,820,000,000","2,579,000,000","2,553,000,000","2,497,000,000","2,352,000,000","1,829,000,000","1,784,000,000","1,984,000,000",,,,,,,,,,,,
	TotalOtherFinanceCost,"98,000,000","98,000,000","104,000,000","95,000,000","92,000,000","106,000,000","123,000,000","152,000,000","158,000,000",,,,,,,,,,,,,,,,
OtherIncomeExpense,"2,952,000,000","2,952,000,000","4,048,000,000","2,814,000,000","1,645,000,000","4,006,000,000","5,458,000,000","1,947,000,000","2,393,000,000","3,819,000,000","2,952,000,000","-370,000,000","-313,000,000","673,000,000","602,000,000","1,900,000,000","345,000,000","65,000,000","-179,943,034.726","79,993,453.435","251,033,487.829",,,"226,776,738.644",
	GainOnSaleOfSecurity,"-831,000,000","-831,000,000","1,794,000,000","421,000,000","-130,000,000","2,166,000,000","3,674,000,000","663,000,000","1,150,000,000","328,000,000","2,458,000,000",,,,,,,,,,,,,,
	EarningsFromEquityInterest,"2,498,000,000","2,498,000,000","1,088,000,000","1,213,000,000","1,293,000,000","1,695,000,000","1,594,000,000","759,000,000","1,243,000,000","2,205,000,000","494,000,000",,"-46,000,000","-72,000,000","-36,000,000","219,000,000","345,000,000","65,000,000","-179,943,034.726","79,993,453.435",,,,,
	SpecialIncomeCharges,,,,,,,,,,"1,286,000,000",,"-370,000,000","-267,000,000","745,000,000","638,000,000","1,681,000,000",,,,,"251,033,487.829",,,"226,776,738.644",
	OtherNonOperatingIncomeExpenses,"1,285,000,000","1,285,000,000","1,166,000,000","1,180,000,000","482,000,000","145,000,000","190,000,000","525,000,000",,,,,,,,,,,,,,,,,
PretaxIncome,"5,849,000,000","5,849,000,000","7,240,000,000","5,164,000,000","2,993,000,000","4,865,000,000","6,532,000,000","4,689,000,000","3,263,000,000","4,085,000,000","3,335,000,000","1,995,000,000","2,331,000,000","943,000,000","1,515,000,000","2,148,000,000","606,000,000","573,000,000","186,940,819.153","190,984,370.407","360,048,030.677","321,650,785.387","285,714,228.245","478,528,888.19",
TaxProvision,"495,000,000","495,000,000","-248,000,000","613,000,000","-345,000,000","196,000,000","1,323,000,000","845,000,000","516,000,000","411,000,000","140,000,000","-24,000,000","461,000,000","156,000,000","345,000,000","486,000,000","239,000,000","165,000,000","103,967,086.533","-3,999,672.735","101,013,475.158","29,967,464.597","16,096,576.331","44,955,740.741",
NetIncomeCommonStockholders,"2,581,000,000","2,581,000,000","3,328,000,000","1,317,000,000","1,518,000,000","2,207,000,000","2,958,000,000","1,988,000,000","1,276,000,000","1,851,000,000","1,454,000,000","454,000,000","649,000,000","787,000,000","1,170,000,000","1,662,000,000","688,000,000","408,000,000","82,973,732.619","167,986,252.968","411,054,834.945","263,713,686.798","244,466,751.803","413,592,817.61","187,003,575.598"
	NetIncome,"2,807,000,000","2,807,000,000","3,584,000,000","1,462,000,000","1,651,000,000","2,341,000,000","3,110,000,000","2,120,000,000","1,380,000,000","1,957,000,000","1,454,000,000","454,000,000","649,000,000","787,000,000","1,170,000,000","1,662,000,000","688,000,000","408,000,000","82,973,732.619","194,984,043.141","432,057,636.546","291,683,320.79","269,617,651.914","433,573,147.449","187,003,575.598"
		NetIncomeIncludingNoncontrollingInterests,"5,354,000,000","5,354,000,000","7,488,000,000","4,551,000,000","3,338,000,000","4,669,000,000","5,209,000,000","3,844,000,000","2,747,000,000","3,674,000,000","3,195,000,000","2,019,000,000","1,870,000,000","885,000,000","1,334,000,000","1,896,000,000","946,000,000","627,000,000","285,909,488.601","267,978,069.448","530,070,711.571","381,585,713.891","349,094,497.303","511,496,431.866","187,003,575.598"
