name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
TotalRevenue,"16,596,000,000","16,596,000,000","16,994,000,000","11,723,000,000","15,698,000,000","16,935,347,000","5,382,016,000","4,492,579,000","4,277,341,000","3,820,378,000","2,683,792,000"
	OperatingRevenue,"16,596,000,000","16,596,000,000","16,634,000,000","11,570,000,000","15,497,000,000","16,851,748,000","5,370,886,000","4,486,968,000","4,269,827,000","3,820,378,000","2,678,277,000"
CostOfRevenue,"15,380,000,000","15,380,000,000","15,872,000,000","10,615,000,000","13,479,000,000","15,477,183,000","5,206,090,000","4,421,615,000","4,225,839,000","3,777,355,000","2,647,693,000"
GrossProfit,"1,216,000,000","1,216,000,000","1,122,000,000","1,108,000,000","2,219,000,000","1,458,164,000","175,926,000","70,964,000","51,502,000","43,023,000","36,099,000"
OperatingExpense,"684,000,000","684,000,000","758,000,000","765,000,000","1,787,000,000","1,137,864,000","98,828,000","29,702,000","27,749,000","25,841,000","21,277,000"
	SellingGeneralAndAdministration,"197,000,000","197,000,000","213,000,000","221,000,000","409,000,000","259,638,000","37,621,000","17,828,000","15,540,000","14,881,000","12,277,000"
		GeneralAndAdministrativeExpense,"197,000,000","197,000,000","213,000,000","221,000,000","409,000,000","259,638,000","37,621,000","17,828,000","15,540,000","14,881,000","12,277,000"
			RentAndLandingFees,"61,000,000","61,000,000","72,000,000","81,000,000","140,000,000","92,949,000","4,188,000","1,014,000","3,527,000","4,322,000","3,797,000"
			OtherGandA,"136,000,000","136,000,000","141,000,000","140,000,000","269,000,000","166,689,000","33,433,000","16,814,000","12,013,000","10,559,000","8,480,000"
	DepreciationAmortizationDepletionIncomeStatement,"183,000,000","183,000,000","182,000,000","169,000,000","319,000,000","201,019,000","26,955,000","8,687,000","7,031,000","6,090,000","4,771,000"
		DepreciationAndAmortizationInIncomeStatement,"183,000,000","183,000,000","182,000,000","169,000,000","319,000,000","201,019,000","26,955,000","8,687,000","7,031,000",,"4,771,000"
	OtherOperatingExpenses,"304,000,000","304,000,000","363,000,000","375,000,000","1,059,000,000","677,207,000","34,252,000","3,187,000","5,178,000","4,870,000","4,229,000"
OperatingIncome,"532,000,000","532,000,000","364,000,000","343,000,000","432,000,000","320,300,000","77,098,000","41,262,000","23,753,000","17,182,000","14,822,000"
NetNonOperatingInterestIncomeExpense,"-173,000,000","-173,000,000","-144,000,000","-209,000,000","-189,000,000","-87,575,000","-14,329,000","-3,471,000","-809,000","-324,000","-284,000"
	InterestIncomeNonOperating,"2,000,000","2,000,000","3,000,000","1,000,000","10,000,000","2,764,000",,"266,000","233,000","88,000","48,000"
	InterestExpenseNonOperating,"168,000,000","168,000,000","141,000,000","195,000,000","188,000,000","86,824,000",,"3,356,000","940,000","412,000","332,000"
	TotalOtherFinanceCost,"7,000,000","7,000,000","6,000,000","15,000,000","11,000,000","3,515,000","14,329,000","381,000","102,000",,
OtherIncomeExpense,"-63,000,000","-63,000,000","-128,000,000","-114,000,000","-680,000,000","-2,050,000","-2,631,000","-324,000","-341,000","-221,000","-86,000"
	EarningsFromEquityInterest,"2,000,000","2,000,000",,,,,,,,,
	SpecialIncomeCharges,"-68,000,000","-68,000,000","-128,000,000","-114,000,000","-680,000,000","-2,050,000","-2,631,000","-324,000","-341,000","-221,000","-86,000"
		OtherSpecialCharges,,,"109,000,000",,,,,,,,
		GainOnSaleOfPPE,"-68,000,000","-68,000,000","-19,000,000","-114,000,000","-680,000,000","-2,050,000","-2,631,000","-324,000","-341,000",,"-86,000"
	OtherNonOperatingIncomeExpenses,"3,000,000","3,000,000",,,,,,,,,
PretaxIncome,"296,000,000","296,000,000","92,000,000","20,000,000","-437,000,000","230,675,000","60,138,000","37,467,000","22,603,000","16,637,000","14,452,000"
TaxProvision,"-17,000,000","-17,000,000","34,000,000","-306,000,000","-31,000,000","47,070,000","-2,352,000","-440,000","5,033,000","6,039,000","5,236,000"
NetIncomeCommonStockholders,"313,000,000","313,000,000","-207,000,000","149,000,000","-406,000,000","87,238,000","56,743,000","37,027,000","9,150,000","10,598,000","9,216,000"
	NetIncome,"313,000,000","313,000,000","-207,000,000","149,000,000","-406,000,000","129,822,000","56,743,000","37,027,000","17,570,000","10,598,000","9,216,000"
		NetIncomeIncludingNoncontrollingInterests,"313,000,000","313,000,000","-207,000,000","149,000,000","-406,000,000","183,605,000","57,786,000","37,027,000","17,570,000","10,598,000","9,216,000"
			NetIncomeContinuousOperations,"313,000,000","313,000,000","58,000,000","326,000,000","-406,000,000","183,605,000","62,490,000","37,907,000","17,570,000","10,598,000","9,216,000"
			NetIncomeDiscontinuousOperations,"0","0","-265,000,000","-177,000,000",,,,,,,
		MinorityInterests,,,,,"0","-53,783,000","-1,043,000",,,,
	PreferredStockDividends,,,,,,"42,584,000",,,,,
	OtherunderPreferredStockDividend,,,,,,,,"0","8,420,000",,
DilutedNIAvailtoComStockholders,"313,000,000","313,000,000","-207,000,000","149,000,000","-406,000,000","87,238,000","56,743,000","37,027,000","9,150,000","10,598,000","9,216,000"
BasicEPS,,,"-3.39","0.35","-5.26","1.11","1.96","1.69","0.42","0.484","0.421"
DilutedEPS,,,"-3.39","0.34","-5.26","1.11","1.96","1.69","0.42","0.484","0.421"
BasicAverageShares,,,"84,299,893","99,270,120","93,575,530","50,264,246","25,145,972","21,903,694","21,878,872","21,878,872","21,878,872"
DilutedAverageShares,,,"84,820,570","99,728,354","93,603,835","50,285,984","25,163,084","21,903,694","21,878,872","21,878,872","21,878,872"
TotalOperatingIncomeAsReported,"464,000,000","464,000,000","345,000,000","229,000,000","-248,000,000","318,250,000","74,467,000","40,938,000","23,412,000","16,961,000","14,736,000"
RentExpenseSupplemental,"61,000,000","61,000,000","72,000,000","81,000,000","140,000,000","92,949,000","4,188,000","1,014,000","3,527,000","4,322,000","3,797,000"
TotalExpenses,"16,064,000,000","16,064,000,000","16,630,000,000","11,380,000,000","15,266,000,000","16,615,047,000","5,304,918,000","4,451,317,000","4,253,588,000","3,803,196,000","2,668,970,000"
InterestIncome,"2,000,000","2,000,000","3,000,000","1,000,000","10,000,000","2,764,000",,"266,000","233,000","88,000","48,000"
InterestExpense,"168,000,000","168,000,000","141,000,000","195,000,000","188,000,000","86,824,000",,"3,356,000","940,000","412,000","332,000"
NetInterestIncome,"-173,000,000","-173,000,000","-144,000,000","-209,000,000","-189,000,000","-87,575,000","-14,329,000","-3,471,000","-809,000","-324,000","-284,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"313,000,000","313,000,000","-207,000,000","149,000,000","-406,000,000","129,822,000","56,743,000","37,027,000","17,570,000","10,598,000","9,216,000"
NormalizedIncome,"362,640,000","362,640,000","138,695,652.174","394,400,000","225,762,013.73","131,453,690.69","58,453,150","37,347,112","17,834,957","10,738,780.069","9,270,868"
EBIT,"464,000,000","464,000,000","233,000,000","215,000,000","-249,000,000","317,499,000","77,098,000","40,823,000","23,543,000","17,049,000","14,784,000"
EBITDA,"647,000,000"
ReconciledCostOfRevenue,"15,380,000,000","15,380,000,000","15,872,000,000","10,615,000,000","13,479,000,000","15,477,183,000","5,206,090,000","4,421,615,000","4,225,839,000","3,777,355,000","2,647,693,000"
ReconciledDepreciation,"183,000,000","183,000,000","182,000,000","169,000,000","319,000,000","201,019,000","26,955,000","8,687,000","7,031,000","6,090,000","4,771,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"313,000,000","313,000,000","58,000,000","326,000,000","-406,000,000","129,822,000","56,743,000","37,027,000","17,570,000","10,598,000","9,216,000"
TotalUnusualItemsExcludingGoodwill,"-68,000,000","-68,000,000","-128,000,000","-114,000,000","-680,000,000","-2,050,000","-2,631,000","-324,000","-341,000","-221,000","-86,000"
TotalUnusualItems,"-68,000,000","-68,000,000","-128,000,000","-114,000,000","-680,000,000","-2,050,000","-2,631,000","-324,000","-341,000","-221,000","-86,000"
NormalizedEBITDA,"715,000,000","715,000,000","543,000,000","498,000,000","750,000,000","520,568,000","106,684,000","49,834,000","30,915,000","23,360,000","19,641,000"
TaxRateForCalcs,"0.27","0.27","0.37","0.4","0.071","0.204","0.35","0.012","0.223","0.363","0.362"
TaxEffectOfUnusualItems,"-18,360,000","-18,360,000","-47,304,347.826","-45,600,000","-48,237,986.27","-418,309.31","-920,850","-3,888","-76,043","-80,219.931","-31,132"
