name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998
TotalAssets,"57,991,000,000","42,249,000,000","32,866,000,000","57,672,000,000","52,849,000,000","47,876,000,000","46,494,000,000","45,417,000,000","47,928,000,000","41,737,000,000","41,011,000,000","41,392,000,000","45,217,000,000","41,956,000,000","42,034,000,000","43,764,000,000","47,241,000,000","42,457,000,000","41,637,000,000","43,127,000,000","45,500,000,000","39,228,113,000","35,462,142,000","35,958,000,000","38,008,352,000","33,575,523,000","33,402,053,000","34,237,982,000","35,396,234,000","34,758,000,000","33,955,039,000","32,030,167,000","33,769,005,000","30,952,700,000","30,423,371,000","30,228,825,000","29,932,748,000","18,608,465,000","17,926,195,000","17,766,167,000","18,031,367,000","16,904,650,000","13,523,281,000","13,370,249,000","13,546,193,000","13,116,848,836","12,959,399,095.48","10,435,364,000","12,746,106,000","11,227,153,522.9","9,349,653,000","8,950,867,000","11,672,273,000","10,603,159,000","10,369,978,000","10,724,151,000","10,923,212,000","10,485,737,000","10,449,996,000","10,719,631,000","10,422,878,000","9,935,353,776.82","9,393,951,884.49","9,826,239,000","9,149,422,252.3","8,442,084,092.4","8,420,368,930.08","8,878,895,765.01","8,947,641,952.02","7,872,772,428.86","8,113,336,761.4","7,014,651,830.4","7,097,789,472.6","6,162,286,640","5,852,490,415.2","6,329,530,106.67","6,445,679,227.07","5,742,410,514.83","5,292,931,061.1","4,949,610,205.6","5,109,428,262.3","4,820,586,165","3,188,630,432","3,299,696,310.3","3,040,639,485.8","2,740,072,176.4","2,404,165,433.4","2,046,638,658"
	CurrentAssets,"19,892,000,000","20,899,000,000","12,003,000,000","36,919,000,000","36,304,000,000","31,876,000,000","31,240,000,000","30,612,000,000","33,220,000,000","27,320,000,000","26,968,000,000","27,970,000,000","31,651,000,000","19,918,000,000","19,448,000,000","21,113,000,000","24,960,000,000","19,744,000,000","19,482,000,000","21,297,000,000","24,133,000,000","18,329,165,000","15,669,379,000","16,382,000,000","18,609,735,000","14,849,309,000","14,909,748,000","15,886,152,000","17,250,684,000","17,184,000,000","16,757,631,000","15,465,684,000","17,276,392,000","15,438,100,000","15,295,036,000","14,881,928,000","14,716,365,000","8,705,954,000","8,278,070,000","8,199,530,000","8,244,349,000","7,881,772,000","5,922,417,000","5,616,237,000","5,652,476,000","5,311,296,276","5,100,817,515.18","3,180,425,000","5,009,132,000","3,857,355,366.9","2,484,264,000","2,079,339,000","4,878,416,000","4,378,211,000","4,296,293,000","4,648,031,000","4,910,375,000","4,323,383,000","3,510,986,000","3,909,920,000","3,490,681,000","2,923,699,148.21","2,786,915,181.21","3,252,820,000","3,772,377,086.02","2,944,464,757.36","3,039,915,700.32","3,384,139,713.12","3,779,409,176.88","2,986,699,187.06","3,303,342,923.4","2,768,098,118.4","2,899,686,482.1","2,162,430,311.5","1,973,225,439.3","2,335,844,587.19","2,707,773,245.2","2,000,656,739.95","1,873,957,913.49","2,065,978,975.2","2,437,052,579.4","2,392,944,840","1,009,001,136","1,149,395,483.19","1,263,522,269.8","1,103,805,204.8","886,718,956","885,693,438"
		CashCashEquivalentsAndShortTermInvestments,"7,954,000,000","12,656,000,000","4,705,000,000","2,359,000,000","4,369,000,000","2,625,000,000","3,054,000,000","1,701,000,000","3,792,000,000","1,266,000,000","2,366,000,000","1,683,000,000","5,112,000,000","3,385,000,000","3,716,000,000","4,448,000,000","11,015,000,000","5,414,000,000","6,811,000,000","6,145,000,000","11,149,000,000","6,601,101,000","5,378,920,000","5,374,000,000","8,391,629,000","4,803,289,000","5,060,362,000","6,002,374,000","7,086,251,000","5,551,000,000","5,473,383,000","3,745,811,000","4,969,955,000","3,574,500,000","3,963,067,000","3,955,155,000","4,425,996,000","2,128,035,000","1,768,200,000","1,807,633,000","2,341,927,000","2,153,703,000","1,725,344,000","1,232,219,000","1,625,612,000","1,455,988,924","1,294,317,436.28","863,798,000","1,064,132,000","754,385,002.7","620,328,000","119,821,000","1,281,511,000","2,506,870,000","2,509,951,000","2,834,961,000","1,710,837,000","2,714,773,000","1,725,766,000","1,976,264,000","1,105,519,000","683,953,876.61","572,111,395.5","854,472,000","980,542,335.52","681,975,344.12","966,945,024","1,009,160,167.41","1,117,563,651.84","1,065,170,624.66","1,360,808,359.8","998,015,760","1,048,948,075.5","72,638,487","53,628,219.3","59,043,061.84","889,524,218.88","477,012,254.95","596,598,807.58","925,146,668","1,267,510,336.7","1,516,449,825","220,740,104","328,102,375.98","372,205,341.2","345,706,247.2","250,733,531","262,520,793"
			CashAndCashEquivalents,"7,954,000,000","12,656,000,000","4,705,000,000","2,359,000,000","4,369,000,000","2,625,000,000","3,054,000,000","1,701,000,000","3,792,000,000","1,266,000,000","2,366,000,000","1,683,000,000","5,112,000,000","3,385,000,000","3,716,000,000","4,448,000,000","11,015,000,000","5,414,000,000","6,811,000,000","6,145,000,000","11,149,000,000","6,601,101,000","5,355,930,000","5,374,000,000","8,367,176,000","4,780,019,000","5,037,251,000","6,002,374,000","7,086,251,000","5,551,000,000","5,473,383,000","3,745,811,000","4,969,955,000","3,574,500,000","3,963,067,000","3,587,926,000","3,817,994,000","265,687,000","226,538,000","242,728,000","2,341,927,000","216,918,000","166,826,000","149,124,000","263,910,000","173,923,828","104,487,214.62","863,798,000","414,013,000","176,150,070.6","620,328,000","119,821,000","247,677,000","109,172,000","74,783,000","73,066,000","168,603,000","106,310,000","72,496,000","89,311,000","1,105,519,000","93,514,312.18","93,015,533.49","97,200,000","980,542,335.52","55,432,426.84","65,331,209.28","67,942,777.32","1,117,563,651.84","64,967,354.98","88,477,670.2","111,988,390.4","1,048,948,075.5","72,638,487","53,628,219.3","59,043,061.84","889,524,218.88","477,012,254.95","596,598,807.58","925,146,668","1,267,510,336.7","1,516,449,825","220,740,104","328,102,375.98","372,205,341.2","345,706,247.2","250,733,531","262,520,793"
				CashFinancial,,,"366,000,000","376,000,000","486,000,000","348,000,000","292,000,000","404,000,000","464,000,000","246,000,000","168,000,000","160,000,000","415,000,000",,"305,000,000",,"540,000,000",,,"438,000,000","1,388,000,000","283,611,000","199,813,000","253,519,000","343,114,000","289,519,000","381,124,000","523,326,000","490,616,000",,,,,,,,"417,561,000",,,,"242,382,000",,,,,,,"38,908,000",,,"64,125,000","68,498,000","247,677,000","109,172,000","74,783,000","73,066,000","168,603,000","106,310,000","72,496,000","89,311,000",,,,"97,200,000",,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,,"4,339,000,000","1,983,000,000","3,883,000,000","2,277,000,000","2,762,000,000","1,297,000,000","3,328,000,000","1,020,000,000","2,198,000,000","1,523,000,000","4,697,000,000",,"3,411,000,000",,"10,475,000,000",,,"5,707,000,000","9,761,000,000","6,317,490,000","5,156,117,000","5,096,940,000","8,024,062,000","4,490,500,000","4,656,127,000","5,479,048,000","6,595,635,000",,,,,,,,"3,400,433,000",,,,"2,099,545,000",,,,,,,"824,890,000",,,"556,203,000","51,323,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,"0",,,,"0","0","22,990,000","23,622,000","24,453,000","23,270,000","23,111,000",,,,,,"0",,"0","367,229,000","608,002,000","1,862,348,000","1,541,662,000","1,564,905,000",,"1,936,785,000","1,558,518,000","1,083,095,000","1,361,702,000","1,282,065,096","1,189,830,221.66","1,040,111,390","650,119,000","578,234,932.1","1,153,518,803.2","743,045,091","1,033,834,000","2,397,698,000","2,435,168,000","2,761,895,000","1,542,234,000","2,608,463,000","1,653,270,000","1,886,953,000",,"590,439,564.43","479,095,862.01","757,272,000","0","626,542,917.28","901,613,814.72","941,217,390.09","0","1,000,203,269.68","1,272,330,689.6","886,027,369.6",,,,,,,,,,,,,,,,
		Receivables,"2,735,000,000","1,273,000,000","932,000,000","1,720,000,000","1,365,000,000","1,316,000,000","828,000,000","1,430,000,000","1,499,000,000","1,434,000,000","951,000,000","1,299,000,000","1,343,000,000","9,377,000,000","5,857,000,000","6,580,000,000","4,665,000,000","4,882,000,000","3,680,000,000","5,474,000,000","4,313,000,000","3,911,658,000","3,456,239,000","3,170,000,000","3,797,429,000","3,553,701,000","3,686,199,000","3,978,566,000","4,404,785,000","3,170,000,000","6,159,203,000","6,306,309,000","6,624,823,000","4,028,400,000","6,256,999,000","5,344,143,000","4,935,589,000","2,563,167,000","2,820,951,000","2,611,358,000","2,781,801,000","2,423,216,000","437,595,000","378,451,000","2,199,296,000","2,169,585,132","2,163,756,268.92","1,223,618,000","2,196,342,000","1,778,169,330","921,724,000","908,595,000","2,000,441,000","1,707,011,000","1,583,190,000","1,608,511,000","1,892,963,000","1,526,323,000","1,679,282,000","1,823,843,000","1,187,809,000","1,159,866,861.54","1,243,210,865.13","1,246,645,000","1,450,926,026.47","861,578,952.64","802,062,171.36","904,332,630.21","1,438,434,175.56","981,003,693.82","1,021,007,667.6","980,790,896","1,053,878,318.4","785,728,821","799,429,757.7","848,185,451.69","937,489,562.99","653,673,901.65","533,096,862.16","482,827,208","574,397,764.5","413,296,650","380,751,176","396,912,936.96","465,208,952.6","380,848,612.4","375,372,216.8","344,385,930"
			AccountsReceivable,"727,000,000","364,000,000","317,000,000","765,000,000","384,000,000","953,000,000","296,000,000","857,000,000","632,000,000","1,039,000,000","502,000,000","682,000,000","448,000,000","7,735,000,000","4,310,000,000","5,118,000,000","2,980,000,000","3,776,000,000","2,662,000,000","4,355,000,000","2,926,000,000","2,556,880,000","2,435,857,000","2,410,000,000","2,472,724,000","2,364,987,000","2,396,722,000","2,793,063,000","2,542,474,000","2,368,000,000","5,269,323,000","5,274,634,000","5,717,121,000","2,616,800,000","4,909,571,000","4,243,157,000","4,047,234,000","1,835,605,000","2,115,838,000","2,043,309,000","2,365,251,000","2,096,602,000",,,"1,876,928,000","1,600,910,376","1,621,755,077","1,223,618,000","1,816,362,000","1,387,752,505.3","921,724,000","480,602,000","1,621,592,000","1,156,022,000","1,079,283,000","1,098,728,000","1,416,727,000","888,632,000","996,854,000","1,100,850,000","666,731,000","327,586,051.63","514,758,346.41","517,436,000","1,052,351,331.65","861,578,952.64","802,062,171.36","904,332,630.21","1,089,899,958.54","981,003,693.82","1,021,007,667.6","980,790,896","976,385,489.7","785,728,821","799,429,757.7","848,185,451.69","885,620,539.1",,,,"509,405,306.4",,,,,,,
				GrossAccountsReceivable,,"369,000,000","322,000,000",,"389,000,000","957,000,000","300,000,000","861,000,000",,"1,042,000,000","505,000,000","685,000,000","450,000,000","4,138,000,000","4,667,000,000","5,470,000,000","3,359,000,000","4,146,000,000","2,993,000,000","4,683,000,000","3,266,000,000","2,887,860,000","2,674,189,000","2,637,000,000","2,708,721,000",,"2,616,769,000","2,996,945,000","2,737,454,000","2,566,000,000",,,"5,928,091,000","2,815,700,000",,,"4,220,135,000",,,"2,065,900,000",,,,,,,,,,,,,,"1,164,436,000","1,084,990,000","1,101,045,000",,"893,853,000","1,019,944,000","1,121,778,000",,,,"520,001,000","1,073,245,732.79",,,,"1,121,145,949.68",,,,,,,,,,,,,,,,,,,
