name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005
MarketCap,"5,887,969,021","10,312,977,453","9,694,832,717","9,922,882,441","7,338,434,040","9,512,058,300","13,173,114,609","13,014,863,129","12,789,061,774","9,479,967,317","9,631,760,052","4,409,183,238","2,795,219,459","6,191,579,604","1,414,612,669","839,172,775"
EnterpriseValue,"9,883,969,021","14,264,977,453","13,369,832,717","13,716,882,441","11,324,434,040","12,107,958,300","15,114,314,609","13,826,663,129","12,119,161,774","9,671,567,317","10,789,960,052","3,531,783,238","2,174,319,459","5,335,479,604","1,113,612,669","525,930,775"
PeRatio,"12.35","21.899","14.407",,"101.548","10.666","9.772","8.824","7.106","7.879","25.309","12.235","4.046","16.752",,
ForwardPeRatio,"16.393","19.084",,"113.636","32.258","9.533","12.285","8.258","7.013","6.285","11.614",,"6.427",,,
PegRatio,"0.971","0.604",,,,,,,,"1.048","2.323",,,,,
PsRatio,"1.33","2.294","2.328","2.544","1.869","2.215","2.992","2.52","2.153","1.847","2.229","1.712","0.707","2.264","0.74","0.436"
PbRatio,"2.032","3.461","2.822","3.134","1.901","2.313","2.929","2.549","2.167","2.225","2.378","2.55","2.089","5.216","1.812","1.038"
EnterprisesValueRevenueRatio,"2.168","3.108","3.019","3.321","3.073","2.81","3.187","2.526","1.985","1.586","2.721","1.354","0.555","1.935","0.571","0.276"
EnterprisesValueEBITDARatio,"5.271","7.624","8.04","12.977","19.097","7.322","5.501","5.015","3.615","3.014","8.276","4.425","1.738","7.777","6.713","2.253"
