name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004
TotalRevenue,"4,410,000,000","4,592,000,000","4,151,000,000","2,586,000,000","1,634,988,000","1,803,573,000","2,660,147,000","2,319,919,000","1,819,814,000","1,739,967,000","972,576,000","544,447,000","533,789,000","294,333,000","198,290,000","54,936,000","3,622,000"
	OperatingRevenue,"4,410,000,000","4,592,000,000","4,151,000,000","2,586,000,000","1,634,988,000","1,803,573,000","2,660,147,000","2,319,919,000","1,819,814,000","1,739,967,000","972,576,000","544,447,000","533,789,000","294,333,000","198,290,000","54,936,000","3,622,000"
CostOfRevenue,"3,066,000,000","3,029,000,000","2,373,000,000","1,753,000,000","1,618,512,000","1,764,612,000","1,518,114,000","1,228,044,000","918,871,000","308,011,000","181,091,000","118,778,000","129,702,000","59,064,000","43,434,000","17,301,000",
GrossProfit,"1,344,000,000","1,563,000,000","1,778,000,000","833,000,000","16,476,000","38,961,000","1,142,033,000","1,091,875,000","900,943,000","1,431,956,000","791,485,000","425,669,000","404,087,000","235,269,000","154,856,000","37,635,000",
OperatingExpense,"3,325,000,000","652,000,000","441,000,000","311,000,000","310,152,000","297,181,000","496,054,000","285,411,000","177,823,000","539,382,000","315,628,000","415,300,000","-82,724,000","151,621,000","81,250,000","28,941,000",
	SellingGeneralAndAdministration,"462,000,000","459,000,000","385,000,000","260,000,000","242,427,000","255,006,000","227,408,000","188,277,000","133,796,000","96,261,000","64,275,000","52,277,000","40,776,000","29,446,000","21,721,000","11,307,000",
		GeneralAndAdministrativeExpense,"323,000,000","344,000,000","330,000,000","260,000,000","242,427,000","255,006,000","227,408,000","188,277,000","133,796,000",,,,,,,,
			SalariesAndWages,"79,000,000","85,000,000","82,000,000","60,000,000","58,927,000","63,073,000","47,130,000","35,078,000",,,,,,,,,
			OtherGandA,"244,000,000","259,000,000","248,000,000","200,000,000","183,500,000","191,933,000","180,278,000","153,199,000","133,796,000",,,,,,,,
		SellingAndMarketingExpense,"139,000,000","115,000,000","55,000,000",,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,"428,377,000","249,850,000","206,143,000","123,912,000","76,779,000","60,722,000","11,485,000",
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,"76,779,000","60,722,000","11,485,000",
	ProvisionForDoubtfulAccounts,,,,,,,,,,"0",,"-1,035,000","2,905,000",,,,
	OtherTaxes,,,,,,,,,,,,,,"24,301,000",,,
	OtherOperatingExpenses,"2,863,000,000","193,000,000","56,000,000","51,000,000","67,725,000","42,175,000","268,646,000","97,134,000","44,027,000","14,744,000","1,503,000","157,915,000","-250,317,000","21,095,000","-1,193,000","6,149,000",
OperatingIncome,"-1,981,000,000","911,000,000","1,337,000,000","522,000,000","-293,676,000","-258,220,000","645,979,000","806,464,000","723,120,000","892,574,000","475,857,000","10,369,000","486,811,000","83,648,000","73,606,000","8,694,000","3,622,000"
NetNonOperatingInterestIncomeExpense,"-180,000,000","-185,000,000","-149,000,000","-146,000,000","-201,579,000","-215,384,000","-216,661,000","-218,581,000","-182,705,000","-118,360,000","-60,087,000","-28,292,000","-29,039,000",,,,
	InterestExpenseNonOperating,"180,000,000","185,000,000","149,000,000","146,000,000","191,642,000","215,384,000","205,724,000","205,409,000","170,747,000","118,360,000","60,087,000","28,292,000","29,039,000",,,,
	TotalOtherFinanceCost,,,,,"9,937,000",,"10,937,000","13,172,000","11,958,000",,,,,,,,
OtherIncomeExpense,"-8,653,000,000","-1,585,000,000","1,701,000,000","505,000,000","-1,843,281,000","570,875,000","426,642,000","-230,724,000","118,856,000","-27,763,000","-110,087,000","-12,611,000","-16,985,000","-35,033,000","-17,977,000","-10,138,000",
