name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
MarketCap,"11,249,363,360","17,311,595,518","20,584,440,568","22,337,117,927","19,366,341,384","11,991,752,915","11,272,228,201","11,350,309,680","8,425,090,956","9,720,298,218","9,013,363,132","3,852,579,215","1,932,997,560","1,562,903,909"
EnterpriseValue,"15,040,363,360","21,715,595,518","24,790,440,568","25,143,117,927","20,948,249,384","15,923,747,915","14,551,847,201","15,008,381,680","11,547,588,956","11,566,548,218","10,686,959,132","4,698,596,215","2,554,679,560","1,865,534,909"
PeRatio,,"11.947","15.765","37.934",,"54.304","21.044","52.683","20.499","18.901","44.959",,"6.595","54.237"
ForwardPeRatio,"29.155","24.57","18.832","62.112","500","156.25","34.722","22.779","17.301","17.483","23.641",,,
PegRatio,"2.319","5.842","0.554",,,,"0.503","1.24","0.577","0.368","0.483",,,
PsRatio,"2.568","3.954","4.218","9.475","11.546","5.381","3.96","5.185","4.603","5.988","8.459","7.003","3.445","4.643"
PbRatio,"1.343","0.935","1.195","2.589","2.692","1.955","2.191","3.114","2.431","3.18","3.781","2.885","1.459","2.016"
EnterprisesValueRevenueRatio,"3.411","4.729","5.972","9.723","12.812","8.829","5.47","6.469","6.345","6.648","10.988","8.63","4.786","6.338"
EnterprisesValueEBITDARatio,"-1.747","16.834","5.489","11.571","-21.383","10.368","7.128","11.241","8.218","8.944","17.36","23.044","4.303","11.341"
