name,ttm,12/31/2019,12/31/2018
MarketCap,"9,461,291,750","11,232,786,888","6,624,524,394"
EnterpriseValue,"8,964,571,028","11,232,786,888","6,624,524,394"
PeRatio,"38.561","35.519","27.349"
ForwardPeRatio,"27.548","21.834","15.221"
PsRatio,"14.832","13.596","10.003"
PbRatio,"6.562","5.954","3.796"
EnterprisesValueRevenueRatio,"2.525","3.164","2.508"
EnterprisesValueEBITDARatio,"4.312","5.403","4.928"
