name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
TotalRevenue,"2,431,093,000,000","509,098,000,000","702,408,000,000","618,143,000,000","605,218,000,000","591,041,000,000","643,655,000,000","601,111,000,000","566,168,000,000","542,654,000,000","558,186,000,000","481,795,000,000","482,350,000,000","493,559,000,000","466,466,000,000","411,370,000,000","386,237,000,000","352,830,000,000","420,323,000,000","427,481,000,000","467,288,000,000","410,336,000,000","528,414,000,000","600,580,000,000","625,021,000,000","528,947,000,000","575,340,000,000","581,688,000,000","560,833,000,000","540,263,000,000","597,027,000,000","551,608,000,000","521,014,000,000","525,647,000,000","520,935,000,000","530,661,000,000","506,267,000,000","445,980,000,000","417,316,000,000","363,302,000,000","366,002,000,000","318,795,000,000","336,256,000,000","267,742,000,000","233,695,000,000","181,582,000,000","217,488,000,000","304,136,000,000","274,626,122,200","274,594,084,080","222,154,406,360","220,817,168,000","196,033,437,000","196,031,112,000","178,791,202,000","181,606,310,800","163,307,270,500","163,168,441,680","152,159,026,110","153,424,130,400","126,241,787,500","126,241,787,500","104,536,478,200","104,544,756,350","89,776,536,750","89,776,536,750","77,905,669,650","77,913,947,800","73,981,826,550","73,981,826,550","68,509,477,260","68,107,414,860","53,893,224,900","53,895,180,600","58,606,458,240","58,280,940,000","60,999,979,300","61,007,358,300","65,418,387,000","65,480,276,400","55,446,579,840","55,446,579,840"
	OperatingRevenue,"2,431,093,000,000","509,098,000,000","702,408,000,000","618,143,000,000","605,218,000,000","591,041,000,000","643,655,000,000","601,111,000,000","566,168,000,000","542,654,000,000","558,186,000,000","481,795,000,000","482,350,000,000","493,559,000,000","466,466,000,000","411,370,000,000","386,237,000,000","352,830,000,000","420,323,000,000","427,481,000,000","467,288,000,000","410,336,000,000","528,414,000,000","600,580,000,000","625,021,000,000","528,947,000,000","575,340,000,000","581,688,000,000","560,833,000,000","540,263,000,000","597,027,000,000","551,608,000,000","521,014,000,000","525,647,000,000","520,935,000,000","530,661,000,000","506,267,000,000","445,980,000,000","417,316,000,000","363,302,000,000","366,002,000,000","318,795,000,000","336,256,000,000","267,742,000,000","233,695,000,000","181,582,000,000","217,488,000,000","304,136,000,000","274,626,122,200","274,594,084,080","222,154,406,360","220,817,168,000","196,033,437,000","196,031,112,000","178,791,202,000","181,606,310,800","163,307,270,500","163,168,441,680","152,159,026,110","153,424,130,400","126,241,787,500","126,241,787,500","104,536,478,200","104,544,756,350","89,776,536,750","89,776,536,750","77,905,669,650","77,913,947,800","73,981,826,550","73,981,826,550","68,509,477,260","68,107,414,860","53,893,224,900","53,895,180,600","58,606,458,240","58,280,940,000","60,999,979,300","61,007,358,300","65,418,387,000","65,480,276,400","55,446,579,840","55,446,579,840"
CostOfRevenue,"1,883,542,000,000","412,410,000,000","537,888,000,000","480,498,000,000","455,385,000,000","449,325,000,000","501,883,000,000","435,635,000,000","422,399,000,000","411,022,000,000","420,281,000,000","356,144,000,000","372,195,000,000","374,471,000,000","340,754,000,000","303,114,000,000","276,793,000,000","257,126,000,000","328,395,000,000","311,370,000,000","326,301,000,000","293,604,000,000","390,600,000,000","446,710,000,000","458,653,000,000","367,725,000,000","403,883,000,000","425,474,000,000","424,523,000,000","374,290,000,000","543,840,000,000","361,060,000,000","336,592,000,000","321,519,000,000","332,826,000,000","338,112,000,000","304,798,000,000","251,797,000,000","229,876,000,000","203,120,000,000","199,250,000,000","163,279,000,000","186,122,000,000","125,433,000,000","103,500,000,000","77,417,000,000","107,519,000,000","160,081,000,000","153,608,275,590",,,,"88,656,810,000",,,,"60,765,496,000",,,,"58,841,090,200",,,,"34,403,991,400",,,,"22,640,740,250",,,,"20,601,613,200",,,,"19,401,944,900",,,,,
GrossProfit,"547,551,000,000","96,688,000,000","164,520,000,000","137,645,000,000","149,833,000,000","141,716,000,000","141,772,000,000","165,476,000,000","143,769,000,000","131,632,000,000","137,905,000,000","125,651,000,000","110,155,000,000","119,088,000,000","125,712,000,000","108,256,000,000","109,444,000,000","95,704,000,000","91,928,000,000","116,111,000,000","140,987,000,000","116,732,000,000","137,814,000,000","153,870,000,000","166,368,000,000","161,222,000,000","171,457,000,000","156,214,000,000","136,310,000,000","165,973,000,000","53,187,000,000","190,548,000,000","184,422,000,000","204,128,000,000","188,109,000,000","192,549,000,000","201,469,000,000","194,183,000,000","187,440,000,000","160,182,000,000","166,752,000,000","155,516,000,000","150,134,000,000","142,309,000,000","130,195,000,000","104,165,000,000","109,969,000,000","144,055,000,000","121,017,846,610",,,,"107,376,627,000",,,,"102,541,774,500",,,,"67,400,697,300",,,,"55,372,545,350",,,,"51,341,086,300",,,,"33,291,611,700",,,,"41,598,034,400",,,,,
OperatingExpense,"464,201,000,000","100,067,000,000","143,666,000,000","112,925,000,000","108,607,000,000","112,279,000,000","136,331,000,000","121,489,000,000","105,918,000,000","103,592,000,000","128,996,000,000","108,774,000,000","93,354,000,000","99,406,000,000","115,718,000,000","97,281,000,000","72,231,000,000","98,377,000,000","81,947,000,000","99,905,000,000","107,763,000,000","102,841,000,000","118,922,000,000","111,415,000,000","115,451,000,000","109,059,000,000","131,313,000,000","112,266,000,000","89,529,000,000","112,894,000,000","12,851,000,000","151,221,000,000","147,044,000,000","150,887,000,000","149,645,000,000","147,616,000,000","157,497,000,000","140,697,000,000","133,336,000,000","115,444,000,000","122,493,000,000","110,840,000,000","116,666,000,000","98,399,000,000","90,528,000,000","77,832,000,000","83,154,000,000","89,334,000,000","82,154,754,080",,,,"52,905,153,000",,,,"45,110,385,320",,,,"24,635,774,400",,,,"23,245,045,200",,,,"23,841,072,000",,,,"17,625,457,200",,,,"20,873,417,500",,,,,
	SellingGeneralAndAdministration,"221,476,000,000","47,557,000,000","73,133,000,000","52,058,000,000","48,936,000,000","48,787,000,000","70,010,000,000","52,851,000,000","48,364,000,000","46,788,000,000","63,654,000,000","48,646,000,000","44,134,000,000","45,992,000,000","53,826,000,000","46,015,000,000","45,423,000,000","46,653,000,000","49,057,000,000","45,513,000,000","48,095,000,000","46,687,000,000","52,653,000,000","47,750,000,000","47,764,000,000","46,068,000,000","52,813,000,000","50,426,000,000","48,037,000,000","44,167,000,000","51,002,000,000","46,622,000,000","42,559,000,000","40,698,000,000","48,467,000,000","39,586,000,000","39,258,000,000","39,820,000,000","47,830,000,000","37,896,000,000","38,196,000,000","33,621,000,000","43,608,000,000","30,191,000,000","30,431,000,000","27,170,000,000","31,957,000,000","31,161,000,000","29,190,165,460",,,,"23,122,243,500",,,,"18,053,748,680",,,,"6,895,698,950",,,,"6,390,731,800",,,,"9,685,435,500",,,,"4,877,589,000",,,,"8,316,300,200",,,,,
		GeneralAndAdministrativeExpense,"221,476,000,000","47,557,000,000","73,133,000,000","52,058,000,000","48,936,000,000","48,787,000,000","70,010,000,000","52,851,000,000","48,364,000,000","46,788,000,000","63,654,000,000","48,646,000,000","44,134,000,000","45,992,000,000","53,826,000,000","46,015,000,000","45,423,000,000","46,653,000,000","49,057,000,000","45,513,000,000","48,095,000,000","46,687,000,000","52,653,000,000","47,750,000,000","47,764,000,000","46,068,000,000","52,813,000,000","50,426,000,000","48,037,000,000","44,167,000,000","51,002,000,000","46,622,000,000","42,559,000,000","40,698,000,000","48,467,000,000","39,586,000,000","39,258,000,000","39,820,000,000","47,830,000,000","37,896,000,000","38,196,000,000","33,621,000,000","43,608,000,000","30,191,000,000","30,431,000,000","27,170,000,000","31,957,000,000","31,161,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"153,245,000,000","31,779,000,000","54,303,000,000","34,987,000,000","32,236,000,000","32,792,000,000","51,574,000,000","34,158,000,000","28,212,000,000","30,083,000,000","40,563,000,000","29,081,000,000","26,569,000,000","29,171,000,000","32,593,000,000","28,223,000,000","27,486,000,000","29,360,000,000","32,503,000,000","28,289,000,000","27,218,000,000","30,072,000,000","34,178,000,000","29,130,000,000","28,013,000,000","29,501,000,000","32,343,000,000","28,420,000,000","27,050,000,000","28,609,000,000","29,909,000,000","26,668,000,000","24,474,000,000","25,138,000,000","28,446,000,000","23,662,000,000","21,903,000,000","23,151,000,000","26,952,000,000","18,648,000,000","20,221,000,000","17,483,000,000","20,060,000,000","15,343,000,000","15,684,000,000","14,890,000,000","17,106,000,000","14,548,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"68,231,000,000","15,778,000,000","18,830,000,000","17,071,000,000","16,700,000,000","15,995,000,000","18,436,000,000","18,693,000,000","20,152,000,000","16,705,000,000","23,091,000,000","19,565,000,000","17,565,000,000","16,821,000,000","21,233,000,000","17,792,000,000","17,937,000,000","17,293,000,000","16,554,000,000","17,224,000,000","20,877,000,000","16,615,000,000","18,475,000,000","18,620,000,000","19,751,000,000","16,567,000,000","20,470,000,000","22,006,000,000","20,987,000,000","15,558,000,000","21,093,000,000","19,954,000,000","18,085,000,000","15,560,000,000","20,021,000,000","15,924,000,000","17,355,000,000","16,669,000,000","20,878,000,000","19,248,000,000","17,975,000,000","16,138,000,000","23,548,000,000","14,848,000,000","14,747,000,000","12,280,000,000","14,851,000,000","16,613,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,286,000,000","35,105,000,000","38,941,000,000","35,359,000,000","36,212,000,000","35,237,000,000","31,265,000,000","30,569,000,000","26,788,000,000","28,406,000,000","27,446,000,000","24,626,000,000","24,774,000,000","21,966,000,000","20,893,000,000","30,358,000,000","21,491,000,000","21,368,188,290",,,,"15,587,175,000",,,,"14,959,505,660",,,,"12,897,357,700",,,,"12,334,443,500",,,,"10,455,303,450",,,,"9,424,494,000",,,,"9,085,103,300",,,,,
