name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002
TotalAssets,"6,218,346,000","7,140,029,000","7,619,205,000","7,595,934,000","7,557,192,000","6,062,084,000","5,818,435,000","5,531,393,000","5,260,364,000","5,042,639,000","4,769,054,000","4,562,980,000","4,393,999,000","4,681,693,000","4,538,747,000","4,531,823,000","4,901,261,000","5,243,286,000","6,336,362,000","7,568,504,000","7,860,051,000","8,725,293,000","8,644,094,000","8,399,007,000","7,618,635,000","7,253,135,000","7,054,364,000","6,796,370,000","6,569,949,000","6,305,152,000","6,313,255,000","6,031,304,000","5,736,449,000","5,428,577,000","5,111,552,000","4,884,128,000","4,569,771,000","4,358,247,000","4,149,694,000","3,870,633,000","3,708,120,000","3,444,537,000","3,396,162,000","3,402,804,000","3,360,560,000","4,164,933,000","5,579,040,000","5,969,272,000","5,598,448,000","5,362,794,000","5,213,961,000","5,070,454,000","4,931,675,000","4,829,750,000","4,603,855,000","4,455,282,000","4,338,483,000","4,180,335,000","4,048,505,000","3,997,660,000","1,160,353,000","1,105,446,000","1,001,941,000","947,063,000","862,530,000","805,508,000","772,565,000","738,285,000","716,884,000","674,286,000","650,737,000"
	CurrentAssets,"676,591,000","621,486,000","556,579,000","520,056,000","596,208,000","1,424,139,000","1,427,715,000","990,142,000","977,990,000","935,635,000","894,132,000","927,876,000","949,227,000","969,304,000","966,503,000","917,607,000","931,090,000","1,077,930,000","1,238,461,000","1,267,449,000","561,185,000","931,804,000","1,110,537,000","686,352,000","514,678,000","469,139,000","496,873,000","486,541,000","444,497,000","470,137,000","427,558,000","453,712,000","465,123,000","457,895,000","501,876,000","553,722,000","505,870,000","561,767,000","567,182,000","527,559,000","519,095,000","407,258,000","381,509,000","447,036,000","451,834,000","514,944,000","674,331,000","695,253,000","564,704,000","564,577,000","393,436,000","397,914,000","382,761,000","416,757,000","354,221,000","328,249,000","391,667,000","429,028,000","351,746,000","342,477,000","232,587,000","236,447,000","190,276,000","167,286,000","135,517,000","123,204,000","125,386,000","114,739,000","102,004,000","87,545,000","65,901,000"
		CashCashEquivalentsAndShortTermInvestments,"88,706,000","94,722,000","23,885,000","19,414,000","20,930,000","800,666,000","863,946,000","410,823,000","463,810,000","400,534,000","422,808,000","519,595,000","578,908,000","652,876,000","698,696,000","641,739,000","676,639,000","779,382,000","899,312,000","856,880,000","120,932,000","405,862,000","563,657,000","128,555,000","4,530,000","4,531,000","4,531,000","4,532,000","18,532,000","69,538,000","5,827,000","102,677,000","4,406,000","2,406,000","60,840,000","15,976,000","58,121,000","119,857,000","173,831,000","165,627,000","110,039,000","3,782,000","2,962,000","4,334,000","4,568,000","3,715,000","206,516,000","176,194,000","156,651,000","137,441,000","23,000","19,411,000","7,351,000","5,048,000","8,084,000","5,389,000","50,675,000","61,647,000","27,473,000","57,305,000","113,025,000","115,746,000","92,197,000","58,081,000","38,493,000","40,420,000","56,858,000","47,490,000","17,231,000","20,261,000","15,306,000"
			CashAndCashEquivalents,"88,706,000","94,722,000","23,885,000","19,414,000","20,930,000","800,666,000","863,946,000","410,823,000","463,810,000","400,534,000","422,808,000","519,595,000","578,908,000","652,876,000","698,696,000","641,739,000","676,639,000","779,382,000","899,312,000","856,880,000","120,932,000","405,862,000","563,657,000","128,555,000","4,530,000","4,531,000","4,531,000","4,532,000","18,532,000","69,538,000","5,411,000","96,932,000","4,406,000","2,406,000","57,160,000","13,150,000","54,146,000","114,126,000","148,096,000","142,057,000","62,542,000","2,544,000","2,962,000","2,960,000","2,958,000","1,213,000","201,383,000","168,801,000","147,287,000","123,050,000","23,000","19,411,000","7,351,000","5,048,000","8,084,000","5,389,000","50,675,000","61,647,000","27,473,000","57,305,000","113,025,000","115,746,000","92,197,000","58,081,000","38,493,000","40,420,000","56,858,000","47,490,000","17,231,000","20,261,000","15,306,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"416,000","5,745,000",,"0","3,680,000","2,826,000","3,975,000","5,731,000","25,735,000","23,570,000","47,497,000","1,238,000","0","1,374,000","1,610,000","2,502,000","5,133,000","7,393,000","9,364,000","14,391,000",,,,,,,,,,,,,,,,,,,,,
		Receivables,"329,977,000","448,584,000","425,329,000","387,362,000","465,902,000","454,200,000","471,423,000","444,655,000","415,248,000","460,174,000","403,185,000","335,531,000","319,142,000","274,597,000","226,983,000","229,634,000","192,160,000","225,398,000","260,060,000","319,370,000","339,711,000","412,108,000","430,702,000","449,456,000","403,283,000","367,754,000","391,105,000","381,634,000","333,550,000","302,974,000","335,011,000","251,575,000","361,553,000","359,409,000","343,197,000","293,419,000","308,946,000","310,968,000","232,235,000","217,822,000","267,366,000","227,896,000","173,914,000","181,652,000","171,851,000","259,082,000","336,089,000","418,464,000","355,976,000","315,327,000","292,218,000","294,717,000","300,147,000","306,458,000","256,206,000","251,005,000","261,003,000","289,184,000","250,193,000","208,042,000","96,118,000","103,989,000","81,215,000","90,353,000","81,767,000","68,293,000","56,510,000","56,267,000","73,870,000","58,276,000","44,479,000"
			AccountsReceivable,"329,977,000","448,584,000","425,329,000","387,362,000","465,902,000","454,200,000","471,423,000","444,655,000","415,248,000","460,174,000","403,185,000","335,531,000","319,130,000","274,570,000","226,971,000","229,622,000","192,148,000","225,360,000","259,833,000","319,343,000","339,575,000","411,672,000","430,513,000","449,267,000","402,959,000","367,222,000","391,105,000","381,423,000","333,126,000","302,535,000",,,,"359,409,000",,,,"310,968,000",,,,"227,896,000",,,,"259,082,000","336,089,000","418,464,000","355,976,000","315,327,000","292,218,000","294,717,000","300,147,000","306,458,000","256,206,000","251,005,000","261,003,000","66,965,000","250,193,000","208,042,000","96,118,000","22,465,000","81,215,000","90,353,000","81,767,000","15,847,000","56,510,000","56,267,000","73,870,000","7,524,000","43,660,000"
			OtherReceivables,,,,,,,,,,,,,"12,000","27,000","12,000","12,000","12,000","38,000","227,000","27,000","136,000","436,000","189,000","189,000","324,000","532,000",,"211,000","424,000","439,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"222,219,000",,,,"81,524,000",,,,"52,446,000",,,,"50,752,000","819,000"
		Inventory,"45,108,000","47,893,000","49,113,000","58,306,000","62,600,000","55,553,000","55,546,000","53,375,000","54,223,000","49,722,000","54,545,000","45,486,000","37,487,000","33,342,000","34,909,000","37,852,000","44,648,000","54,579,000","65,096,000","75,165,000","81,462,000","89,780,000","93,012,000","85,278,000","84,339,000","66,772,000","69,517,000","66,902,000","73,035,000","81,029,000","77,879,000","91,062,000","84,808,000","85,141,000","82,947,000","78,584,000","79,599,000","81,871,000","99,998,000","111,143,000","128,207,000","145,153,000","166,021,000","191,911,000","208,027,000","186,062,000","112,972,000","74,874,000","40,785,000","29,642,000","36,750,000","40,358,000","42,001,000","39,397,000","46,233,000","43,754,000","41,100,000","34,784,000","32,520,000","24,290,000","14,034,000","9,742,000","11,322,000","13,272,000","9,377,000","6,700,000","6,744,000","5,232,000","5,002,000","3,986,000","4,557,000"
			RawMaterials,"45,108,000","47,893,000","49,113,000","58,306,000","62,600,000","55,553,000","55,546,000","53,375,000","54,223,000","49,722,000","54,545,000","45,486,000","37,487,000","33,342,000","34,909,000","37,852,000","44,648,000","54,579,000","65,096,000","75,165,000","81,462,000","89,780,000","93,012,000","85,278,000","84,339,000","66,772,000","69,517,000","66,902,000","73,035,000","81,029,000","77,879,000","91,062,000","84,808,000","85,141,000","82,947,000","78,584,000","79,599,000","81,871,000","99,998,000","111,143,000","128,207,000","145,153,000","166,021,000","191,911,000",,"186,062,000",,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,,"10,759,000","6,220,000","8,985,000","8,135,000","7,554,000","4,133,000","7,419,000","7,198,000","8,518,000","3,913,000","5,894,000","5,715,000","7,335,000","3,453,000","5,090,000","5,425,000","7,036,000","4,229,000","8,208,000","8,003,000","9,356,000","6,603,000","7,906,000","6,939,000","7,867,000","5,750,000","7,120,000","6,431,000","7,420,000",,,,"7,393,000",,,,"33,886,000",,,,,,,,,,"18,992,000",,,,,,,,,,,,,,,,,,,,,,,
		RestrictedCash,,,,,,,,,,,,,,,,,,,,,,,,,"818,000","818,000","818,000",,,,,,,,,,,"699,000","659,000","659,000","593,000","593,000","593,000","558,000","502,000","502,000",,"685,000","724,000",,"7,373,000",,,,,,,,,,,,,,,,,,,,
