name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
MarketCap,"19,719,673,773","26,645,566,921","19,900,011,321","25,236,784,678","23,432,516,794","18,948,407,906","22,005,288,304","21,472,996,788","15,580,097,706","10,789,442,236","17,289,591,660","16,307,427,230","12,958,400,000","31,558,087,033","24,217,590,096","23,354,077,674","19,857,123,092","15,011,266,038","10,543,157,503","9,158,400,000","11,235,750,000"
EnterpriseValue,"19,616,626,976","27,081,924,878","20,285,466,234","26,026,944,365","24,431,586,702","20,659,159,699","25,133,141,791","25,576,230,350","21,959,096,265","17,753,899,018","27,448,966,160","22,857,899,964","18,923,067,214","34,601,609,198","28,422,150,852","24,602,077,502","21,672,219,503","14,515,416,752","9,157,150,835","6,849,319,964","11,771,505,431"
PeRatio,"12.006","14.344","12.879","11.947","13.921","12.396","14.052","16.34","11.602","11.891","10.908","31.992","20.556","14.389","14.239","15.488","14.452","17.258","32.734","18.389","97.389"
ForwardPeRatio,"10.081","10.929","9.025","11.862","12.61","11.351","12.516","13.316","10.132","7.013","10.764","10.204",,,,,,,,,
PegRatio,,,,,,,"1.507","1.604","1.221","0.868","1.154","1.134",,,,,,,,,
PsRatio,"0.828","0.908","1.011","1.391","1.008","1.271","1.121","1.715","0.908","0.519","0.696","0.613","1.017","1.496","1.225","1.269","1.116","1.204","1.031","1.256","1.083"
PbRatio,"1.29","1.675","1.315","1.579","1.642","1.425","1.591","1.612","1.089","0.778","1.058","0.975","0.906","1.815","1.748","1.78","1.656","1.221","0.957","1.5","2.58"
EnterprisesValueRevenueRatio,"0.564","0.683","0.751","0.887","0.855","1.072","0.976","1.843","1.251","0.786","1.114","0.829","1.216","1.633","1.17","1.122","0.997","0.884","0.644","0.59","0.726"
