name,12/31/2019,06/30/2019,12/31/2018,06/30/2018,12/31/2017,06/30/2017,12/31/2016,06/30/2016,12/31/2015,06/30/2015,12/31/2014,06/30/2014,12/31/2013,06/30/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,06/30/2007,12/31/2006,06/30/2006,12/31/2005,12/31/2004,12/31/2003
TotalAssets,"3,726,734,000,000","3,479,860,000,000","3,254,403,000,000","3,043,178,000,000","2,897,591,000,000","2,875,092,000,000","2,696,951,000,000","2,589,046,000,000","2,448,315,000,000","2,379,555,000,000","2,246,567,000,000","2,120,114,000,000","1,972,941,000,000","1,984,035,000,000","1,898,916,000,000","1,783,808,000,000","1,769,234,000,000","1,652,057,000,000","1,583,907,000,000","1,521,936,000,000","1,546,891,000,000","1,514,206,000,000","1,410,579,000,000","1,372,735,000,000","1,320,354,000,000","1,281,438,000,000","1,226,257,000,000","1,128,245,000,000","1,160,322,000,000","1,067,780,000,000","1,044,828,000,000","946,418,000,000","963,983,000,000","897,687,000,000","933,704,000,000","849,473,242,800","764,395,000,000","665,669,372,400","559,219,000,000","433,671,000,000","328,720,000,000"
TotalLiabilitiesNetMinorityInterest,"3,317,392,000,000","3,106,271,000,000","2,931,113,000,000","2,715,658,000,000","2,572,281,000,000","2,562,368,000,000","2,389,303,000,000","2,282,289,000,000","2,122,101,000,000","2,065,250,000,000","1,959,236,000,000","1,877,193,000,000","1,750,356,000,000","1,751,307,000,000","1,675,815,000,000","1,569,729,000,000","1,553,848,000,000","1,445,320,000,000","1,390,519,000,000","1,344,022,000,000","1,348,047,000,000","1,298,870,000,000","1,200,104,000,000","1,164,411,000,000","1,126,955,000,000","1,062,272,000,000","1,013,481,000,000","978,450,000,000","956,517,000,000","920,879,000,000","863,255,000,000","813,180,000,000","796,247,000,000","744,645,000,000","726,452,000,000","681,213,909,600","623,650,000,000","573,615,007,900","477,979,000,000","366,397,000,000","265,644,000,000"
TotalEquityGrossMinorityInterest,"409,342,000,000","373,589,000,000","323,290,000,000","327,520,000,000","325,310,000,000","312,724,000,000","307,648,000,000","306,757,000,000","326,214,000,000","314,305,000,000","287,331,000,000","242,921,000,000","222,585,000,000","232,728,000,000","223,101,000,000","214,079,000,000","215,386,000,000","206,737,000,000","193,388,000,000","177,914,000,000","198,844,000,000","215,336,000,000","210,475,000,000","208,324,000,000","193,399,000,000","219,166,000,000","212,776,000,000","149,795,000,000","203,805,000,000","146,901,000,000","181,573,000,000","133,238,000,000","167,736,000,000","153,042,000,000","206,376,000,000","168,259,333,200","140,205,000,000","92,054,364,500","80,809,000,000","66,902,000,000","62,756,000,000"
	StockholdersEquity,"403,764,000,000","368,434,000,000","318,371,000,000","323,008,000,000","320,933,000,000","308,595,000,000","303,621,000,000","302,948,000,000","322,492,000,000","310,947,000,000","284,121,000,000","240,586,000,000","220,331,000,000","230,643,000,000","221,085,000,000","212,119,000,000","213,473,000,000","204,825,000,000","191,530,000,000","176,091,000,000","197,051,000,000","213,530,000,000","208,710,000,000","206,598,000,000","191,739,000,000","217,424,000,000","211,072,000,000","148,127,000,000","202,196,000,000","145,943,000,000","180,649,000,000","132,254,000,000","166,738,000,000","152,136,000,000","205,500,000,000","167,429,494,400","139,665,000,000","91,574,706,500","80,378,000,000","66,530,000,000","62,436,000,000"
		CapitalStock,"28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,252,585,200","28,265,000,000","26,764,916,400","26,765,000,000","26,765,000,000","26,765,000,000"
			CommonStock,"28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,265,000,000","28,252,585,200","28,265,000,000","26,764,916,400","26,765,000,000","26,765,000,000","26,765,000,000"
		AdditionalPaidInCapital,,,,,,,,,,,,,,,,,,,"53,860,000,000",,"90,563,000,000",,"53,860,000,000","65,028,000,000","92,397,000,000","70,800,000,000","53,860,000,000","75,012,000,000",,"79,805,000,000","61,086,000,000",,,,,,"61,028,076,900",,"34,774,491,800",,
		RetainedEarnings,"170,487,000,000","161,644,000,000","133,022,000,000","140,831,000,000","139,202,000,000","125,831,000,000","122,558,000,000","117,883,000,000","123,055,000,000","126,912,000,000","109,937,000,000","102,611,000,000","95,153,000,000","91,526,000,000","80,392,000,000","78,973,000,000","81,180,000,000","85,519,000,000","79,894,000,000","81,976,000,000","78,223,000,000","87,904,000,000","79,933,000,000","77,988,000,000","71,077,000,000","90,234,000,000","80,020,000,000","41,050,000,000","173,931,000,000","34,073,000,000","67,006,000,000","33,747,000,000","63,585,000,000","38,773,000,000","62,410,000,000","52,386,429,200","34,032,000,000","24,014,877,200","53,613,000,000","39,765,000,000","35,671,000,000"
		GainsLossesNotAffectingRetainedEarnings,"197,221,000,000","170,734,000,000","149,293,000,000","146,121,000,000","145,675,000,000","146,708,000,000","145,007,000,000","149,009,000,000","163,381,000,000","155,770,000,000","145,919,000,000","109,710,000,000","96,913,000,000","110,852,000,000","112,428,000,000","104,884,000,000","104,028,000,000","91,044,000,000",,"65,853,000,000",,"97,363,000,000",,"-1,000,000",,"-1,000,000",,"-1,000,000",,"-1,000,000",,"70,242,000,000",,,,,,,,,
			UnrealizedGainLoss,,,,,,,,,,,,,,,,,,,,,,,,"-1,000,000",,"-1,000,000",,,,,,,,,,,,,,,
			ForeignCurrencyTranslationAdjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000,000",,"-1,000,000",,,,,,,,,,,
			OtherEquityAdjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,242,000,000",,,,,,,,,
		OtherEquityInterest,"7,791,000,000","7,791,000,000","7,791,000,000","7,791,000,000","7,791,000,000","7,791,000,000","7,791,000,000","7,791,000,000","7,791,000,000",,,,,,,"-3,000,000",,"-3,000,000","29,511,000,000","-3,000,000",,"-2,000,000","46,652,000,000","35,318,000,000",,"28,126,000,000","48,927,000,000","3,801,000,000",,"3,801,000,000","24,292,000,000",,"74,888,000,000","85,098,000,000","114,825,000,000","86,790,480,000","16,339,923,100","40,794,912,900","-34,774,491,800",,
	MinorityInterest,"5,578,000,000","5,155,000,000","4,919,000,000","4,512,000,000","4,377,000,000","4,129,000,000","4,027,000,000","3,809,000,000","3,722,000,000","3,358,000,000","3,210,000,000","2,335,000,000","2,254,000,000","2,085,000,000","2,016,000,000","1,960,000,000","1,913,000,000","1,912,000,000","1,858,000,000","1,823,000,000","1,793,000,000","1,806,000,000","1,765,000,000","1,726,000,000","1,660,000,000","1,742,000,000","1,704,000,000","1,668,000,000","1,609,000,000","958,000,000","924,000,000","984,000,000","998,000,000","906,000,000","876,000,000","829,838,800","540,000,000","479,658,000","431,000,000","372,000,000","320,000,000"
TotalCapitalization,"458,799,000,000","423,618,000,000","338,521,000,000","342,565,000,000","339,727,000,000","334,732,000,000","357,789,000,000","373,396,000,000","393,129,000,000","381,589,000,000","354,733,000,000","311,469,000,000","288,316,000,000","298,626,000,000","289,066,000,000","212,119,000,000","213,473,000,000","234,816,000,000","191,530,000,000","176,091,000,000","267,531,000,000","213,530,000,000","208,710,000,000","206,598,000,000","261,521,000,000","217,424,000,000","211,072,000,000","148,127,000,000","253,271,000,000","145,943,000,000","180,649,000,000","132,254,000,000","166,738,000,000","152,136,000,000","205,500,000,000","167,429,494,400","139,665,000,000","91,574,706,500","80,378,000,000","66,530,000,000","62,436,000,000"
CommonStockEquity,"403,764,000,000","368,434,000,000","318,371,000,000","323,008,000,000","320,933,000,000","308,595,000,000","303,621,000,000","302,948,000,000","322,492,000,000","310,947,000,000","284,121,000,000","240,586,000,000","220,331,000,000","230,643,000,000","221,085,000,000","212,119,000,000","213,473,000,000","204,825,000,000","191,530,000,000","176,091,000,000","197,051,000,000","213,530,000,000","208,710,000,000","206,598,000,000","191,739,000,000","217,424,000,000","211,072,000,000","148,127,000,000","202,196,000,000","145,943,000,000","180,649,000,000","132,254,000,000","166,738,000,000","152,136,000,000","205,500,000,000","167,429,494,400","139,665,000,000","91,574,706,500","80,378,000,000","66,530,000,000","62,436,000,000"
CapitalLeaseObligations,"3,091,000,000","2,505,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
