name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
MarketCap,"19,574,313,168","28,835,764,154","32,658,538,240","41,333,022,711","27,880,098,479","29,190,426,031","32,104,845,090","35,570,496,979","38,387,469,561","49,530,838,127","33,665,724,370","31,233,325,348","28,996,868,890","28,826,566,413","18,444,273,089","10,285,748,990","9,896,684,185","11,724,662,713","8,724,332,268"
EnterpriseValue,"22,269,719,128","28,835,764,154","32,658,538,240","41,333,022,711","27,880,098,479","29,190,426,031","32,104,845,090","35,570,496,979","38,387,469,561","49,530,838,127","33,665,724,370","31,233,325,348","28,996,868,890","28,826,566,413","18,444,273,089","10,285,748,990","9,896,684,185","11,724,662,713","8,724,332,268"
PeRatio,"12.065","18.034","38.89","66.159","48.698","20.075","16.359","21.73","33.893","83.584","59.072","22.379","30.834","23.044","27.617","20.315","18.67","23.007","15.804"
ForwardPeRatio,"14.184","15.625",,"29.499","30.675","25.773","158.73","25.317","29.412","28.49","31.447",,,,,,,,
PegRatio,"1.337","1.193",,"0.324","1.547","2.134","7.514","1.396","1.46","1.392","2.685",,,,,,,,
PsRatio,"0.47","0.695","0.777","0.776","0.706","0.693","0.711","0.793","1.007","1.628","1.308","1.389","1.339","2.16","1.594","0.973","1.033","1.437","1.78"
PbRatio,"0.427","0.628","0.719","1.167","0.84","0.814","0.883","1.003","1.144","1.522","1.082","1.022","0.957","2.292","1.859","1.105","1.125","1.394","1.09"
EnterprisesValueRevenueRatio,"0.077","0.099","0.112","0.15","0.102","0.105","0.113","0.121","0.154","0.237","0.197","0.203","0.195","0.289","0.196","0.118","0.125","0.173","0.215"
EnterprisesValueEBITDARatio,"0.224","0.29","0.361","0.484","0.338","0.306","0.341","0.414","0.521","0.761","0.552","0.513","0.498","0.872","0.514","0.299","0.299","0.381","0.437"
