name,ttm,12/31/2019
MarketCap,"3,303,852,870","2,176,117,703"
EnterpriseValue,"3,055,498,073","2,176,117,703"
PeRatio,"9.859","20.758"
PsRatio,"7.406","16.356"
PbRatio,"2.735","4.092"
EnterprisesValueRevenueRatio,"2.537","1.807"
EnterprisesValueEBITDARatio,"3.004","2.14"
