name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995
TotalRevenue,"10,222,656,000","10,464,991,000","11,821,839,000","9,538,797,000","7,777,109,000","7,594,411,000","8,755,952,000","7,372,924,000","7,290,234,000","7,997,500,000","6,300,887,000","3,958,806,000","8,080,521,000","4,384,549,000","3,238,787,000","2,184,866,000","2,144,913,000","987,248,000","864,493,000","606,984,000","692,623,000","618,800,000","514,800,000","420,100,000","252,600,000","100,000"
	OperatingRevenue,"10,222,656,000","10,464,991,000","11,821,839,000","9,538,797,000","7,777,109,000","7,594,411,000","8,755,952,000","7,372,924,000","7,290,234,000","7,997,500,000","6,300,887,000","3,958,806,000","8,080,521,000","4,384,549,000","3,238,787,000","2,184,866,000","2,144,913,000","987,248,000","864,493,000","606,984,000","692,623,000","618,800,000","514,800,000","420,100,000","252,600,000","100,000"
CostOfRevenue,"8,710,013,000","8,934,007,000","9,499,025,000","7,956,783,000","6,442,245,000","6,862,693,000","7,789,741,000","6,653,780,000","6,570,336,000","7,065,982,000","5,625,221,000","3,559,730,000","6,849,262,000","3,468,855,000","2,408,795,000","1,699,717,000","1,541,423,000","827,264,000","638,860,000","522,927,000","488,471,000","448,300,000","398,300,000","306,400,000","201,200,000","2,300,000"
GrossProfit,"1,512,643,000","1,530,984,000","2,322,814,000","1,582,014,000","1,334,864,000","731,718,000","966,211,000","719,144,000","719,898,000","931,518,000","675,666,000","399,076,000","1,231,259,000","915,694,000","829,992,000","485,149,000","603,490,000","159,984,000","225,633,000","84,057,000","204,152,000","170,500,000","116,500,000","113,700,000","51,400,000","-2,200,000"
OperatingExpense,"543,919,000","544,104,000","600,405,000","515,133,000","474,059,000","376,002,000","385,891,000","332,311,000","320,483,000","346,698,000","298,108,000","276,565,000","376,019,000","224,540,000","170,878,000","91,974,000","96,581,000","77,364,000","61,731,000","58,132,000","98,749,000","81,700,000","51,300,000","48,500,000","33,200,000","14,500,000"
	SellingGeneralAndAdministration,"514,164,000","514,527,000","572,625,000","485,940,000","445,294,000","350,690,000","358,340,000","300,541,000","284,930,000","306,744,000","252,522,000","223,013,000","267,688,000","224,540,000","170,878,000","91,974,000","96,581,000","63,377,000","61,731,000","58,132,000","53,306,000","42,400,000","20,600,000","24,400,000","13,800,000","13,600,000"
		GeneralAndAdministrativeExpense,"514,164,000","514,527,000","572,625,000","485,940,000","445,294,000","350,690,000","358,340,000","300,541,000","284,930,000","306,744,000","252,522,000",,,,,,,,,,,,,,,
			SalariesAndWages,"75,806,000","78,029,000","155,985,000","91,309,000","71,285,000","23,064,000","42,126,000","27,764,000","26,987,000","43,149,000","25,476,000",,,,,,,,,,,,,,,
			OtherGandA,"438,358,000","436,498,000","416,640,000","394,631,000","374,009,000","327,626,000","316,214,000","272,777,000","257,943,000","263,595,000","227,046,000",,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"29,755,000","29,577,000","27,780,000","29,193,000","28,765,000","25,312,000","27,551,000","31,770,000","35,553,000","39,954,000","45,586,000","53,552,000","41,334,000",,,,,,,,"45,443,000","39,300,000","30,700,000","24,100,000","19,400,000","900,000"
