name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016
TotalAssets,"9,418,293,000","9,203,619,000","8,568,667,000","7,547,803,000","6,979,985,000","5,951,042,000","4,875,898,000","3,668,919,000","3,071,966,000","2,443,547,000","2,234,838,000","1,890,582,000","1,299,410,000","1,180,824,000","859,438,000","498,157,000"
TotalLiabilitiesNetMinorityInterest,"3,911,031,000","3,226,336,000","2,644,042,000","1,837,947,000","2,899,671,000","2,686,197,000","2,103,049,000","1,570,947,000","1,398,008,000","970,968,000","930,438,000","806,676,000","605,355,000","500,299,000","390,584,000","77,295,000"
TotalEquityGrossMinorityInterest,"5,507,262,000","5,977,283,000","5,924,625,000","5,709,856,000","4,080,314,000","3,264,845,000","2,772,849,000","2,097,972,000","1,673,958,000","1,472,579,000","1,304,400,000","1,083,906,000","694,055,000","680,525,000","468,854,000","420,862,000"
	StockholdersEquity,"5,507,262,000","5,977,283,000","5,924,625,000","5,709,856,000","4,080,314,000","3,264,845,000","2,772,849,000","2,097,972,000","1,673,958,000","1,472,579,000","1,304,400,000","1,083,906,000","694,055,000","680,525,000","468,854,000","420,862,000"
		CapitalStock,"3,909,000","3,921,000","3,892,000","3,737,000","2,673,000","2,162,000","1,816,000","1,379,000","1,105,000","980,000","854,000","715,000","461,000","458,000","323,000","296,000"
			CommonStock,"3,909,000","3,921,000","3,892,000","3,737,000","2,673,000","2,162,000","1,816,000","1,379,000","1,105,000","980,000","854,000","715,000","461,000","458,000","323,000","296,000"
		AdditionalPaidInCapital,"5,950,625,000","5,955,610,000","5,907,924,000","5,683,541,000","4,060,110,000","3,271,162,000","2,737,737,000","2,064,780,000","1,645,245,000","1,451,886,000","1,262,482,000","1,050,909,000","668,563,000","664,554,000","464,937,000","424,964,000"
		RetainedEarnings,"-447,272,000","17,752,000","12,809,000","22,578,000","17,531,000","-8,479,000","10,090,000","9,325,000","3,493,000","1,197,000","28,316,000","18,441,000","11,966,000","7,882,000","654,000","-4,916,000"
TotalCapitalization,"9,145,835,000","9,015,515,000","8,383,648,000","7,280,477,000","6,850,119,000","5,832,562,000","4,747,478,000","3,583,436,000","3,012,453,000","2,392,011,000","2,160,666,000","1,880,019,000","1,291,004,000","1,172,431,000","854,510,000",
CommonStockEquity,"5,507,262,000","5,977,283,000","5,924,625,000","5,709,856,000","4,080,314,000","3,264,845,000","2,772,849,000","2,097,972,000","1,673,958,000","1,472,579,000","1,304,400,000","1,083,906,000","694,055,000","680,525,000","468,854,000","420,862,000"
NetTangibleAssets,"5,507,262,000","5,977,283,000","5,924,625,000","5,709,856,000","4,080,314,000","3,264,845,000","2,772,849,000","2,097,972,000","1,673,958,000","1,472,579,000","1,304,400,000","1,083,906,000","694,055,000","680,525,000","468,854,000","420,862,000"
InvestedCapital,"9,145,835,000","9,015,515,000","8,383,648,000","7,280,477,000","6,850,119,000","5,832,562,000","4,747,478,000","3,583,436,000","3,012,453,000","2,392,011,000","2,160,666,000","1,880,019,000","1,291,004,000","1,172,431,000","854,510,000",
TangibleBookValue,"5,507,262,000","5,977,283,000","5,924,625,000","5,709,856,000","4,080,314,000","3,264,845,000","2,772,849,000","2,097,972,000","1,673,958,000","1,472,579,000","1,304,400,000","1,083,906,000","694,055,000","680,525,000","468,854,000","420,862,000"
TotalDebt,"3,638,573,000","3,038,232,000","2,459,023,000","1,570,621,000","2,769,805,000","2,567,717,000","1,974,629,000","1,485,464,000","1,338,495,000","919,432,000","856,266,000","796,113,000","596,949,000","491,906,000","385,656,000",
NetDebt,"3,255,650,000","2,721,073,000","2,261,405,000","1,341,692,000","2,671,032,000","2,440,114,000","1,826,786,000","1,329,690,000","1,315,916,000","901,999,000","837,033,000","705,549,000","436,225,000","282,553,000","170,507,000",
ShareIssued,"390,856,121","392,129,619","389,155,516","383,693,244","383,693,244","383,693,244","383,693,244","383,693,244","383,693,244","383,693,244","383,693,244","383,693,244","383,693,244","383,693,244","383,693,244","383,693,244"
OrdinarySharesNumber,"390,856,121","392,129,619","389,155,516","383,693,244","383,693,244","383,693,244","383,693,244","383,693,244","383,693,244","383,693,244","383,693,244","383,693,244","383,693,244","383,693,244","383,693,244","383,693,244"
