name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
TotalAssets,"2,016,240,000","1,778,327,000","1,665,859,000","1,548,955,000","1,407,296,000","17,758,000,000","16,676,000,000","15,441,000,000","14,348,000,000","14,344,000,000","2,666,517,000","2,613,386,000","2,878,623,000","3,039,361,000","3,101,261,000","2,979,744,000","2,754,607,000","2,357,676,000","1,935,566,000","1,680,599,000","1,517,867,000","1,453,432,046","1,292,543,781","1,150,639,205","1,022,400,000","869,500,000","817,200,000"
	TotalInvestments,"824,609,000","795,197,000","803,835,000","771,450,000","688,476,000","14,669,000,000","13,866,000,000","12,814,000,000","12,074,000,000","11,815,000,000","980,000,000","952,439,000","1,218,735,000","1,323,057,000","1,243,429,000","1,182,250,000","1,073,946,000","907,713,000","759,371,000","742,573,000","709,135,000","652,444,624","523,497,725","449,087,654","4,400,000","5,000,000","6,800,000"
		EquityInvestments,"765,024,000","358,037,000","687,523,000","657,153,000","537,874,000","10,467,000,000","9,578,000,000","9,180,000,000","8,429,000,000","8,137,000,000","701,751,000","618,710,000","921,676,000","1,087,385,000","1,207,713,000","1,177,206,000","1,068,764,000","902,146,000","753,671,000","735,992,000","700,905,000","644,157,495","515,105,207","441,794,003",,,
		TradingAssets,,,,,,"3,223,000,000","3,202,000,000","2,417,000,000","2,335,000,000","2,334,000,000","42,153,000","33,338,000",,,,,,,,,,,,,,,
		NetLoan,,,,,,,,,,,"1,116,000","1,215,000","4,556,000","4,726,000","4,885,000","5,044,000","5,182,000","5,567,000","5,700,000","6,581,000","8,230,000","8,287,129","8,392,518","7,293,651","4,400,000","5,000,000","6,800,000"
			MortgageAndConsumerloans,,,,,,,,,,,"1,116,000","1,215,000","4,556,000","4,726,000",,,,,,,,,,,,,
		SecurityAgreeToBeResell,,,,,,,,,,,,,,,"30,831,000",,,,,,,,,,,,
		LongTermEquityInvestment,"26,775,000","34,821,000","45,122,000","58,159,000","88,535,000","979,000,000","1,086,000,000","1,217,000,000",,"1,324,000,000","234,980,000","299,176,000","292,503,000","230,946,000",,,,,,,,,,,,,
			InvestmentsInOtherVenturesUnderEquityMethod,"26,775,000","34,821,000","45,122,000","58,159,000","88,535,000","979,000,000","1,086,000,000","1,217,000,000",,"1,324,000,000","234,980,000","299,176,000","292,503,000","230,946,000",,,,,,,,,,,,,
		OtherShortTermInvestments,"32,810,000","402,339,000","71,190,000","56,138,000","62,067,000",,,,,,,,,,,,,,,,,,,,,,
