name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,03/31/1996
TotalRevenue,"4,267,970,000","4,178,730,000","2,056,467,000","2,095,649,000","1,726,874,000","1,494,621,000","1,234,002,000","1,357,288,000","1,382,696,000","1,095,036,000","1,224,671,000","1,667,852,000","1,231,196,000","1,665,554,000","1,840,737,000","1,655,907,000","1,567,992,000","1,366,490,000","910,450,000","440,894,000","349,735,000","270,235,000","260,527,000","254,726,000","294,849,000","71,000,000"
	TotalPremiumsEarned,"3,701,473,000","3,338,403,000","1,976,129,000","1,717,575,000","1,403,430,000","1,400,551,000","1,062,416,000","1,114,626,000","1,069,355,000","951,049,000","864,921,000","1,273,816,000","1,386,824,000","1,424,369,000","1,529,777,000","1,402,709,000","1,338,227,000","1,115,743,000","760,905,000","333,065,000","267,681,000","221,117,000","204,947,000","211,490,000","252,828,000",
		NetPremiumsWritten,"3,722,270,000","3,381,493,000","2,131,902,000","1,871,325,000","1,535,312,000","1,416,183,000","1,068,236,000","1,203,947,000","1,102,657,000","1,012,773,000","848,965,000","1,206,397,000","1,353,620,000",,,,,,,,,,,,,
			GrossPremiumsWritten,,"4,807,750,000","3,310,427,000","2,797,540,000","2,374,576,000","2,011,310,000","1,550,572,000","1,605,412,000","1,551,591,000","1,434,976,000",,,,,,,,,,,,,,,,
			CededPremiums,,"-1,426,257,000","-1,178,525,000","-926,215,000","-839,264,000","-595,127,000","-482,336,000","-401,465,000","-448,934,000","-422,203,000",,,,,,,,,,,,,,,,
		IncreaseDecreaseInNetUnearnedPremiumReserves,"-20,797,000","-43,090,000","-155,773,000","-153,750,000","-131,882,000","-15,632,000","-5,820,000","-89,321,000","-33,302,000","-61,724,000","15,956,000","67,419,000","33,204,000",,,,,,,,,,,,,
	NetInvestmentIncome,"472,895,000","721,467,000","133,679,000","276,370,000","288,686,000","82,977,000","125,462,000","191,651,000","237,667,000","152,135,000","203,955,000","323,981,000","24,231,000","402,463,000","318,106,000","217,252,000","162,722,000","129,542,000","104,098,000","75,156,000","77,868,000","60,334,000","52,834,000","49,573,000","44,170,000",
	NetRealizedGainLossOnInvestments,"103,447,000","121,322,000","-42,075,000","90,316,000","48,614,000","13,206,000","41,608,000","48,936,000","88,708,000","-552,000","131,801,000","81,657,000","-192,711,000","5,261,000","-34,464,000","-1,779,000","17,059,000","94,135,000","12,626,000","18,096,000","-7,151,000","-15,720,000","-6,890,000","-2,895,000","-2,938,000",
	NetForeignExchangeGainLoss,"-5,820,000","-2,938,000","-12,428,000","10,628,000","-13,788,000","-3,051,000","6,260,000","1,917,000","5,223,000","-6,911,000","-17,126,000","-13,623,000","2,600,000",,,,,,,,,,,,,
	FeeRevenueAndOtherIncome,"-4,025,000","476,000","1,162,000","760,000","-68,000","938,000","-1,744,000","158,000","-18,257,000","-685,000","41,120,000","2,021,000","10,252,000","-166,539,000","27,318,000","37,725,000","49,984,000","27,070,000","32,821,000","14,577,000","11,337,000","4,504,000","9,636,000","-3,442,000","789,000",
		OtherIncomeExpense,"-4,025,000","476,000","1,162,000","760,000","-68,000","938,000","-1,744,000","158,000","-18,257,000","-685,000","41,120,000","2,021,000","10,252,000","-166,539,000","27,318,000","37,725,000","49,984,000","27,070,000","32,821,000","14,577,000","11,337,000","4,504,000","9,636,000","-3,442,000","789,000",
TotalExpenses,"3,644,820,000","3,211,248,000","1,793,852,000","2,423,833,000","1,096,486,000","998,245,000","547,138,000","516,250,000","634,605,000","1,169,853,000","432,313,000","606,099,000","1,201,608,000","1,071,550,000","898,533,000","2,059,119,000","1,441,167,000","663,576,000","524,380,000","260,848,000","217,859,000","167,519,000","206,425,000","115,477,000","138,689,000",
	LossAdjustmentExpense,"2,440,940,000","2,097,021,000","1,120,018,000","1,861,428,000","530,831,000","448,238,000","197,947,000","171,287,000","325,211,000","861,179,000","129,345,000","197,287,000","760,489,000","479,274,000","446,230,000","1,635,656,000","1,096,299,000","367,744,000","289,525,000","149,917,000","108,604,000","77,141,000","112,752,000","50,015,000","86,945,000",
