name,04/30/2019,04/30/2018,04/30/2017,04/30/2016,04/30/2015,04/30/2014,04/30/2013,04/30/2012,04/30/2011,04/30/2010,04/30/2009,04/30/2008,04/30/2007,04/30/2006,04/30/2005,04/30/2004,04/30/2003,04/30/2002,04/30/2001,04/30/2000,04/30/1999,04/30/1998,04/30/1997,04/30/1996
TotalAssets,"8,741,000,000","9,865,000,000","9,493,000,000","10,037,000,000","9,401,200,000","9,219,200,000","11,242,400,000","9,532,300,000","8,498,800,000","6,494,400,000","5,472,819,000","4,070,988,000","3,658,478,000","3,260,965,000","2,372,647,000","1,877,266,000","1,319,173,000","1,108,806,000","1,036,252,000","592,233,000","346,347,000","115,736,000","68,941,000","45,449,000"
	CurrentAssets,"5,610,000,000","6,856,000,000","6,198,000,000","6,448,000,000","6,773,400,000","6,471,300,000","8,418,200,000","6,826,500,000","6,365,200,000","4,537,100,000","3,438,784,000","2,067,433,000","2,240,803,000","2,033,210,000","1,575,889,000","1,089,236,000","853,492,000","679,128,000","635,517,000","533,000,000","315,346,000","98,939,000","56,620,000","40,402,000"
		CashCashEquivalentsAndShortTermInvestments,"3,899,000,000","5,391,000,000","4,921,000,000","5,303,000,000","5,326,200,000","5,003,300,000","6,952,600,000","5,398,500,000","5,174,700,000","3,724,000,000","2,604,206,000","1,164,390,000","1,308,781,000","1,322,892,000","1,169,965,000","807,965,000","618,838,000","454,127,000","364,025,000","353,491,000","227,084,000","48,115,000","28,436,000","27,619,000"
			CashAndCashEquivalents,"2,325,000,000","2,941,000,000","2,444,000,000","2,868,000,000","1,921,500,000","2,291,000,000","3,277,100,000","1,549,800,000","2,757,300,000","1,705,000,000","1,494,153,000","936,479,000","489,079,000","461,256,000","193,542,000","241,149,000","284,161,000","210,756,000","271,931,000","279,014,000","221,284,000","37,315,000","21,520,000","24,637,000"
				CashFinancial,"2,216,000,000","2,727,000,000","2,275,000,000","2,714,000,000","1,666,300,000","2,174,000,000","1,634,700,000","649,800,000",,,,,,,,,,,,,,,,
				CashEquivalents,"109,000,000","214,000,000","169,000,000","154,000,000","255,200,000","117,000,000","1,642,400,000","900,000,000",,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"1,574,000,000","2,450,000,000","2,477,000,000","2,435,000,000","3,404,700,000","2,712,300,000","3,675,500,000","3,848,700,000","2,417,400,000","2,019,000,000","1,110,053,000","227,911,000","819,702,000","861,636,000","976,423,000","566,816,000","334,677,000","243,371,000","92,094,000","74,477,000","5,800,000","10,800,000","6,916,000","2,982,000"
		Receivables,"1,216,000,000","1,009,000,000","731,000,000","813,000,000","778,900,000","855,900,000","800,900,000","830,900,000","742,600,000","471,500,000","446,537,000","582,110,000","591,324,000","415,295,000","296,885,000","193,942,000","151,637,000","146,511,000","186,956,000","108,902,000","57,163,000","34,313,000","13,911,000","5,330,000"
			AccountsReceivable,"1,216,000,000","1,009,000,000","731,000,000","813,000,000","778,900,000","855,900,000","800,900,000","830,900,000","742,600,000","471,500,000","446,537,000","582,110,000","591,324,000","415,295,000","296,885,000","193,942,000","151,637,000","146,511,000","186,956,000","108,902,000","57,163,000","34,313,000","13,911,000","5,330,000"
				GrossAccountsReceivable,,,,,,"857,600,000","805,100,000","831,300,000",,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,"-1,700,000","-4,200,000","-400,000",,,,,,,,,,,,,,,,
		Inventory,"131,000,000","126,000,000","163,000,000","98,000,000","146,500,000","122,400,000","139,500,000","161,500,000","108,500,000","112,900,000","61,104,000","70,222,000","54,880,000","64,452,000","38,983,000","34,109,000","31,559,000","23,849,000","22,504,000","20,434,000","13,581,000","8,707,000","9,920,000","4,825,000"
