name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,"-201,000,000","-18,000,000","109,000,000","-42,000,000","-64,000,000","-44,000,000","-67,000,000","-22,000,000","-84,000,000","-18,000,000","25,000,000","9,000,000","-47,000,000","140,000,000","14,000,000","-4,000,000","1,123,000,000","-8,000,000","43,000,000","-16,000,000","38,000,000","3,000,000","38,000,000",,"666,000,000","-4,000,000","56,000,000","97,000,000",,,"1,083,000,000","820,000,000","122,000,000","-8,000,000","-11,081,550","-41,919,360","125,594,680","-181,230,800","-40,695,200","37,950,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"3,163,000,000","-683,000,000","2,052,000,000","497,000,000","1,297,000,000","1,110,000,000","1,379,000,000","1,014,000,000","1,369,000,000","1,472,000,000","1,589,000,000","1,641,000,000","2,565,000,000","1,444,000,000","1,341,000,000","1,252,000,000","1,036,000,000","1,252,000,000","130,000,000","348,000,000","1,311,000,000","746,000,000","1,051,000,000","926,000,000","921,000,000","622,000,000","931,000,000","816,000,000","1,029,000,000","618,000,000","1,067,000,000","871,000,000","1,010,000,000","866,000,000","-332,000,000","855,000,000","525,000,000","251,000,000","-502,000,000","586,000,000","651,000,000","379,000,000","-170,000,000","339,000,000","290,000,000","-127,000,000","459,000,000","773,000,000","97,000,000","-95,000,000","635,000,000","745,000,000","952,274,530","610,076,400","359,598,400","555,511,800","664,427,400","325,878,950","-34,227,575,180","11,623,360,960","11,612,575,800","11,631,621,540","-34,904,203,000","11,620,401,000","11,609,754,240","11,607,549,660","-38,764,211,150","12,272,402,100","1,093,340,380","1,004,944,500","-46,201,091,620","16,665,345,620","519,405,600","14,153,092,800","-44,966,326,500","15,056,053,200","263,558,400","14,732,844,300","-48,336,535,440","15,608,230,880","237,257,060","15,783,435,500","-36,957,299,310","10,784,713,680","81,425,370","12,422,993,302","-33,311,181,798","12,012,950,488","11,978,821,525","11,908,697,856","-36,435,422,205","12,739,776,504","12,539,613,918","12,177,428,406","-31,427,382,650","10,210,113,470","10,229,745,852","10,146,754,419","-28,045,530,483","9,835,875,920","9,658,349,728","9,705,107,712","-25,107,794,430","8,711,649,480","8,988,112,415","9,311,710,720","-20,767,821,878","6,766,726,500","6,865,404,615","6,624,553,680","11,678,869,917","7,294,084,941","7,550,999,599","8,145,431,580","-28,306,012,784","9,989,220,045","10,880,637,784","10,213,582,124"
NetNonOperatingInterestIncomeExpense,"-931,000,000","-187,000,000","-215,000,000","-273,000,000","-256,000,000","-238,000,000","-262,000,000","-245,000,000","-291,000,000","-297,000,000","-333,000,000","-316,000,000","-365,000,000","-423,000,000","-460,000,000","-504,000,000","-471,000,000","-499,000,000","-513,000,000","-620,000,000","-627,000,000","-606,000,000","-537,000,000","-511,000,000","-506,000,000","-493,000,000","-530,000,000","-489,000,000","-502,000,000","-443,000,000","-404,000,000","-399,000,000","-466,000,000","-375,000,000","-362,000,000","-543,000,000","-230,000,000","-138,000,000","334,000,000","-181,000,000","-301,000,000","-250,000,000","-218,000,000","-164,000,000","-161,000,000","-210,000,000","-345,000,000","-161,000,000","-231,000,000","-210,000,000","119,000,000","-118,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"252,000,000","41,000,000","70,000,000","67,000,000","74,000,000","50,000,000","70,000,000","63,000,000","44,000,000","51,000,000","51,000,000","38,000,000","47,000,000","46,000,000","69,000,000","57,000,000","50,000,000","50,000,000",,,"73,000,000","57,000,000","69,000,000","53,000,000","55,000,000",,,,,"51,000,000",,,"127,000,000",,,,,,,,,,,,,,,,,,"340,000,000","328,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"835,000,000","199,000,000","38,000,000","300,000,000","298,000,000","301,000,000","97,000,000","278,000,000","300,000,000","304,000,000","147,000,000","315,000,000","368,000,000","416,000,000","185,000,000","492,000,000","412,000,000","480,000,000","878,000,000","620,000,000",,"663,000,000",,,"561,000,000","493,000,000","734,000,000","489,000,000","502,000,000","494,000,000",,,"499,000,000",,,,"230,000,000","138,000,000","362,000,000","181,000,000","301,000,000","250,000,000","218,000,000","164,000,000","161,000,000","210,000,000","345,000,000","161,000,000","231,000,000","210,000,000","444,000,000","355,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"348,000,000","29,000,000","247,000,000","40,000,000","32,000,000","-13,000,000","235,000,000","30,000,000","35,000,000","44,000,000","237,000,000","39,000,000","44,000,000","53,000,000","344,000,000","69,000,000","109,000,000","69,000,000",,"620,000,000","700,000,000",,,"564,000,000",,"493,000,000",,"489,000,000","502,000,000",,,"399,000,000","94,000,000",,,,,,,,,,,,,,,,,,"-223,000,000","91,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"200,000,000","1,000,000","93,000,000","37,000,000","69,000,000","-152,000,000","-36,000,000","22,000,000","71,000,000","72,000,000","89,000,000","115,000,000","107,000,000","48,000,000","48,000,000","65,000,000","4,000,000","42,000,000","-5,000,000","12,000,000","37,000,000","46,000,000","15,000,000","-564,000,000","40,000,000","-575,000,000","-475,000,000","40,000,000","28,000,000","-15,000,000","-160,000,000","9,000,000","-12,000,000","29,000,000","1,083,000,000","-30,000,000","-30,000,000","36,000,000","-115,000,000","30,000,000","19,000,000","-26,000,000","-129,000,000","-6,000,000","-145,000,000","1,000,000","-2,740,000,000","831,000,000","3,000,000","15,000,000","-52,000,000","-5,000,000","45,803,740","62,879,040","156,195,960","70,916,400","83,738,200","1,650,020",,,,,,,,,,,"-1,174,167,610",,,,"-536,517,800",,,,"298,856,400",,,,"253,004,210",,,,"109,822,830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	GainOnSaleOfSecurity,"3,000,000","47,000,000","-150,000,000","41,000,000","65,000,000","58,000,000","-201,000,000","50,000,000","74,000,000","77,000,000","-304,000,000","130,000,000","153,000,000","93,000,000","-219,000,000","88,000,000","79,000,000","62,000,000","-107,000,000","25,000,000","4,000,000","6,000,000","-2,000,000","3,000,000","8,000,000","17,000,000","-6,000,000","6,000,000","9,000,000","9,000,000","-62,000,000","5,000,000","-67,000,000",,"-89,000,000","31,000,000",,,,,,,,,,,,,,,"-207,000,000","106,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,,,,,,"41,000,000","44,000,000","29,000,000","36,000,000","28,000,000","24,000,000","14,000,000","41,000,000","7,000,000","25,000,000",,,"42,000,000","15,000,000",,,,"38,000,000",,,,,,,,,,,,,,"59,000,000","37,677,270","27,696,720",,,"46,173,400","43,725,530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-11,000,000","-46,000,000","35,000,000","-4,000,000","4,000,000","-210,000,000","-75,000,000","-28,000,000","-3,000,000","-5,000,000","-16,000,000","-15,000,000","-46,000,000","-45,000,000","-46,000,000","-23,000,000","-75,000,000","-20,000,000","-28,000,000","-13,000,000","-8,000,000","-4,000,000","-12,000,000","-39,000,000","4,000,000","-616,000,000","-483,000,000","-7,000,000","12,000,000","-49,000,000","-192,000,000","4,000,000","13,000,000","11,000,000","1,026,000,000","-61,000,000","-30,000,000","-4,000,000","-239,000,000","30,000,000","24,000,000","-2,000,000","-138,000,000","-6,000,000","-145,000,000","-2,000,000","-165,000,000","-3,000,000","-1,000,000","4,000,000","240,000,000","-151,000,000","-6,648,930","-14,971,200","-312,894,960","-129,225,440","-4,695,600","-3,300,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
