name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
TotalRevenue,"17,401,676,000","4,215,308,000","4,586,194,000","4,337,000,000","4,262,741,000","4,190,826,000","4,457,322,000","4,241,589,000","4,162,566,000","4,119,853,000","4,256,832,000","4,083,361,000","3,942,392,000","3,951,373,000","4,043,642,000","3,899,274,000","3,820,151,000","3,854,346,000","4,122,074,000","4,117,027,000","4,353,037,000","4,546,712,000","5,168,444,000","4,852,764,000","4,774,733,000","4,702,224,000","5,183,277,000","5,083,159,000","4,944,141,000","4,710,715,000","5,025,913,000","4,722,425,000","4,547,331,000","6,610,442,000","4,710,568,000","4,371,388,000","4,251,758,000","3,752,263,000","4,009,243,000","3,648,023,000","3,558,981,000","3,269,443,000","3,452,535,000","3,337,480,000","3,034,625,000","3,420,293,564","3,401,399,196","3,183,664,095.96","2,987,677,472","3,403,250,100.28","3,153,350,914.7","8,130,032,586","2,838,370,123.2","2,845,535,471","2,764,202,265.5","3,201,785,000","2,149,332,155.67","798,189,647.5","738,024,210","714,034,251","659,636,771.29","744,588,752.7","1,160,058,454.07","340,576,726.02","314,888,900.67","320,743,038.32","260,644,931.4","255,675,812.64","248,322,844.38","285,516,901.92","214,644,001.7","197,899,383","199,665,625.6","242,975,857.2","190,787,981","173,250,652.5","188,014,654.68","177,087,090.07","171,875,946.66","184,275,265.78","194,042,504","238,795,930","165,249,000","158,589,600","149,734,386"
	OperatingRevenue,"25,207,313,000","4,215,308,000","6,532,831,000","6,282,000,000","4,262,741,000","4,190,826,000","6,425,138,000","4,241,589,000","4,162,566,000","5,824,357,000","5,867,549,000","4,083,361,000","3,942,392,000","5,566,508,000","5,758,371,000","3,899,274,000","3,820,151,000","5,738,494,000","6,085,359,000","4,117,027,000","4,353,037,000","6,819,970,000","7,570,932,000","4,852,764,000","4,774,733,000","7,043,065,000","7,684,901,000","5,083,159,000","4,944,141,000","7,024,216,000","14,017,778,000","4,722,425,000","4,547,331,000","6,610,442,000","4,710,568,000","4,371,388,000","4,251,758,000","5,440,094,000","4,009,243,000","3,648,023,000","3,558,981,000","3,269,443,000","3,452,535,000","3,337,480,000","3,034,625,000","3,420,293,564","3,401,399,196","3,183,664,095.96","2,987,677,472","3,403,250,100.28","3,153,350,914.7","8,130,032,586","2,838,370,123.2","2,845,535,471","2,764,202,265.5","3,201,785,000","2,149,332,155.67","798,189,647.5","738,024,210","714,034,251","659,636,771.29","744,588,752.7","1,160,058,454.07","340,576,726.02","314,888,900.67","320,743,038.32","260,644,931.4","255,675,812.64","248,322,844.38","285,516,901.92","214,644,001.7","197,899,383","199,665,625.6","242,975,857.2","190,787,981","173,250,652.5","188,014,654.68","177,087,090.07","171,875,946.66","184,275,265.78","194,042,504","238,795,930","165,249,000","158,589,600","149,734,386"
	ExciseTaxes,,,,,,,"1,316,306,000",,,"1,295,600,000","1,247,625,000",,,"1,312,545,000","1,400,279,000",,,"1,463,635,000","1,461,345,000",,,"1,642,364,000","1,754,282,000",,,"1,625,031,000","1,726,911,000",,,"1,525,894,000","2,315,784,000",,,,,,,"1,687,831,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CostOfRevenue,"7,437,798,000","1,961,448,000",,,"1,859,134,000","1,957,381,000","1,965,805,000","1,907,032,000","1,856,456,000","1,815,791,000","1,923,559,000","1,891,931,000","1,913,210,000","2,011,449,000","1,812,284,000","1,927,377,000","2,004,722,000","1,949,023,000","1,739,769,000","2,028,774,000","2,223,461,000","2,314,853,000","2,701,523,000","2,525,696,000","2,426,928,000","2,429,774,000","2,736,729,000","2,791,592,000","2,769,941,000","2,523,940,000","8,025,663,000","690,398,000","2,406,535,000","2,675,583,000","2,280,791,000","2,225,614,000","2,147,212,000","332,583,000","1,913,252,000","1,878,115,000","1,803,855,000","1,702,755,000","1,596,032,000","1,683,126,000","1,682,490,000","1,782,043,744","1,836,819,712","1,747,890,164.34","1,648,642,153","1,829,339,592.98","1,758,768,294.5","2,229,349,741.2","1,525,520,674.8","1,572,856,495.5","1,517,277,694.5","881,224,000","767,971,018.41","350,937,297.5","350,566,177.5","264,013,722","308,452,750.97","373,797,602.7","555,901,436.41","198,750,480.75","162,698,534.68","-64,137.32","140,384,653.08","145,552,464","120,652,592.88","171,172,953.64","118,814,441.3","107,330,327.6","92,347,136.8","132,955,068.4","99,139,550","79,992,110.7","95,873,531.48","-52,114,978.78","106,745,444.96","104,508,423.35","110,505,206.4","78,869,788.2","123,259,500","81,504,800","75,929,139"
GrossProfit,"9,963,878,000","2,253,860,000",,,"2,403,607,000","2,233,445,000","2,491,517,000","2,334,557,000","2,306,110,000","2,304,062,000","2,333,273,000","2,191,430,000","2,029,182,000","1,939,924,000","2,231,358,000","1,971,897,000","1,815,429,000","1,905,323,000","2,382,305,000","2,088,253,000","2,129,576,000","2,231,859,000","2,466,921,000","2,327,068,000","2,347,805,000","2,272,450,000","2,446,548,000","2,291,567,000","2,174,200,000","2,186,775,000","-2,999,750,000","4,032,027,000","2,140,796,000","3,934,859,000","2,429,777,000","2,145,774,000","2,104,546,000","3,419,680,000","2,095,991,000","1,769,908,000","1,755,126,000","1,566,688,000","1,856,503,000","1,654,354,000","1,352,135,000","1,638,249,820","1,564,579,484","1,435,773,931.62","1,339,035,319","1,573,910,507.3","1,394,582,620.2","5,900,682,844.8","1,312,849,448.4","1,272,678,975.5","1,246,924,571","2,320,561,000","1,381,361,137.26","447,252,350","387,458,032.5","450,020,529","351,184,020.32","370,791,150","604,157,017.66","141,826,245.27","152,190,365.99","320,807,175.64","120,260,278.32","110,123,348.64","127,670,251.5","114,343,948.28","95,829,560.4","90,569,055.4","107,318,488.8","110,020,788.8","91,648,431","93,258,541.8","92,141,123.2","229,202,068.85","65,130,501.7","79,766,842.43","83,537,297.6","159,926,141.8","41,989,500","77,084,800","73,805,247"
OperatingExpense,"5,426,351,000","1,745,866,000","-4,027,736,000","3,642,000,000","245,822,000","1,784,790,000","1,698,561,000","1,758,020,000","1,789,287,000","1,794,284,000","1,611,420,000","1,658,291,000","1,631,913,000","1,675,924,000","1,658,491,000","1,636,939,000","1,525,552,000","1,693,923,000","1,770,431,000","1,374,678,000","772,707,000","1,713,125,000","1,719,360,000","1,757,794,000","1,773,982,000","1,690,905,000","1,681,688,000","1,733,641,000","1,613,299,000","1,655,808,000","-3,361,103,000","3,351,267,000","1,595,662,000","3,335,919,000","1,720,839,000","1,645,157,000","1,500,265,000","3,069,927,000","1,509,388,000","1,513,136,000","1,462,848,000","1,438,993,000","1,531,370,000","1,559,256,000","1,400,196,000","1,025,164,064","1,500,267,860","1,454,593,727.78","1,431,612,343","1,314,485,187.42","1,497,118,417.9","5,588,851,368","1,294,347,891","1,161,156,012.5","1,227,788,413.5","2,445,879,000","1,410,335,782.47","342,328,795","245,501,685","240,920,505","214,761,672.93","249,988,600.12","366,290,602.28","113,246,897.91","105,617,374.75","136,289,456.46","75,715,899","74,541,020.16","87,505,425.87","75,331,698.26","64,619,495.92","65,173,271.6","72,067,760","91,270,094.3","58,717,534","53,743,830.9","64,232,494.93","263,725,445.98","58,018,317.28","58,760,351.18","55,408,032.8","183,131,090.3","48,375,000","43,492,800","35,221,209"
	SellingGeneralAndAdministration,"5,910,252,000","1,647,204,000",,,"1,725,050,000","1,682,394,000","1,019,351,000","1,674,964,000","1,601,079,000","1,426,565,000","1,357,978,000","1,495,724,000","1,500,868,000","1,355,463,000","1,387,298,000","1,500,110,000","1,422,964,000","1,431,061,000","1,461,669,000","1,437,030,000","1,510,219,000","1,454,584,000","1,446,385,000","1,570,653,000","1,578,926,000","1,455,550,000","1,429,395,000","1,531,708,000","1,464,272,000","1,408,470,000","-2,292,376,000","2,614,370,000","1,425,903,000","2,622,650,000","1,595,595,000","1,477,616,000","1,424,403,000","2,325,324,000","823,391,000","1,431,694,000","1,387,219,000","1,032,717,000","1,432,879,000","1,417,366,000","950,161,000","922,690,876","1,418,255,436","1,312,612,155.02","1,319,392,051","1,189,514,713","1,357,582,661.4","4,164,792,414","1,171,493,764.8","723,339,704.5","1,180,245,501","1,769,886,000","858,811,626.09","270,864,415","242,632,665","197,981,154","213,266,545.73","235,762,139.87","378,192,215.86","117,353,019.6","98,902,455.16","59,942,277.86","78,070,540.52","72,577,622.4","76,662,705.96","86,675,382.5","58,335,590.32","60,724,275","65,093,028.8","89,382,064.4","58,717,534","53,743,830.9","64,232,494.93","59,470,568.7","58,018,317.28","58,760,351.18","55,408,032.8","62,880,022","48,375,000","43,492,800","35,221,209"
		GeneralAndAdministrativeExpense,"991,969,000","438,164,000",,,"474,744,000","405,348,000","-240,632,000","405,139,000","374,483,000","212,189,000","217,685,000","360,026,000","359,466,000","197,678,000","171,008,000","318,946,000","305,337,000","227,113,000","255,878,000","295,983,000","273,493,000","211,254,000","243,753,000","286,954,000","287,358,000","210,477,000","210,813,000","253,787,000","244,852,000","212,872,000","-7,066,537,000","2,614,370,000","277,201,000",,"-195,829,000","241,001,000","242,802,000","1,429,117,000","41,852,000","257,049,000","262,977,000","414,791,000","261,504,000","259,131,000","367,858,000",,,,,,,"4,164,792,414",,,,"1,769,886,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,"526,108,000",,,"71,357,000","83,819,000",,,"65,721,000","63,202,000",,,"81,659,000","67,669,000",,,"68,069,000","69,252,000",,,"60,624,000","53,046,000",,,"53,797,000","-366,739,000","170,138,000",,,,,,"153,443,000",,,,"130,384,000",,,"137,543,000",,,,,,,"302,078,546.6",,,,"149,094,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,,,,,,,"118,257,000",,,"15,396,000","12,965,000",,,"17,475,000","17,377,000",,,"24,299,000","16,983,000",,,"16,002,000","14,379,000",,,"15,574,000","15,836,000",,,"21,850,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
