name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009
TotalAssets,"12,248,541,000","11,914,194,000","11,975,592,000","11,514,915,000","11,202,477,000","11,450,890,000","11,485,133,000","11,692,465,000","11,318,359,000","11,330,294,000","10,101,711,000","10,009,954,000","9,626,732,000","9,916,054,000","8,268,708,000","8,011,830,000","7,891,868,000","8,285,133,000","8,574,671,000","8,504,724,000","8,674,506,000","4,224,440,000","4,253,365,000","4,036,717,000","3,932,235,000","3,475,105,000","3,013,089,000","2,890,384,000","2,721,870,000","2,842,121,000","2,504,689,000","2,560,916,000","2,324,492,000","1,739,543,000","1,618,909,000","1,622,221,000","1,484,118,000","1,503,527,000","1,463,663,000","1,474,467,000","1,209,545,000"
	CurrentAssets,"4,618,571,000","4,440,007,000","4,386,358,000","4,172,059,000","3,875,986,000","4,132,991,000","4,049,207,000","3,907,065,000","3,549,701,000","3,521,501,000","3,045,358,000","2,882,091,000","2,527,693,000","2,685,156,000","2,350,945,000","2,054,581,000","1,945,172,000","2,033,543,000","2,201,006,000","2,109,265,000","2,137,350,000","1,504,675,000","1,523,054,000","1,471,409,000","1,353,512,000","1,490,524,000","1,405,818,000","1,318,066,000","1,195,354,000","1,317,969,000","1,198,317,000","1,306,780,000","1,122,925,000","786,933,000","755,272,000","759,869,000","618,983,000","647,647,000","606,098,000","616,544,000","347,242,000"
		CashCashEquivalentsAndShortTermInvestments,"1,271,494,000","1,058,762,000","1,170,339,000","1,057,465,000","1,031,145,000","924,442,000","919,662,000","979,573,000","913,595,000","834,756,000","564,578,000","546,560,000","475,018,000","405,435,000","493,085,000","399,318,000","447,152,000","422,390,000","384,175,000","379,393,000","477,069,000","304,109,000","297,642,000","283,374,000","338,105,000","345,689,000","292,905,000","224,613,000","283,649,000","655,061,000","580,579,000","628,119,000","285,159,000","137,284,000","263,200,000","119,779,000","114,804,000","110,773,000","72,129,000","86,357,000","84,701,000"
			CashAndCashEquivalents,"1,271,494,000","1,058,762,000","1,170,339,000","1,057,465,000","1,031,145,000","924,442,000","919,662,000","979,573,000","913,595,000","834,756,000","564,578,000","546,560,000","475,018,000","405,435,000","493,085,000","399,318,000","447,152,000","422,390,000","384,175,000","379,393,000","477,069,000","304,109,000","297,642,000","283,374,000","338,105,000","345,689,000","292,905,000","224,613,000","283,649,000","300,061,000","255,579,000","287,119,000","285,159,000","137,284,000","101,200,000","119,779,000","114,804,000","110,773,000","72,129,000","86,357,000","84,701,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"355,000,000","325,000,000","341,000,000",,,"162,000,000",,,,,,
		Receivables,"1,568,961,000","1,703,998,000","1,727,183,000","1,655,459,000","1,425,815,000","1,811,339,000","1,716,937,000","1,691,762,000","1,420,011,000","1,456,255,000","1,429,563,000","1,360,833,000","1,202,009,000","1,334,686,000","908,385,000","880,808,000","638,954,000","731,957,000","811,477,000","773,474,000","673,797,000","715,662,000","688,527,000","682,753,000","573,351,000","661,901,000","627,675,000","626,464,000","525,441,000","578,818,000","545,796,000","599,810,000","761,791,000","569,530,000","387,800,000","532,951,000","404,163,000","423,634,000","435,829,000","424,544,000","163,461,000"
			AccountsReceivable,"1,568,961,000","1,703,998,000","1,727,183,000","1,655,459,000","1,425,815,000","1,811,339,000","1,716,937,000","1,691,762,000","1,420,011,000","1,456,255,000","1,429,563,000","1,360,833,000","1,202,009,000","1,334,686,000","908,385,000","880,808,000","638,954,000","731,957,000","811,477,000","773,474,000","673,797,000","715,662,000","688,527,000","682,753,000","573,351,000","661,901,000","627,675,000","626,464,000","525,441,000","578,818,000","545,796,000","599,810,000","761,791,000","569,530,000","387,800,000","532,951,000","404,163,000","423,634,000","435,829,000","424,544,000","163,461,000"
				GrossAccountsReceivable,"1,639,851,000","1,768,661,000","1,795,517,000","1,721,653,000","1,485,778,000","1,863,361,000","1,765,182,000","1,740,751,000","1,466,042,000","1,504,034,000","1,477,399,000","1,401,818,000","1,234,515,000","1,364,758,000","933,621,000","904,841,000","660,857,000","754,500,000","833,877,000","795,443,000","697,639,000","738,953,000","711,281,000","704,516,000","595,767,000","683,074,000","647,915,000","646,040,000","544,904,000","598,813,000","563,755,000","617,552,000","777,106,000","584,496,000","404,145,000","548,138,000","418,419,000",,,,
				AllowanceForDoubtfulAccountsReceivable,"-70,890,000","-64,663,000","-68,334,000","-66,194,000","-59,963,000","-52,022,000","-48,245,000","-48,989,000","-46,031,000","-47,779,000","-47,836,000","-40,985,000","-32,506,000","-30,072,000","-25,236,000","-24,033,000","-21,903,000","-22,543,000","-22,400,000","-21,969,000","-23,842,000","-23,291,000","-22,754,000","-21,763,000","-22,416,000","-21,173,000","-20,240,000","-19,576,000","-19,463,000","-19,995,000","-17,959,000","-17,742,000","-15,315,000","-14,966,000","-16,345,000","-15,187,000","-14,256,000",,,,
		PrepaidAssets,"403,400,000","278,132,000","196,549,000","202,029,000","199,278,000","202,102,000","207,832,000","163,802,000","187,820,000","252,975,000","109,178,000","110,265,000","90,914,000","80,837,000","73,355,000","70,251,000","68,661,000","51,669,000","57,857,000","70,198,000","74,889,000","45,512,000","61,917,000","60,684,000","40,062,000","32,988,000","27,122,000","24,932,000","28,126,000","25,608,000","17,505,000","17,305,000","15,416,000","18,126,000","36,850,000","36,226,000","33,191,000","40,212,000","34,021,000","32,972,000","24,113,000"
		RestrictedCash,"1,374,716,000","1,399,115,000","1,292,287,000","1,257,106,000","1,219,748,000","1,195,108,000","1,204,776,000","1,071,928,000","1,028,275,000","977,515,000","942,039,000","864,433,000","759,752,000","855,319,000","869,014,000","696,235,000","781,492,000","794,446,000","893,354,000","808,562,000","810,144,000","435,948,000","470,553,000","440,340,000","397,244,000","444,008,000","450,474,000","434,347,000","351,674,000","52,186,000","50,127,000","57,209,000","55,762,000","57,399,000","63,008,000","66,319,000","62,341,000","65,927,000","57,537,000","65,345,000","67,979,000"
		CurrentDeferredAssets,,,,,,,,,,,,,"0","8,879,000","7,106,000","7,969,000","8,913,000","33,081,000","54,143,000","77,638,000","101,451,000","3,444,000","4,415,000","4,258,000","4,750,000","5,938,000","7,642,000","7,710,000","6,464,000","6,296,000","4,310,000","4,337,000","4,797,000","4,594,000","4,414,000","4,594,000","4,484,000","7,101,000","6,582,000","7,326,000","6,988,000"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,"0","8,879,000","7,106,000","7,969,000","8,913,000","33,081,000","54,143,000","77,638,000","101,451,000","3,444,000","4,415,000","4,258,000","4,750,000","5,938,000","7,642,000","7,710,000","6,464,000","6,296,000","4,310,000","4,337,000","4,797,000","4,594,000","4,414,000","4,594,000","4,484,000","7,101,000","6,582,000","7,326,000","6,988,000"
	TotalNonCurrentAssets,"7,629,970,000","7,474,187,000","7,589,234,000","7,342,856,000","7,326,491,000","7,317,899,000","7,435,926,000","7,785,400,000","7,768,658,000","7,808,793,000","7,056,353,000","7,127,863,000","7,099,039,000","7,230,898,000","5,917,763,000","5,957,249,000","5,946,696,000","6,251,590,000","6,373,665,000","6,395,459,000","6,537,156,000","2,719,765,000","2,730,311,000","2,565,308,000","2,578,723,000","1,984,581,000","1,607,271,000","1,572,318,000","1,526,516,000","1,524,152,000","1,306,372,000","1,254,136,000","1,201,567,000","952,610,000","863,637,000","862,352,000","865,135,000","855,880,000","857,565,000","857,923,000","862,303,000"
		NetPPE,"199,825,000","185,522,000","190,215,000","186,251,000","186,201,000","184,979,000","179,096,000","184,031,000","180,057,000","168,065,000","154,278,000","149,037,000","142,504,000","144,486,000","90,423,000","85,605,000","80,760,000","75,860,000","73,162,000","72,066,000","73,563,000","56,184,000","56,500,000","54,891,000","53,956,000","48,797,000","46,654,000","45,892,000","45,196,000","46,542,000","35,677,000","34,227,000","32,724,000","30,366,000","27,799,000","27,097,000","26,818,000","25,584,000","25,864,000","26,369,000","27,223,000"
			GrossPPE,"413,805,000",,,,"351,683,000",,,"184,031,000","310,566,000",,,"271,534,000","253,361,000","251,394,000","189,665,000","177,167,000","163,569,000","154,987,000","146,978,000","137,608,000","135,062,000","127,340,000","125,195,000","118,458,000","111,100,000","108,288,000","101,373,000","97,104,000","93,902,000","117,008,000","101,875,000","99,479,000","93,380,000","90,435,000","90,770,000","87,411,000","83,013,000","76,514,000","77,367,000","75,623,000","72,091,000"
				Properties,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,,,,,"0"
				BuildingsAndImprovements,"29,127,000",,,,"21,854,000",,,,"21,603,000",,,,"14,432,000",,,,"10,982,000",,,,"11,294,000",,,,"10,571,000",,,,"9,710,000",,,,"8,264,000",,,,,,,,"4,251,000"
				MachineryFurnitureEquipment,"384,678,000",,,,"329,829,000",,,,"288,963,000",,,,"238,929,000",,,,"152,587,000",,,,"123,768,000",,,,"100,529,000",,,,"84,192,000",,,,"85,116,000",,,,,,,,"67,840,000"
			AccumulatedDepreciation,"-213,980,000",,,,"-165,482,000",,,,"-130,509,000",,,"-122,497,000","-110,857,000","-106,908,000","-99,242,000","-91,562,000","-82,809,000","-79,127,000","-73,816,000","-65,542,000","-61,499,000","-71,156,000","-68,695,000","-63,567,000","-57,144,000","-59,491,000","-54,719,000","-51,212,000","-48,706,000","-70,466,000","-66,198,000","-65,252,000","-60,656,000","-60,069,000","-62,971,000","-60,314,000","-56,195,000","-50,930,000","-51,503,000","-49,254,000","-44,868,000"
