name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
		GrossPPE,"8,371,641,000,000","7,216,866,000,000","7,069,695,000,000","6,136,237,000,000","5,737,588,000,000","5,570,905,000,000","5,488,305,000,000","5,440,557,000,000","5,463,392,000,000","3,648,853,000,000","3,726,203,000,000","3,655,467,000,000",,,,,,,,,
			LandAndImprovements,"2,431,812,000,000","2,433,059,000,000","2,475,372,000,000","2,325,568,000,000","2,081,704,000,000","1,970,010,000,000","1,991,831,000,000","2,014,527,000,000","2,022,943,000,000","530,586,000,000","531,196,000,000","539,018,000,000",,,,,,,,,
			BuildingsAndImprovements,"2,265,929,000,000","2,043,459,000,000","2,061,717,000,000","1,469,894,000,000","1,351,011,000,000","1,231,645,000,000","1,219,806,000,000","1,211,056,000,000","1,200,813,000,000","1,062,590,000,000","1,041,861,000,000","1,033,128,000,000",,,,,,,,,
			MachineryFurnitureEquipment,"1,867,739,000,000","1,729,223,000,000","1,699,563,000,000","1,591,143,000,000","1,640,777,000,000","1,725,901,000,000","1,642,796,000,000","1,635,134,000,000","1,710,477,000,000","1,594,063,000,000","1,724,314,000,000","1,710,873,000,000",,,,,,,,,
			ConstructionInProgress,"86,303,000,000","88,618,000,000","14,808,000,000","4,205,000,000","635,000,000","7,946,000,000","0","893,000,000","1,075,000,000","119,000,000","350,000,000","0",,,,,,,,,
			Leases,"865,531,000,000","878,078,000,000","783,446,000,000","711,316,000,000","629,956,000,000","602,438,000,000","567,231,000,000","523,039,000,000","528,084,000,000","461,495,000,000","428,482,000,000","372,448,000,000",,,,,,,,,
			OtherProperties,"854,327,000,000","44,429,000,000","34,789,000,000","34,111,000,000","33,505,000,000","32,965,000,000","66,641,000,000","55,908,000,000",,,,,,,,,,,,,
		AccumulatedDepreciation,"-3,304,264,000,000","-2,944,739,000,000","-2,867,998,000,000","-2,508,969,000,000","-2,450,205,000,000","-2,487,920,000,000","-2,427,462,000,000","-2,336,960,000,000","-2,277,372,000,000","-2,170,666,000,000","-2,109,052,000,000","-1,880,567,000,000",,,,,,,,,
	GoodwillAndOtherIntangibleAssets,"2,737,813,000,000","2,755,783,000,000","2,943,060,000,000","652,316,000,000","466,828,000,000","488,922,000,000","443,204,000,000","500,023,000,000","504,920,000,000","861,224,000,000","770,165,000,000","786,938,000,000","578,253,746,544.25","552,991,216,274.97","605,249,325,679.77","705,121,000,000","857,302,500,000","630,616,844,388.2",,,
		Goodwill,"275,741,000,000","275,220,000,000","273,450,000,000","262,392,000,000","262,392,000,000","262,392,000,000","205,565,000,000","216,052,000,000","143,209,000,000","585,904,000,000","579,450,000,000","578,452,000,000",,,,,,,,,
		OtherIntangibleAssets,"2,462,072,000,000","2,480,563,000,000","2,669,610,000,000","389,924,000,000","204,436,000,000","226,530,000,000","237,639,000,000","283,971,000,000","361,711,000,000","275,320,000,000","190,715,000,000","208,486,000,000",,,,,,,,,
	DeferredAssets,"3,597,000,000","4,158,000,000","3,991,000,000","133,624,000,000","8,373,000,000","15,562,000,000","15,422,000,000","18,432,000,000","22,329,000,000",,,,,,,,,,,,
		DeferredTaxAssets,"3,597,000,000","4,158,000,000","3,991,000,000","133,624,000,000","8,373,000,000","15,562,000,000","15,422,000,000","18,432,000,000","22,329,000,000",,,,,,,,,,,,
	DefinedPensionBenefit,"946,000,000","0","894,000,000",,,,,,,,,,,,,,,,,,
	AssetsHeldForSale,"23,151,000,000","16,952,000,000","155,506,000,000","52,148,000,000","48,628,000,000","70,357,000,000","37,718,000,000","35,412,000,000","9,931,000,000",,,,,,,,,,,,
	OtherAssets,"11,692,266,000,000","9,520,902,000,000","6,695,441,000,000","2,080,665,000,000","1,389,546,000,000","1,268,203,000,000","1,080,718,000,000","951,328,000,000","7,493,592,000,000","1,169,221,000,000","10,594,856,000,000","16,793,291,000,000","2,977,917,609,309.44","1,758,644,543,581.2","2,030,915,359,945.13","2,261,928,000,000","3,181,698,750,000","2,301,601,422,705","7,161,846,272,474.25","4,396,299,609,742.5","4,325,560,000,000"
TotalLiabilitiesNetMinorityInterest,"479,418,792,000,000","443,875,271,000,000","402,740,780,000,000","344,412,253,000,000","300,162,745,000,000","280,843,036,000,000","266,185,324,000,000","257,302,538,000,000","254,501,022,000,000","234,716,456,000,000","236,279,157,000,000","242,732,123,000,000","200,810,357,167,291","169,964,161,641,186","165,331,166,240,380.03","164,081,731,000,000","186,027,260,000,000","175,183,912,158,705.56","160,355,232,981,569.4","87,158,893,587,412.5","43,521,000,000,000"
	TotalDeposits,"306,455,739,000,000","277,455,900,000,000","256,598,255,000,000","240,291,359,000,000","224,769,373,000,000","211,900,162,000,000","200,990,850,000,000","194,517,450,000,000","190,337,590,000,000","179,928,135,000,000","169,183,068,000,000","158,701,475,000,000","138,515,975,949,084.58","123,561,010,890,601.69","124,366,975,160,075.69","121,940,735,000,000","138,007,460,000,000","122,393,037,918,054.22","115,085,585,038,858.5","58,453,733,102,917.5","33,379,333,000,000"
		InterestBearingDepositsLiabilities,"170,115,322,000,000","154,965,929,000,000","136,009,474,000,000","130,227,824,000,000","128,943,406,000,000","133,045,252,000,000","131,344,878,000,000","131,970,384,000,000","130,512,831,000,000","176,846,197,000,000","166,078,921,000,000","155,263,206,000,000","134,835,851,409,447.52","119,416,587,945,679.2","3,870,088,939,071.02","119,025,620,000,000","134,378,951,250,000","118,648,349,900,347.58","110,942,390,547,761.55","58,453,733,102,917.5",
			CustomerAccounts,"170,115,322,000,000","154,965,929,000,000","136,009,474,000,000","130,227,824,000,000","128,943,406,000,000","133,045,252,000,000","131,344,878,000,000","131,970,384,000,000","130,512,831,000,000","176,846,197,000,000","166,078,921,000,000","155,263,206,000,000","134,835,851,409,447.52","119,416,587,945,679.2","3,870,088,939,071.02","119,025,620,000,000","134,378,951,250,000","118,648,349,900,347.58","110,942,390,547,761.55","58,453,733,102,917.5",
		NonInterestBearingDeposits,"136,340,417,000,000","122,489,971,000,000","120,588,781,000,000","110,063,535,000,000","95,825,967,000,000","78,854,910,000,000","69,645,972,000,000","62,547,066,000,000","59,824,759,000,000","3,081,938,000,000","3,104,147,000,000","3,438,269,000,000","3,680,124,539,637.07","4,144,422,944,922.48","120,496,886,221,004.66","2,915,115,000,000","3,628,508,750,000","3,744,688,017,706.64","4,143,194,491,096.95",,
	FederalFundsPurchasedAndSecuritiesSoldUnderAgreementToRepurchase,"13,015,506,000,000","11,954,491,000,000","10,676,219,000,000","8,825,564,000,000","1,845,611,000,000","1,074,146,000,000","685,626,000,000","1,094,031,000,000",,,,,,,,,,,,,
		FinancialInstrumentsSoldUnderAgreementsToRepurchase,"13,015,506,000,000","11,954,491,000,000","10,676,219,000,000","8,825,564,000,000","1,845,611,000,000","1,074,146,000,000","685,626,000,000","1,094,031,000,000",,,,,,,,,,,,,
	PayablesAndAccruedExpenses,"19,360,349,000,000","18,084,224,000,000","17,923,968,000,000","15,391,663,000,000","11,191,588,000,000","11,041,313,000,000","11,662,970,000,000","10,897,564,000,000","588,825,000,000","3,703,325,000,000","3,819,342,000,000","4,961,602,000,000","4,197,890,458,337.73","3,527,695,367,624.01","3,271,416,009,915.94","3,376,034,000,000","4,129,405,000,000","4,462,785,289,111.36","4,619,185,293,840",,"2,523,475,000,000"
		Payables,"15,577,724,000,000","14,353,151,000,000","14,635,387,000,000","12,382,285,000,000","8,215,117,000,000","7,709,943,000,000","7,417,648,000,000","6,476,334,000,000","588,825,000,000","3,703,325,000,000","3,819,342,000,000","4,961,602,000,000","4,197,890,458,337.73","3,527,695,367,624.01","3,271,416,009,915.94","3,376,034,000,000","4,129,405,000,000","4,462,785,289,111.36","4,619,185,293,840",,
			AccountsPayable,,,,,,,,,,"3,703,325,000,000","3,819,342,000,000","4,961,602,000,000","4,197,890,458,337.73","3,527,695,367,624.01","3,271,416,009,915.94","3,376,034,000,000","4,129,405,000,000","4,462,785,289,111.36","4,619,185,293,840",,
			TotalTaxPayable,"591,423,000,000","835,870,000,000","613,773,000,000","582,070,000,000","146,012,000,000","338,198,000,000","323,238,000,000","386,366,000,000","588,825,000,000",,,,,,,,,,,,
				IncomeTaxPayable,"591,423,000,000","835,870,000,000","613,773,000,000","582,070,000,000","146,012,000,000","338,198,000,000","323,238,000,000","386,366,000,000","588,825,000,000",,,,,,,,,,,,
