name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006
TotalRevenue,"778,643,000","213,247,000","193,289,000","174,820,000","197,287,000","177,548,000","155,454,000","236,818,000","275,681,000","271,418,000","236,209,000","218,301,000","248,206,000","244,663,000","210,444,000","191,279,000","226,958,000","215,954,000","193,393,000","174,726,000","194,127,000","189,973,000","175,056,000","158,594,000","167,432,000","162,443,000","152,399,000","141,463,000","142,030,000","141,298,000","133,568,000","119,260,000","117,131,000","113,005,000","108,909,000","103,118,000","101,709,000","100,031,000","98,946,000","97,522,000","89,326,000","77,454,000","66,084,000","59,400,000","58,964,000","51,683,000","39,351,000","35,138,000","35,138,000","24,831,000","24,832,000","24,832,000","24,832,000","18,028,000","18,028,000","18,028,000","18,028,000"
CostOfRevenue,"314,110,000","85,085,000","80,480,000","76,827,000","72,132,000","62,682,000","68,786,000","102,237,000","111,027,000","108,933,000","104,303,000","95,030,000","102,574,000","102,100,000","91,748,000","84,599,000","94,654,000","92,427,000","83,180,000","75,357,000","78,687,000","78,552,000","71,714,000","67,847,000","70,678,000","67,971,000","64,704,000","61,747,000","59,997,000","58,819,000","57,354,000","53,406,000","50,824,000","50,639,000","48,933,000","45,709,000","45,830,000","36,159,000","35,950,000","36,285,000","31,901,000","26,965,000","23,466,000","20,047,000","18,332,000","17,455,000","12,967,000","12,014,000",,,,,,,,,
GrossProfit,"464,533,000","128,162,000","112,809,000","97,993,000","125,155,000","114,866,000","86,668,000","134,581,000","164,654,000","162,485,000","131,906,000","123,271,000","145,632,000","142,563,000","118,696,000","106,680,000","132,304,000","123,527,000","110,213,000","99,369,000","115,440,000","111,421,000","103,342,000","90,747,000","96,754,000","94,472,000","87,695,000","79,716,000","82,033,000","82,479,000","76,214,000","65,854,000","66,307,000","62,366,000","59,976,000","57,409,000","55,879,000","63,872,000","62,996,000","61,237,000","57,425,000","50,489,000","42,618,000","39,353,000","40,632,000","34,228,000","26,384,000","23,124,000",,,,,,,,,
OperatingExpense,"199,402,000","46,190,000","53,075,000","46,999,000","52,724,000","34,717,000","57,248,000","76,093,000","74,562,000","71,139,000","72,214,000","68,183,000","69,004,000","65,705,000","68,267,000","61,932,000","63,613,000","60,392,000","61,229,000","57,113,000","59,454,000","57,885,000","57,386,000","52,860,000","53,318,000","53,595,000","50,410,000","48,227,000","48,408,000","49,232,000","45,011,000","40,456,000","42,103,000","39,054,000","39,315,000","34,747,000","36,664,000","52,591,000","40,858,000","40,725,000","37,828,000","32,625,000","35,925,000","29,393,000","28,577,000","28,737,000","23,718,000","19,961,000",,,,,,,,,
	SellingGeneralAndAdministration,"187,213,000","44,011,000","50,896,000","44,942,000","46,950,000","33,947,000","41,638,000","76,093,000","74,562,000","71,139,000","72,214,000","68,183,000","69,004,000","65,705,000","68,267,000","61,932,000","63,613,000","60,392,000","61,229,000","57,113,000","59,454,000","57,885,000","57,386,000","52,860,000","53,318,000","53,595,000","50,410,000","48,227,000","48,408,000","49,232,000","45,011,000","40,456,000","42,103,000","39,054,000","39,315,000","34,747,000","36,664,000","52,517,000","40,784,000","40,651,000","37,754,000","32,551,000","35,851,000","29,319,000","28,503,000","28,737,000","23,718,000","19,961,000",,,,,,,,,
	OperatingExpense,"199,402,000","46,190,000","53,075,000","46,999,000","52,724,000","34,717,000","57,248,000","76,093,000","74,562,000","71,139,000","72,214,000","68,183,000","69,004,000","65,705,000","68,267,000","61,932,000","63,613,000","60,392,000","61,229,000","57,113,000","59,454,000","57,885,000","57,386,000","52,860,000","53,318,000","53,595,000","50,410,000","48,227,000","48,408,000","49,232,000","45,011,000","40,456,000","42,103,000","39,054,000","39,315,000","34,747,000","36,664,000","52,591,000","40,858,000","40,725,000","37,828,000","32,625,000","35,925,000","29,393,000","28,577,000","28,737,000","23,718,000","19,961,000",,,,,,,,,
OperatingIncome,"265,131,000","81,972,000","59,734,000","50,994,000","72,431,000","80,149,000","29,420,000","58,488,000","90,092,000","91,346,000","59,692,000","55,088,000","76,628,000","76,858,000","50,429,000","44,748,000","68,691,000","63,135,000","48,984,000","42,256,000","55,986,000","53,536,000","45,956,000","37,887,000","43,436,000","40,877,000","37,285,000","31,489,000","33,625,000","33,247,000","31,203,000","25,398,000","24,204,000","23,312,000","20,661,000","22,662,000","19,215,000","11,281,000","22,138,000","20,512,000","19,597,000","17,864,000","6,693,000","9,960,000","12,055,000","5,491,000","2,666,000","3,163,000","35,138,000","-70,150,000","24,832,000","24,832,000","24,832,000","-51,041,000","18,028,000","18,028,000","18,028,000"
InterestExpense,"11,311,000","2,943,000","2,875,000","2,907,000","2,586,000","575,000","558,000","57,000","346,000","527,000","567,000","495,000","580,000","497,000","344,000","158,000","329,000","414,000","313,000","146,000","375,000","346,000","576,000","356,000","523,000","609,000","528,000","439,000","668,000","260,000","154,000","78,000","207,000","414,000","170,000","29,000","107,000","207,000","176,000","162,000","344,000","250,000","276,000","420,000","667,000",,,,,,,,,,,,
OtherIncomeExpense,"4,385,000","343,000","255,000","2,668,000","1,119,000","521,000","371,000",,"981,000",,,,,"-160,000","-3,363,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"317,502,000","94,244,000","73,322,000","65,237,000","84,699,000","93,794,000","42,481,000","59,998,000","90,727,000","91,576,000","60,570,000","55,332,000","76,050,000","76,400,000","44,431,000","44,883,000","70,410,000","62,030,000","48,872,000","42,237,000","55,868,000","53,497,000","45,423,000","37,728,000","43,050,000","40,372,000","38,259,000","31,112,000","35,152,000","33,006,000","31,065,000","25,346,000","24,007,000","22,908,000","20,511,000","22,659,000","19,140,000","11,111,000","21,995,000","20,387,000","19,314,000","17,666,000","6,460,000","9,661,000","11,496,000","3,196,000","2,093,000","2,626,000",,,,,,,,,
TaxProvision,"58,327,000","17,575,000","15,171,000","14,125,000","11,456,000","18,263,000","8,720,000","13,960,000","17,046,000","23,320,000","21,266,000","15,485,000","20,138,000","28,421,000","15,187,000","17,257,000","26,745,000","23,916,000","15,530,000","16,461,000","21,689,000","20,404,000","16,407,000","14,659,000","16,762,000","14,215,000","15,714,000","12,048,000","14,207,000","12,097,000","12,594,000","9,748,000","9,538,000","7,584,000","7,643,000","9,401,000","7,842,000","3,540,000","9,077,000","7,991,000","7,834,000","6,571,000","2,969,000","3,846,000","4,593,000","987,000","841,000","1,014,000",,,,,,,,,
NetIncomeContinuousOperations,"259,175,000","76,669,000","58,151,000","51,112,000","73,243,000","75,531,000","33,761,000","46,038,000","73,681,000","68,256,000","39,304,000","39,847,000","55,912,000","47,979,000","29,244,000","27,626,000","43,665,000","38,114,000","33,342,000","25,776,000","34,179,000","33,093,000","29,016,000","23,069,000","26,288,000","26,157,000","22,545,000","19,064,000","20,945,000","20,909,000","18,471,000","15,598,000","14,469,000","15,324,000","12,868,000","13,258,000","11,298,000","7,571,000","12,918,000","12,396,000","11,480,000","11,095,000","3,491,000","5,815,000","6,904,000","2,209,000","1,252,000","1,612,000","1,612,000","381,000","382,000","382,000","382,000","149,000","150,000","150,000","150,000"
NetIncome,"259,175,000","76,669,000","58,151,000","51,112,000","73,243,000","75,531,000","33,761,000","46,038,000","73,681,000","68,256,000","39,304,000","39,847,000","55,912,000","47,979,000","29,244,000","27,626,000","43,665,000","38,114,000","33,342,000","25,776,000","34,179,000","33,093,000","29,016,000","23,069,000","26,288,000","26,157,000","22,545,000","19,064,000","20,945,000","20,909,000","18,471,000","15,598,000","14,469,000","15,324,000","12,868,000","13,258,000","11,298,000","7,571,000","12,918,000","12,396,000","11,480,000","11,095,000","3,491,000","5,815,000","6,904,000","2,209,000","1,252,000","1,612,000","1,612,000","381,000","382,000","382,000","382,000","149,000","150,000","150,000","150,000"
NetIncomeCommonStockholders,"259,175,000","76,669,000","58,151,000","51,112,000","73,243,000","75,531,000","33,761,000","46,038,000","73,681,000","68,256,000","39,304,000","39,847,000","55,912,000","47,979,000","29,244,000","27,626,000","43,665,000","38,114,000","33,342,000","25,776,000","34,179,000","33,093,000","29,016,000","23,069,000","26,288,000","26,157,000","22,545,000","19,064,000","20,945,000","20,909,000","18,471,000","15,598,000","14,469,000","15,324,000","12,868,000","13,258,000","11,298,000","7,571,000","12,918,000","12,396,000","11,480,000","11,095,000","3,491,000","5,815,000","6,904,000","2,062,000","982,000","1,351,000","1,351,000","294,000","295,000","295,000","295,000","17,000","18,000","18,000","18,000"
BasicEPS,,"1.61","1.21","1.07","1.54","1.58","0.71","0.97","1.55","1.44","0.83","0.85","1.2","1.03","0.63","0.6","0.96","0.83","0.72","0.56","0.75",,"0.64","0.51","0.58",,"0.5","0.43","0.47","0.47","0.42","0.35","0.33",,"0.29","0.3","0.25",,"0.28","0.27","0.25",,"0.08","0.13","0.15",,"0.05","0.07","0.07",,"0.016","0.016","0.016",,"0.001","0.001","0.001"
