name,10/31/2019,10/31/2018,10/31/2017,10/31/2016,10/31/2015,10/31/2014,10/31/2013,10/31/2012,10/31/2011,10/31/2010,10/31/2009,10/31/2008,10/31/2007,10/31/2006,10/31/2005,10/31/2004,10/31/2003,10/31/2002,10/31/2001,10/31/2000,10/31/1999,10/31/1998,10/31/1997,10/31/1996,10/31/1995,10/31/1994
TotalAssets,"852,195,000,000","774,048,000,000","709,580,000,000","687,935,000,000","641,881,000,000","588,659,000,000","537,299,000,000","525,449,000,000","477,423,000,000","411,640,000,000","388,458,000,000","416,049,783,550","366,524,453,694","319,977,560,866","297,532,176,172","265,193,855,157","256,493,472,241","252,864,485,981","239,409,617,521","233,396,283,887","230,614,977,196","222,590,060,194","207,838,050,979","169,831,438,127","151,834,024,896","138,175,030,434"
	CashCashEquivalentsAndFederalFundsSold,"166,030,000,000","139,120,000,000","114,136,000,000","102,748,000,000","115,743,000,000","88,051,000,000","72,400,000,000","70,520,000,000","61,564,000,000","48,656,000,000","49,301,000,000","21,105,098,605","22,889,982,026","19,608,437,114","20,721,454,717","18,045,598,634","19,860,213,636","19,305,295,950","17,657,514,680","18,508,985,684","30,762,100,927","47,250,038,586","32,245,035,910","24,187,290,970","20,316,958,908","14,567,969,701"
		CashAndCashEquivalents,"58,509,000,000","52,050,000,000","39,089,000,000","36,102,000,000","47,677,000,000","34,496,000,000","32,601,000,000","26,282,000,000","23,594,000,000","20,554,000,000","13,295,000,000","21,105,098,605","22,889,982,026","19,608,437,114","20,721,454,717","18,045,598,634","19,860,213,636","19,305,295,950","17,657,514,680","18,508,985,684","24,036,045,314","19,730,050,934","32,245,035,910","24,187,290,970","20,316,958,908","14,567,969,701"
			CashFinancial,"47,598,000,000","40,738,000,000","30,002,000,000","29,460,000,000","38,818,000,000","27,056,000,000","24,593,000,000",,,,,,,,,,,,,,,,,,,
			CashEquivalents,"1,719,000,000","1,603,000,000",,,,,,"19,941,000,000","19,626,000,000","17,368,000,000","9,955,000,000",,"3,649,607,416","2,458,207,113",,,,,"3,459,768,291","2,144,380,140","2,419,008,386","2,962,031,178","2,651,035,065","3,345,819,398","1,910,989,158","1,694,981,739"
			CashAndDueFromBanks,"9,192,000,000","9,709,000,000","9,087,000,000","6,642,000,000","8,859,000,000","7,440,000,000","8,008,000,000","6,341,000,000","3,968,000,000","3,186,000,000","3,340,000,000","21,105,098,605","19,240,374,610","17,150,230,001","20,721,454,717","18,045,598,634","19,860,213,636","19,305,295,950","14,197,746,389","16,364,605,544","21,617,036,928","16,768,019,756","29,594,000,845","20,841,471,572","18,405,969,750","12,872,987,962"
		RestrictedCashAndInvestments,"3,517,000,000","2,019,000,000",,,,,,,,,,,,,,,,,,,,,,,,
			RestrictedCashAndCashEquivalents,"3,517,000,000","2,019,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		MoneyMarketInvestments,"104,004,000,000","85,051,000,000","75,047,000,000","66,646,000,000","68,066,000,000","53,555,000,000","39,799,000,000","44,238,000,000","37,970,000,000","28,102,000,000","36,006,000,000",,,,,,,,,,"6,726,055,613","27,519,987,652",,,,
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,"44,238,000,000","37,970,000,000","28,102,000,000","36,006,000,000",,,,,,,,,,"6,726,055,613","27,519,987,652",,,,
				SecurityAgreeToBeResell,,,,,,,,"44,238,000,000","37,970,000,000","28,102,000,000","36,006,000,000",,,,,,,,,,,,,,,
	CustomerAcceptances,"23,593,000,000","18,585,000,000","16,546,000,000","13,021,000,000","11,307,000,000","10,878,000,000","8,472,000,000",,,,,"9,357,864,358","12,388,610,349","7,223,157,186","5,934,584,957","5,354,791,514","5,611,235,659","6,900,311,526","7,935,248,373","8,629,302,467","6,752,979,256","6,943,972,835","5,594,000,845","4,397,324,415","4,469,013,519","3,430,001,353"
	BankOwnedLifeInsurance,"4,242,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
	SecuritiesAndInvestments,"189,438,000,000","180,935,000,000","163,198,000,000","149,985,000,000","130,918,000,000","143,319,000,000","134,981,000,000","128,324,000,000","131,346,000,000","123,399,000,000","110,813,000,000","100,138,287,638","98,276,416,611","67,399,304,387","88,773,172,748","50,471,836,138","54,790,979,823","43,714,953,271","37,676,559,276","46,462,077,368","36,547,006,032","43,465,040,901","41,789,043,797","36,608,695,652","33,019,006,826","26,534,965,508"
		TradingSecurities,"85,903,000,000","99,697,000,000","99,069,000,000","84,458,000,000","72,460,000,000","85,022,000,000","75,159,000,000","70,109,000,000","71,579,000,000","71,710,000,000","59,071,000,000","66,031,746,032","70,772,869,170","51,819,813,755","44,308,655,095","35,443,794,197","35,119,345,905","22,426,791,277","16,200,603,079","21,993,603,412","17,245,990,878","18,791,017,132","22,857,062,386","19,043,478,261","13,250,033,463","10,480,995,536"
		AvailableForSaleSecurities,"39,020,000,000","81,238,000,000","55,035,000,000","56,562,000,000","49,026,000,000","47,953,000,000","53,790,000,000","57,340,000,000","59,767,000,000","51,689,000,000","51,742,000,000","34,106,541,606","27,503,547,441","15,579,490,632","44,464,517,653","15,028,041,941","19,671,633,918","21,288,161,994","21,475,956,197","24,468,473,956","19,301,015,154","24,674,023,769","18,931,981,411","17,565,217,391","19,768,973,363","16,053,969,972"
		HeldToMaturitySecurities,,,"9,094,000,000","8,965,000,000","9,432,000,000","10,344,000,000","6,032,000,000","875,000,000",,,,,,,,,,,,,,,,,,
		OtherShortTermInvestments,"64,515,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
	DerivativeAssets,"22,144,000,000","26,204,000,000","28,951,000,000","39,183,000,000","38,238,000,000","32,655,000,000","30,259,000,000","48,071,000,000","55,677,000,000","49,759,000,000","47,898,000,000",,,,,,,,,,,,,,,
	NetLoan,"426,094,000,000","383,991,000,000","361,672,000,000","358,730,000,000","322,717,000,000","292,160,000,000","270,623,000,000","256,608,000,000","206,498,000,000","176,643,000,000","167,829,000,000","205,637,325,637","188,798,599,943","183,770,896,443","168,403,589,562","150,892,465,252","140,544,639,325","142,694,704,050","136,829,074,750","133,816,631,130","138,001,029,866","102,171,014,045","114,917,898,887","98,413,377,926","88,441,975,639","88,633,978,087"
		GrossLoan,"427,944,000,000","385,630,000,000","363,505,000,000","360,655,000,000","324,572,000,000","293,894,000,000","272,288,000,000","258,314,000,000","208,330,000,000","178,521,000,000","169,731,000,000","207,384,559,884","189,853,372,434","184,828,901,604","169,531,231,550","152,200,682,760","142,330,212,317","144,643,302,181","138,777,971,750","135,414,255,254","139,348,977,490","103,337,089,057","116,062,948,880","99,446,153,846","89,337,036,541","89,661,977,546"
			CommercialLoan,"227,609,000,000","194,456,000,000","178,232,000,000","175,597,000,000","145,076,000,000","120,766,000,000","101,450,000,000","93,175,000,000","84,953,000,000","68,338,000,000","68,169,000,000",,,,,,,,,,,,,,,
			ConsumerLoan,"76,595,000,000","71,554,000,000","70,015,000,000","72,781,000,000","73,578,000,000","72,115,000,000","71,510,000,000","77,269,000,000","61,696,000,000","54,467,000,000","48,398,000,000",,,,,,,,,,,,,,,
			MortgageLoan,"123,740,000,000","119,620,000,000","115,258,000,000","112,277,000,000","105,918,000,000","101,013,000,000","99,328,000,000","87,870,000,000","54,454,000,000","48,715,000,000","45,524,000,000",,,,,,,,,,,,,,,
			OtherLoanAssets,,,,,,,,"8,019,000,000","7,227,000,000","7,001,000,000","7,640,000,000","207,384,559,884","189,853,372,434","184,828,901,604","169,531,231,550","152,200,682,760","142,330,212,317","144,643,302,181","138,777,971,750","135,414,255,254","139,348,977,490","103,337,089,057","116,062,948,880","99,446,153,846","89,337,036,541","89,661,977,546"
		AllowanceForLoansAndLeaseLosses,"1,850,000,000","1,639,000,000","1,833,000,000","1,925,000,000","1,855,000,000","1,734,000,000","1,665,000,000","1,706,000,000","1,832,000,000","1,878,000,000","1,902,000,000","1,747,234,247","1,054,772,491","1,058,005,161","1,127,641,988","1,308,217,508","1,785,572,992","1,948,598,131","1,948,897,000","1,597,624,124","1,347,947,624","1,166,075,012","1,145,049,993","1,032,775,920","895,060,902","1,027,999,459"
	Receivables,"6,002,000,000","10,122,000,000","10,624,000,000","9,938,000,000","8,254,000,000","8,190,000,000","8,947,000,000","1,293,000,000","2,805,000,000",,,"8,228,715,729","7,245,293,728","6,245,932,907","5,869,642,225",,,"6,026,479,751","5,635,613,395","6,787,998,782","4,848,903,928","5,369,038,432",,,,
		AccountsReceivable,"4,837,000,000","8,607,000,000","9,253,000,000","9,032,000,000","7,693,000,000","7,525,000,000","7,882,000,000",,"894,000,000",,,"1,197,691,198","1,370,731,246","1,346,348,031","896,209,706",,,"722,741,433","979,209,649","1,491,014,316","1,288,951,008","1,632,968,051",,,,
			GrossAccountsReceivable,,,,,,,,,"894,000,000",,,"1,197,691,198","1,370,731,246","1,346,348,031","896,209,706",,,"722,741,433","979,209,649","1,491,014,316","1,288,951,008","1,632,968,051",,,,
		OtherReceivables,"1,165,000,000","1,515,000,000","1,371,000,000","906,000,000","561,000,000","665,000,000","1,065,000,000","1,293,000,000","1,911,000,000",,,"7,031,024,531","5,874,562,482","4,899,584,876","4,973,432,519",,,"5,303,738,318","4,656,403,746","5,296,984,466","3,559,952,920","3,736,070,381",,,,
	NetPPE,"2,925,000,000","2,923,000,000","2,033,000,000","2,147,000,000","2,285,000,000","2,276,000,000","2,191,000,000","2,120,000,000","2,117,000,000","1,560,000,000","1,634,000,000","2,227,032,227","1,979,945,133","2,046,449,007","1,846,735,152","2,020,238,966","2,045,364,631","2,158,878,505","2,169,496,905","2,170,271,094","2,228,041,783","2,311,004,785","2,058,019,997","1,867,558,528","1,700,040,155","1,575,003,382"
		GrossPPE,"7,571,000,000","7,385,000,000","6,236,000,000","6,084,000,000","6,005,000,000","5,660,000,000","5,421,000,000","5,037,000,000","5,188,000,000","4,412,000,000","1,634,000,000",,,,,,,,,,,,,,,
			LandAndImprovements,"109,000,000","145,000,000","174,000,000","207,000,000","280,000,000","300,000,000","297,000,000","291,000,000","304,000,000","169,000,000","175,000,000",,,,,,,,,,,,,,,
			BuildingsAndImprovements,"1,534,000,000","1,627,000,000","1,726,000,000","1,784,000,000","1,908,000,000","1,802,000,000","1,681,000,000","1,554,000,000","1,539,000,000","1,283,000,000","584,000,000",,,,,,,,,,,,,,,
			MachineryFurnitureEquipment,"4,313,000,000","4,099,000,000","2,907,000,000","2,746,000,000","2,532,000,000","2,376,000,000","2,398,000,000","2,231,000,000","2,352,000,000","2,059,000,000","497,000,000",,,,,,,,,,,,,,,
			Leases,"1,615,000,000","1,514,000,000","1,429,000,000","1,347,000,000","1,285,000,000","1,182,000,000","1,045,000,000","961,000,000","993,000,000","901,000,000","378,000,000",,,,,,,,,,,,,,,
		AccumulatedDepreciation,"-4,646,000,000","-4,462,000,000","-4,203,000,000","-3,937,000,000","-3,720,000,000","-3,384,000,000","-3,230,000,000","-2,917,000,000","-3,071,000,000","-2,852,000,000",,,,,,,,,,,,,,,,
	GoodwillAndOtherIntangibleAssets,"8,764,000,000","8,645,000,000","8,403,000,000","8,559,000,000","8,277,000,000","7,405,000,000","5,423,000,000","5,269,000,000","5,147,000,000","2,431,000,000","2,229,000,000","1,838,624,339","1,263,835,020","1,249,859,755","1,287,046,877","1,987,320,166","1,922,721,878","2,200,934,579","1,315,664,180","858,970,454","687,950,566","793,023,615",,,,
		Goodwill,"6,340,000,000","6,373,000,000","6,244,000,000","6,381,000,000","6,069,000,000","5,353,000,000","3,893,000,000","3,717,000,000","3,585,000,000","1,619,000,000","1,569,000,000",,,,,,,,,,,,,,,
		OtherIntangibleAssets,"2,424,000,000","2,272,000,000","2,159,000,000","2,178,000,000","2,208,000,000","2,052,000,000","1,530,000,000","1,552,000,000","1,562,000,000","812,000,000","660,000,000",,,,,,,,,,,,,,,
	DeferredAssets,"1,568,000,000","2,037,000,000","2,865,000,000","3,101,000,000","3,162,000,000","3,019,000,000","2,914,000,000","2,906,000,000","2,787,000,000",,,,,,,,,,,,,,,,,
		DeferredTaxAssets,"1,568,000,000","2,037,000,000","2,865,000,000","3,101,000,000","3,162,000,000","3,019,000,000","2,914,000,000","2,906,000,000","2,787,000,000",,,,,,,,,,,,,,,,,
	DefinedPensionBenefit,"232,000,000","664,000,000","508,000,000","118,000,000","502,000,000","261,000,000","523,000,000",,"1,866,000,000",,,,,,,,,,,,,,,,,
	OtherAssets,"1,163,000,000","822,000,000","644,000,000","405,000,000","478,000,000","445,000,000","566,000,000","10,338,000,000","7,616,000,000","9,192,000,000","8,754,000,000","67,516,835,017","33,681,770,884","32,433,524,067","4,695,949,934","36,421,604,487","31,718,317,289","29,862,928,349","30,190,445,962","16,162,046,908","10,786,964,838","14,286,926,995","11,234,051,543","4,357,190,636","3,887,029,849","3,433,112,403"
TotalLiabilitiesNetMinorityInterest,"801,119,000,000","728,321,000,000","665,226,000,000","645,607,000,000","601,968,000,000","553,255,000,000","505,818,000,000","495,359,000,000","449,300,000,000","389,760,000,000","368,261,000,000","396,495,911,496","349,896,887,711","303,107,820,038","281,842,012,044","252,004,389,173","244,010,286,166","240,970,404,984","228,727,186,161","220,703,624,734","219,240,105,929","211,465,040,901","198,934,938,741","162,244,816,054","144,802,034,534","131,637,089,138"
