name,ttm,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013
TotalRevenue,"531,993,000","531,993,000","287,243,000","229,525,000","178,370,000","126,786,000","87,855,000","62,015,000","46,088,000"
	OperatingRevenue,"531,993,000","531,993,000","287,243,000","229,525,000","178,370,000","126,786,000","87,130,000","61,461,000","45,803,000"
CostOfRevenue,"206,084,000","206,084,000","106,050,000","94,609,000","72,015,000","54,188,000","39,882,000","29,213,000","21,968,000"
GrossProfit,"325,909,000","325,909,000","181,193,000","134,916,000","106,355,000","72,598,000","47,973,000","32,802,000","24,120,000"
OperatingExpense,"216,792,000","216,792,000","103,523,000","80,498,000","65,143,000","46,455,000","31,100,000","21,278,000","17,028,000"
	SellingGeneralAndAdministration,"104,512,000","104,512,000","62,537,000","48,250,000","38,471,000","27,415,000","18,962,000","12,499,000","11,162,000"
		GeneralAndAdministrativeExpense,"60,561,000","60,561,000","33,039,000","25,111,000","20,151,000","14,113,000","8,343,000","3,897,000","3,367,000"
			OtherGandA,"60,561,000","60,561,000","33,039,000","25,111,000","20,151,000","14,113,000","8,343,000","3,897,000","3,367,000"
		SellingAndMarketingExpense,"43,951,000","43,951,000","29,498,000","23,139,000","18,320,000","13,302,000","10,619,000","8,602,000","7,795,000"
	ResearchAndDevelopment,"77,576,000","77,576,000","35,057,000","27,385,000","22,375,000","16,832,000","10,501,000","7,142,000","4,229,000"
	DepreciationAmortizationDepletionIncomeStatement,"34,704,000","34,704,000","5,929,000","4,863,000","4,297,000","2,208,000","1,637,000","1,637,000","1,637,000"
		DepreciationAndAmortizationInIncomeStatement,"34,704,000","34,704,000","5,929,000","4,863,000","4,297,000","2,208,000","1,637,000","1,637,000","1,637,000"
			Amortization,"34,704,000","34,704,000","5,929,000","4,863,000","4,297,000","2,208,000","1,637,000","1,637,000","1,637,000"
				AmortizationOfIntangiblesIncomeStatement,"34,704,000","34,704,000","5,929,000","4,863,000","4,297,000","2,208,000","1,637,000","1,637,000","1,637,000"
OperatingIncome,"109,117,000","109,117,000","77,670,000","54,418,000","41,212,000","26,143,000","16,873,000","11,524,000","7,092,000"
NetNonOperatingInterestIncomeExpense,"-18,867,000","-18,867,000",,,,,"0","-44,000","-326,000"
	InterestIncomeNonOperating,"5,905,000","5,905,000",,,,,,,
	InterestExpenseNonOperating,"24,772,000","24,772,000",,,,,"0","44,000","326,000"
OtherIncomeExpense,"-47,095,000","-47,095,000","-1,852,000","-2,229,000","-1,092,000","-589,000","-1,109,000","-6,106,000","-264,000"
	GainOnSaleOfSecurity,"27,760,000","27,760,000",,,,,"-735,000","-5,977,000","-117,000"
	SpecialIncomeCharges,"-72,921,000","-72,921,000",,,,,,,
		RestructuringAndMergernAcquisition,"72,921,000","72,921,000",,,,,,,
	OtherNonOperatingIncomeExpenses,"-1,934,000","-1,934,000","-1,852,000","-2,229,000","-1,092,000","-589,000","-374,000","-129,000","-147,000"
PretaxIncome,"43,155,000","43,155,000","75,818,000","52,189,000","40,120,000","25,554,000","15,764,000","5,374,000","6,502,000"
TaxProvision,"3,491,000","3,491,000","1,919,000","4,827,000","13,744,000","8,941,000","5,598,000","4,141,000","-4,667,000"
NetIncomeCommonStockholders,"39,664,000","39,664,000","73,899,000","47,362,000","26,376,000","16,613,000","12,058,000","6,258,000","3,993,000"
	NetIncome,"39,664,000","39,664,000","73,899,000","47,362,000","26,376,000","16,613,000","10,166,000","1,233,000","11,169,000"
		NetIncomeIncludingNoncontrollingInterests,"39,664,000","39,664,000","73,899,000","47,362,000","26,376,000","16,613,000","10,166,000","1,233,000","11,169,000"
			NetIncomeContinuousOperations,"39,664,000","39,664,000","73,899,000","47,362,000","26,376,000","16,613,000","10,166,000","1,233,000","11,169,000"
	PreferredStockDividends,,,,,,,"1,286,000",,"2,563,000"
	OtherunderPreferredStockDividend,,,,,"0","0","-3,178,000","-5,025,000","4,613,000"
AverageDilutionEarnings,,,,,"0","0","-1,157,000",,"5,569,000"
DilutedNIAvailtoComStockholders,"39,664,000","39,664,000","73,899,000","47,362,000","26,376,000","16,613,000","10,901,000","6,258,000","9,562,000"
BasicEPS,,,"1.2","0.79","0.45","0.29","0.39","0.14","0.515"
DilutedEPS,,,"1.17","0.77","0.44","0.28","0.21","0.13","0.209"
BasicAverageShares,,,"61,836,000","60,304,000","58,615,000","56,719,000","31,181,000","43,394,000","7,757,000"
DilutedAverageShares,,,"63,370,000","61,854,000","59,894,000","58,863,000","51,856,000","48,598,000","45,847,000"
TotalOperatingIncomeAsReported,"77,006,000","77,006,000","77,670,000","54,418,000","41,212,000","26,143,000","16,873,000","11,524,000","7,092,000"
TotalExpenses,"422,876,000","422,876,000","209,573,000","175,107,000","137,158,000","100,643,000","70,982,000","50,491,000","38,996,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"39,664,000","39,664,000","73,899,000","47,362,000","26,376,000","16,613,000","10,166,000","1,233,000","11,169,000"
NormalizedIncome,"81,166,959","81,166,959","73,899,000","47,362,000","26,376,000","16,613,000","10,639,992.007","5,118,050","11,245,050"
InterestIncome,"5,905,000","5,905,000",,,,,,,
InterestExpense,"24,772,000","24,772,000",,,,,"0","44,000","326,000"
NetInterestIncome,"-18,867,000","-18,867,000",,,,,"0","-44,000","-326,000"
EBIT,"67,927,000","67,927,000","77,670,000","54,418,000","41,212,000","26,143,000","15,764,000","5,418,000","6,828,000"
EBITDA,"123,279,000"
ReconciledCostOfRevenue,"185,436,000","185,436,000","93,794,000","83,520,000","63,126,000","47,795,000","35,629,000","26,580,000","20,240,000"
ReconciledDepreciation,"55,352,000","55,352,000","18,185,000","15,952,000","13,186,000","8,601,000","5,890,000","4,270,000","3,365,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"39,664,000","39,664,000","73,899,000","47,362,000","26,376,000","16,613,000","10,166,000","1,233,000","11,169,000"
TotalUnusualItemsExcludingGoodwill,"-45,161,000","-45,161,000",,,,,"-735,000","-5,977,000","-117,000"
TotalUnusualItems,"-45,161,000","-45,161,000",,,,,"-735,000","-5,977,000","-117,000"
NormalizedEBITDA,"168,440,000","168,440,000","95,855,000","70,370,000","54,398,000","34,744,000","22,389,000","15,665,000","10,310,000"
TaxRateForCalcs,"0.081","0.081","0.025","0.092","0.343","0.35","0.355","0.35","0.35"
TaxEffectOfUnusualItems,"-3,658,041","-3,658,041","0","0","0","0","-261,007.993","-2,091,950","-40,950"
