name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989
TotalRevenue,"2,487,961,000","655,771,000","614,880,000","638,996,000","578,314,000","648,622,000","595,393,000","620,298,000","547,522,000","611,881,000","567,901,000","567,653,000","523,591,000","565,565,000","507,092,000","532,766,000","503,507,000","588,755,000","525,535,000","545,194,000","546,199,000","569,172,000","559,494,000","652,452,000","641,412,000","699,730,000","600,667,000","617,687,000","592,687,000","590,447,000","479,222,000","526,386,000","501,661,000","561,379,000","515,996,000","514,905,000","461,850,000","523,381,000","465,813,000","462,165,000","441,775,000","502,777,000","435,750,000","447,371,000","423,792,000","507,598,000","435,699,000","453,464,000","433,379,000","497,671,000","396,268,000","365,576,000","332,609,000","378,167,000","311,801,000","309,635,000","282,552,000","317,893,000","271,355,000","283,193,000","258,487,000","281,104,000","236,574,000","222,428,000","214,933,000","193,663,000","189,618,000","182,857,000","179,933,000","174,073,000","119,641,000","121,777,000","97,787,000","97,226,000","79,420,000","86,604,000","79,917,000","82,410,000","81,878,000","83,050,000","82,237,000","83,700,000","69,000,000","70,200,000","70,400,000","66,500,000","62,600,000","59,400,000","60,800,000","59,200,000","52,700,000","54,400,000","53,100,000","40,100,000","47,200,000","45,200,000","38,100,000","37,300,000","38,200,000","39,300,000","39,600,000","41,700,000","41,100,000","39,500,000","40,700,000","32,500,000","38,800,000","40,900,000","40,700,000","37,100,000","46,600,000","47,300,000","51,100,000","34,700,000","46,900,000","54,400,000","55,300,000","39,800,000","51,600,000","56,500,000","53,000,000","45,300,000","47,900,000","47,700,000","46,700,000"
	OperatingRevenue,"2,487,961,000","655,771,000","614,880,000","638,996,000","578,314,000","648,622,000","595,393,000","620,298,000","547,522,000","611,881,000","567,901,000","567,653,000","523,591,000","565,565,000","507,092,000","532,766,000","503,507,000","588,755,000","525,535,000","545,194,000","546,199,000","569,172,000","559,494,000","652,452,000","641,412,000","699,730,000","600,667,000","617,687,000","592,687,000","590,447,000","479,222,000","526,386,000","501,661,000","561,379,000","515,996,000","514,905,000","461,850,000","523,381,000","465,813,000","462,165,000","441,775,000","502,777,000","435,750,000","447,371,000","423,792,000","507,598,000","435,699,000","453,464,000","433,379,000","497,671,000","396,268,000","365,576,000","332,609,000","378,167,000","311,801,000","309,635,000","282,552,000","317,893,000","271,355,000","283,193,000","258,487,000","281,104,000","236,574,000","222,428,000","214,933,000","193,663,000","189,618,000","182,857,000","179,933,000","174,073,000","119,641,000","121,777,000","97,787,000","97,226,000","79,420,000","86,604,000","79,917,000","82,410,000","81,878,000","83,050,000","82,237,000","83,700,000","69,000,000","70,200,000","70,400,000","66,500,000","62,600,000","59,400,000","60,800,000","59,200,000","52,700,000","54,400,000","53,100,000","40,100,000","47,200,000","45,200,000","38,100,000","37,300,000","38,200,000","39,300,000","39,600,000","41,700,000","41,100,000","39,500,000","40,700,000","32,500,000","38,800,000","40,900,000","40,700,000","37,100,000","46,600,000","47,300,000","51,100,000","34,700,000","46,900,000","54,400,000","55,300,000","39,800,000","51,600,000","56,500,000","53,000,000","45,300,000","47,900,000","47,700,000","46,700,000"
CostOfRevenue,"1,589,216,000","410,019,000","388,804,000","408,952,000","381,441,000","407,570,000","372,875,000","393,798,000","366,331,000","373,614,000","357,118,000","368,883,000","352,816,000","356,841,000","322,616,000","347,387,000","331,604,000","364,441,000","340,041,000","362,843,000","355,103,000","369,129,000","366,066,000","436,249,000","439,260,000","468,060,000","405,965,000","416,673,000","408,980,000","396,401,000","337,806,000","362,379,000","342,387,000","373,824,000","345,359,000","345,948,000","312,881,000","349,712,000","310,096,000","307,782,000","303,791,000","329,903,000","293,435,000","302,789,000","288,032,000","335,013,000","287,908,000","296,230,000","294,910,000","333,277,000","266,448,000","247,553,000","221,222,000","250,720,000","205,783,000","204,082,000","190,491,000","206,964,000","177,840,000","182,894,000","172,718,000","180,067,000","154,725,000","146,406,000","143,338,000","125,476,000","132,601,000","126,175,000","120,901,000","119,040,000","78,442,000","78,078,000","61,632,000","62,444,000","49,233,000","53,767,000","49,906,000","48,144,000","47,342,000","49,024,000","49,749,000","51,200,000","41,700,000","42,700,000","42,400,000","43,300,000","39,000,000","35,200,000","40,300,000","36,200,000","31,500,000","32,900,000","34,000,000","30,700,000","28,600,000","28,500,000","22,000,000","28,300,000","21,300,000","23,100,000","23,500,000","24,600,000","24,400,000","22,400,000","24,400,000","26,400,000","20,400,000","24,900,000","26,400,000","27,100,000","28,100,000","27,700,000","28,500,000","27,000,000","27,100,000","31,600,000","32,100,000","33,300,000","28,300,000","31,900,000","31,400,000","20,600,000","35,300,000","29,300,000",
GrossProfit,"898,745,000","245,752,000","226,076,000","230,044,000","196,873,000","241,052,000","222,518,000","226,500,000","181,191,000","238,267,000","210,783,000","198,770,000","170,775,000","208,724,000","184,476,000","185,379,000","171,903,000","224,314,000","185,494,000","182,351,000","191,096,000","200,043,000","193,428,000","216,203,000","202,152,000","231,670,000","194,702,000","201,014,000","183,707,000","194,046,000","141,416,000","164,007,000","159,274,000","187,555,000","170,637,000","168,957,000","148,969,000","173,669,000","155,717,000","154,383,000","137,984,000","172,874,000","142,315,000","144,582,000","135,760,000","172,585,000","147,791,000","157,234,000","138,469,000","164,394,000","129,820,000","118,023,000","111,387,000","127,447,000","106,018,000","105,553,000","92,061,000","110,929,000","93,515,000","100,299,000","85,769,000","101,037,000","81,849,000","76,022,000","71,595,000","68,187,000","57,017,000","56,682,000","59,032,000","55,033,000","41,199,000","43,699,000","36,155,000","34,782,000","30,187,000","32,837,000","30,011,000","34,266,000","34,536,000","34,026,000","32,488,000","32,500,000","27,300,000","27,500,000","28,000,000","23,200,000","23,600,000","24,200,000","20,500,000","23,000,000","21,200,000","21,500,000","19,100,000","9,400,000","18,600,000","16,700,000","16,100,000","9,000,000","16,900,000","16,200,000","16,100,000","17,100,000","16,700,000","17,100,000","16,300,000","6,100,000","18,400,000","16,000,000","14,300,000","10,000,000","18,500,000","19,600,000","22,600,000","7,700,000","19,800,000","22,800,000","23,200,000","6,500,000","23,300,000","24,600,000","21,600,000","24,700,000","12,600,000","18,400,000",
OperatingExpense,"494,792,000","125,098,000","120,507,000","124,359,000","124,828,000","131,047,000","125,471,000","124,424,000","116,693,000","129,572,000","114,233,000","115,499,000","119,548,000","102,551,000","107,903,000","117,290,000","114,640,000","115,787,000","121,681,000","116,909,000","118,261,000","124,732,000","119,288,000","139,553,000","143,051,000","156,752,000","131,815,000","143,226,000","145,681,000","132,065,000","118,050,000","123,467,000","123,715,000","126,117,000","120,491,000","117,268,000","107,286,000","116,444,000","107,631,000","110,955,000","106,900,000","114,679,000","106,097,000","100,819,000","104,617,000","114,612,000","99,601,000","107,562,000","97,742,000","103,249,000","85,332,000","79,614,000","76,245,000","81,766,000","68,767,000","72,476,000","67,442,000","66,053,000","61,074,000","67,113,000","58,290,000","66,676,000","56,384,000","50,379,000","46,345,000","40,507,000","36,149,000","39,245,000","35,687,000","33,747,000","28,648,000","28,621,000","23,241,000","23,053,000","19,089,000","19,771,000","18,746,000","21,221,000","21,514,000","19,997,000","20,399,000","22,900,000","6,600,000","17,200,000","17,400,000","16,700,000","13,500,000","13,200,000","11,900,000","13,400,000","12,700,000","12,400,000","12,900,000","8,100,000","12,400,000","9,600,000","11,400,000","10,500,000","10,700,000","11,000,000","11,100,000","9,400,000","10,600,000","10,500,000","10,600,000","32,900,000","14,100,000","11,900,000","11,500,000","9,400,000","12,100,000","12,800,000","13,400,000","12,400,000","13,100,000","13,600,000","12,700,000","-7,500,000","36,000,000","12,600,000","14,300,000","22,600,000","10,600,000","12,400,000",
	SellingGeneralAndAdministration,"422,272,000","107,081,000","102,145,000","105,459,000","107,587,000","111,756,000","111,232,000","109,370,000","100,752,000","114,638,000","99,658,000","99,998,000","104,250,000","88,426,000","93,832,000","102,054,000","99,480,000","100,583,000","106,631,000","101,588,000","102,999,000","108,040,000","102,379,000","121,932,000","124,702,000","137,443,000","115,761,000","127,323,000","128,073,000","116,318,000","104,783,000","108,116,000","108,368,000","110,433,000","102,786,000","102,139,000","93,689,000","103,207,000","94,413,000","97,117,000","93,062,000","100,182,000","92,273,000","87,619,000","91,493,000","101,805,000","88,646,000","94,545,000","84,906,000","90,801,000","72,677,000","68,127,000","64,906,000","71,038,000","61,591,000","61,049,000","57,446,000","55,677,000","52,472,000","55,545,000","50,975,000","56,760,000","47,941,000","42,583,000","38,133,000","36,501,000","30,732,000","33,473,000","30,382,000","29,727,000","25,556,000","25,907,000","21,930,000","24,829,000","17,832,000","18,746,000","17,849,000","18,562,000","16,372,000","14,956,000","15,452,000","18,500,000","2,700,000","13,800,000","13,400,000","14,300,000","10,400,000","10,400,000","9,200,000","10,900,000","10,000,000","9,700,000","9,800,000","5,900,000","10,200,000","7,300,000","9,200,000","8,800,000","7,900,000","8,500,000","8,600,000","6,600,000","7,900,000","7,800,000","7,900,000","30,400,000","8,100,000","8,900,000","8,500,000","6,600,000","9,100,000","9,700,000","10,400,000","9,400,000","10,000,000","10,500,000","9,600,000","-10,400,000","33,000,000","9,700,000","11,300,000","20,000,000","9,100,000","9,500,000",
		GeneralAndAdministrativeExpense,"301,411,000","76,523,000","74,012,000","74,766,000","76,110,000","79,661,000","80,871,000","76,705,000","69,232,000","80,967,000","70,840,000","71,438,000","75,297,000","62,223,000","67,559,000","72,928,000","69,854,000","69,541,000","76,384,000","72,483,000","71,911,000","75,539,000","71,720,000","84,885,000","85,064,000","97,822,000","77,742,000","88,423,000","91,277,000","84,495,000","76,774,000","75,228,000","75,887,000","81,072,000","71,868,000","72,203,000","64,466,000","75,334,000","66,853,000","68,597,000","65,242,000","72,680,000","66,866,000","60,204,000","65,630,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"301,411,000","76,523,000","74,012,000","74,766,000","76,110,000","79,661,000","80,871,000","76,705,000","69,232,000","80,967,000","70,840,000","71,438,000","75,297,000","62,223,000","67,559,000","72,928,000","69,854,000","69,541,000","76,384,000","72,483,000","71,911,000","75,539,000","71,720,000","84,885,000","85,064,000","97,822,000","77,742,000","88,423,000","91,277,000","84,495,000","76,774,000","75,228,000","75,887,000","81,072,000","71,868,000","72,203,000","64,466,000","75,334,000","66,853,000","68,597,000","65,242,000","72,680,000","66,866,000","60,204,000","65,630,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"120,861,000","30,558,000","28,133,000","30,693,000","31,477,000","32,095,000","30,361,000","32,665,000","31,520,000","33,671,000","28,818,000","28,560,000","28,953,000","26,203,000","26,273,000","29,126,000","29,626,000","31,042,000","30,247,000","29,105,000","31,088,000","32,501,000","30,659,000","37,047,000","39,638,000","39,621,000","38,019,000","38,900,000","36,796,000","31,823,000","28,009,000","32,888,000","32,481,000","29,361,000","30,918,000","29,936,000","29,223,000","27,873,000","27,560,000","28,520,000","27,820,000","27,502,000","25,407,000","27,415,000","25,863,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"72,520,000","18,017,000","18,362,000","18,900,000","17,241,000","19,291,000","14,239,000","15,054,000","15,941,000","14,934,000","14,575,000","15,501,000","15,298,000","14,125,000","14,071,000","15,236,000","15,160,000","15,204,000","15,050,000","15,321,000","15,262,000","16,692,000","16,909,000","17,621,000","18,349,000","19,309,000","16,054,000","15,903,000","17,608,000","15,747,000","13,267,000","15,351,000","15,347,000","15,684,000","17,705,000","15,129,000","13,597,000","13,237,000","13,218,000","13,838,000","13,838,000","14,497,000","13,824,000","13,200,000","13,124,000","12,807,000","10,955,000","13,017,000","12,836,000","12,448,000","12,655,000","11,487,000","11,339,000","10,310,000","7,227,000","11,333,000","9,971,000","9,369,000","8,504,000","11,580,000","10,228,000","9,416,000","8,443,000","7,754,000","8,212,000","5,617,000","5,417,000","5,772,000","5,305,000","4,020,000","3,092,000","2,714,000","1,311,000","1,204,000","1,257,000","1,025,000","897,000","-804,000","1,373,000","1,486,000","1,388,000","600,000","500,000","600,000","1,100,000","400,000","300,000","300,000","300,000","500,000","500,000","300,000","600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
