name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
BasicAverageShares,,"167,804,000","173,657,000","150,806,000","140,418,000","136,616,000","131,902,000","115,816,000","112,548,000","113,664,000","113,444,000","94,507,600","87,190,400","81,642,555","69,099,409","56,156,243","37,949,472","69,518,699","23,619,877","21,479,040"
DilutedAverageShares,,"167,804,000","174,124,000","151,528,000","140,713,000","137,130,000","132,662,000","116,504,000","113,260,000","114,448,000","114,400,000","95,537,200","89,377,200","83,038,154","73,936,368","63,004,566","46,488,816","69,518,699","23,926,629","22,219,697"
InterestIncomeAfterProvisionForLoanLoss,"475,324,000","561,892,000","556,691,000","411,655,000","387,350,000","330,548,000","294,354,000","197,415,000","152,850,000","137,755,000","43,564,000","81,160,000","59,036,000","64,745,000","60,516,000","45,629,000","22,811,000",,"10,651,000","7,636,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"218,696,000","289,539,000","300,403,000","135,083,000","177,146,000","138,199,000","113,063,000","66,520,000","63,022,000","54,741,000","17,591,000","26,806,000","10,116,000","20,445,000","15,918,000","11,446,000","9,159,000","3,769,000","3,877,000","1,356,000"
NormalizedIncome,"218,607,497.696","289,646,364.4","303,594,419","148,205,600","177,325,862.9","140,536,720","115,567,935","76,917,311","64,095,447.7","54,693,620.367","17,522,459.766","26,825,965.43","9,922,689.93","20,229,001.864","15,756,518.023","11,076,368.476","9,142,216.999","3,769,000","3,877,000","1,356,000"
TotalMoneyMarketInvestments,"4,805,000","5,222,000","4,682,000","2,319,000","480,000","257,000","147,000","283,000","396,000","429,000","445,000","131,000","446,000","508,000","979,000","385,000","196,000",,,
ReconciledDepreciation,"6,255,000","19,427,000","19,205,000","29,633,000","26,139,000","32,079,000","45,764,000","6,011,000","12,686,000","7,187,000","4,654,000","8,163,000","7,878,000","6,439,000","7,031,000","6,206,000","4,038,000",,,
NetIncomeFromContinuingOperationNetMinorityInterest,"218,696,000","289,539,000","300,403,000","135,083,000","177,146,000","138,199,000","113,063,000","66,520,000","63,022,000","54,741,000","17,591,000","26,806,000","10,116,000","20,445,000","15,918,000","11,446,000","9,159,000","3,769,000","3,877,000","1,356,000"
TotalUnusualItemsExcludingGoodwill,"117,000","-143,000","-4,202,000","-21,871,000","-287,000","-3,696,000","-3,925,000","-16,330,000","-1,677,000","73,000","92,000","-29,000","230,000","306,000","235,000","529,000","26,000",,,
TotalUnusualItems,"117,000","-143,000","-4,202,000","-21,871,000","-287,000","-3,696,000","-3,925,000","-16,330,000","-1,677,000","73,000","92,000","-29,000","230,000","306,000","235,000","529,000","26,000",,,
TaxRateForCalcs,"0.244","0.249","0.241","0.4","0.373","0.368","0.362","0.363","0.36","0.351","0.255","0.312","0.16","0.294","0.313","0.301","0.355","0.4","0.349","0.374"
TaxEffectOfUnusualItems,"28,497.696","-35,635.6","-1,010,581","-8,748,400","-107,137.1","-1,358,280","-1,420,065","-5,932,689","-603,552.3","25,620.367","23,459.766","-9,034.57","36,689.93","90,001.864","73,518.023","159,368.476","9,216.999","0","0","0"
