name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,12/31/1989,12/31/1988
				AllowanceForDoubtfulAccountsReceivable,"-83,000,000",,,,"-90,000,000",,,"-19,000,000","-6,000,000",,,,"-6,000,000",,,,"-7,000,000",,,,"-7,000,000",,,,"-7,000,000",,,,"-8,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"104,000,000",,,,"248,000,000",,,"152,000,000","48,000,000",,,,"63,000,000",,,,"88,000,000",,,,"161,000,000",,,,"107,000,000",,,,"175,000,000",,,,,,,,"30,300,000",,,"190,200,000","522,000,000","511,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"391,000,000",,,,"348,000,000",,,"432,000,000","30,000,000",,,,"28,000,000",,,,"33,000,000",,,,"41,000,000",,,,"31,000,000",,,,"48,000,000",,,,,,,,,,,"169,800,000","108,900,000","89,900,000",,,"91,100,000",,,,,,,,,,,,"43,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-7,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"4,975,000,000","3,873,000,000","4,346,000,000","6,560,000,000","4,917,000,000","3,910,000,000","4,089,000,000","5,915,000,000","788,000,000","753,000,000","845,000,000","824,000,000","768,000,000","720,000,000","805,000,000","751,000,000","749,000,000","725,000,000","709,000,000","715,000,000","646,000,000","690,000,000","708,000,000","716,000,000","728,000,000","724,000,000","720,000,000","715,000,000","762,000,000","681,000,000","721,000,000","728,000,000","731,000,000","581,000,000","597,000,000","597,000,000","569,900,000","507,800,000","661,900,000","576,500,000","623,500,000","639,900,000","658,400,000","659,100,000","714,900,000","743,900,000","605,000,000","534,400,000","428,100,000","433,300,000","469,000,000","498,400,000","501,300,000","491,400,000","517,700,000","513,400,000","522,500,000","432,300,000","390,100,000","402,900,000","396,800,000","369,800,000","386,700,000","420,500,000","395,200,000","458,700,000","542,200,000","516,900,000","499,300,000","476,500,000","475,700,000","474,200,000","481,100,000","464,700,000","476,300,000","479,900,000","406,200,000","400,983,000","388,344,000","355,629,000","377,232,000","354,100,000","357,700,000","354,100,000","364,400,000","348,500,000","316,000,000","345,800,000","353,400,000","365,600,000","345,400,000","377,900,000","219,400,000","189,500,000","222,700,000","235,400,000","221,900,000","159,500,000","177,300,000","56,300,000","60,900,000","52,100,000","55,700,000","74,100,000","80,800,000","49,200,000","56,100,000","57,800,000","59,600,000","48,000,000","57,000,000","67,500,000","50,700,000","59,200,000","48,600,000","51,300,000","55,000,000","52,300,000","41,000,000"
			RawMaterials,"615,000,000",,,,"653,000,000",,,"630,000,000","326,000,000","335,000,000","325,000,000","317,000,000","325,000,000","328,000,000","326,000,000","324,000,000","322,000,000","328,000,000","308,000,000","302,000,000","294,000,000","304,000,000","309,000,000","291,000,000","303,000,000","303,000,000","277,000,000","262,000,000","263,000,000","255,000,000","245,000,000","250,000,000","238,000,000","229,000,000","213,000,000","188,000,000","188,300,000","181,300,000","180,700,000","159,200,000","161,500,000","156,100,000","159,200,000","160,200,000","176,000,000","188,200,000","164,700,000","172,600,000","170,800,000","166,500,000","169,400,000","237,000,000","264,200,000","172,800,000","164,400,000","252,200,000","254,000,000","46,000,000","44,100,000","135,800,000","50,300,000","39,800,000",,,"54,100,000","58,200,000","52,700,000","60,300,000","44,600,000","45,800,000","47,500,000","162,300,000","65,600,000","58,600,000","50,000,000","40,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			WorkInProcess,"244,000,000",,,,"218,000,000",,,"215,000,000","202,000,000","201,000,000","200,000,000","183,000,000","174,000,000","163,000,000","156,000,000","124,000,000","125,000,000","119,000,000","115,000,000","93,000,000","85,000,000","79,000,000","84,000,000","90,000,000","85,000,000","89,000,000","92,000,000","89,000,000","82,000,000","83,000,000","91,000,000","94,000,000","98,000,000","100,000,000","117,000,000","113,000,000","126,700,000","141,900,000","162,700,000","156,400,000","158,900,000","163,100,000","163,000,000","147,800,000","117,100,000",,,,,,,,,,,,,"81,000,000","78,700,000","70,800,000","67,000,000","65,200,000",,,"72,400,000","100,200,000","181,300,000","173,800,000","166,200,000","158,200,000","152,400,000","154,000,000","156,900,000","157,700,000","149,800,000","151,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,"4,116,000,000",,,,"4,046,000,000",,,"5,070,000,000","260,000,000","217,000,000","320,000,000","324,000,000","269,000,000","229,000,000","323,000,000","303,000,000","302,000,000","278,000,000","286,000,000","320,000,000","267,000,000","307,000,000","315,000,000","335,000,000","340,000,000","332,000,000","351,000,000","364,000,000","417,000,000","343,000,000","385,000,000","384,000,000","395,000,000","252,000,000","267,000,000","296,000,000","254,900,000","184,600,000","318,500,000","260,900,000","303,100,000","320,700,000","336,200,000","351,100,000","421,800,000","448,000,000","341,300,000","286,300,000","186,600,000","191,600,000","218,800,000","261,400,000","237,100,000","220,400,000","251,300,000","261,200,000","268,500,000","206,700,000","172,100,000","196,300,000","181,800,000","157,900,000",,,"160,700,000","186,300,000","188,800,000","159,000,000","165,000,000","153,800,000","158,800,000","157,900,000","144,700,000","135,400,000","161,600,000","172,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherInventories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107,700,000","99,000,000","75,500,000","70,700,000","75,200,000","80,800,000",,,"98,200,000","102,000,000",,,"98,600,000","95,200,000",,"97,700,000","106,900,000",,,"108,000,000","114,000,000","119,400,000","123,800,000","123,500,000","118,700,000","117,000,000",,"113,900,000","113,000,000","114,900,000","115,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"1,477,000,000","440,000,000","383,000,000","688,000,000","1,089,000,000","429,000,000","323,000,000","546,000,000","72,000,000","55,000,000","65,000,000","54,000,000","49,000,000","62,000,000","68,000,000","78,000,000","73,000,000","72,000,000","50,000,000","61,000,000","48,000,000","58,000,000","57,000,000","60,000,000","81,000,000","85,000,000","67,000,000","86,000,000","83,000,000","69,000,000","66,000,000","62,000,000","52,000,000","38,000,000","43,000,000","55,000,000","114,400,000","132,300,000","151,200,000","134,200,000","124,900,000","161,400,000","191,900,000","131,000,000","79,200,000","68,800,000","57,000,000","58,600,000","36,700,000","39,900,000","40,400,000","52,300,000","40,900,000","64,400,000","74,800,000","68,100,000","41,100,000","49,200,000","34,600,000","41,500,000","35,300,000","40,600,000","22,100,000","40,300,000","29,000,000","30,900,000","39,300,000","46,400,000","40,400,000","36,500,000","39,300,000","44,700,000","36,500,000","44,900,000","48,300,000","51,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
