name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995
TotalRevenue,"4,391,277,000","4,314,804,000","3,828,549,000","3,300,223,000","2,941,347,000","2,603,614,000","2,357,788,000","2,256,112,000","2,158,824,000","1,976,219,000","1,719,752,000","1,653,096,000","1,724,434,000","1,569,977,000","1,389,464,000","1,169,612,000","969,527,000","891,721,000","849,021,000","4,373,244,000","3,708,531,000","2,260,700,000","1,683,100,000","1,213,600,000","899,600,000","716,200,000"
	OperatingRevenue,"4,350,608,000","4,260,765,000","3,775,089,000","3,247,815,000","2,889,872,000","2,555,270,000","2,315,399,000","2,220,276,000","2,127,683,000","1,976,219,000","1,719,752,000","1,653,096,000","1,724,434,000","1,569,977,000","1,389,464,000","1,169,612,000","969,527,000","891,721,000","849,021,000","4,373,244,000","3,708,531,000","2,260,700,000","1,683,100,000","1,213,600,000","899,600,000","716,200,000"
CostOfRevenue,"3,651,038,000","3,581,870,000","3,146,640,000","2,727,492,000","2,449,737,000","2,165,747,000","1,953,983,000","1,862,861,000","1,776,603,000","1,624,444,000","1,421,216,000","1,365,129,000","1,380,695,000","1,264,055,000","1,106,735,000","933,856,000","771,833,000","693,754,000","682,631,000","4,208,229,000","3,569,997,000","2,171,200,000","1,614,500,000","1,162,400,000","861,600,000","687,100,000"
GrossProfit,"740,239,000","732,934,000","681,909,000","572,731,000","491,610,000","437,867,000","403,805,000","393,251,000","382,221,000","351,775,000","298,536,000","287,967,000","343,739,000","305,922,000","282,729,000","235,756,000","197,694,000","197,967,000","166,390,000","165,015,000","138,534,000","89,500,000","68,600,000","51,200,000","38,000,000","29,100,000"
OperatingExpense,"553,846,000","546,301,000","502,873,000","442,790,000","385,304,000","361,688,000","352,644,000","333,686,000","310,536,000","294,461,000","261,476,000","260,934,000","278,757,000","243,708,000","221,164,000","191,989,000","175,563,000","173,693,000","168,240,000","146,476,000","116,300,000","78,900,000","57,400,000","42,000,000","31,400,000","26,900,000"
	SellingGeneralAndAdministration,"524,212,000","517,578,000","480,031,000","424,608,000","368,660,000","343,123,000","331,257,000","312,622,000","292,286,000","279,243,000","246,569,000","244,342,000","263,187,000","227,552,000","205,726,000","176,822,000","158,049,000","152,934,000","146,603,000","129,595,000","104,298,000","70,400,000","53,700,000","39,800,000","29,900,000","25,800,000"
		GeneralAndAdministrativeExpense,"469,879,000","464,555,000","432,520,000","385,149,000","332,925,000","308,664,000","293,789,000","274,246,000","256,185,000","239,179,000","218,241,000","216,531,000","245,521,000","213,409,000","191,751,000","164,722,000","148,028,000","144,353,000","139,465,000","123,503,000","99,181,000","66,300,000","50,000,000","36,000,000",,
			SalariesAndWages,"344,750,000","341,117,000","321,452,000","283,876,000","246,232,000","224,405,000","211,171,000","192,547,000","178,621,000","163,834,000","155,027,000","144,086,000",,,,,,,,,,,,,,
			OtherGandA,"125,129,000","123,438,000","111,068,000","101,273,000","86,693,000","84,259,000","82,618,000","81,699,000","77,564,000","75,345,000","63,214,000","72,445,000","245,521,000","213,409,000","191,751,000","164,722,000","148,028,000","144,353,000","139,465,000","123,503,000","99,181,000","66,300,000","50,000,000","36,000,000",,
		SellingAndMarketingExpense,"54,333,000","53,023,000","47,511,000","39,459,000","35,735,000","34,459,000","37,468,000","38,376,000","36,101,000","40,064,000","28,328,000","27,811,000","17,666,000","14,143,000","13,975,000","12,100,000","10,021,000","8,581,000","7,138,000","6,092,000","5,117,000","4,100,000","3,700,000","3,800,000",,
	DepreciationAmortizationDepletionIncomeStatement,"29,634,000","28,723,000","22,842,000","18,182,000","16,644,000","18,565,000","21,387,000","21,064,000","18,250,000","15,218,000","14,907,000","16,592,000","15,570,000","16,156,000","15,438,000","15,167,000","17,514,000","20,759,000","21,637,000","16,881,000","12,002,000","7,100,000","3,700,000","2,100,000","1,700,000","1,100,000"
		DepreciationAndAmortizationInIncomeStatement,"29,634,000","28,723,000","22,842,000","18,182,000","16,644,000","18,565,000","21,387,000","21,064,000","18,250,000","15,218,000","14,907,000","16,592,000","15,570,000","16,156,000","15,438,000","15,167,000","17,514,000","20,759,000","21,637,000","16,881,000","12,002,000","7,100,000","3,700,000","2,100,000","1,700,000","1,100,000"
