name,03/31/2020,12/31/2019,09/30/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
TotalAssets,"28,597,946,000","29,363,000,000","28,509,000,000","28,118,811,478.162","28,637,545,955.22","28,578,578,009.319","29,371,341,808.844","28,899,236,252.546","29,389,687,728.224","29,425,132,854.069","29,193,443,307.926","28,946,636,805.931","30,402,275,809.763","30,745,489,891.093","32,224,868,229.053","31,399,625,704.121","32,946,334,792.511","33,995,592,942.445","34,443,684,762.31","34,954,887,810.07","36,984,158,365.688","37,712,408,020.774","37,881,692,342.948","38,083,840,792.919","37,002,521,535.458","36,549,645,390.071","37,324,580,266.649","37,295,225,631.558","39,055,102,437.507","38,348,779,566.857","39,681,969,134.597","38,905,353,282.144","39,901,490,961.469","42,418,729,250.632","42,712,555,714.406","41,770,492,069.156","43,652,453,549.309","42,871,445,741.2","45,013,923,741.228","44,503,668,602.874","45,513,922,275.611","45,453,891,190.53","44,177,069,224.955","45,334,544,925.851","49,517,345,592.608","51,914,907,000","51,061,757,000","49,662,000,000","48,713,344,000","44,216,977,000","29,728,390,000","29,972,000,000","27,879,817,000","27,817,159,000","27,248,950,000","26,796,000,000","25,282,248,000","26,267,538,000","26,470,681,000","17,377,655,000","16,767,007,000","16,767,007,000","16,457,797,000","16,034,330,000","16,201,051,000","16,700,910,000","15,891,582,000","15,922,221,000","16,290,214,000","16,138,929,000","16,628,559,000","16,252,312,000","16,146,979,000","16,536,155,000","15,823,907,000","15,767,531,000","11,928,895,000","11,783,551,000","12,091,989,000","11,926,965,000","11,164,100,000","11,153,800,000","11,021,400,000"
	CurrentAssets,"4,777,031,000","4,579,000,000","3,584,000,000","3,422,322,538.889","3,648,134,806.605","3,687,041,517.925","3,575,291,352.555","3,633,655,804.481","3,638,629,207.88","3,900,536,716.084","4,202,205,002.357","4,441,945,323.963","4,514,595,643.642","4,387,207,955.051","4,985,196,586.207","4,265,548,565.817","4,487,347,489.955","4,459,649,082.608","4,897,112,079.416","4,816,537,425.605","5,345,277,306.818","5,195,014,463.791","5,209,003,648.916","5,300,250,013.241","5,227,192,048.305","5,063,290,163.429","5,025,439,614.389","4,932,579,280.69","5,076,670,683.824","4,926,145,943.541","5,268,763,430.357","4,970,299,447.649","4,288,829,960.389","4,674,555,639.046","4,767,134,807.838","4,424,973,239.482","4,992,456,725.425","4,649,548,868.11","5,075,221,079.213","4,338,887,190.462","4,652,505,941.496","5,016,469,990.136","4,723,565,872.853","4,957,473,102.646","6,328,751,841.178","6,128,957,000","6,008,188,000","5,608,000,000","6,775,636,000","6,820,629,000","5,010,674,000","5,161,000,000","4,515,609,000","4,657,075,000","4,397,464,000","4,172,000,000","4,325,420,000","5,037,957,000","5,099,356,000","1,951,282,000","2,545,851,000","2,545,851,000","2,065,247,000","1,828,512,000","2,096,584,000","2,502,879,000","2,061,501,000","1,951,176,000","2,260,442,000","2,412,080,000","2,384,797,000","2,322,477,000","2,307,291,000","2,584,839,000","2,164,046,000","2,005,868,000","1,891,410,000","1,805,458,000","1,776,651,000","1,717,367,000","1,627,600,000","1,623,300,000","1,624,100,000"
		CashCashEquivalentsAndShortTermInvestments,"1,386,584,000","788,000,000","299,000,000","308,751,905.53","304,232,230.871","308,133,023.154","315,863,532.161","699,643,584.521","452,477,456.109","418,309,073.825","435,398,914.699","557,716,812.109","590,379,850.616","613,532,318.759","1,274,292,688.776","884,783,575.452","456,551,280.505","491,612,772.645","939,362,382.466","854,525,066.25","1,004,196,774.165","737,298,694.25","845,259,436.33","1,164,937,350.842","896,051,960.116","745,605,920.444","818,125,015.215","972,011,248.471","785,755,938.265","624,404,176.652","1,009,806,602.852","1,158,429,282.518","735,471,227.944",,"269,952,064.587","677,446,560.057","838,097,506.749","748,185,108.703",,"1,077,957,811.067",,,"768,319,710.638","988,950,276.243","1,390,004,116.921","711,778,000","713,462,000","794,000,000","1,280,697,000","2,374,030,000","1,187,642,000","1,580,000,000","769,817,000","707,945,000","687,796,000","602,000,000","512,486,000","1,264,807,000","1,296,537,000","342,262,000","1,051,209,000","1,051,209,000","315,511,000","291,717,000","408,678,000","710,865,000","355,364,000","360,878,000","336,316,000","470,167,000","407,416,000","428,970,000","576,865,000","574,107,000","290,682,000","308,239,000","406,019,000","335,139,000","346,570,000","328,117,000","342,500,000","366,800,000","376,300,000"
			CashAndCashEquivalents,"1,386,584,000","788,000,000","299,000,000","308,751,905.53","304,232,230.871","308,133,023.154","315,863,532.161","699,643,584.521","452,477,456.109","418,309,073.825","435,398,914.699","557,716,812.109","590,379,850.616","613,532,318.759","1,274,292,688.776","884,783,575.452","456,551,280.505","491,612,772.645","939,362,382.466","854,525,066.25","1,004,196,774.165","737,298,694.25","845,259,436.33","1,164,937,350.842","896,051,960.116","745,605,920.444","818,125,015.215","972,011,248.471","785,755,938.265","624,404,176.652","1,009,806,602.852","439,798,021.879","735,471,227.944",,"268,438,314.692","296,717,376.496","498,411,942.195","0",,"863,268,113.727",,,"768,319,710.638","758,069,206.165","1,390,004,116.921","711,778,000","713,462,000","548,000,000","1,280,697,000","2,374,030,000","1,187,642,000","1,226,000,000","769,817,000","707,945,000","687,796,000","333,000,000","512,486,000","1,264,807,000","1,296,537,000","145,009,000","1,051,209,000","1,051,209,000","315,511,000","148,152,000","408,678,000","710,865,000","355,364,000","169,436,000","336,316,000","470,167,000","407,416,000","280,917,000","576,865,000","574,107,000","290,682,000","308,239,000","406,019,000","335,139,000","346,570,000","328,117,000","342,500,000","366,800,000","376,300,000"
				CashFinancial,,"547,000,000","239,000,000","258,022,563.109",,,,"473,116,089.613","366,096,900.67",,,"436,520,194.61",,,"1,132,833,340.381","659,823,877.112",,,,"650,074,395.065",,"573,463,106.539",,"384,346,423.014",,"522,201,665.125","623,858,868.972","590,544,740.717",,,,,,,,"296,717,376.496",,,,"863,268,113.727",,,,"758,069,206.165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,"241,000,000","60,000,000","50,729,342.422",,,,"226,527,494.908","86,380,555.439",,,"121,196,617.499",,,"141,459,348.395","224,959,698.34",,,,"204,450,671.185",,"163,835,587.711",,"780,590,927.828",,"223,404,255.319","194,266,146.243","381,466,507.755",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"718,631,260.639",,,"1,513,749.895","380,729,183.561","339,685,564.555","748,185,108.703",,"214,689,697.34",,,,"230,881,070.079",,,,"246,000,000",,,,"354,000,000",,,,"269,000,000",,,,"197,253,000",,,,"143,565,000",,,,"191,442,000",,,,"148,053,000",,,,,,,,,,,
		Receivables,"1,924,408,000","1,845,000,000","1,955,000,000","1,800,662,687.017","2,050,927,752.282","2,095,505,377.79","1,956,311,334.48","1,751,120,162.933","1,971,638,935.897","2,040,343,527.001","1,953,675,262.511","1,695,497,721.832","1,951,665,941.278","1,989,337,961.409","2,008,467,865.499","1,887,171,564.631","2,187,011,252.457","2,396,103,145.552","2,308,140,025.555","2,130,644,793.432","2,737,735,583.413","2,764,465,333.161","2,650,116,993.71","2,531,681,521.358","2,727,848,425.215","2,668,439,716.312","2,441,310,363.296","2,332,032,436.727","2,684,134,820.977","2,633,473,776.296","2,537,136,159.406","2,259,899,585.557","1,941,667,194.815","2,380,835,012.637","2,428,307,123.034","2,296,295,695.611","1,844,529,140.861","2,313,325,676.543","1,916,633,023.884","1,736,701,314.583","2,498,241,613.421","2,267,675,923.818","2,173,568,698.65","2,051,541,145.682","2,856,049,586.021","3,103,261,000","2,765,676,000","2,797,000,000","3,351,008,000","2,878,896,000","2,309,544,000","2,197,000,000","2,389,200,000","2,627,249,000","2,372,652,000","2,371,000,000","2,521,959,000","2,480,519,000","2,467,191,000","882,440,000","760,366,000","760,366,000","1,021,630,000","874,766,000","909,885,000","968,907,000","863,786,000","804,304,000","1,077,058,000","1,097,758,000","1,127,713,000","1,052,885,000","890,607,000","1,124,460,000","1,008,291,000","881,549,000","864,338,000","835,129,000","790,265,000","769,564,000","777,200,000","747,500,000","652,600,000"
			AccountsReceivable,"1,558,743,000","1,521,000,000","1,660,000,000","1,488,196,396.334","1,745,249,136.413","1,808,887,077.949","1,732,452,166.821","1,551,832,993.89","1,741,180,468.066","1,746,544,634.882","1,648,985,078.316","1,445,526,681.597","1,701,419,180.099","1,733,717,550.94","1,726,649,794.27","1,608,244,700.563","1,855,908,426.572","2,017,473,883.597","1,918,493,529.47","1,829,602,719.493","2,187,880,248.389","2,169,028,983.094","2,143,197,541.944","1,993,581,176.774","2,179,335,204.476","2,176,456,984.274","1,942,661,462.433","1,846,026,812.492","2,184,130,933.406","2,633,473,776.296","2,065,559,679.625","1,882,232,102.454","1,224,067,915.016","1,420,713,248.856","2,428,307,123.034","2,296,295,695.611","1,230,109,575.989","1,043,866,679.041","1,116,379,934.117","1,736,701,314.583","1,630,589,929.442","1,561,246,376.812","1,418,562,658.51","2,051,541,145.682","1,907,628,104.844","2,207,295,000","1,907,972,000","2,224,000,000","2,306,666,000","1,682,585,000","1,500,531,000","1,915,000,000","1,590,350,000","1,644,998,000","1,569,759,000","2,371,000,000","1,795,423,000","1,870,546,000","1,678,820,000","427,910,000","426,042,000","426,042,000","466,017,000","470,081,000","443,787,000","469,561,000","431,491,000","400,549,000","653,313,000","652,115,000","659,247,000","612,940,000","593,963,000","805,410,000","681,544,000",,,,,,,,
				GrossAccountsReceivable,,"1,637,000,000","1,775,000,000","1,607,056,721.205",,,,"1,661,048,879.837","1,864,407,901.559",,,"1,548,768,244.652",,,"1,848,239,954.909","1,723,996,164.394",,,,"1,955,585,603.197",,"2,317,213,453.485",,"2,132,059,496.55",,"2,312,056,737.589","2,081,017,259.987","1,983,594,681.125",,"2,786,378,403.436",,"2,038,168,980.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
