name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
TotalAssets,"21,087,806,000","17,566,777,000","18,797,972,000","19,198,194,000","18,101,418,000","20,484,430,000","22,631,146,000","20,533,072,000","7,648,659,000","6,785,897,000","5,771,972,000","4,904,861,000","3,901,742,000","2,928,789,000","2,145,783,000","1,829,229,000","1,628,514,000","1,585,440,000","1,434,942,000","1,157,385,000","976,333,000","879,000,000","583,800,000"
	CurrentAssets,"4,018,228,000","3,306,362,000","3,745,499,000","3,626,775,000","2,822,901,000","3,634,624,000","4,979,549,000","3,347,614,000","1,343,351,000","1,533,069,000","1,408,971,000","1,351,031,000","1,093,903,000","706,308,000","579,225,000","590,788,000","486,712,000","415,839,000","335,496,000","337,249,000","264,760,000","252,000,000","250,500,000"
		CashCashEquivalentsAndShortTermInvestments,"1,465,774,000","1,412,604,000","1,621,688,000","1,632,986,000","1,367,279,000","1,536,622,000","2,566,396,000","1,127,801,000","570,891,000","631,052,000","791,912,000","410,014,000","159,458,000","218,611,000","159,235,000","304,625,000","218,963,000","33,945,000","139,959,000","130,859,000","40,416,000","10,700,000","25,200,000"
			CashAndCashEquivalents,"1,072,579,000","1,081,642,000","1,142,004,000","949,327,000","753,497,000","989,396,000","1,984,903,000","650,263,000","374,407,000","631,052,000","731,497,000","15,707,000","11,506,000","158,542,000","46,252,000","191,335,000","133,938,000","3,326,000","73,431,000","68,690,000","40,376,000","10,700,000","25,200,000"
				CashFinancial,"684,694,000","622,356,000","578,284,000","559,436,000","581,116,000","405,748,000","744,733,000","273,921,000",,,,"15,707,000","11,506,000","9,565,000","11,733,000","11,620,000","4,988,000","3,326,000","6,903,000","6,521,000","6,389,000",,
				CashEquivalents,"387,885,000","459,286,000","563,720,000","389,891,000","172,381,000","583,648,000","1,240,170,000","376,342,000",,,,,,"148,977,000","34,519,000","179,715,000","128,950,000",,"66,528,000","62,169,000","33,987,000",,
			OtherShortTermInvestments,"393,195,000","330,962,000","479,684,000","683,659,000","613,782,000","547,226,000","581,493,000","477,538,000","196,484,000",,"60,415,000","394,307,000","147,952,000","60,069,000","112,983,000","113,290,000","85,025,000","30,619,000","66,528,000","62,169,000","40,000",,
		Receivables,"1,552,172,000","1,486,269,000","1,434,960,000","1,276,671,000","1,023,601,000","1,639,161,000","1,841,383,000","1,662,046,000","538,244,000","481,400,000","492,197,000","511,699,000","468,527,000","361,277,000","313,131,000","184,188,000","168,662,000","165,014,000","167,313,000","191,532,000","165,108,000","182,200,000","173,800,000"
			AccountsReceivable,"1,263,993,000","1,165,513,000","1,216,632,000","1,108,443,000","797,157,000","1,379,145,000","1,633,722,000","1,441,517,000","538,244,000","481,350,000","423,777,000","439,686,000",,"356,512,000","312,232,000","180,142,000","168,245,000","160,349,000","157,500,000","203,552,000",,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,"9,813,000",,,,
			TaxesReceivable,"231,603,000","271,799,000","218,328,000","168,228,000","226,444,000","260,016,000","207,661,000","220,529,000",,,"68,420,000","72,013,000",,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,"50,000",,,,,,,,,,,,,
			OtherReceivables,"56,576,000","48,957,000",,,,,,,,,,,,"4,765,000","899,000","4,046,000","417,000","4,665,000",,"-12,020,000",,,
		Inventory,"354,232,000","279,344,000","236,666,000","241,363,000","224,908,000","266,039,000","231,028,000","181,283,000","72,787,000","53,193,000","46,563,000","50,609,000","58,097,000","46,827,000","37,283,000","35,323,000","33,391,000","35,385,000","33,697,000","25,664,000","25,255,000","27,900,000","7,500,000"
		PrepaidAssets,"63,267,000","77,530,000","96,210,000","125,193,000","177,613,000","95,735,000","261,068,000","202,140,000","25,501,000",,"15,258,000","13,346,000","12,949,000","26,786,000","24,278,000","23,140,000","24,080,000","28,338,000","39,467,000","15,658,000","13,343,000",,
		RestrictedCash,"0",,"0","0","0","0",,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,"98,789,000","97,656,000",,"6,545,000","4,624,000","6,435,000","7,670,000","10,085,000","8,038,000","5,215,000","5,198,000","2,220,000",,,
			CurrentDeferredTaxesAssets,,,,,,,,,"98,789,000","97,656,000",,"6,545,000","4,624,000","6,435,000","7,670,000","10,085,000","8,038,000","5,215,000","5,198,000","2,220,000",,,
		AssetsHeldForSaleCurrent,"485,150,000","5,768,000","291,103,000","337,195,000","1,960,000","1,064,000","2,445,000","47,655,000","4,661,000","5,497,000",,,,,,,,,,,,,
		HedgingAssetsCurrent,"97,375,000","43,412,000","64,545,000","12,350,000","21,034,000","94,717,000","76,572,000","125,993,000","31,319,000",,,,,,,,,,,,,,
		OtherCurrentAssets,"258,000","1,435,000","327,000","1,017,000","6,506,000","1,286,000","657,000","696,000","1,159,000","264,271,000","63,041,000","358,818,000","390,248,000","46,372,000","37,628,000","33,427,000","33,578,000","147,942,000","-50,138,000","-28,684,000","20,638,000","31,200,000","44,000,000"
	TotalNonCurrentAssets,"17,069,578,000","14,260,415,000","15,052,473,000","15,571,419,000","15,278,517,000","16,849,806,000","17,651,597,000","17,185,458,000","6,305,308,000","5,252,828,000","4,363,001,000","3,553,830,000","2,807,839,000","2,222,481,000","1,566,558,000","1,238,441,000","1,141,802,000","1,169,601,000","1,099,446,000","820,136,000","711,573,000","627,000,000","333,300,000"
		NetPPE,"12,919,618,000","9,953,365,000","10,065,335,000","10,498,149,000","10,938,657,000","10,773,076,000","10,982,786,000","11,797,889,000","5,927,982,000","4,948,430,000","4,196,556,000","3,093,368,000","2,351,605,000","1,876,027,000","1,252,270,000","978,974,000","1,009,507,000","1,026,434,000","985,764,000","707,229,000","606,002,000","539,500,000","196,900,000"
			GrossPPE,"20,909,508,000","14,848,281,000","14,310,287,000","14,486,764,000","14,877,599,000","15,018,910,000","14,934,629,000","15,710,654,000","7,690,607,000","6,542,383,000","5,515,897,000","3,896,598,000","3,050,324,000","2,465,484,000","1,695,980,000","2,332,837,000","1,329,577,000","1,288,478,000","1,191,239,000","880,967,000","746,974,000","646,600,000","287,000,000"
