name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,09/30/2017,12/31/2016
TotalAssets,"14,907,213,000","13,265,619,000","12,581,466,000","12,522,046,000","11,448,671,000","11,333,368,000","10,568,501,000","10,564,703,000","10,486,239,000","89,250,000","90,475,000"
	CurrentAssets,"2,433,733,000","1,166,245,000","809,805,000","1,333,690,000","986,528,000","1,119,324,000","465,957,000","994,454,000","932,023,000","903,000","1,644,000"
		CashCashEquivalentsAndShortTermInvestments,"369,052,000","1,161,367,000","774,190,000","1,302,921,000","955,154,000","1,098,760,000","465,899,000","980,646,000","918,215,000","84,000","920,000"
			CashAndCashEquivalents,"369,052,000","1,101,893,000","431,423,000","1,205,335,000","598,276,000","577,883,000","145,223,000","940,740,000","918,215,000","84,000","920,000"
				CashFinancial,,,,,,,,,,"84,000","920,000"
			OtherShortTermInvestments,"0","59,474,000","342,767,000","97,586,000","356,878,000","520,877,000","320,676,000","39,906,000",,,
		Receivables,"60,908,000","1,626,000","2,510,000","1,149,000","3,559,000",,,,,"206,000","77,000"
			AccountsReceivable,,,,,,,,,,"206,000","77,000"
			AccruedInterestReceivable,"1,642,000","1,626,000","2,510,000","1,149,000","3,559,000",,,,,,
			OtherReceivables,"59,266,000","1,626,000","2,510,000","1,149,000","3,559,000",,,,,,
		Inventory,,,,,,,,,,"528,000","371,000"
		PrepaidAssets,"1,741,000","3,252,000","1,018,000","1,403,000","3,449,000",,,,,"85,000","276,000"
		RestrictedCash,"2,002,032,000","0","32,087,000","28,217,000","24,366,000","20,564,000","58,000","13,808,000","13,808,000",,
	TotalNonCurrentAssets,"12,473,480,000","12,099,374,000","11,771,661,000","11,188,356,000","10,462,143,000","10,214,044,000","10,102,544,000","9,570,249,000","9,554,216,000","88,347,000","88,831,000"
		NetPPE,"11,514,693,000","11,917,735,000","11,633,284,000","11,065,809,000","10,355,681,000","10,074,218,000","9,963,535,000","9,478,182,000","8,355,296,000","88,347,000","88,831,000"
			GrossPPE,"11,523,828,000","11,926,003,000","11,633,284,000","11,072,194,000","10,361,046,000","10,078,655,000","9,967,043,000","9,480,761,000","8,356,953,000","117,520,000","116,277,000"
				Properties,"0","0",,"0","0","0","0","0","0","0","0"
				LandAndImprovements,"59,346,000","59,346,000",,"58,823,000","58,729,000","58,573,000","58,223,000","58,223,000","58,157,000","75,708,000","75,699,000"
				BuildingsAndImprovements,"14,805,000","14,805,000",,"14,572,000","14,572,000","14,572,000","14,572,000","14,572,000","14,572,000","35,153,000","35,133,000"
				MachineryFurnitureEquipment,"5,852,000","4,523,000",,"4,036,000","3,839,000","2,805,000","3,000,000","2,813,000","2,667,000","4,833,000","5,445,000"
				OtherProperties,"11,443,825,000","11,847,329,000","11,633,284,000","10,994,763,000","10,283,906,000","10,002,705,000","9,891,248,000","9,405,153,000","8,281,557,000",,
				ConstructionInProgress,,,,,,,,,,"1,826,000",
			AccumulatedDepreciation,"-9,135,000","-8,268,000",,"-6,385,000","-5,365,000","-4,437,000","-3,508,000","-2,579,000","-1,657,000","-29,173,000","-27,446,000"
		InvestmentProperties,"94,711,000","94,711,000","94,711,000","94,711,000","94,711,000","95,789,000","95,789,000","73,600,000","1,184,000,000",,
		InvestmentsAndAdvances,,,,,,,"8,815,557,000","8,294,753,000","8,281,557,000",,
			InvestmentinFinancialAssets,,,,,,,"8,815,557,000","8,294,753,000","8,281,557,000",,
		NonCurrentAccountsReceivable,"794,055,000","60,111,000",,,,,,,,,
		NonCurrentNoteReceivables,"48,470,000",,,,,,,,,,
		NonCurrentDeferredAssets,"19,795,000","25,709,000","37,085,000","23,609,000","10,018,000",,,,,,
		OtherNonCurrentAssets,"1,756,000","1,108,000","6,581,000","4,227,000","1,733,000","44,037,000","43,220,000","18,467,000","14,920,000",,
TotalLiabilitiesNetMinorityInterest,"7,183,182,000","5,216,630,000","4,507,397,000","4,449,623,000","4,402,783,000","4,432,346,000","4,361,228,000","4,391,760,000","4,351,339,000","6,255,000","6,332,000"
	CurrentLiabilities,"204,805,000","178,872,000","203,090,000","164,162,000","149,593,000","162,479,000","157,707,000","115,194,000","93,829,000","963,000","1,024,000"
		PayablesAndAccruedExpenses,"204,805,000","178,872,000","203,090,000","164,162,000","149,593,000","162,479,000","157,707,000","115,194,000","91,831,000","629,000","545,000"
			Payables,"139,746,000","137,696,000","138,355,000","132,892,000","119,283,000","117,344,000","106,380,000","98,424,000","61,679,000","352,000","435,000"
				AccountsPayable,"442,000","640,000","1,307,000","451,000","1,227,000","1,057,000","24,000","1,317,000","2,458,000","194,000","305,000"
				TotalTaxPayable,,,,,,,,,,"158,000","130,000"
