name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988
TotalAssets,"12,989,100,000","11,544,900,000","8,376,200,000","8,210,500,000","8,036,100,000","7,833,400,000","7,656,400,000","8,009,100,000","8,085,900,000","8,358,500,000","8,573,500,000","8,818,800,000","9,405,000,000","9,321,400,000","9,198,300,000","8,790,300,000","8,536,800,000","7,705,600,000","7,133,700,000","6,164,800,000","5,934,800,000","5,909,900,000","4,920,700,000","4,871,100,000","4,818,700,000","4,569,800,000","4,895,300,000","4,621,200,000","4,271,600,000","4,191,500,000","4,117,000,000","3,797,200,000"
	TotalInvestments,"9,044,400,000","8,069,500,000","6,804,900,000","6,607,500,000","6,429,500,000","6,439,700,000","6,151,300,000","6,460,100,000","6,222,700,000","6,588,400,000","6,684,600,000","6,802,000,000","6,156,500,000","6,830,700,000","6,819,500,000","6,548,600,000","6,322,600,000","5,804,400,000","4,818,600,000","3,101,000,000","3,164,400,000","3,343,600,000","2,561,100,000","2,467,100,000",,,,,,,,
		FixedMaturityInvestments,"6,922,100,000","6,424,200,000","5,382,700,000","5,124,900,000","4,852,300,000","4,777,600,000","4,575,000,000","4,860,200,000",,,,,,,,,,,,,,,,,,,,,,,,
		EquityInvestments,"986,500,000","757,400,000","526,000,000","481,700,000","523,200,000","632,200,000","598,500,000","521,900,000","5,477,000,000","5,025,700,000","4,756,800,000","4,357,700,000","4,284,300,000","5,138,500,000","5,185,500,000","5,220,400,000","4,922,300,000","4,417,300,000","4,313,800,000","3,101,000,000","3,164,400,000","3,343,600,000","2,561,100,000","2,467,100,000",,,,,,,,
		NetLoan,,,,,,,,,,"337,600,000","660,800,000","1,078,600,000","1,213,500,000","1,227,000,000","1,109,500,000","971,500,000","904,800,000","830,300,000",,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,"337,600,000","660,800,000","1,078,600,000",,,,,,,,,,,,,,,,,,,,
		DerivativeAssets,,"0","77,500,000","111,400,000","164,500,000","53,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		LongTermEquityInvestment,"220,400,000","187,000,000","161,000,000","175,900,000","190,600,000","184,800,000","245,100,000","253,000,000",,"328,000,000",,,,,,,,,,,,,,,,,,,,,,
			InvestmentsInOtherVenturesUnderEquityMethod,"220,400,000","187,000,000","161,000,000","175,900,000","190,600,000","184,800,000","245,100,000","253,000,000",,"328,000,000",,,,,,,,,,,,,,,,,,,,,,
		OtherShortTermInvestments,"470,900,000","286,100,000","235,500,000","273,700,000","255,700,000","342,200,000","284,700,000","327,500,000","247,400,000","402,900,000","397,000,000","548,600,000","658,700,000","465,200,000","524,500,000","356,700,000","495,500,000","556,800,000","504,800,000",,,,,,,,,,,,,
		OtherInvestedAssets,"444,500,000","414,800,000","422,200,000","439,900,000","443,200,000","449,600,000","448,000,000","497,500,000","498,300,000","494,200,000","870,000,000","817,100,000",,,,,,,,,,,,,,,,,,,,
	CashAndCashEquivalents,"136,800,000","75,100,000","45,700,000","115,700,000","161,700,000","76,100,000","66,500,000","96,300,000","251,200,000","117,200,000","143,700,000","184,200,000","103,100,000","157,900,000","44,500,000","82,100,000","65,700,000","16,900,000","27,900,000","23,300,000","24,100,000","8,600,000","14,500,000","17,000,000",,,,,,,,
