name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017
MarketCap,"2,628,289,522","3,226,943,050","1,925,614,600","1,233,542,000","930,823,222","399,601,969","343,771,560","341,447,900","345,064,300","290,858,100","320,144,000","339,061,600","348,338,500"
EnterpriseValue,"3,918,768,522","4,583,013,050","2,609,523,600","1,711,392,000","1,364,420,222","927,148,969","695,898,560","612,918,900","569,065,300","429,718,100","456,213,000","458,888,600","348,338,500"
PeRatio,"57.865","71.045","47.412","35.882","37.75","34.078","138.309","137.721","139.485","85.22","129.038","136.663","140.402"
PsRatio,"17.74","20.993","12.623","9.031","10.765","7.991","14.797","14.734","14.89","12.551","14.724","15.594","16.021"
PbRatio,"2.137","2.956","2.282","2.084","2.618","1.125","0.932","0.931","0.956","0.817","0.894","0.946","2.261"
EnterprisesValueRevenueRatio,"35.07","114.105","88.201","76.71","69.33","42.491","46.979","52.638","49.168","36.75","67.587","73.352","82.859"
EnterprisesValueEBITDARatio,"71.971","233.434","184.745","148.713","148.581","65.695","90.848","114.479","112.53","65.898","334.222","221.151","314.385"
