name,12/31/2019,06/30/2019,12/31/2018,06/30/2018,12/31/2017,06/30/2017,12/31/2016,06/30/2016,12/31/2015,06/30/2015,12/31/2014,06/30/2014,12/31/2013,06/30/2013,12/31/2012,06/30/2012,12/31/2011,06/30/2011,12/31/2010,09/30/2010,06/30/2010,12/31/2009,06/30/2009,06/30/2008,12/31/2007,06/30/2007,12/31/2006,06/30/2006,12/31/2005,06/30/2005,12/31/2004,06/30/2004,12/31/2003,06/30/2003,12/31/2002,06/30/2002,12/31/2001,06/30/2001
			GrossPPE,"1,074,233,000,000","419,662,000,000","972,032,000,000",,"894,937,000,000",,"876,304,000,000",,"812,069,000,000",,"740,893,000,000",,"636,363,000,000",,"415,274,000,000",,"349,572,000,000",,"320,505,586,000",,,"246,205,377,000",,"176,619,709,779.74","173,595,546,969","158,527,013,856","150,508,631,587.5","132,209,840,312.44","106,480,285,430.5","93,730,007,348.85","91,047,224,496.85","78,699,916,751.75","71,102,545,251.45","64,651,424,347.2","59,239,819,604.16","51,838,561,201.5","42,059,806,939.2","38,465,856,170.3"
				LandAndImprovements,"877,000,000",,,,,,,,,,,,,,,,,,,,,,,,"172,957,104,892.24",,"149,949,059,595",,"106,160,768,594.5",,"90,859,517,445.6",,"70,962,644,516.45",,"59,146,095,182.4",,,
				BuildingsAndImprovements,"752,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"824,778,222.72",
				MachineryFurnitureEquipment,"14,853,000,000",,"4,897,000,000",,"4,737,000,000",,"5,700,000,000",,"5,296,000,000",,"5,175,000,000",,"4,526,000,000",,"2,091,000,000",,"1,842,000,000",,"673,214,000",,,"646,419,000",,,"475,429,216.56",,"448,488,807.5",,"319,508,762.5",,"187,707,051.25",,"139,900,735",,"93,716,143.68",,"57,896,891.52",
				OtherProperties,"449,733,000,000","419,662,000,000",,,,,,,,,,,,,,,,,,,,,,,"163,012,860.2",,"111,083,185",,"8,073.5",,,,,,"8,278.08",,"41,177,131,824.96",
			AccumulatedDepreciation,"-623,842,000,000",,"-564,272,000,000",,"-498,602,000,000",,"-442,954,000,000",,"-356,720,000,000",,"-276,123,000,000",,"-215,203,000,000",,"-162,411,000,000",,"-129,005,000,000",,"-108,174,960,000",,,"-80,885,506,000",,"-51,186,716,964.2","-54,544,548,632.8","-47,201,980,548","-47,189,705,845","-39,449,639,617.3","-39,834,689,367.5","-33,590,497,599.5","-33,590,497,599.5","-27,978,723,158.2","-27,978,723,158.2","-23,168,480,590.65","-23,168,284,678.08","-18,208,312,551.3","-18,232,496,034.24","-15,508,692,934.8"
		GoodwillAndOtherIntangibleAssets,"15,648,000,000","15,706,000,000","15,294,000,000","15,091,000,000","14,603,000,000","15,921,000,000","15,759,000,000","16,366,000,000","15,215,000,000","15,855,000,000","14,943,000,000","16,786,000,000","14,942,000,000","17,314,000,000","242,000,000","949,000,000","1,033,000,000","1,143,000,000","3,022,201,000",,"1,293,983,000","1,230,127,000","1,194,267,000","1,263,499,533.96","1,333,111,354.28","1,336,535,626.5","1,407,862,017.5","1,463,528,975.7","1,300,043,411","1,332,864,931.5",,,,,,,,
			Goodwill,"14,831,000,000",,"14,592,000,000",,"13,892,000,000",,"14,748,000,000",,"13,805,000,000",,"13,009,000,000",,"12,962,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"817,000,000",,"702,000,000",,"711,000,000",,"1,011,000,000",,"1,410,000,000",,"1,934,000,000",,"1,980,000,000",,"242,000,000",,"1,033,000,000","1,143,000,000",,,"1,293,983,000","1,230,127,000","1,194,267,000","1,263,499,533.96","1,333,111,354.28","1,336,535,626.5","1,407,862,017.5","1,463,528,975.7","1,300,043,411","1,332,864,931.5",,,,,,,,
		InvestmentsAndAdvances,"50,034,000,000","27,749,000,000","28,749,000,000","27,259,000,000","32,686,000,000","32,918,000,000","34,261,000,000","32,872,000,000","32,184,000,000","30,724,000,000","30,587,000,000","33,711,000,000","31,195,000,000","31,199,000,000","31,068,000,000","28,338,000,000","22,997,000,000","22,573,000,000","10,484,816,000",,"4,970,358,000","4,846,761,000","3,311,399,000",,,,,,,,,,,,,,,
