name,12/31/2019,06/30/2019,12/31/2018,06/30/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,12/31/2005,06/30/2005,12/31/2004,06/30/2004,12/31/2003,06/30/2003,12/31/2002,06/30/2002,12/31/2001,06/30/2001,12/31/2000,06/30/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"440,348,000,000","423,676,000,000","392,633,000,000","388,515,000,000","395,923,000,000","397,195,000,000","404,625,000,000","425,455,000,000","425,425,000,000","425,359,000,000","425,800,000,000","414,602,000,000","417,175,000,000","420,890,000,000","440,812,000,000","482,240,000,000","424,467,000,000","399,321,000,000","375,988,000,000","361,314,000,000","353,745,000,000","354,294,000,000","356,694,000,000","369,679,000,000","366,066,000,000","369,274,000,000","363,982,000,000","349,718,000,000","345,577,000,000","337,821,000,000","315,975,000,000","321,321,000,000","332,303,000,000","337,000,000,000","338,745,000,000","298,634,000,000","291,683,000,000","285,443,000,000","283,022,000,000","287,259,000,000","296,823,000,000","295,896,000,000","292,515,000,000","314,120,000,000","318,816,259,800","328,956,019,240","319,712,219,550","314,813,000,000","312,547,166,400","298,489,528,620","311,215,000,000","265,363,238,000","238,499,000,000","245,357,612,020","233,976,000,000","240,534,267,390","238,206,000,000","249,960,561,600","264,061,000,000","267,985,931,200","244,216,000,000","241,302,592,000","228,808,000,000","130,349,819,900","123,762,502,925","82,757,074,920","68,540,388,000","62,631,279,360","58,601,855,760","38,175,936,682","32,435,090,136","27,408,356,548","25,571,329,668","22,869,154,528","19,664,065,884","17,107,812,963","15,349,164,728"
TotalLiabilitiesNetMinorityInterest,"415,907,000,000","399,424,000,000","370,066,000,000","365,006,000,000","371,821,000,000","373,281,000,000","380,414,000,000","400,123,000,000","401,084,000,000","400,406,000,000","400,018,000,000","387,928,000,000","389,678,000,000","392,986,000,000","411,959,000,000","450,977,000,000","396,674,000,000","373,573,000,000","351,844,000,000","337,596,000,000","328,661,000,000","328,958,000,000","330,589,000,000","341,037,000,000","336,405,000,000","339,714,000,000","335,949,000,000","323,423,000,000","319,843,000,000","313,650,000,000","294,408,000,000","298,973,000,000","308,878,000,000","312,738,000,000","314,834,000,000","279,751,000,000","272,320,000,000","270,091,000,000","270,416,000,000","273,499,000,000","282,700,000,000","279,454,000,000","275,102,000,000","298,953,000,000","297,673,644,920","307,427,726,240","300,549,093,480","295,660,000,000","289,377,689,400","277,357,997,220","288,530,000,000","248,616,088,000","224,086,000,000","230,241,497,390","219,844,000,000","226,926,990,330","223,975,000,000","236,255,562,000","248,769,000,000","252,297,232,800","231,372,000,000","228,983,443,200","215,265,000,000","122,466,836,410","115,524,938,393","77,657,397,800","64,820,794,960","58,975,252,128","54,633,032,160","35,284,420,106","29,829,169,749","25,389,331,655","23,878,232,400","21,637,864,736","18,713,548,216","15,902,178,318","13,799,943,908"
TotalEquityGrossMinorityInterest,"24,441,000,000","24,252,000,000","22,567,000,000","23,509,000,000","24,102,000,000","23,914,000,000","24,211,000,000","25,332,000,000","24,341,000,000","24,953,000,000","25,782,000,000","26,674,000,000","27,497,000,000","27,904,000,000","28,853,000,000","31,263,000,000","27,793,000,000","25,748,000,000","24,144,000,000","23,718,000,000","25,084,000,000","25,336,000,000","26,105,000,000","28,642,000,000","29,661,000,000","29,560,000,000","28,033,000,000","26,295,000,000","25,734,000,000","24,171,000,000","21,567,000,000","22,348,000,000","23,425,000,000","24,262,000,000","23,911,000,000","18,883,000,000","19,363,000,000","15,352,000,000","12,606,000,000","13,760,000,000","14,123,000,000","16,442,000,000","17,413,000,000","15,167,000,000","21,142,614,880","21,528,293,000","19,163,126,070","19,153,000,000","23,169,477,000","21,131,531,400","22,670,000,000","16,747,150,000","14,413,000,000","15,116,114,630","14,132,000,000","13,607,277,060","14,231,000,000","13,704,999,600","15,292,000,000","15,688,698,400","12,844,000,000","12,319,148,800","13,543,000,000","7,882,983,490","8,237,564,532","5,099,677,120","3,719,593,040","3,656,027,232","3,968,823,600","2,891,516,576","2,605,920,387","2,019,024,893","1,693,097,268","1,231,289,792","950,517,668","1,205,634,645","1,549,220,820"
	StockholdersEquity,"24,421,000,000","24,230,000,000","22,545,000,000","23,489,000,000","24,082,000,000","23,894,000,000","24,188,000,000","25,308,000,000","24,318,000,000","24,937,000,000","25,766,000,000","26,659,000,000","27,488,000,000","27,895,000,000","28,844,000,000","31,254,000,000","27,784,000,000","25,739,000,000","24,136,000,000","23,709,000,000","25,074,000,000","25,328,000,000","26,094,000,000","28,630,000,000","29,648,000,000","29,546,000,000","28,020,000,000","26,281,000,000","25,720,000,000","24,159,000,000","21,556,000,000","22,337,000,000","23,414,000,000","24,251,000,000","23,898,000,000","18,873,000,000","19,357,000,000","15,345,000,000","12,599,000,000","13,754,000,000","14,105,000,000","16,426,000,000","17,398,000,000","15,151,000,000","21,128,551,680","21,513,484,200","19,147,350,240","19,137,000,000","23,154,478,020","21,116,672,070","22,655,000,000","16,747,150,000","14,413,000,000","15,116,114,630","14,132,000,000","13,607,277,060","14,231,000,000","13,704,999,600","15,292,000,000","15,688,698,400","12,844,000,000","12,319,148,800","13,543,000,000","7,882,983,490","8,227,543,835","5,099,677,120","3,719,593,040","3,633,679,296","3,962,430,864","2,874,206,569","2,601,423,009","2,019,024,893","1,693,097,268","1,231,289,792","950,517,668","1,205,634,645","1,549,220,820"
		CapitalStock,"323,000,000","7,669,000,000","321,000,000","20,179,000,000","322,000,000","20,108,000,000","20,409,000,000","21,505,000,000","320,000,000","320,000,000","21,982,000,000","22,848,000,000","328,000,000","24,094,000,000","25,047,000,000","27,429,000,000","327,000,000","21,919,000,000","20,325,000,000","19,129,000,000","326,000,000","20,332,000,000","21,104,000,000","23,600,000,000","319,000,000","9,098,000,000",,,"310,000,000",,,,"278,000,000","18,048,000,000",,"8,184,000,000",,"7,347,000,000",,"251,000,000",,,"12,597,000,000","195,615,420",,,,"255,563,950",,,"6,834,802,360",,"242,045,300",,"181,551,200",,"173,433,260",,"170,709,680",,"162,966,420",,"152,649,630",,,,,,,,,,,,,,
			PreferredStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81,000,000",,,,"70,000,000",,,"70,000,000",,,,"62,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,"323,000,000","7,669,000,000","321,000,000","20,179,000,000","322,000,000","20,108,000,000","20,409,000,000","21,505,000,000","320,000,000","320,000,000","21,982,000,000","22,848,000,000","328,000,000","24,094,000,000","25,047,000,000","27,429,000,000","327,000,000","21,919,000,000","20,325,000,000","19,129,000,000","326,000,000","20,332,000,000","21,104,000,000","23,600,000,000","319,000,000","9,098,000,000",,,"229,000,000",,,,"208,000,000","18,048,000,000",,"8,114,000,000",,"7,347,000,000",,"189,000,000",,,"12,597,000,000","195,615,420",,,,"255,563,950",,,"6,834,802,360",,"242,045,300",,"181,551,200",,"173,433,260",,"170,709,680",,"162,966,420",,"152,649,630",,,,,,,,,,,,,,
		AdditionalPaidInCapital,"7,213,000,000",,"7,487,000,000",,"7,731,000,000",,,,"7,873,000,000","7,873,000,000",,,"8,059,000,000",,,,"8,270,000,000",,,,"8,375,000,000",,,,"8,780,000,000",,,,"8,787,000,000",,,,"7,906,000,000",,,,,,,"7,096,000,000",,,,"5,042,910,810",,,,"7,110,289,600",,,,,"7,087,733,800",,"7,092,388,800",,"7,130,775,190",,"5,078,612,980",,"3,405,252,580",,,,,,,,,,,,,,,,
		RetainedEarnings,"10,667,000,000","9,857,000,000","9,995,000,000",,"9,699,000,000",,,,"7,609,000,000","7,493,000,000",,,"9,344,000,000",,,,"9,059,000,000",,,,"11,135,000,000",,,,"10,747,000,000","10,162,000,000",,,"9,655,000,000",,,,"9,421,000,000",,,"7,995,000,000",,"7,553,000,000",,"8,818,000,000",,,,"12,387,380,670",,,,"11,464,735,300",,,"9,349,317,840","5,440,036,000","3,933,787,900",,"4,968,477,600",,"5,367,854,690","4,954,456,080","4,645,100,240","7,832,537,200","6,195,919,380",,"778,213,800","654,942,487","529,993,745","3,470,175,840","2,612,306,460","2,739,286,368","2,684,860,332","2,377,931,153","216,649,554","91,561,942","439,425,204","96,639,296","784,148,878","670,846,401","887,769,800"
		TreasuryStock,"281,000,000",,"337,000,000",,"325,000,000",,,,"190,000,000",,,,"269,000,000",,,,"319,000,000",,,,"292,000,000",,,,"243,000,000",,,,"252,000,000",,,,,,,,,,,"725,000,000",,,,"2,050,542,060",,,,"787,925,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
