name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,06/30/1994,03/31/1994,10/31/1993,07/31/1993
			ReceivablesAdjustmentsAllowances,,"-4,400,000",,,,"-4,000,000",,,,"-3,600,000","-3,900,000","-3,800,000","-3,800,000","-3,500,000","-3,500,000","-3,400,000","-3,800,000","-3,761,000","-3,957,000","-3,839,000","-4,206,000","-4,246,000","-5,020,000","-4,705,000","-4,487,000","-4,338,000","-1,635,000","-1,588,000","-1,780,000","-1,885,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"500,000",,,,,,,,"500,000",,,,,,,,
		PrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,692,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestrictedCash,"43,600,000","46,300,000","44,000,000","42,800,000","37,700,000","40,000,000","38,800,000","40,100,000","31,500,000","31,200,000","37,300,000","31,600,000","25,000,000","34,300,000","31,300,000","31,500,000","23,200,000","29,686,000","27,928,000","28,685,000","20,772,000","26,065,000","27,144,000","35,740,000","30,548,000","36,074,000","40,026,000","44,058,000","33,727,000","38,241,000","44,985,000","53,619,000","41,907,000","44,559,000","50,472,000","67,371,000","54,956,000","61,891,000","61,101,000","57,376,000","30,687,000","35,125,000","13,453,000","11,169,000","5,505,000","13,738,000","14,670,000","11,516,000","4,506,000","11,295,000","12,396,000","3,073,000","1,028,000","12,704,000","16,721,000","10,682,000","7,323,000","4,946,000","16,097,000","9,107,000","3,906,000","7,267,000",,,,"1,613,000","2,883,000","14,168,000","629,000","3,247,000","3,755,000","16,931,000","1,340,000","10,535,000","8,389,000","18,455,000","651,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,"18,989,000","18,759,000","17,707,000","17,716,000","5,357,000","7,194,000","7,100,000","8,927,000","9,011,000","9,267,000","8,227,000","8,227,000","8,057,000","8,018,000","8,018,000","8,727,000","16,417,000","17,875,000","16,136,000","16,136,000","8,231,000","7,617,000","6,408,000","6,408,000","6,180,000","5,900,000","5,900,000","5,900,000","6,352,000","6,497,000","6,497,000","6,497,000","6,270,000","6,274,000","6,274,000","6,274,000","3,907,000","4,054,000","3,949,000","3,949,000","2,274,000","3,618,000","3,204,000","3,940,000","4,161,000","3,349,000","4,252,000","3,767,000","2,584,000","3,043,000","2,513,000","2,159,000","1,734,000","2,022,000","10,025,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,"18,989,000","18,759,000","17,707,000","17,716,000","5,357,000","7,194,000","7,100,000","8,927,000","9,011,000","9,267,000","8,227,000","8,227,000","8,057,000","8,018,000","8,018,000","8,727,000","16,417,000","17,875,000","16,136,000","16,136,000","8,231,000","7,617,000","6,408,000","6,408,000","6,180,000","5,900,000","5,900,000","5,900,000","6,352,000","6,497,000","6,497,000","6,497,000","6,270,000","6,274,000","6,274,000","6,274,000","3,907,000","4,054,000","3,949,000","3,949,000","2,274,000","3,618,000","3,204,000","3,940,000","4,161,000","3,349,000","4,252,000","3,767,000","2,584,000","3,043,000","2,513,000","2,159,000","1,734,000","2,022,000","10,025,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,"0","0",,"0","69,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"36,800,000","26,900,000","31,300,000","30,200,000","37,800,000","22,400,000","26,400,000","22,100,000","26,000,000","18,900,000","65,700,000","64,800,000","66,600,000","60,400,000","62,200,000","61,500,000","64,900,000","49,863,000","49,363,000","41,493,000","39,748,000","24,665,000","16,393,000","18,362,000","20,764,000","12,036,000","14,497,000","17,368,000","22,127,000","13,352,000","11,959,000","14,031,000","17,551,000","10,399,000","18,782,000","20,210,000","25,215,000","20,086,000","19,555,000","24,684,000","25,019,000","16,003,000","15,443,000","17,147,000","16,222,000","10,362,000","11,738,000","13,545,000","17,422,000","10,396,000","10,329,000","12,984,000","15,062,000","34,279,000","12,046,000","15,574,000","19,181,000","8,879,000","5,907,000","173,995,000","9,547,000","3,999,000","6,243,000","6,261,000","16,507,000","4,120,000","7,397,000","5,564,000","16,834,000","5,988,000","6,256,000","6,093,000","6,312,000","4,983,000","6,025,000","5,365,000","4,743,000","11,938,000","13,897,000","34,179,000","9,895,000","2,700,000","3,200,000","1,700,000","3,300,000","1,000,000","600,000","400,000","1,800,000",,"600,000","600,000","2,100,000","700,000","300,000","200,000","1,800,000",,"800,000","600,000","2,200,000","700,000","300,000","2,500,000","800,000","400,000"
	TotalNonCurrentAssets,"2,360,800,000","2,329,800,000","2,260,600,000","2,240,000,000","2,219,100,000","1,483,700,000","1,481,400,000","1,342,500,000","1,306,200,000","2,103,300,000","2,092,600,000","2,073,200,000","2,042,800,000","2,008,400,000","2,023,500,000","2,038,500,000","2,040,300,000","2,054,615,000","2,051,264,000","2,083,924,000","2,099,697,000","2,118,547,000","1,205,919,000","1,209,260,000","1,202,081,000","1,191,546,000","1,140,250,000","972,859,000","963,766,000","967,273,000","805,980,000","807,849,000","813,143,000","803,560,000","811,233,000","820,820,000","838,568,000","847,724,000","724,039,000","730,588,000","624,497,000","620,777,000","547,926,000","530,529,000","535,683,000","537,205,000","534,209,000","530,507,000","530,160,000","521,534,000","518,091,000","516,258,000","427,834,000","417,787,000","431,786,000","433,675,000","435,500,000","431,208,000","434,808,000","438,470,000","565,031,000","548,517,000","481,164,000","478,082,000","463,462,000","442,873,000","423,563,000","419,213,000","414,260,000","408,721,000","412,260,000","410,677,000","411,983,000","410,993,000","413,640,000","415,368,000","414,506,000","414,724,000","411,329,000","344,545,000","345,754,000","341,900,000","343,700,000","204,600,000","102,700,000","95,300,000","97,800,000","98,600,000","68,800,000","68,900,000","69,600,000","67,300,000","66,500,000","66,600,000","67,400,000","67,800,000","68,600,000","69,000,000","68,900,000","68,400,000","66,500,000","64,700,000","52,500,000","46,100,000","41,700,000","42,000,000"
		NetPPE,"990,800,000","937,300,000","895,200,000","880,000,000","866,500,000","757,500,000","753,400,000","668,500,000","634,900,000","608,000,000","619,400,000","602,800,000","590,700,000","574,400,000","573,300,000","577,900,000","573,200,000","573,172,000","571,457,000","589,552,000","590,170,000","595,315,000","591,678,000","595,926,000","590,586,000","585,498,000","576,142,000","537,333,000","539,238,000","542,882,000","469,520,000","471,954,000","475,480,000","477,356,000","482,005,000","486,973,000","501,977,000","507,476,000","465,922,000","471,254,000","463,482,000","458,222,000","386,876,000","372,549,000","372,679,000","375,418,000","371,372,000","365,929,000","364,526,000","357,986,000","355,639,000","351,758,000","342,054,000","336,068,000","347,544,000","348,740,000","350,399,000","346,530,000","348,790,000","348,604,000","473,830,000","458,644,000","406,278,000","403,191,000","387,660,000","367,229,000","349,341,000","347,699,000","343,910,000","338,381,000","341,127,000","338,696,000","339,804,000","339,419,000","341,920,000","343,402,000","342,629,000","342,767,000","339,593,000","276,341,000","276,712,000","274,900,000","275,600,000","133,500,000","85,800,000","83,100,000","83,900,000","84,700,000","63,100,000","63,200,000","63,800,000","63,600,000","62,900,000","62,900,000","63,600,000","63,700,000","64,000,000","64,300,000","64,000,000","63,400,000","61,500,000","59,600,000","46,200,000","40,900,000","39,500,000","39,900,000"
