name,ttm,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,12/31/1992
MarketCap,"17,144,443,119","19,420,021,940","15,876,448,405","14,945,121,587","11,262,280,247","10,823,486,812","7,481,318,960","6,274,794,497","6,585,475,029","2,857,029,614","3,545,314,362","3,622,456,909","4,122,916,780","4,034,053,976","7,502,259,542","11,334,645,798","7,727,075,913","5,060,721,313","2,727,924,806","1,604,048,626","1,158,495,103","812,384,395","893,354,030","587,867,561","248,081,607","295,163,813","208,842,493","250,370,460","142,249,566"
EnterpriseValue,"19,968,743,119","22,006,421,940","17,791,848,405","17,359,221,587","13,656,780,247","13,838,986,812","10,351,618,960","8,720,394,497","7,492,175,029","3,531,429,614","3,856,314,362","4,942,456,909","6,484,016,780","8,890,053,976","13,556,159,542","15,094,445,798","10,708,275,913","7,440,939,313","5,501,911,806","3,324,770,626","2,468,377,103","1,874,384,395","1,671,154,030","899,167,561","385,481,607","411,963,813","306,242,493","292,670,460","165,349,566"
PeRatio,"9.302","12.671","12.37","14.955","13.422","15.957","14.176","15.398","7.963","39.304","14.442",,,,"5","7.84","8.056","7.975","6.488","6.947","4.572","5.176","10.256","15.597","11.21","85.091","72.254","180.286","91.574"
ForwardPeRatio,"10.256","11.338","9.381","12.674","10.977","11.806","10.684","11.919","20.202","16.34",,,,,,,,,,,,,,,,,,,
PegRatio,"0.955","1.093","0.474","0.917","0.764","0.549","0.756","0.366",,"4.082",,"-7.17",,,,,,,,,,,,,,,,,
PsRatio,"0.955","1.172","1.027","1.104","0.974","1.07","1.013","1.235","1.74","0.792","0.805","0.989","0.618","0.31","0.497","0.832","0.725","0.572","0.39","0.398","0.329","0.262","0.44","0.702","0.56","0.687","0.531","1.317","0.779"
PbRatio,"1.639","2.014","1.846","2.014","1.729","1.923","1.506","1.607","1.897","1.09","1.357","1.603","1.455","0.711","1.207","2.115","1.951","1.67","1.202","1.407","1.276","1.019","1.626","2.237","1.397","2.981","2.469","3.799","2.545"
EnterprisesValueRevenueRatio,"1.081","1.251","1.107","1.232","1.123","1.279","1.29","1.393","1.721","0.971","0.876","1.351","0.976","0.787","0.901","1.089","0.988","0.853","0.816","0.746","0.676","0.594","0.768","1.074","0.704","0.942","0.779","1.54","0.906"
EnterprisesValueEBITDARatio,"8.368","10.422","8.656","10.641","9.786","11.753","12.141","12.719","25.96","42.091","18.82","-11.51","-2.628","-21.531","6.659","6.273","6.614","7.068","7.854","6.855","7.234","6.371","8.819","13.44","8.219","11.704","10.452","20.757","11.403"
