name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
TotalAssets,"5,113,900,000","5,321,000,000","5,265,700,000","476,615,000","384,788,000","383,901,000","441,589,000","338,858,000","327,868,000","254,112,000","571,948,000","496,139,000"
	CurrentAssets,"607,600,000","683,700,000","434,700,000","235,045,000","204,118,000","244,107,000","308,861,000","202,909,000","189,682,000","109,934,000","433,063,000","361,225,000"
		CashCashEquivalentsAndShortTermInvestments,"300,300,000","310,800,000","190,800,000","97,298,000","102,253,000","147,927,000","221,341,000","135,597,000","134,936,000","53,789,000","383,730,000","281,423,000"
			CashAndCashEquivalents,"229,300,000","275,100,000","143,500,000","97,298,000","102,253,000","147,927,000","221,341,000","135,597,000","134,936,000","53,789,000","383,730,000","281,423,000"
			OtherShortTermInvestments,"71,000,000","35,700,000","47,300,000",,,,,,,,,
		Receivables,"291,500,000","357,700,000","234,500,000","130,295,000","96,118,000","90,586,000","80,796,000","62,599,000","49,529,000","51,098,000","43,077,000","46,828,000"
			AccountsReceivable,"234,700,000","287,300,000","217,300,000","69,902,000","62,535,000","58,386,000","49,888,000","45,666,000","37,578,000","37,746,000","30,437,000","29,478,000"
				GrossAccountsReceivable,,,,"70,029,000","62,685,000","58,671,000","50,154,000","46,006,000","37,882,000",,,
				AllowanceForDoubtfulAccountsReceivable,,,,"-127,000","-150,000","-285,000","-266,000","-340,000","-304,000",,,
			TaxesReceivable,"56,800,000","70,400,000","17,200,000","53,708,000","27,901,000","21,503,000","22,039,000","11,717,000","6,756,000","5,537,000","1,583,000","9,447,000"
			OtherReceivables,,,,"6,685,000","5,682,000","10,697,000","8,869,000","5,216,000","5,195,000","7,815,000","11,057,000","7,903,000"
		PrepaidAssets,,,,"5,360,000","5,122,000","4,622,000","4,007,000","4,146,000","4,152,000","4,510,000","5,804,000","6,266,000"
		CurrentDeferredAssets,,,,"1,958,000",,,,,,,,
		OtherCurrentAssets,"15,800,000","15,200,000","9,400,000","134,000","625,000","972,000","2,717,000","567,000","1,065,000","537,000","452,000","26,708,000"
	TotalNonCurrentAssets,"4,506,300,000","4,637,300,000","4,831,000,000","241,570,000","180,670,000","139,794,000","132,728,000","135,949,000","138,186,000","144,178,000","138,885,000","134,914,000"
		NetPPE,"100,400,000","76,600,000","78,800,000","60,849,000","65,274,000","71,770,000","72,208,000","78,958,000","81,712,000","86,998,000","96,165,000","89,848,000"
			GrossPPE,"219,000,000","248,300,000","227,900,000","220,950,000","220,927,000","359,656,000","341,822,000","330,600,000","320,000,000","308,271,000","299,830,000","279,143,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"0","4,900,000","4,900,000","4,914,000","4,914,000","4,914,000","4,914,000","4,914,000","4,914,000","4,914,000","4,914,000","4,914,000"
				BuildingsAndImprovements,"0","81,700,000","77,400,000","77,026,000","70,531,000","68,019,000","65,448,000","62,442,000","60,917,000","60,917,000","60,837,000","58,980,000"
				MachineryFurnitureEquipment,"164,400,000","161,600,000","139,700,000","138,837,000","144,597,000","286,723,000","271,437,000","263,155,000","252,905,000","240,711,000","213,375,000","195,855,000"
				OtherProperties,"53,400,000","71,700,000","73,900,000","55,935,000","60,360,000",,,,,,,
				ConstructionInProgress,"1,200,000","100,000","5,900,000","173,000","885,000","0","23,000","89,000","1,264,000","1,729,000","20,704,000","19,394,000"
