name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
TotalCapitalization,"3,210,256,000","2,804,859,000","2,528,770,000","2,096,784,000","1,885,577,000","1,839,658,000","1,596,508,000","1,649,849,000","1,722,641,000","1,731,492,000","4,943,773,000","4,111,986,000","4,779,965,000"
CommonStockEquity,"1,652,491,000","1,461,513,000","1,419,101,000","1,221,374,000","1,145,772,000","1,245,126,000","1,222,027,000","1,275,416,000","1,422,641,000","1,431,492,000","4,943,773,000","4,111,986,000","4,779,965,000"
CapitalLeaseObligations,"53,487,000",,,,,,,,,,,,
NetTangibleAssets,"1,607,216,000","1,413,402,000","1,367,588,000","1,166,459,000","1,087,454,000","1,183,406,000","1,153,164,000","1,205,600,000","1,350,713,000","1,356,135,000","4,864,878,000","4,029,552,000","4,499,000,000"
InvestedCapital,"3,210,256,000","2,804,859,000","2,528,770,000","2,096,784,000","1,885,577,000","1,839,658,000","1,596,508,000","1,649,849,000","1,722,641,000","1,731,492,000","4,943,773,000","4,111,986,000","4,779,965,000"
TangibleBookValue,"1,607,216,000","1,413,402,000","1,367,588,000","1,166,459,000","1,087,454,000","1,183,406,000","1,153,164,000","1,205,600,000","1,350,713,000","1,356,135,000","4,864,878,000","4,029,552,000","4,499,000,000"
TotalDebt,"1,611,252,000","1,343,346,000","1,109,669,000","875,410,000","739,805,000","594,532,000","374,481,000","374,433,000","300,000,000","300,000,000",,,
NetDebt,"1,300,889,000","1,081,208,000","829,707,000","663,434,000","587,511,000","402,016,000","225,292,000","262,217,000","163,922,000","173,962,000",,,
ShareIssued,"41,207,000","42,694,000","44,251,000","45,721,000","48,297,000","52,169,000","54,834,000","56,374,000","64,883,000","72,843,000","72,712,625","75,000,000","75,000,000"
OrdinarySharesNumber,"41,207,000","42,694,000","44,251,000","45,721,000","48,297,000","52,169,000","54,834,000","56,374,000","64,883,000","72,843,000","72,712,625","75,000,000","75,000,000"
