name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
TotalRevenue,"4,355,000,000","4,355,000,000","2,968,000,000","1,951,945,000","1,811,235,000","1,830,463,000","1,736,000,000","1,750,000,000","1,648,000,000","1,613,000,000","1,584,000,000","1,596,000,000"
	OperatingRevenue,"4,355,000,000","4,355,000,000","2,968,000,000","1,951,945,000","1,811,235,000","1,830,463,000","1,736,000,000","1,720,000,000","1,618,000,000","1,613,000,000","1,584,000,000","1,596,000,000"
CostOfRevenue,"2,588,000,000","2,588,000,000","1,868,000,000","1,172,275,000","1,104,454,000","1,152,974,000","1,115,000,000","1,143,000,000","1,092,000,000","1,039,000,000","999,000,000","1,043,000,000"
GrossProfit,"1,767,000,000","1,767,000,000","1,100,000,000","779,670,000","706,781,000","677,489,000","621,000,000","607,000,000","556,000,000","574,000,000","585,000,000","553,000,000"
OperatingExpense,"1,203,000,000","1,203,000,000","787,000,000","518,940,000","458,128,000","433,562,000","414,000,000","415,000,000","416,000,000","423,000,000","441,000,000","1,124,000,000"
	SellingGeneralAndAdministration,"1,062,000,000","1,062,000,000","725,000,000","518,940,000","458,128,000","433,562,000","414,000,000","415,000,000","416,000,000","423,000,000","426,000,000","501,000,000"
		GeneralAndAdministrativeExpense,"300,000,000","300,000,000","198,000,000","110,225,000","104,833,000","102,963,000","99,000,000","99,000,000","86,000,000","81,000,000","82,000,000","88,000,000"
			OtherGandA,"300,000,000","300,000,000","198,000,000","110,225,000","104,833,000","102,963,000","99,000,000","99,000,000","86,000,000","81,000,000","82,000,000","88,000,000"
		SellingAndMarketingExpense,"762,000,000","762,000,000","527,000,000","408,715,000","353,295,000","330,599,000","315,000,000","316,000,000","330,000,000","342,000,000","344,000,000","413,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"141,000,000","141,000,000","62,000,000",,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"141,000,000","141,000,000","62,000,000",,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,"15,000,000","623,000,000"
OperatingIncome,"564,000,000","564,000,000","313,000,000","260,730,000","248,653,000","243,927,000","207,000,000","192,000,000","140,000,000","151,000,000","144,000,000","-571,000,000"
NetNonOperatingInterestIncomeExpense,"-132,000,000","-132,000,000","-54,000,000","-34,789,000","-32,597,000","-37,468,000","-38,000,000","-44,000,000","-58,000,000","-47,000,000","-56,000,000","0"
	InterestExpenseNonOperating,"132,000,000","132,000,000","54,000,000","34,789,000","32,597,000","37,468,000","38,000,000","44,000,000","58,000,000","47,000,000","56,000,000","0"
OtherIncomeExpense,"-207,000,000","-207,000,000","-156,000,000","-58,000","6,872,000","38,000","-18,000,000","-17,000,000","-45,000,000","-318,000,000","13,000,000","-54,000,000"
	EarningsFromEquityInterest,,,,,,"187,000","0","0","1,000,000","0","-8,000,000","-12,000,000"
	SpecialIncomeCharges,"-224,000,000","-224,000,000","-173,000,000","-4,231,000","303,000","-1,266,000","-23,000,000","-18,000,000","-55,000,000","-318,000,000","21,000,000","-42,000,000"
		RestructuringAndMergernAcquisition,"118,000,000","118,000,000","127,000,000",,"0","1,174,000","3,000,000","12,000,000","16,000,000","0","0","44,000,000"
		ImpairmentOfCapitalAssets,,,,,,,,,,"324,000,000",,
		WriteOff,"99,000,000","99,000,000",,,"0","324,000","1,000,000","2,000,000","2,000,000",,,
		OtherSpecialCharges,"7,000,000","7,000,000","46,000,000","4,231,000","-303,000","-232,000","19,000,000","4,000,000","41,000,000","-6,000,000","-21,000,000","-2,000,000"
	OtherNonOperatingIncomeExpenses,"17,000,000","17,000,000","17,000,000","4,173,000","6,569,000","1,117,000","5,000,000","1,000,000","9,000,000",,,
PretaxIncome,"225,000,000","225,000,000","103,000,000","225,883,000","222,928,000","206,497,000","151,000,000","131,000,000","37,000,000","-214,000,000","112,000,000","-763,000,000"
TaxProvision,"83,000,000","83,000,000","51,000,000","-895,000","85,580,000","83,698,000","70,000,000","51,000,000","21,000,000","-36,000,000","45,000,000","-231,000,000"
NetIncomeCommonStockholders,"138,000,000","138,000,000","55,000,000","226,778,000","137,348,000","122,799,000","81,000,000","80,000,000","16,000,000","-178,000,000","67,000,000","-521,000,000"
	NetIncome,"138,000,000","138,000,000","55,000,000","226,778,000","137,348,000","122,799,000","81,000,000","80,000,000","16,000,000","-178,000,000","67,000,000","-521,000,000"
		NetIncomeIncludingNoncontrollingInterests,"142,000,000","142,000,000","52,000,000","226,778,000","137,348,000","122,799,000","81,000,000","80,000,000","16,000,000","-178,000,000","67,000,000","-532,000,000"
			NetIncomeContinuousOperations,"142,000,000","142,000,000","52,000,000","226,778,000","137,348,000","122,799,000","81,000,000","80,000,000","16,000,000","-178,000,000","67,000,000","-532,000,000"
		MinorityInterests,"-4,000,000","-4,000,000","3,000,000",,,,,,,"0","0","11,000,000"
DilutedNIAvailtoComStockholders,"138,000,000","138,000,000","55,000,000","226,778,000","137,348,000","122,799,000","81,000,000","80,000,000","16,000,000","-178,000,000","67,000,000","-521,000,000"
BasicEPS,,,"1.64","8.7","4.93","3.9","2.4","2.25","0.46","-5.29","1.992","-15.491"
DilutedEPS,,,"1.61","8.49","4.83","3.82","2.33","2.18","0.44","-5.29","1.992","-15.491"
BasicAverageShares,,,"33,536,585","27,100,000","27,882,000","31,487,000","33,700,000","35,400,000","34,400,000","33,700,000","33,632,000","33,632,000"
DilutedAverageShares,,,"34,161,491","27,700,000","28,422,000","32,168,000","34,600,000","36,600,000","36,200,000","33,700,000","33,632,000","33,632,000"
RentExpenseSupplemental,"416,000,000","416,000,000","281,000,000","281,352,000","260,752,000","259,729,000","238,000,000","251,000,000","225,000,000",,,
TotalExpenses,"3,791,000,000","3,791,000,000","2,655,000,000","1,691,215,000","1,562,582,000","1,586,536,000","1,529,000,000","1,558,000,000","1,508,000,000","1,462,000,000","1,440,000,000","2,167,000,000"
