name,ttm,12/31/2019,12/31/2018,12/31/2017
TotalRevenue,"1,204,174,011","1,204,174,011","723,226,134","1,033,163,753"
	OperatingRevenue,"1,204,174,011","1,204,174,011","723,226,134","1,033,163,753"
CostOfRevenue,"108,914,547","108,914,547","73,222,497","110,182,813"
GrossProfit,"1,095,259,464","1,095,259,464","650,003,637","922,980,940"
OperatingExpense,"87,793,158","87,793,158","47,001,366","101,559,390"
	SellingGeneralAndAdministration,"79,035,195","79,035,195","44,405,742","83,859,888"
		GeneralAndAdministrativeExpense,"66,131,206","66,131,206","32,541,645","57,652,364"
			SalariesAndWages,"2,471,705","2,471,705","3,659,523","7,637,277"
			OtherGandA,"63,659,501","63,659,501","28,882,122","50,015,087"
		SellingAndMarketingExpense,"12,903,989","12,903,989","11,864,097","26,207,524"
	DepreciationAmortizationDepletionIncomeStatement,"113,919","113,919","334,841","379,132"
		DepreciationAndAmortizationInIncomeStatement,"113,919","113,919","334,841","379,132"
			DepreciationIncomeStatement,"113,919","113,919","334,841","379,132"
	OtherOperatingExpenses,"8,644,044","8,644,044","2,260,783","17,320,370"
OperatingIncome,"1,007,466,306","1,007,466,306","603,002,271","821,421,550"
NetNonOperatingInterestIncomeExpense,"-9,028,012","-9,028,012","-9,039,382","-28,565,895"
	InterestIncomeNonOperating,"18,677,943","18,677,943","7,681","158,863"
	InterestExpenseNonOperating,"27,705,955","27,705,955","9,047,063","28,724,758"
	TotalOtherFinanceCost,,,"5,197,984","7,978,311"
OtherIncomeExpense,"-9,184,322","-9,184,322","15,002,337","15,729,816"
	GainOnSaleOfSecurity,"-12,596,647","-12,596,647","-382,757","206,072"
	OtherNonOperatingIncomeExpenses,"3,412,325","3,412,325","15,385,094","15,523,744"
PretaxIncome,"989,253,972","989,253,972","608,965,226","808,585,471"
TaxProvision,"158,349,518","158,349,518","83,839,597","135,213,625"
NetIncomeCommonStockholders,"938,272,885","938,272,885","468,061,079","568,266,428"
	NetIncome,"938,272,885","938,272,885","468,061,079","568,266,428"
		NetIncomeIncludingNoncontrollingInterests,"830,904,454","830,904,454","525,125,629","673,371,846"
			NetIncomeContinuousOperations,"830,904,454","830,904,454","525,125,629","673,371,846"
		MinorityInterests,"107,368,431","107,368,431","-57,064,550","-105,105,418"
DilutedNIAvailtoComStockholders,"938,272,885","938,272,885","468,061,079","568,266,428"
BasicEPS,,,"2.029","2.628"
DilutedEPS,,,"2.029","2.627"
BasicAverageShares,,,"230,663,205","216,261,559"
DilutedAverageShares,,,"230,663,205","216,322,190"
TotalExpenses,"196,707,705","196,707,705","120,223,863","211,742,203"
NetIncomeFromContinuingAndDiscontinuedOperation,"938,272,885","938,272,885","468,061,079","568,266,428"
NormalizedIncome,"948,853,191.366","948,853,191.366","468,391,139.735","568,094,815.86"
InterestIncome,"18,677,943","18,677,943","7,681","158,863"
InterestExpense,"27,705,955","27,705,955","9,047,063","28,724,758"
NetInterestIncome,"-9,028,012","-9,028,012","-9,039,382","-28,565,895"
EBIT,"1,016,959,927","1,016,959,927","618,012,289","837,310,229"
EBITDA,"1,017,073,846"
ReconciledCostOfRevenue,"108,914,547","108,914,547","73,222,497","110,182,813"
ReconciledDepreciation,"113,919","113,919","334,841","379,132"
NetIncomeFromContinuingOperationNetMinorityInterest,"938,272,885","938,272,885","468,061,079","568,266,428"
TotalUnusualItemsExcludingGoodwill,"-12,596,647","-12,596,647","-382,757","206,072"
TotalUnusualItems,"-12,596,647","-12,596,647","-382,757","206,072"
NormalizedEBITDA,"1,029,670,493","1,029,670,493","618,729,887","837,483,289"
TaxRateForCalcs,"0.16","0.16","0.138","0.167"
TaxEffectOfUnusualItems,"-2,016,340.634","-2,016,340.634","-52,696.265","34,459.86"
