name,ttm,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014
MarketCap,"2,281,903,813","4,514,445,369","2,794,725,924","4,174,463,961","2,241,320,943","1,279,055,065","2,051,515,806","2,966,029,810"
EnterpriseValue,"3,577,988,071","5,819,048,180","3,662,684,411","4,868,708,579","2,922,693,058","1,965,689,381","2,743,947,419","3,754,489,159"
PeRatio,"9.371","19.282","15.5","18.547","32.25","19.205","48.818","35.932"
ForwardPeRatio,"15.823","14.493","9.009","16.26","11.351","6.748",,
PsRatio,"0.575","1.088","0.764","1.199","0.759","0.45","0.816","1.185"
PbRatio,,,,,"500.748","209.483",,
EnterprisesValueRevenueRatio,"0.591","0.961","0.698","1.085","0.701","0.513","0.778","1.175"
EnterprisesValueEBITDARatio,"4.331","7.043","6.448","8.131","5.629","6.828","9.298","13.683"
