name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016
MarketCap,"2,144,108,891","2,146,056,311","3,748,436,619","3,504,666,030","3,492,760,828","3,513,475,567","3,036,020,538","3,663,170,452","3,965,091,227","3,885,099,253","4,073,127,708","4,226,866,968","4,272,917,351","4,175,234,720","4,858,457,372","3,747,793,366"
PeRatio,"8.647","7.761","14.005","13.35","13.199","13.497","14.338","18.107","20.729","21.083","17.793","18.919","19.301","18.133","21.705","16.612"
ForwardPeRatio,"11.682","8.163","13.532","12.107","11.806","11.82","10.309","12.626","14.368","14.065","17.271","17.606","18.349","17.606","21.368","16.695"
PsRatio,"3.245","3.244","5.765","5.364","5.234","5.326","4.543","5.56","6.031","5.836","6.205","6.535","6.7","6.437","7.684","5.932"
PbRatio,"0.805","0.813","1.412","1.318","1.322","1.393","1.253","1.49","1.573","1.534","1.578","1.656","1.705","1.686","1.925","1.499"
