name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995
TotalRevenue,"22,624,100,000","23,179,400,000","22,785,100,000","21,386,900,000","20,118,500,000","19,284,900,000","17,177,200,000","14,705,400,000","13,163,517,000","11,556,232,000","10,713,585,000","9,523,105,000","11,646,345,000","12,957,739,000","11,242,313,000","10,190,284,000","9,886,211,000","8,671,485,000","7,434,866,000","6,220,663,000","4,883,989,000","4,022,517,000","3,343,100,000","2,089,800,000","1,303,800,000","805,600,000"
	OperatingRevenue,"22,624,100,000","23,179,400,000","22,785,100,000","21,386,900,000","20,118,500,000","19,284,900,000","16,741,400,000","14,329,700,000","11,976,354,000","11,556,232,000","10,713,585,000","9,523,105,000","11,646,345,000","12,957,739,000","11,242,313,000","10,190,284,000","9,886,211,000","8,671,485,000","7,434,866,000","6,220,663,000","4,883,989,000","4,022,517,000","3,343,100,000","2,089,800,000","1,303,800,000","805,600,000"
CostOfRevenue,"19,243,400,000","19,723,900,000","19,370,200,000","18,164,400,000","17,151,900,000","16,417,400,000","14,603,500,000","12,445,600,000","11,150,569,000","9,730,842,000","9,012,037,000","7,940,794,000","9,854,567,000","11,032,530,000","9,537,844,000","8,644,940,000","8,436,153,000","7,428,065,000","6,372,656,000","5,369,505,000","4,181,858,000","3,453,949,000","2,899,700,000","1,820,400,000","1,152,500,000","717,500,000"
GrossProfit,"3,380,700,000","3,455,500,000","3,414,900,000","3,222,500,000","2,966,600,000","2,867,500,000","2,573,700,000","2,259,800,000","2,012,948,000","1,825,390,000","1,701,548,000","1,582,311,000","1,791,778,000","1,925,209,000","1,704,469,000","1,545,344,000","1,450,058,000","1,243,420,000","1,062,210,000","851,158,000","702,131,000","568,568,000","443,400,000","269,400,000","151,300,000","88,100,000"
OperatingExpense,"2,780,300,000","2,802,800,000","2,750,000,000","2,611,100,000","2,391,700,000","2,301,000,000","2,069,600,000","1,823,600,000","1,648,090,000","1,527,200,000","1,460,698,000","1,373,214,000","2,191,438,000","1,582,585,000","1,401,315,000","1,252,647,000","1,186,353,000","1,011,594,000","882,230,000","693,303,000","563,878,000","464,273,000","391,500,000","264,800,000","132,000,000","93,400,000"
	SellingGeneralAndAdministration,"2,668,600,000","2,693,200,000","2,646,300,000","2,516,000,000","2,302,000,000","2,223,000,000","1,999,600,000","1,761,900,000","1,594,095,000","1,478,297,000","1,411,814,000","1,318,980,000","1,494,157,000","1,531,628,000","1,356,452,000","1,213,259,000","1,144,207,000","980,011,000","882,230,000","693,303,000","539,704,000","445,142,000","375,000,000","255,100,000","124,200,000","90,600,000"
		GeneralAndAdministrativeExpense,"2,554,500,000","2,580,600,000",,"2,400,200,000","2,199,500,000","2,122,000,000","1,906,400,000","1,679,000,000",,,,,,,,,,,,,,,,,,
			SalariesAndWages,"1,552,500,000","1,570,800,000",,"1,439,200,000","1,317,500,000","1,278,700,000","1,130,400,000","979,700,000",,,,,,,,,,,,,,,,,,
			RentAndLandingFees,"340,000,000","339,900,000",,"323,900,000","291,200,000","288,500,000","269,700,000","256,000,000",,,,,,,,,,,,,,,,,,
			OtherGandA,"662,000,000","669,900,000",,"637,100,000","590,800,000","554,800,000","506,300,000","443,300,000",,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"114,100,000","112,600,000",,"115,800,000","102,500,000","101,000,000","93,200,000","82,900,000",,,,,,,,,,,,,,,,,,
