name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
TotalRevenue,"1,489,000,000","1,489,000,000","1,285,800,000","1,110,000,000","969,200,000","825,300,000","723,500,000","682,100,000","609,200,000","525,192,000","442,135,000","380,664,000","312,186,000","239,927,000","219,332,000","201,268,000","176,715,000","145,788,000","154,334,000","147,256,000","123,778,000","116,055,000","142,349,000","164,235,000","123,934,000","76,300,000","51,800,000","30,000,000","18,600,000"
	OperatingRevenue,"1,420,400,000","1,420,400,000","1,223,400,000","1,052,600,000","917,300,000","778,700,000","682,700,000","641,900,000","585,300,000","525,192,000","442,135,000","380,664,000","312,186,000","239,996,000","219,332,000","203,080,000","178,365,000","143,021,000","154,334,000","147,256,000","123,778,000","116,055,000","142,349,000","164,235,000","124,000,000","76,300,000","51,800,000","30,000,000","18,600,000"
CostOfRevenue,,,,,,,,,,"0","0","0","0",,,,,,,,,,,,,,,,
GrossProfit,,,,,,,,,,"525,192,000","442,135,000","380,664,000","312,186,000",,,,,,,,,,,,,,,,
OperatingExpense,"435,100,000","435,100,000","374,100,000","406,000,000","340,300,000","274,800,000","224,100,000","218,900,000","202,700,000","171,538,000","140,886,000","119,227,000","161,960,000","120,146,000","128,686,000","94,724,000","90,483,000","99,531,000","105,754,000","98,842,000","87,778,000","131,716,000","104,708,000","162,891,000","60,326,000","-9,000,000","-5,200,000","-1,900,000","0"
	SellingGeneralAndAdministration,"328,600,000","328,600,000","291,200,000","254,000,000","224,100,000","200,100,000","171,300,000","156,200,000","143,900,000","142,582,000","130,849,000","131,391,000","115,858,000","44,712,000","53,109,000","35,109,000","34,110,000","28,528,000","66,333,000","59,754,000","50,108,000","56,800,000","59,000,000","28,933,000","18,952,000","21,700,000","15,000,000","8,900,000","5,700,000"
		GeneralAndAdministrativeExpense,"258,400,000","258,400,000","223,500,000","195,600,000","174,700,000","154,200,000","134,500,000","121,700,000","112,700,000","119,062,000","111,188,000","116,583,000","99,155,000","9,830,000","36,485,000","6,559,000","10,280,000","11,540,000","66,333,000","59,754,000","50,108,000","56,800,000","59,000,000","20,604,000","9,705,000","19,400,000","13,700,000","7,700,000","5,100,000"
			SalariesAndWages,"193,300,000","193,300,000","167,800,000","140,100,000","126,500,000","116,400,000","100,200,000","87,300,000","82,200,000","63,038,000","61,327,000","66,893,000","68,993,000","55,396,000","41,015,000","36,853,000","34,961,000","33,655,000","66,333,000","59,754,000","50,108,000","56,800,000","59,000,000","16,978,000","11,675,000","19,400,000","13,700,000","7,700,000","5,100,000"
			InsuranceAndClaims,,,,,,,,,,"30,399,000","23,429,000","19,299,000","2,651,000",,,,,,,,,,,,,,,,
			OtherGandA,"65,100,000","65,100,000","55,700,000","55,500,000","48,200,000","37,800,000","34,300,000","34,400,000","30,500,000","25,625,000","26,432,000","30,391,000","27,511,000","45,566,000","4,530,000","30,294,000","24,681,000","22,115,000",,,,,,"3,626,000","1,970,000",,,,
		SellingAndMarketingExpense,"70,200,000","70,200,000","67,700,000","58,400,000","49,400,000","45,900,000","36,800,000","34,500,000","31,200,000","23,520,000","19,661,000","14,808,000","16,703,000","34,882,000","16,624,000","28,550,000","23,830,000","16,988,000",,,,,,"8,329,000","9,247,000","2,300,000","1,300,000","1,200,000","600,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,"4,105,000","4,624,000","5,209,000","5,781,000","4,210,000","9,669,000","12,485,000","7,004,000","4,697,000","3,793,000","2,550,000","1,369,000",,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,"4,210,000","9,669,000","12,485,000","7,004,000",,,,,,,,
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,"4,210,000","9,669,000","12,485,000","7,004,000",,,,,,,,
	ProvisionForDoubtfulAccounts,"76,400,000","76,400,000","56,900,000","129,300,000","90,200,000","41,500,000","12,800,000","21,900,000","24,000,000","28,956,000","10,037,000","-12,164,000","46,029,000","19,947,000","11,006,000","5,705,000","5,757,000","10,459,000","20,694,000","11,915,000","11,251,000","56,073,000","16,405,000","85,472,000","13,071,000",,,,"1,800,000"
	OtherTaxes,,,,,,,,,,,,,,"-120,146,000","-105,362,000","-80,838,000","-78,823,000","-91,474,000","-96,696,000","-84,191,000",,,,,"-46,700,000","-30,700,000","-20,200,000","-10,800,000","-7,500,000"
	OtherOperatingExpenses,"30,100,000","30,100,000","26,000,000","22,700,000","26,000,000","33,200,000","40,000,000","40,800,000","34,800,000",,"10,037,000",,"73,000","171,528,000","165,309,000","129,539,000","123,658,000","147,808,000","105,754,000","98,879,000","19,415,000","14,146,000","25,510,000","45,936,000","73,634,000",,,,
OperatingIncome,"1,053,900,000","1,053,900,000","911,700,000","704,000,000","628,900,000","550,500,000","499,400,000","463,200,000","406,500,000","353,654,000","301,249,000","261,437,000","150,226,000","119,781,000","90,646,000","106,544,000","86,232,000","46,257,000","48,580,000","48,414,000","36,000,000","-15,661,000","37,641,000","1,344,000","63,608,000","85,300,000","57,000,000","31,900,000","18,600,000"
NetNonOperatingInterestIncomeExpense,"-196,200,000","-196,200,000","-156,600,000","-120,200,000","-97,700,000","-76,000,000","-56,700,000","-65,000,000","-63,400,000","-57,236,000","-47,752,000","-32,399,000","-43,189,000",,,,,,,,,,,,,,,,
