name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
		OtherEquityInterest,,,,,,"-455,000","-732,000","-982,000","-1,255,000","-1,670,000","-1,743,000","-1,701,000",,,,,,,,,"100,000","96,400,000","45,600,000","44,400,000","44,000,000","44,300,000","44,500,000"
	MinorityInterest,"14,018,000","15,281,000","14,547,000","11,286,000","13,654,000","13,866,000","9,111,000","7,757,000","5,794,000","6,667,000","5,728,000","6,343,000","10,376,000","10,819,000","8,577,000","8,265,000","7,780,000",,,,,,,,,,
TotalCapitalization,"1,404,582,000","1,275,533,000","1,104,150,000","958,239,000","837,505,000","784,339,000","725,323,000","695,558,000","589,005,000","629,088,000","616,399,000","627,567,000","741,794,000","684,159,000","640,891,000","541,878,000","509,798,000","498,319,000","385,232,000","386,576,000","361,500,000","323,700,000","155,700,000","148,900,000","136,000,000","130,400,000","84,900,000"
CommonStockEquity,"1,243,715,000","1,073,403,000","959,476,000","849,180,000","752,755,000","685,694,000","640,623,000","599,768,000","576,805,000","574,509,000","563,218,000","541,883,000","536,668,000","514,742,000","431,852,000","356,769,000","304,749,000","263,000,000","230,862,000","235,769,000","214,600,000","191,600,000","115,900,000","99,900,000","83,500,000","71,600,000","61,900,000"
CapitalLeaseObligations,"80,167,000",,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"958,512,000","800,440,000","704,507,000","621,574,000","554,068,000","493,813,000","470,896,000","430,011,000","408,839,000","401,534,000","389,467,000","359,869,000","362,547,000","334,175,000","289,330,000","225,117,000","179,721,000","136,701,000","107,866,000","130,190,000","121,400,000","96,400,000","113,400,000","99,900,000","83,500,000","71,600,000","61,900,000"
WorkingCapital,"739,030,000","685,108,000","560,241,000","484,661,000","444,057,000","397,546,000","357,299,000","338,389,000","225,399,000","262,105,000","248,165,000","230,308,000","337,800,000","282,913,000","298,027,000","222,618,000","190,435,000","185,256,000","124,071,000","120,321,000","124,300,000","99,900,000","89,700,000","88,500,000","79,500,000","78,400,000","45,500,000"
InvestedCapital,"1,407,398,000","1,303,048,000","1,131,330,000","980,634,000","838,650,000","784,960,000","726,402,000","695,558,000","629,275,000","629,800,000","617,072,000","643,057,000","742,739,000","684,839,000","641,349,000","563,911,000","517,935,000","506,572,000","407,049,000","396,629,000","370,400,000","335,500,000","170,000,000","152,600,000","139,900,000","136,300,000","150,800,000"
TangibleBookValue,"958,512,000","800,440,000","704,507,000","621,574,000","554,068,000","493,813,000","470,896,000","430,011,000","408,839,000","401,534,000","389,467,000","359,869,000","362,547,000","334,175,000","289,330,000","225,117,000","179,721,000","136,701,000","107,866,000","130,190,000","121,400,000","96,400,000","113,400,000","99,900,000","83,500,000","71,600,000","61,900,000"
TotalDebt,"243,850,000","229,645,000","171,854,000","131,454,000","85,895,000","99,266,000","85,779,000","95,790,000","52,470,000","55,291,000","53,854,000","101,174,000","206,071,000","170,097,000","209,497,000","207,142,000","213,186,000","243,572,000","176,187,000","160,860,000","155,800,000","143,900,000","54,100,000","52,700,000","56,400,000","64,700,000","88,900,000"
NetDebt,,"202,329,000","143,515,000","97,363,000",,"99,266,000","85,779,000","88,143,000","41,165,000","11,928,000",,"87,837,000","162,466,000","118,989,000","163,282,000","181,868,000","195,756,000","230,118,000","153,300,000","158,468,000","151,700,000","143,000,000","50,900,000","51,400,000","34,900,000","64,600,000","87,600,000"
ShareIssued,"61,408,589","60,883,749","61,191,888","61,026,207","60,425,127","59,953,353","59,844,810","59,398,818","58,871,409","57,999,366","57,853,761","57,266,640","56,723,523","56,576,676","55,207,944","54,006,765","53,440,692","53,225,946","53,364,000","59,157,342","60,636,000","62,130,000","52,716,000","51,120,000","51,123,000","51,120,000","50,940,000"
OrdinarySharesNumber,"61,408,589","60,883,749","61,191,888","61,026,207","60,425,127","59,953,353","59,844,810","59,398,818","58,871,409","57,999,366","57,853,761","57,266,640","56,723,523","56,576,676","55,207,944","54,006,765","53,440,692","53,225,946","53,364,000","59,157,342","60,636,000","62,130,000","52,716,000","51,120,000","51,123,000","51,120,000","50,940,000"
