name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003
TotalRevenue,"3,504,499,000","1,091,822,000","1,100,090,000","663,575,000","649,012,000","626,647,000","798,022,000","693,015,000","660,323,000","615,336,000","653,664,000","611,870,000","626,115,000","540,317,000","309,879,000","275,659,000","261,994,000","255,658,000","246,767,000","224,897,000","221,322,000","203,391,000","192,804,000","157,744,000","146,930,000","133,833,000","138,122,000","125,792,000","126,211,000","112,205,000","116,174,000","89,952,000","88,864,000","83,642,000","86,202,000","74,839,000","75,505,000","69,945,000","97,056,000","73,126,000","74,542,000","68,626,000","73,960,000","60,399,000","62,152,000","55,468,000","80,314,000","70,275,000","70,618,000","63,712,000","71,555,000","64,463,000","68,729,000","62,054,000","77,194,000","63,588,000","64,561,000","59,826,000","61,525,000","53,965,000","57,900,000","52,663,000","70,463,000","59,884,000","61,157,000","54,236,000","112,186,000","34,762,000","33,692,000","33,692,000"
	OperatingRevenue,"3,479,975,000","1,091,822,000","1,075,566,000","663,575,000","649,012,000","626,647,000","798,022,000","693,015,000","660,323,000","615,336,000","653,664,000","611,870,000","626,115,000","540,317,000","309,879,000","275,659,000","261,994,000","255,658,000","246,767,000","224,897,000","221,322,000","203,391,000","192,804,000","157,744,000","146,930,000","133,833,000","138,122,000","125,792,000","126,211,000","112,205,000","116,174,000","89,952,000","88,864,000","83,642,000","86,202,000","74,839,000","75,505,000","69,945,000","97,056,000","73,126,000","74,542,000","68,626,000","73,960,000","60,399,000","62,152,000","55,468,000","80,314,000","70,275,000","70,618,000","63,712,000","71,555,000","64,463,000","68,729,000","62,054,000","77,194,000","63,588,000","64,561,000","59,826,000","61,525,000","53,965,000","57,900,000","52,663,000","70,463,000","59,884,000","61,157,000","54,236,000","112,186,000","34,762,000","33,692,000","33,692,000"
CostOfRevenue,"1,497,550,000","441,781,000","437,398,000","322,327,000","296,044,000","292,863,000","279,152,000","285,363,000","274,439,000","278,963,000","264,410,000","257,656,000","252,610,000","218,729,000","98,195,000","100,744,000","92,935,000","90,123,000","77,144,000","80,417,000","75,011,000","69,685,000","51,931,000","48,395,000","45,257,000","41,849,000","39,876,000","37,270,000","36,461,000","34,104,000","25,834,000","21,950,000","21,852,000","22,128,000","22,023,000","20,826,000","19,705,000","19,103,000","20,090,000","19,669,000","19,580,000","18,983,000","20,366,000","18,726,000","19,086,000","19,055,000","20,098,000","19,410,000","19,283,000","19,496,000","19,219,000","18,202,000","18,551,000","18,156,000","18,634,000","17,738,000","17,705,000","17,388,000","18,487,000","16,663,000","16,661,000","16,306,000","17,950,000","16,685,000","15,937,000","15,472,000","30,280,000","10,327,000",,
GrossProfit,"2,006,949,000","650,041,000","662,692,000","341,248,000","352,968,000","333,784,000","518,870,000","407,652,000","385,884,000","336,373,000","389,254,000","354,214,000","373,505,000","321,588,000","211,684,000","174,915,000","169,059,000","165,535,000","169,623,000","144,480,000","146,311,000","133,706,000","140,873,000","109,349,000","101,673,000","91,984,000","98,246,000","88,522,000","89,750,000","78,101,000","90,340,000","68,002,000","67,012,000","61,514,000","64,179,000","54,013,000","55,800,000","50,842,000","76,966,000","53,457,000","54,962,000","49,643,000","53,594,000","41,673,000","43,066,000","36,413,000","60,216,000","50,865,000","51,335,000","44,216,000","52,336,000","46,261,000","50,178,000","43,898,000","58,560,000","45,850,000","46,856,000","42,438,000","43,038,000","37,302,000","41,239,000","36,357,000","52,513,000","43,199,000","45,220,000","38,764,000","81,906,000","24,435,000",,
OperatingExpense,"1,282,653,000","364,859,000","422,013,000","273,341,000","222,440,000","220,897,000","243,114,000","220,148,000","217,087,000","220,121,000","228,432,000","225,142,000","234,820,000","269,153,000","103,947,000","102,018,000","105,052,000","107,606,000","102,277,000","96,165,000","93,769,000","95,802,000","71,336,000","67,653,000","66,731,000","64,284,000","64,888,000","63,369,000","61,558,000","60,276,000","54,467,000","44,449,000","43,551,000","44,009,000","46,104,000","45,827,000","42,781,000","41,676,000","46,056,000","40,601,000","41,005,000","39,849,000","31,422,000","55,306,000","33,708,000","37,368,000","-11,885,000","87,664,000","35,169,000","44,277,000","39,643,000","37,936,000","36,757,000","37,795,000","39,687,000","36,041,000","35,777,000","36,349,000","36,132,000","34,434,000","34,223,000","34,537,000","37,921,000","34,439,000","33,527,000","-13,269,000","83,440,000","22,418,000",,
	SellingGeneralAndAdministration,"806,005,000","218,384,000","260,480,000","183,083,000","144,058,000","142,360,000","158,828,000","140,297,000","138,903,000","141,905,000","136,091,000","137,308,000","144,285,000","174,302,000","66,067,000","63,602,000","65,772,000","68,165,000","62,208,000","56,426,000","56,557,000","57,289,000","46,303,000","43,652,000","43,796,000","41,040,000","40,281,000","37,587,000","37,565,000","35,493,000","35,764,000","27,510,000","27,133,000","27,128,000","28,854,000","26,346,000","24,955,000","25,012,000","28,901,000","23,986,000","24,754,000","23,250,000","23,245,000","21,628,000","21,372,000","23,471,000","24,829,000","22,915,000","21,839,000","20,885,000","23,119,000","21,569,000","21,787,000","20,298,000","23,787,000","20,380,000","20,748,000","20,378,000","20,334,000","18,129,000","17,320,000","17,194,000","20,777,000","17,898,000","16,925,000","16,719,000","44,175,000","10,715,000",,
		GeneralAndAdministrativeExpense,"806,005,000","218,384,000","260,480,000","183,083,000","144,058,000","142,360,000","158,828,000","140,297,000","138,903,000","141,905,000","136,091,000","137,308,000","144,285,000","174,302,000","66,067,000","63,602,000","65,772,000","68,165,000","62,208,000","56,426,000","56,557,000","57,289,000","46,303,000","43,652,000","43,796,000","41,040,000","40,281,000","37,587,000","37,565,000","35,493,000","35,764,000","21,619,000",,"21,714,000",,,,,,,,"23,250,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"806,005,000","218,384,000","260,480,000","183,083,000","144,058,000","142,360,000","158,828,000","140,297,000","138,903,000","141,905,000","136,091,000","137,308,000","144,285,000","174,302,000","66,067,000","63,602,000","65,772,000","68,165,000","62,208,000","56,426,000","56,557,000","57,289,000","46,303,000","43,652,000","43,796,000","41,040,000","40,281,000","37,587,000","37,565,000","35,493,000","35,764,000","21,619,000",,"21,714,000",,,,,,,,"23,250,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,661,000",,"4,995,000",,,,,,,,"4,579,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"473,370,000","143,197,000","161,533,000","90,258,000","78,382,000","78,537,000","84,286,000","79,851,000","78,184,000","78,216,000","92,341,000","87,834,000","90,535,000","94,851,000","37,880,000","38,416,000","39,280,000","39,441,000","40,069,000","39,739,000","37,212,000","38,513,000","25,033,000","24,001,000","22,935,000","23,244,000","24,607,000","25,782,000","23,993,000","24,783,000","18,703,000","16,939,000","16,418,000","16,900,000","17,250,000","19,481,000","17,826,000","16,656,000","16,857,000","16,605,000","16,240,000","16,623,000","1,214,000","36,283,000","17,003,000","16,148,000","19,433,000","16,826,000","16,277,000","17,040,000","16,831,000","16,914,000","16,247,000","17,345,000","15,764,000","15,238,000","15,013,000","15,907,000","15,595,000","16,307,000","16,256,000","17,343,000","17,144,000","16,541,000","16,602,000","18,930,000","39,265,000","11,703,000",,
