name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997
TotalAssets,"3,211,070,000","3,004,596,000","2,980,705,000","2,990,144,000","2,911,377,000","2,593,044,000","2,043,651,000","1,896,437,000","1,889,721,000","1,321,192,000","1,082,408,000","1,102,126,000","874,486,000","723,984,041.734","596,894,245.044","488,512,768.1","425,542,018.385","312,932,383.983","297,181,275.206","262,451,799.121","195,141,932.804","87,212,121.847","45,087,747.937"
	CurrentAssets,"1,514,173,000","1,382,911,000","1,307,881,000","1,340,525,000","1,339,220,000","1,247,404,000","980,712,000","915,600,000","888,444,000","755,331,000","579,965,000","561,100,000","465,870,000","406,983,021.673","327,496,863.2","273,908,366.701","243,277,650","176,621,445.449","195,397,314.521","180,158,305.378","140,186,447.764","55,835,806.747","27,492,529.318"
		CashCashEquivalentsAndShortTermInvestments,"64,126,000","46,657,000","52,795,000","38,197,000","47,097,000","65,163,000","97,368,000","70,410,000","88,802,000","258,442,000","99,732,000","12,357,000","9,250,000","29,035,395.845","69,729,366.533","60,609,805.818","68,674,843.4","44,677,544.501",,"22,292,585.863",,"-21,251,689.486","-10,897,038.512"
			CashAndCashEquivalents,"64,126,000","46,657,000","52,795,000","38,197,000","47,097,000","65,163,000","97,368,000","70,410,000","88,802,000","258,442,000","99,732,000","12,357,000","9,250,000","29,035,395.845","69,729,366.533","60,609,805.818","68,674,843.4","44,677,544.501",,"22,292,585.863",,"-21,251,689.486","-10,897,038.512"
				CashFinancial,"64,126,000","46,657,000","52,795,000","38,197,000",,"65,099,000","96,493,000","68,748,000",,,,,,,,,,,,,,,
				CashEquivalents,,,,,,"64,000","875,000","1,662,000",,,,,,,,,,,,,,,
		Receivables,"320,931,000","318,848,000","247,256,000","277,733,000","424,884,000","355,704,000","255,718,000","260,948,000","192,109,000","145,684,000","166,762,000","222,158,000","206,088,000","166,032,375.963","108,532,946.287","85,231,362.443","63,643,442.762","55,288,814.467","79,597,633.481","74,193,486.422","71,641,969.575","36,488,750.082","22,593,860.576"
			AccountsReceivable,"320,931,000","317,159,000","243,365,000","277,733,000","424,407,000","354,265,000","255,018,000","260,595,000","191,594,000","145,684,000","166,762,000","222,158,000","206,088,000","166,032,375.963","108,532,946.287","85,231,362.443","63,643,442.762","55,288,814.467","79,597,633.481",,,,
				GrossAccountsReceivable,"328,115,000","324,706,000","248,419,000","283,322,000",,"358,688,000","258,685,000","265,090,000",,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-7,184,000","-7,547,000","-5,054,000","-5,589,000",,"-4,423,000","-3,667,000","-4,495,000",,,,,,,,,,,,,,,
			TaxesReceivable,"0","1,689,000","3,891,000",,"477,000","1,439,000","700,000","353,000","515,000",,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,"4,495,000",,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,,,,,,,"-4,495,000",,,,,,,,,,,,,,,
