name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
			Payables,"1,653,000,000","1,484,000,000","1,377,000,000","1,246,000,000","1,250,000,000","1,284,000,000","1,312,000,000","1,174,000,000","1,057,000,000","739,000,000","746,000,000","668,000,000","759,000,000","643,000,000","524,000,000","420,000,000","405,000,000","362,027,000","504,831,000","312,716,000","156,755,000","157,415,000","160,891,000","214,232,000","117,473,000","117,599,000","94,000,000","78,400,000","55,000,000","51,200,000","48,000,000",,,,
				AccountsPayable,"304,000,000","263,000,000","186,000,000","138,000,000","178,000,000","123,000,000","189,000,000","1,107,000,000","1,057,000,000","739,000,000","746,000,000","668,000,000","759,000,000","643,000,000","524,000,000","420,000,000","405,000,000","362,027,000","504,831,000","312,716,000","156,755,000","157,415,000","160,891,000","214,232,000","117,473,000","117,599,000","94,000,000","78,400,000","55,000,000","51,200,000","48,000,000",,,,
				TotalTaxPayable,"306,000,000","288,000,000","260,000,000","252,000,000","241,000,000","244,000,000","211,000,000","67,000,000",,,,,,,,,,,,,,,,,,"0",,,,,,,,,
					IncomeTaxPayable,"79,000,000","68,000,000","57,000,000","68,000,000",,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,
				OtherPayable,"1,043,000,000","933,000,000","931,000,000","856,000,000","831,000,000","917,000,000","912,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"809,000,000","935,000,000","885,000,000","931,000,000","1,044,000,000","771,000,000","747,000,000","691,000,000","886,000,000","863,000,000","696,000,000","1,012,000,000","3,107,000,000","1,323,000,000","2,074,000,000","1,047,000,000","650,000,000","529,109,000","547,540,000","499,874,000","535,024,000","477,448,000","426,950,000","380,747,000","348,476,000","288,979,000",,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"861,000,000","746,000,000","834,000,000","828,000,000","842,000,000","539,000,000","405,000,000","294,000,000","110,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"1,172,000,000","606,000,000","348,000,000","566,000,000","637,000,000","258,000,000","629,000,000","271,000,000","644,000,000","505,000,000","190,000,000","163,000,000","41,000,000","122,000,000","601,000,000","146,000,000","206,000,000","130,454,000","514,567,000","108,752,000","7,873,000","11,996,000","121,324,000","12,327,000","13,516,000","9,553,000","16,100,000","10,800,000","6,600,000","13,600,000","16,200,000","10,000,000","9,700,000","11,500,000","12,500,000"
			CurrentDebt,"819,000,000","606,000,000","348,000,000","566,000,000","637,000,000","258,000,000","629,000,000","271,000,000","644,000,000","505,000,000","190,000,000","163,000,000","41,000,000","122,000,000","601,000,000","146,000,000","206,000,000","130,454,000","514,567,000","108,752,000","7,873,000","11,996,000","121,324,000","12,327,000","13,516,000","9,553,000","16,100,000","10,800,000","6,600,000","13,600,000","16,200,000","10,000,000","9,700,000","11,500,000","12,500,000"
				OtherCurrentBorrowings,"819,000,000",,"348,000,000","566,000,000","637,000,000","258,000,000","629,000,000","271,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"353,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
