name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
TotalAssets,"7,411,300,000","6,722,600,000","6,853,700,000","6,383,300,000","6,565,600,000"
	CurrentAssets,"1,958,600,000","1,814,600,000","1,826,200,000","1,624,700,000","1,447,200,000"
		CashCashEquivalentsAndShortTermInvestments,"635,300,000","423,400,000","564,400,000","529,800,000","339,200,000"
			CashAndCashEquivalents,"635,300,000","423,400,000","564,400,000","527,200,000","335,700,000"
			OtherShortTermInvestments,,,,"2,600,000","3,500,000"
		Receivables,"716,800,000","749,500,000","727,900,000","659,400,000","625,900,000"
			AccountsReceivable,"694,700,000","742,300,000","713,800,000","650,500,000","619,500,000"
				GrossAccountsReceivable,"703,300,000","749,700,000","720,600,000","653,900,000","619,900,000"
				AllowanceForDoubtfulAccountsReceivable,"-8,600,000","-7,400,000","-6,800,000","-3,400,000","-400,000"
			TaxesReceivable,"22,100,000","7,200,000","14,100,000","8,900,000","6,400,000"
		Inventory,"475,100,000","537,600,000","457,100,000","366,900,000","415,700,000"
			RawMaterials,"118,900,000","152,100,000","128,000,000","92,600,000","102,200,000"
			WorkInProcess,"33,600,000","38,400,000","32,800,000","23,700,000","25,700,000"
			FinishedGoods,"322,600,000","347,100,000","296,300,000","250,600,000","287,800,000"
		PrepaidAssets,"131,400,000","104,100,000","76,800,000","67,000,000","61,900,000"
		RestrictedCash,,,,"1,600,000","4,500,000"
	TotalNonCurrentAssets,"5,452,700,000","4,908,000,000","5,027,500,000","4,758,600,000","5,118,400,000"
		NetPPE,"850,900,000","756,300,000","686,200,000","599,600,000","660,600,000"
			GrossPPE,"1,310,800,000","1,133,600,000","1,009,500,000","832,400,000","813,800,000"
				Properties,"318,600,000","313,300,000","262,100,000","236,600,000","232,000,000"
				MachineryFurnitureEquipment,"819,400,000","736,000,000","678,600,000","564,300,000","549,700,000"
				OtherProperties,"123,000,000","756,300,000","686,200,000",,
				ConstructionInProgress,"49,800,000","84,300,000","68,800,000","31,500,000","32,100,000"
			AccumulatedDepreciation,"-459,900,000","-377,300,000","-323,300,000","-232,800,000","-153,200,000"
		GoodwillAndOtherIntangibleAssets,"3,936,500,000","4,036,500,000","4,212,300,000","4,056,400,000","4,340,500,000"
			Goodwill,"2,060,500,000","2,045,900,000","2,085,500,000","1,912,300,000","2,006,200,000"
			OtherIntangibleAssets,"1,876,000,000","1,990,600,000","2,126,800,000","2,144,100,000","2,334,300,000"
		InvestmentsAndAdvances,,,,"3,900,000","4,100,000"
			LongTermEquityInvestment,,,,"3,900,000","4,100,000"
		NonCurrentAccountsReceivable,"23,000,000","27,900,000","32,700,000","32,100,000","37,700,000"
		NonCurrentDeferredAssets,"587,100,000",,,"2,400,000","3,100,000"
			NonCurrentDeferredTaxesAssets,"587,100,000",,,"2,400,000","3,100,000"
		DefinedPensionBenefit,"38,100,000","52,600,000","57,700,000","42,100,000","51,600,000"
		OtherNonCurrentAssets,"17,100,000","34,700,000","38,600,000","22,100,000","20,800,000"
TotalLiabilitiesNetMinorityInterest,"4,400,600,000","4,388,900,000","5,425,300,000","5,314,900,000","5,373,000,000"
	CurrentLiabilities,"658,100,000","679,000,000","697,800,000","579,500,000","565,200,000"
		PayablesAndAccruedExpenses,"612,000,000","627,400,000","631,400,000","442,900,000","389,900,000"
			Payables,"423,200,000","443,200,000","421,000,000","333,400,000","294,800,000"
				AccountsPayable,"374,700,000","424,000,000","392,000,000","313,100,000","274,000,000"
				TotalTaxPayable,"48,500,000","19,200,000","29,000,000","20,300,000","20,800,000"
			CurrentAccruedExpenses,"188,800,000","184,200,000","210,400,000","109,500,000","95,100,000"
		CurrentDebtAndCapitalLeaseObligation,"46,100,000","51,600,000","66,400,000","47,000,000","88,400,000"
			CurrentDebt,"46,100,000","51,600,000","66,400,000","46,900,000","88,300,000"
				LineOfCredit,,,,"300,000","300,000"
				OtherCurrentBorrowings,,,,"46,600,000","88,000,000"
			CurrentCapitalLeaseObligation,,,,"100,000","100,000"
		OtherCurrentLiabilities,,,,"89,600,000","86,900,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"3,742,500,000","3,709,900,000","4,727,500,000","4,735,400,000","4,807,800,000"
		LongTermDebtAndCapitalLeaseObligation,"3,028,500,000","2,953,400,000","3,889,300,000","3,791,300,000","3,820,800,000"
			LongTermDebt,"2,912,300,000","2,953,400,000","3,889,300,000","3,790,000,000","3,819,300,000"
			LongTermCapitalLeaseObligation,"116,200,000",,,"1,300,000","1,500,000"
		NonCurrentDeferredLiabilities,"369,300,000","439,500,000","517,100,000","652,300,000","714,700,000"
			NonCurrentDeferredTaxesLiabilities,"369,300,000","439,500,000","517,100,000","652,300,000","714,700,000"
		TradeandOtherPayablesNonCurrent,"108,800,000","81,900,000","100,600,000","95,000,000","61,100,000"
		EmployeeBenefits,"151,200,000","155,900,000","157,100,000","171,600,000","171,900,000"
			NonCurrentPensionAndOtherPostretirementBenefitPlans,"151,200,000","155,900,000","157,100,000","171,600,000","171,900,000"
		OtherNonCurrentLiabilities,"84,700,000","79,200,000","63,400,000","25,200,000","39,300,000"
TotalEquityGrossMinorityInterest,"3,010,700,000","2,333,700,000","1,428,400,000","1,068,400,000","1,192,600,000"
	StockholdersEquity,"2,651,000,000","1,947,400,000","1,014,600,000","691,300,000","786,300,000"
		CapitalStock,"2,900,000","2,900,000","2,500,000","0","0"
			CommonStock,"2,900,000","2,900,000","2,500,000","0","0"
		AdditionalPaidInCapital,"2,434,500,000","2,416,900,000","1,622,600,000","1,625,000,000","1,619,700,000"
		RetainedEarnings,"1,072,000,000","381,900,000","136,900,000","-14,300,000","-72,000,000"
		TreasuryStock,,,,"3,500,000","1,500,000"
		GainsLossesNotAffectingRetainedEarnings,"-858,400,000","-854,300,000","-747,400,000","-915,900,000","-759,900,000"
	MinorityInterest,"359,700,000","386,300,000","413,800,000","377,100,000","406,300,000"
TotalCapitalization,"5,563,300,000","4,900,800,000","4,903,900,000","4,481,300,000","4,605,600,000"
CommonStockEquity,"2,651,000,000","1,947,400,000","1,014,600,000","691,300,000","786,300,000"
CapitalLeaseObligations,"116,200,000",,,"1,400,000","1,600,000"
NetTangibleAssets,"-1,285,500,000","-2,089,100,000","-3,197,700,000","-3,365,100,000","-3,554,200,000"
WorkingCapital,"1,300,500,000","1,135,600,000","1,128,400,000","1,045,200,000","882,000,000"
InvestedCapital,"5,609,400,000","4,952,400,000","4,970,300,000","4,528,200,000","4,693,900,000"
TangibleBookValue,"-1,285,500,000","-2,089,100,000","-3,197,700,000","-3,365,100,000","-3,554,200,000"
TotalDebt,"3,074,600,000","3,005,000,000","3,955,700,000","3,838,300,000","3,909,200,000"
NetDebt,"2,323,100,000","2,581,600,000","3,391,300,000","3,309,700,000","3,571,900,000"
ShareIssued,"290,157,299","289,847,574","283,974,605","283,974,605","283,974,605"
OrdinarySharesNumber,"290,157,299","289,847,574","283,974,605","283,974,605","283,974,605"
